Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-01-01,388000.0,3.07,3.27,3.3,3.1,3.25,0.18
2024-01-02,451500.0,3.25,3.3,3.3,3.2,3.24,-0.01
2024-01-03,916000.0,3.24,3.35,3.36,3.05,3.31,0.07
2024-01-04,1223000.0,3.31,3.35,3.7,3.22,3.51,0.2
2024-01-05,168500.0,3.51,3.55,3.59,3.36,3.38,-0.13
2024-01-08,199500.0,3.38,3.51,3.51,3.3,3.33,-0.05
2024-01-09,101500.0,3.33,3.4,3.4,3.26,3.35,0.02
2024-01-10,55500.0,3.35,3.43,3.45,3.28,3.3,-0.05
2024-01-11,298500.0,3.3,3.49,3.6,3.21,3.35,0.05
2024-01-12,529000.0,3.35,3.49,3.59,3.37,3.38,0.03
2024-01-15,1641000.0,3.38,3.3,3.9,3.3,3.58,0.2
2024-01-16,221000.0,3.58,3.58,3.8,3.41,3.5,-0.08
2024-01-17,94000.0,3.5,3.5,3.54,3.36,3.4,-0.1
2024-01-18,161000.0,3.4,3.28,3.5,3.12,3.47,0.07
2024-01-19,116000.0,3.47,3.35,3.5,3.25,3.38,-0.09
2024-01-22,30000.0,3.38,3.45,3.45,3.25,3.29,-0.09
2024-01-23,49000.0,3.29,3.26,3.28,3.25,3.25,-0.04
2024-01-24,251500.0,3.25,3.25,3.6,3.25,3.44,0.19
2024-01-25,1374000.0,3.44,3.6,3.9,3.45,3.55,0.11
2024-01-26,189500.0,3.55,3.55,3.7,3.4,3.41,-0.14
2024-01-29,172500.0,3.41,3.4,3.5,3.2,3.26,-0.15
2024-01-30,481500.0,3.26,3.31,3.31,3.1,3.12,-0.14
2024-01-31,194000.0,3.12,3.43,3.43,3.01,3.17,0.05
2024-02-01,223500.0,3.17,3.13,3.2,3.01,3.2,0.03
2024-02-02,600500.0,3.2,3.2,3.35,3.13,3.26,0.06
2024-02-06,54000.0,3.26,3.11,3.35,3.06,3.27,0.01
2024-02-07,28500.0,3.27,3.21,3.4,3.15,3.26,-0.01
2024-02-09,51000.0,3.26,3.2,3.4,3.19,3.19,-0.07
2024-02-12,122500.0,3.19,3.35,3.35,3.0,3.02,-0.17
2024-02-13,216500.0,3.02,2.77,3.1,2.77,3.02,0.0
2024-02-14,182000.0,3.02,3.1,3.2,3.08,3.19,0.17
2024-02-15,101000.0,3.19,3.18,3.25,3.1,3.15,-0.04
2024-02-16,96000.0,3.15,3.26,3.26,2.93,2.95,-0.2
2024-02-19,48500.0,2.95,3.03,3.19,3.0,3.13,0.18
2024-02-20,27000.0,3.13,3.18,3.18,3.05,3.05,-0.08
2024-02-21,87000.0,3.05,3.16,3.25,3.1,3.23,0.18
2024-02-22,122000.0,3.23,3.25,3.3,3.14,3.14,-0.09
2024-02-23,1865500.0,3.14,3.03,3.79,3.03,3.52,0.38
2024-02-26,410000.0,3.52,3.73,3.74,3.36,3.41,-0.11
2024-02-27,301000.0,3.41,3.43,3.43,3.2,3.22,-0.19
2024-02-28,236500.0,3.22,3.16,3.39,3.16,3.27,0.05
2024-02-29,122000.0,3.27,3.39,3.39,3.25,3.28,0.01
2024-03-01,541000.0,3.28,3.17,3.67,3.17,3.65,0.37
2024-03-04,675000.0,3.65,3.7,3.77,3.6,3.67,0.02
2024-03-05,190500.0,3.67,3.75,3.75,3.4,3.44,-0.23
2024-03-06,118500.0,3.44,3.59,3.59,3.33,3.35,-0.09
2024-03-07,938500.0,3.35,3.35,3.36,3.08,3.22,-0.13
2024-03-08,57000.0,3.22,3.22,3.38,3.22,3.28,0.06
2024-03-11,24500.0,3.28,3.25,3.48,3.25,3.32,0.04
2024-03-12,24500.0,3.32,3.31,3.31,3.2,3.2,-0.12
2024-03-13,95000.0,3.2,3.2,3.3,3.13,3.15,-0.05
2024-03-14,5000.0,3.15,3.48,3.48,3.18,3.33,0.18
2024-03-15,74500.0,3.33,3.2,3.3,3.13,3.19,-0.14
2024-03-18,32000.0,3.19,3.2,3.2,3.11,3.14,-0.05
2024-03-19,55500.0,3.14,3.18,3.29,3.11,3.16,0.02
2024-03-20,43500.0,3.16,3.2,3.3,3.2,3.25,0.09
2024-03-21,155500.0,3.25,3.25,3.25,3.1,3.13,-0.12
2024-03-22,14500.0,3.13,3.12,3.25,3.11,3.22,0.09
2024-03-25,70500.0,3.22,3.11,3.15,3.09,3.09,-0.13
2024-03-26,182000.0,3.09,3.11,3.11,2.96,3.01,-0.08
2024-03-27,118500.0,3.01,3.0,3.05,2.95,3.0,-0.01
2024-03-28,135500.0,3.0,2.95,3.0,2.85,2.98,-0.02
2024-03-29,11500.0,2.98,3.09,3.09,2.92,2.95,-0.03
2024-04-01,15000.0,2.95,3.14,3.14,2.95,2.97,0.02
2024-04-02,43000.0,2.97,3.0,3.0,2.93,2.97,0.0
2024-04-03,15500.0,2.97,3.1,3.14,2.95,3.08,0.11
2024-04-04,50000.0,3.08,3.01,3.1,3.0,3.01,-0.07
2024-04-08,21500.0,3.01,3.08,3.1,3.0,3.08,0.07
2024-04-09,7000.0,3.08,3.14,3.14,2.96,3.02,-0.06
2024-04-15,27500.0,3.02,3.1,3.1,2.99,3.07,0.05
2024-04-16,190000.0,3.07,3.1,3.25,3.01,3.21,0.14
2024-04-17,429500.0,3.21,3.24,3.4,3.18,3.26,0.05
2024-04-18,156500.0,3.26,3.4,3.4,3.15,3.25,-0.01
2024-04-19,2865000.0,3.25,3.12,3.96,2.51,3.54,0.29
2024-04-22,1239000.0,3.54,3.69,3.9,3.51,3.53,-0.01
2024-04-23,220000.0,3.53,3.54,3.63,3.36,3.5,-0.03
2024-04-24,401000.0,3.5,3.39,3.7,3.33,3.65,0.15
2024-04-25,334500.0,3.65,3.78,3.79,3.51,3.56,-0.09
2024-04-26,480000.0,3.56,3.51,3.83,3.48,3.62,0.06
2024-04-29,147500.0,3.62,3.65,3.74,3.31,3.51,-0.11
2024-04-30,220500.0,3.51,3.65,3.65,3.41,3.42,-0.09
2024-05-02,94500.0,3.42,3.45,3.55,3.34,3.48,0.06
2024-05-03,121000.0,3.48,3.4,3.5,3.25,3.44,-0.04
2024-05-06,193000.0,3.44,3.35,3.4,3.28,3.3,-0.14
2024-05-07,105000.0,3.3,3.3,3.35,3.22,3.24,-0.06
2024-05-08,209000.0,3.24,3.25,3.3,3.16,3.19,-0.05
2024-05-09,329000.0,3.19,3.2,3.45,3.2,3.3,0.11
2024-05-10,295500.0,3.3,3.38,3.65,3.37,3.5,0.2
2024-05-13,69000.0,3.5,3.33,3.59,3.33,3.44,-0.06
2024-05-14,245000.0,3.44,3.55,3.55,3.35,3.37,-0.07
2024-05-15,164500.0,3.37,3.38,3.54,3.28,3.32,-0.05
2024-05-16,517000.0,3.32,3.4,3.52,3.4,3.47,0.15
2024-05-17,2431500.0,3.47,3.5,3.95,3.5,3.68,0.21
2024-05-20,301000.0,3.68,3.74,3.74,3.4,3.61,-0.07
2024-05-21,5684000.0,3.61,3.73,4.46,3.6,4.24,0.63
2024-05-22,2467500.0,4.24,4.09,4.19,3.85,3.87,-0.37
2024-05-23,1063000.0,3.87,4.0,4.1,3.75,4.0,0.13
2024-05-24,1311000.0,4.0,4.1,4.3,3.9,4.02,0.02
2024-05-27,981297.0,4.02,4.06,4.18,3.9,3.97,-0.05
2024-05-29,687947.0,3.97,3.91,4.09,3.6,3.63,-0.34
2024-05-30,2005003.0,3.63,3.75,4.25,3.5,4.14,0.51
2024-05-31,996074.0,4.14,4.25,4.28,3.94,4.06,-0.08
2024-06-03,614530.0,4.06,4.18,4.18,3.87,3.92,-0.14
2024-06-04,352016.0,3.92,4.09,4.09,3.71,3.79,-0.13
2024-06-05,752306.0,3.79,3.99,3.99,3.6,3.68,-0.11
2024-06-06,3130676.0,3.68,3.93,4.59,3.6,4.05,0.37
2024-06-07,2621593.0,4.05,4.17,4.53,3.96,4.08,0.03
2024-06-10,340513.0,4.08,4.29,4.3,3.87,3.93,-0.15
2024-06-11,524690.0,3.93,4.15,4.15,3.5,3.59,-0.34
2024-06-12,305703.0,3.59,3.89,3.89,3.5,3.64,0.05
2024-06-13,121002.0,3.64,3.87,3.87,3.6,3.71,0.07
2024-06-14,247590.0,3.71,3.8,3.8,3.62,3.64,-0.07
2024-06-20,64664.0,3.64,3.95,3.95,3.57,3.74,0.1
2024-06-21,179264.0,3.74,3.74,3.74,3.2,3.58,-0.16
2024-06-24,291565.0,3.58,3.87,3.87,3.5,3.57,-0.01
2024-06-25,292197.0,3.57,3.55,3.67,3.32,3.4,-0.17
2024-06-26,437580.0,3.4,3.28,3.55,3.1,3.21,-0.19
2024-06-27,80914.0,3.21,3.1,3.47,3.1,3.29,0.08
2024-06-28,343854.0,3.29,3.26,3.58,3.11,3.44,0.15
2024-07-01,94261.0,3.44,3.58,3.58,3.25,3.39,-0.05
2024-07-02,296129.0,3.39,3.32,3.6,3.3,3.55,0.16
2024-07-03,167665.0,3.55,3.69,3.69,3.41,3.44,-0.11
2024-07-04,179644.0,3.44,3.6,3.6,3.33,3.42,-0.02
2024-07-05,119983.0,3.42,3.49,3.5,3.11,3.35,-0.07
2024-07-08,166491.0,3.35,3.3,3.7,3.25,3.42,0.07
2024-07-09,746275.0,3.42,3.5,3.71,3.26,3.62,0.2
2024-07-10,741686.0,3.62,3.69,3.92,3.53,3.62,0.0
2024-07-11,421470.0,3.62,3.77,3.77,3.33,3.41,-0.21
2024-07-12,43269.0,3.41,3.32,3.48,3.05,3.4,-0.01
2024-07-15,135915.0,3.4,3.1,3.47,3.1,3.35,-0.05
2024-07-18,584563.0,3.35,3.27,3.49,3.26,3.42,0.07
2024-07-19,297141.0,3.42,3.6,3.6,3.31,3.46,0.04
2024-07-22,107926.0,3.46,3.4,3.42,3.17,3.24,-0.22
2024-07-23,206418.0,3.24,3.44,3.44,3.3,3.34,0.1
2024-07-24,608798.0,3.34,3.32,3.6,3.32,3.51,0.17
2024-07-25,1305949.0,3.51,3.4,3.91,3.4,3.65,0.14
2024-07-26,286331.0,3.65,3.46,3.99,3.46,3.55,-0.1
2024-07-29,846107.0,3.55,3.53,3.89,3.53,3.79,0.24
2024-07-30,1395730.0,3.79,3.89,4.2,3.8,3.87,0.08
2024-07-31,613779.0,3.87,4.0,4.0,3.7,3.78,-0.09
2024-08-01,165931.0,3.78,3.78,3.9,3.7,3.77,-0.01
2024-08-02,196552.0,3.77,3.95,3.95,3.63,3.7,-0.07
2024-08-05,1665900.0,3.7,3.88,4.1,3.75,3.86,0.16
2024-08-06,1724568.0,3.86,3.95,4.19,3.7,4.06,0.2
2024-08-07,1992491.0,4.06,4.19,4.5,4.0,4.12,0.06
2024-08-08,636155.0,4.12,4.2,4.25,3.95,3.99,-0.13
2024-08-09,985577.0,3.99,4.0,4.29,3.95,4.17,0.18
2024-08-12,4367613.0,4.17,4.25,4.99,4.25,4.81,0.64
2024-08-13,4401044.0,4.81,5.04,5.09,4.53,4.78,-0.03
2024-08-15,1429866.0,4.78,4.91,4.91,4.61,4.84,0.06
2024-08-16,2800923.0,4.84,4.67,5.65,4.67,5.21,0.37
2024-08-19,2539614.0,5.21,5.28,5.44,4.31,4.5,-0.71
2024-08-20,1128212.0,4.5,4.6,5.22,4.3,5.01,0.51
2024-08-21,3139480.0,5.01,5.29,5.75,5.05,5.6,0.59
2024-08-22,1599917.0,5.6,5.79,5.8,5.38,5.59,-0.01
2024-08-23,1267959.0,5.59,5.52,5.53,5.0,5.1,-0.49
2024-08-26,432889.0,5.1,4.68,5.29,4.68,5.11,0.01
2024-08-27,1897962.0,5.11,5.2,5.38,5.15,5.23,0.12
2024-08-28,1623717.0,5.23,5.2,5.36,4.9,4.96,-0.27
2024-08-29,849699.0,4.96,4.9,5.3,4.9,5.08,0.12
2024-08-30,1293607.0,5.08,5.07,5.4,5.0,5.08,0.0
2024-09-02,956574.0,5.08,4.99,5.2,4.76,4.8,-0.28
2024-09-03,685938.0,4.8,4.65,5.15,4.63,5.1,0.3
2024-09-04,2502487.0,5.1,4.94,5.69,4.91,5.3,0.2
2024-09-05,1257532.0,5.3,5.48,5.57,5.1,5.15,-0.15
2024-09-06,939811.0,5.15,5.01,5.38,5.01,5.18,0.03
2024-09-09,322078.0,5.18,5.25,5.28,5.04,5.11,-0.07
2024-09-10,74138.0,5.11,5.2,5.28,5.02,5.11,0.0
2024-09-11,238694.0,5.11,5.06,5.15,4.92,4.99,-0.12
2024-09-12,339969.0,4.99,5.01,5.06,4.81,4.94,-0.05
2024-09-13,264419.0,4.94,5.08,5.15,4.85,4.98,0.04
2024-09-16,84337.0,4.98,4.41,4.99,4.41,4.73,-0.25
2024-09-18,489373.0,4.73,4.9,4.9,4.4,4.43,-0.3
2024-09-19,483927.0,4.43,4.53,4.75,4.15,4.25,-0.18
2024-09-20,100471.0,4.25,4.26,4.45,4.0,4.22,-0.03
2024-09-23,146943.0,4.22,4.42,4.44,4.07,4.14,-0.08
2024-09-24,113169.0,4.14,4.01,4.4,4.01,4.23,0.09
2024-09-25,124617.0,4.23,4.2,4.45,4.2,4.36,0.13
2024-09-26,74946.0,4.36,4.52,4.52,4.22,4.27,-0.09
2024-09-27,70223.0,4.27,4.05,4.3,4.05,4.26,-0.01
2024-09-30,204364.0,4.26,4.15,4.4,3.61,3.98,-0.28
2024-10-01,206978.0,3.98,4.24,4.24,3.8,3.94,-0.04
2024-10-02,67403.0,3.94,4.0,4.18,3.86,3.88,-0.06
2024-10-03,46145.0,3.88,3.99,3.99,3.75,3.8,-0.08
2024-10-04,148864.0,3.8,3.6,4.1,3.52,3.91,0.11
2024-10-07,92477.0,3.91,3.92,4.0,3.75,3.95,0.04
2024-10-08,52686.0,3.95,3.83,4.05,3.81,3.91,-0.04
2024-10-09,119385.0,3.91,3.89,4.0,3.79,3.93,0.02
2024-10-10,114543.0,3.93,3.95,4.1,3.95,4.1,0.17
2024-10-11,94185.0,4.1,4.0,4.75,3.65,4.11,0.01
2024-10-14,268440.0,4.11,4.22,4.22,3.9,3.95,-0.16
2024-10-15,59376.0,3.95,3.91,4.1,3.91,3.99,0.04
2024-10-16,178077.0,3.99,3.99,4.24,3.95,3.95,-0.04
2024-10-17,20583.0,3.95,3.87,4.17,3.87,3.94,-0.01
2024-10-18,12907.0,3.94,4.21,4.21,3.82,4.0,0.06
2024-10-21,203735.0,4.0,4.0,4.19,3.85,4.14,0.14
2024-10-22,255989.0,4.14,4.0,4.19,4.0,4.03,-0.11
2024-10-23,77386.0,4.03,3.84,4.14,3.84,4.02,-0.01
2024-10-24,250041.0,4.02,4.1,4.19,4.0,4.1,0.08
2024-10-25,103856.0,4.1,4.15,4.29,3.92,3.98,-0.12
2024-10-28,109757.0,3.98,4.1,4.22,3.95,4.0,0.02
2024-10-29,59246.0,4.0,4.15,4.15,3.82,4.0,0.0
2024-10-30,192313.0,4.0,3.9,4.0,3.8,3.89,-0.11
2024-10-31,51959.0,3.89,3.8,4.08,3.76,4.02,0.13
2024-11-01,62065.0,4.02,4.08,4.08,3.8,3.84,-0.18
2024-11-04,124224.0,3.84,3.81,4.1,3.8,3.98,0.14
2024-11-05,118444.0,3.98,3.76,3.97,3.76,3.92,-0.06
2024-11-06,376747.0,3.92,3.88,4.18,3.85,4.03,0.11
2024-11-07,559345.0,4.03,4.1,4.26,4.0,4.23,0.2
2024-11-08,221862.0,4.23,4.3,4.43,4.13,4.17,-0.06
2024-11-11,105374.0,4.17,4.4,4.4,4.0,4.07,-0.1
2024-11-12,30472.0,4.07,4.18,4.18,4.06,4.07,0.0
2024-11-13,368298.0,4.07,4.02,4.14,4.0,4.07,0.0
2024-11-14,537396.0,4.07,4.06,4.19,3.92,4.06,-0.01
2024-11-15,175114.0,4.06,4.0,4.2,4.0,4.1,0.04
2024-11-18,54167.0,4.1,4.02,4.18,4.01,4.07,-0.03
2024-11-19,119952.0,4.07,4.17,4.18,4.1,4.12,0.05
2024-11-20,380643.0,4.12,4.18,4.37,4.08,4.28,0.16
2024-11-21,269866.0,4.28,4.3,4.55,4.12,4.24,-0.04
2024-11-22,144681.0,4.24,4.44,4.44,4.01,4.05,-0.19
2024-11-25,198372.0,4.05,3.98,4.15,3.95,4.01,-0.04
2024-11-26,363214.0,4.01,4.05,4.1,3.88,3.91,-0.1
