Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-01-01,5944734.0,77.4,77.9,81.88,77.89,81.38,3.98
2024-01-02,9130870.0,81.38,81.5,84.7,80.56,82.23,0.85
2024-01-03,4694238.0,82.23,82.5,84.0,81.3,82.15,-0.08
2024-01-04,2087363.0,82.15,82.2,83.0,80.8,82.5,0.35
2024-01-05,3585886.0,82.5,82.75,83.8,80.1,81.19,-1.31
2024-01-08,2423032.0,81.19,81.89,81.9,78.01,78.39,-2.8
2024-01-09,3868549.0,78.39,79.25,80.3,76.25,78.22,-0.17
2024-01-10,2407508.0,78.22,78.5,78.6,75.95,76.58,-1.64
2024-01-11,4384308.0,76.58,77.12,79.25,77.12,77.47,0.89
2024-01-12,2718438.0,77.47,78.19,79.2,76.77,76.99,-0.48
2024-01-15,2946279.0,76.99,77.05,77.7,73.5,73.88,-3.11
2024-01-16,2626231.0,73.88,74.0,75.1,72.0,74.19,0.31
2024-01-17,2495355.0,74.19,75.0,75.9,72.06,72.61,-1.58
2024-01-18,2795.0,73.13,73.01,73.23,70.6,72.08,-1.05
2024-01-19,1424488.0,71.73,72.0,73.48,71.81,72.43,0.7
2024-01-22,1164859.0,72.43,73.0,73.0,71.21,72.08,-0.35
2024-01-23,3560.0,72.41,72.0,74.9,71.75,73.89,1.48
2024-01-24,1818.0,75.09,76.19,77.74,75.5,76.89,1.8
2024-01-25,3188075.0,75.72,76.2,78.0,75.53,75.92,0.2
2024-01-26,1482799.0,75.92,76.0,77.0,74.9,75.18,-0.74
2024-01-29,1070894.0,75.18,75.3,75.73,73.31,73.62,-1.56
2024-01-30,3346980.0,73.62,73.3,73.85,69.6,70.26,-3.36
2024-01-31,1322495.0,70.26,71.45,72.3,70.51,71.18,0.92
2024-02-01,385839.0,71.18,71.89,71.93,70.05,70.73,-0.45
2024-02-02,556540.0,70.73,70.88,72.65,70.45,72.18,1.45
2024-02-06,1081747.0,72.18,71.77,74.9,71.77,74.08,1.9
2024-02-07,3449640.0,74.08,74.19,74.9,72.85,73.71,-0.37
2024-02-09,3478775.0,73.71,71.7,71.7,68.98,70.69,-3.02
2024-02-12,4691568.0,70.69,70.0,70.83,65.42,66.61,-4.08
2024-02-13,4006264.0,66.61,66.02,68.39,63.2,66.95,0.34
2024-02-14,4783377.0,66.95,68.48,69.5,65.35,65.93,-1.02
2024-02-15,2243058.0,65.93,66.4,66.48,63.51,64.55,-1.38
2024-02-16,3275092.0,64.55,63.99,64.95,61.8,64.1,-0.45
2024-02-19,1958.0,65.89,65.99,66.79,65.19,65.96,0.07
2024-02-20,1491.0,64.87,63.5,65.95,60.5,65.66,0.79
2024-02-21,2885072.0,65.52,67.1,69.1,66.83,68.49,2.97
2024-02-22,1570542.0,68.49,69.48,69.48,67.01,67.48,-1.01
2024-02-23,2017124.0,67.48,67.48,68.62,67.01,67.61,0.13
2024-02-26,2482645.0,67.61,68.02,69.5,67.0,67.47,-0.14
2024-02-27,6275419.0,67.47,66.99,69.44,65.75,68.72,1.25
2024-02-28,5219493.0,68.72,68.05,71.78,68.0,71.25,2.53
2024-02-29,5128966.0,71.25,71.51,73.47,69.1,69.53,-1.72
2024-03-01,1675224.0,69.53,69.85,70.48,68.51,69.12,-0.41
2024-03-04,2610180.0,69.12,70.9,71.0,68.51,69.01,-0.11
2024-03-05,3148559.0,69.01,69.24,70.9,68.75,69.93,0.92
2024-03-06,1400592.0,69.93,70.29,70.76,69.2,69.48,-0.45
2024-03-07,2906146.0,69.48,69.33,70.79,69.3,70.37,0.89
2024-03-08,3185881.0,70.37,70.99,71.7,70.25,70.93,0.56
2024-03-11,2749883.0,70.93,71.5,72.52,70.8,71.0,0.07
2024-03-12,1858944.0,71.0,71.0,71.3,67.9,68.09,-2.91
2024-03-13,1756950.0,68.09,68.1,69.0,65.12,66.1,-1.99
2024-03-14,1086514.0,66.1,66.85,69.45,66.5,68.63,2.53
2024-03-15,901132.0,68.63,69.99,70.0,68.26,68.47,-0.16
2024-03-18,723640.0,68.47,68.68,68.99,67.2,68.54,0.07
2024-03-19,1849784.0,68.54,68.0,68.4,66.75,66.99,-1.55
2024-03-20,1181681.0,66.99,67.4,67.7,64.66,65.28,-1.71
2024-03-21,1334233.0,65.28,65.06,65.9,63.02,63.58,-1.7
2024-03-22,730666.0,63.58,63.9,64.5,63.01,64.23,0.65
2024-03-25,412266.0,64.23,64.49,64.8,63.43,63.58,-0.65
2024-03-26,1520.0,64.83,65.0,66.5,64.55,66.04,1.21
2024-03-27,1317348.0,64.8,65.0,65.89,64.76,65.07,0.27
2024-03-28,1260508.0,65.07,65.39,66.5,65.2,66.28,1.21
2024-03-29,747529.0,66.28,66.4,66.6,64.86,65.09,-1.19
