Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2025-02-03,2450521.0,58.99,64.89,64.89,60.5,64.89,5.9
2025-02-04,2955273.0,64.89,67.88,69.88,58.4,58.97,-5.92
2025-02-06,887217.0,58.97,58.4,58.41,53.4,53.81,-5.16
2025-02-07,250450.0,53.81,54.06,54.7,52.87,52.98,-0.83
2025-02-10,341024.0,52.98,53.02,54.49,52.51,52.91,-0.07
2025-02-11,473263.0,52.91,52.81,54.99,52.5,54.29,1.38
2025-02-12,212621.0,54.29,54.28,54.49,52.01,52.76,-1.53
2025-02-13,299674.0,52.76,52.2,53.5,51.0,51.15,-1.61
2025-02-14,450840.0,51.15,51.02,51.85,46.75,47.14,-4.01
2025-02-17,259016.0,47.14,47.0,48.5,45.8,45.98,-1.16
2025-02-18,346415.0,45.98,45.99,50.58,45.37,50.58,4.6
2025-02-19,515413.0,50.58,51.9,53.0,48.75,48.94,-1.64
2025-02-20,143660.0,48.94,48.76,50.0,48.56,48.87,-0.07
2025-02-21,131115.0,48.87,48.99,49.49,48.0,48.18,-0.69
2025-02-24,73277.0,48.18,48.1,48.9,47.5,48.14,-0.04
2025-02-25,84784.0,48.14,48.0,49.0,47.7,47.92,-0.22
2025-02-26,405386.0,47.92,47.92,49.5,44.5,46.64,-1.28
2025-02-27,196100.0,46.64,46.1,46.7,45.5,45.85,-0.79
2025-02-28,63497.0,45.85,46.38,46.4,44.21,44.86,-0.99
2025-03-03,39300.0,44.86,45.4,45.4,43.25,43.53,-1.33
2025-03-04,19794.0,43.53,43.26,44.0,43.25,43.95,0.42
2025-03-05,81116.0,43.95,43.6,44.8,43.5,44.07,0.12
2025-03-06,95233.0,44.07,43.9,44.55,43.0,43.38,-0.69
2025-03-07,272989.0,43.38,43.87,44.0,41.26,42.36,-1.02
2025-03-10,254190.0,42.36,42.94,43.97,42.07,43.3,0.94
2025-03-11,97117.0,43.3,43.1,44.0,42.6,42.69,-0.61
2025-03-12,30639.0,42.69,43.25,43.25,42.03,42.56,-0.13
2025-03-13,42503.0,42.56,42.22,43.29,42.22,42.95,0.39
2025-03-14,8149.0,42.95,42.61,42.96,42.61,42.9,-0.05
2025-03-17,47874.0,42.9,42.95,43.3,42.5,42.58,-0.32
2025-03-18,34388.0,42.58,42.4,43.18,42.02,42.63,0.05
2025-03-19,30481.0,42.63,42.6,43.3,42.5,42.67,0.04
2025-03-20,30181.0,42.67,42.72,43.0,42.71,42.75,0.08
2025-03-21,50820.0,42.75,42.07,43.0,42.0,42.16,-0.59
2025-03-24,47401.0,42.16,42.97,42.97,41.75,42.01,-0.15
2025-03-25,34795.0,42.01,41.7,42.5,41.58,41.62,-0.39
2025-03-26,31375.0,41.62,42.4,42.4,41.61,41.72,0.1
2025-03-27,45244.0,41.72,41.99,42.2,41.5,41.67,-0.05
2025-04-03,55378.0,41.67,41.8,42.3,41.77,42.0,0.33
2025-04-04,90313.0,42.0,42.05,42.9,41.8,41.85,-0.15
2025-04-07,83408.0,41.85,42.4,42.4,38.0,39.17,-2.68
2025-04-08,34676.0,39.17,39.97,39.97,39.02,39.49,0.32
2025-04-09,352865.0,39.49,39.85,43.44,38.8,41.0,1.51
2025-04-10,94531.0,41.0,41.98,42.75,41.11,42.22,1.22
2025-04-11,18572.0,42.22,41.88,41.89,40.5,40.85,-1.37
2025-04-14,55575.0,40.85,41.49,41.96,41.0,41.68,0.83
2025-04-15,84547.0,41.68,41.89,42.3,41.01,41.63,-0.05
2025-04-16,41945.0,41.63,41.12,41.96,40.71,41.04,-0.59
2025-04-17,54579.0,41.04,40.8,41.4,40.0,40.12,-0.92
2025-04-18,123158.0,40.12,40.58,41.0,39.7,39.9,-0.22
2025-04-21,140917.0,39.9,40.29,40.3,38.51,39.23,-0.67
2025-04-22,105105.0,39.23,39.2,39.39,38.5,38.77,-0.46
2025-04-23,25788.0,38.77,38.81,39.0,38.25,38.37,-0.4
2025-04-24,104713.0,38.37,38.25,38.39,36.51,37.52,-0.85
2025-04-25,34489.0,37.52,37.95,37.95,36.9,37.09,-0.43
2025-04-28,62570.0,37.09,37.25,38.98,36.4,36.48,-0.61
2025-04-29,385090.0,36.48,36.25,36.25,34.01,34.85,-1.63
2025-04-30,131386.0,34.85,34.51,34.52,32.51,32.82,-2.03
2025-05-02,86223.0,32.82,34.89,34.89,33.0,33.92,1.1
2025-05-05,141486.0,33.92,34.45,35.0,33.9,34.85,0.93
2025-05-06,170483.0,34.85,34.9,34.94,34.0,34.67,-0.18
2025-05-07,148447.0,34.67,32.07,33.8,31.2,33.42,-1.25
2025-05-08,82730.0,33.42,33.48,33.7,30.09,31.31,-2.11
2025-05-09,42022.0,30.41,31.95,31.95,29.06,30.63,0.22
2025-05-12,71223.0,30.63,32.97,33.69,32.0,33.69,3.06
2025-05-13,25589.0,33.69,34.45,34.45,33.0,33.47,-0.22
2025-05-14,55140.0,33.47,34.4,34.4,32.52,33.61,0.14
2025-05-15,93534.0,33.61,33.89,35.7,33.88,34.73,1.12
2025-05-16,109206.0,34.73,34.5,35.5,34.5,35.32,0.59
2025-05-19,820578.0,35.32,35.2,38.85,34.99,38.13,2.81
2025-05-20,143332.0,38.13,37.99,38.99,36.55,36.94,-1.19
2025-05-21,131523.0,36.94,36.8,37.38,36.25,37.0,0.06
2025-05-22,123068.0,37.0,37.09,37.8,36.93,37.0,0.0
2025-05-23,35506.0,37.0,37.4,38.5,36.5,37.52,0.52
2025-05-26,81699.0,37.52,38.6,38.9,37.31,38.36,0.84
2025-05-27,62947.0,38.36,38.7,39.0,38.0,38.04,-0.32
2025-05-29,31163.0,38.04,38.4,38.98,37.97,37.99,-0.05
2025-05-30,22883.0,37.99,38.39,38.8,38.0,38.36,0.37
2025-06-02,126344.0,38.36,38.79,39.99,38.5,39.69,1.33
2025-06-03,142190.0,39.69,39.5,39.5,37.1,37.58,-2.11
2025-06-04,54443.0,37.58,37.21,38.7,37.21,37.58,0.0
2025-06-05,29983.0,37.58,38.4,38.4,37.41,37.62,0.04
2025-06-10,29246.0,37.62,37.63,37.9,37.0,37.05,-0.57
2025-06-11,61716.0,37.05,37.4,37.99,36.76,37.6,0.55
2025-06-12,168415.0,37.6,37.01,38.88,37.0,37.12,-0.48
2025-06-13,26311.0,37.12,37.0,37.79,36.7,37.03,-0.09
2025-06-16,11931.0,37.03,37.8,37.8,37.0,37.02,-0.01
2025-06-17,7733.0,37.02,37.68,37.68,36.51,36.62,-0.4
2025-06-18,5505.0,36.62,36.6,37.27,36.6,36.73,0.11
2025-06-19,14883.0,36.73,37.29,37.47,36.4,36.65,-0.08
2025-06-20,14440.0,36.65,36.43,37.1,36.3,36.43,-0.22
2025-06-23,143014.0,36.43,36.4,37.42,35.0,35.79,-0.64
2025-06-24,80566.0,35.79,36.02,36.98,36.02,36.77,0.98
2025-06-25,38744.0,36.77,36.99,37.1,33.75,35.89,-0.88
2025-06-26,23493.0,35.89,35.9,36.89,35.9,36.5,0.61
2025-06-27,13823.0,36.5,36.85,36.99,36.5,36.59,0.09
2025-06-30,30783.0,36.59,36.59,37.17,36.5,36.92,0.33
2025-07-01,40612.0,36.92,36.6,37.0,36.0,36.58,-0.34
2025-07-02,34701.0,36.58,36.9,38.4,36.7,37.81,1.23
2025-07-03,15256.0,37.81,38.1,38.1,37.0,37.62,-0.19
2025-07-04,6930.0,37.62,37.37,37.98,37.01,37.94,0.32
2025-07-07,86847.0,37.94,37.4,38.15,37.4,37.5,-0.44
2025-07-08,29635.0,37.5,37.9,38.09,37.4,37.99,0.49
2025-07-09,39056.0,37.99,38.3,38.3,37.2,37.59,-0.4
2025-07-10,61771.0,37.59,37.8,37.88,37.0,37.06,-0.53
2025-07-11,11292.0,37.06,37.48,37.89,37.26,37.57,0.51
2025-07-14,203293.0,37.57,37.5,39.7,37.5,39.37,1.8
2025-07-15,2127237.0,39.37,39.7,43.31,38.91,40.24,0.87
2025-07-16,37196800.0,40.24,40.8,44.09,38.02,42.06,1.82
2025-07-17,4777467.0,42.06,42.69,43.2,40.4,40.58,-1.48
2025-07-18,11461194.0,40.58,40.55,44.15,40.55,42.99,2.41
2025-07-21,2620051.0,42.99,43.25,43.9,40.5,41.2,-1.79
2025-07-22,2688008.0,41.2,41.5,43.2,41.5,41.94,0.74
2025-07-23,2053633.0,41.94,42.0,43.84,41.75,42.82,0.88
2025-07-24,1514773.0,42.82,43.25,43.47,41.6,41.89,-0.93
2025-07-25,1008993.0,41.89,41.74,42.6,41.2,41.38,-0.51
2025-07-29,1311574.0,42.19,42.9,42.9,40.5,40.88,-1.31
