Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-01-01,200.0,215.5,219.49,219.49,219.49,219.49,3.99
2024-01-02,100.0,219.49,215.0,215.0,215.0,219.49,0.0
2024-01-04,600.0,219.49,219.99,219.99,219.99,219.49,0.0
2024-01-08,3700.0,219.49,215.0,227.4,215.0,226.89,7.4
2024-01-09,9200.0,226.89,229.65,229.68,229.65,229.67,2.78
2024-01-16,7800.0,229.67,228.99,236.0,228.99,232.83,3.16
2024-01-17,900.0,232.83,229.01,229.01,229.0,229.0,-3.83
2024-01-18,200.0,229.0,231.0,232.0,231.0,231.5,2.5
2024-01-23,600.0,231.5,233.49,234.99,233.49,233.99,2.49
2024-01-24,2000.0,233.99,234.0,251.54,234.0,242.52,8.53
2024-01-26,2400.0,242.52,238.9,238.99,225.0,238.99,-3.53
2024-01-31,1000.0,238.99,238.9,238.9,238.9,238.9,-0.09
2024-02-06,1700.0,238.9,239.0,249.99,235.0,245.7,6.8
2024-02-13,13600.0,245.7,238.99,238.99,238.99,238.99,-6.71
2024-02-14,4200.0,238.99,255.0,255.0,240.0,250.0,11.01
2024-02-15,3300.0,250.0,264.97,264.97,237.99,238.0,12.0
2024-02-19,2500.0,238.0,238.9,238.9,238.9,238.9,0.9
2024-02-20,6500.0,238.9,221.11,239.95,221.11,239.95,1.05
2024-02-22,300.0,239.95,244.99,244.99,230.0,230.0,-9.95
2024-02-23,200.0,230.0,237.0,237.0,237.0,237.0,7.0
2024-02-26,100.0,237.0,220.0,220.0,220.0,237.0,0.0
2024-02-28,6400.0,237.0,220.0,254.78,220.0,254.78,17.78
2024-02-29,200.0,254.78,239.0,239.0,238.0,238.5,-16.28
2024-03-01,1600.0,238.5,238.89,253.99,238.89,253.99,15.49
2024-03-04,2700.0,253.99,249.99,250.0,235.01,240.0,-13.99
2024-03-06,1000.0,240.0,244.75,244.75,244.75,244.75,4.75
2024-03-07,1200.0,244.75,232.0,233.0,232.0,233.0,-11.75
2024-03-08,13700.0,233.0,236.0,250.48,236.0,239.69,6.69
2024-03-12,3600.0,239.69,243.0,243.0,239.0,239.0,-0.69
2024-03-13,900.0,239.0,224.0,233.95,222.0,233.48,-5.52
2024-03-14,400.0,233.48,236.0,238.99,236.0,237.5,4.02
2024-03-18,800.0,237.5,221.25,239.0,221.0,231.89,-5.61
2024-03-19,2700.0,231.89,224.0,229.0,221.21,226.37,-5.52
2024-03-20,400.0,226.37,229.0,229.9,229.0,229.36,2.99
2024-03-21,1000.0,229.36,0.0,0.0,0.0,229.36,0.0
2024-03-25,1000.0,229.36,229.85,229.85,229.85,229.85,0.49
2024-03-26,1200.0,229.85,228.9,237.0,228.9,232.95,3.1
2024-03-27,10200.0,232.95,225.0,225.0,215.48,219.95,13.0
2024-03-28,500.0,219.95,220.0,222.95,220.0,222.95,3.0
2024-03-29,200.0,222.95,229.0,229.0,229.0,229.0,6.05
2024-04-03,1300.0,229.0,229.0,235.0,224.0,227.0,2.0
