Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2025-06-30,90.0,34.96,34.26,34.26,34.26,34.96,0.0
2025-07-11,365.0,44.11,48.0,48.52,45.0,45.09,0.98
2025-07-16,106.0,45.09,49.6,49.6,44.25,45.09,0.0
2025-07-17,2.0,45.09,49.6,49.6,49.6,45.09,0.0
2025-07-18,1649.0,45.09,49.57,49.57,41.01,41.01,-4.08
2025-07-21,3.0,41.01,45.11,45.11,45.11,43.58,2.57
2025-07-22,156.0,43.58,47.94,47.94,43.91,43.58,0.0
2025-07-23,4.0,43.58,47.0,47.0,47.0,43.58,0.0
2025-07-29,50.0,43.58,44.25,44.25,44.25,43.58,0.0
2025-08-07,10.0,43.58,45.0,45.0,45.0,43.58,0.0
2025-08-12,20.0,43.58,47.94,47.94,45.01,43.58,0.0
2025-08-15,4.0,43.58,43.05,43.05,43.05,43.58,0.0
2025-08-18,96.0,43.58,47.94,47.94,47.94,44.6,1.02
2025-08-19,9.0,44.6,49.05,49.06,49.05,47.97,3.37
2025-08-20,821.0,47.97,43.36,52.77,43.36,52.77,4.8
2025-08-21,550.0,52.77,58.05,58.05,47.51,49.01,-3.76
2025-08-25,200.0,49.01,45.5,45.5,45.5,49.01,0.0
2025-08-26,202.0,49.01,47.0,47.0,45.3,49.01,0.0
2025-09-01,1.0,49.01,50.0,50.0,50.0,49.01,0.0
2025-09-04,114.0,49.01,53.0,53.9,46.5,49.01,0.0
2025-09-05,102.0,49.01,49.45,53.9,48.0,49.01,0.0
2025-09-08,4.0,49.01,53.9,53.9,53.9,49.01,0.0
2025-09-09,1.0,49.01,53.91,53.91,53.91,50.05,1.04
2025-09-10,1.0,50.05,55.06,55.06,55.06,53.15,3.1
2025-09-11,3.0,53.15,58.47,58.47,58.47,53.15,0.0
2025-09-12,1.0,53.15,58.47,58.47,58.47,53.15,0.0
2025-09-15,8.0,53.15,58.47,58.47,58.47,53.15,0.0
2025-09-16,1.0,53.15,58.47,58.47,58.47,54.89,1.74
2025-09-17,1.0,54.89,60.38,60.38,60.38,55.11,0.22
2025-09-18,5.0,55.11,60.62,60.62,60.62,60.61,5.5
2025-09-22,401.0,66.67,73.34,73.34,73.34,73.34,6.67
2025-09-23,201.0,73.34,80.67,80.67,80.67,80.67,7.33
2025-09-24,6.0,80.67,88.74,88.74,88.74,88.43,7.76
2025-09-25,715.0,88.43,97.27,97.27,80.0,83.07,-5.36
2025-09-26,2113.0,83.07,91.38,91.38,91.38,91.38,8.31
2025-09-29,618.0,91.38,100.52,100.52,100.52,100.52,9.14
2025-09-30,201.0,100.52,110.57,110.57,110.57,110.52,10.0
2025-10-01,2092.0,110.52,121.57,121.57,121.57,121.57,11.05
2025-10-02,821.0,121.57,133.73,133.73,122.0,133.73,12.16
2025-10-03,17756.0,133.73,147.1,147.1,135.0,147.1,13.37
2025-10-06,674.0,147.1,161.81,161.81,150.0,161.81,14.71
2025-10-07,928.0,161.81,177.99,177.99,177.99,177.99,16.18
2025-10-08,6366.0,177.99,195.79,195.79,160.19,195.79,17.8
2025-10-09,1819.0,195.79,214.99,215.37,214.98,215.37,19.58
2025-10-10,8100.0,215.37,215.37,236.91,195.0,236.91,21.54
2025-10-13,1706.0,236.91,260.0,260.6,236.91,260.6,23.69
2025-10-14,1230.0,260.6,286.66,286.66,260.6,271.88,11.28
2025-10-15,1827.0,271.88,270.0,298.0,244.69,261.57,-10.31
2025-10-16,6912.0,261.57,235.41,287.73,235.41,271.83,10.26
2025-10-17,879.0,271.83,297.0,297.0,260.25,269.15,-2.68
2025-10-20,2524.0,269.15,290.0,296.07,265.0,288.71,19.56
2025-10-21,921.0,288.71,270.0,300.0,270.0,300.0,11.29
2025-10-22,5739.0,300.0,329.99,330.0,270.0,271.98,-28.02
2025-10-23,18051.0,271.98,271.98,280.0,244.78,255.82,-16.16
2025-10-24,1393.0,255.82,268.0,268.0,231.0,254.33,-1.49
2025-10-27,6201.0,254.33,255.0,255.0,229.1,230.0,-24.33
2025-10-28,18148.0,230.0,211.0,253.0,210.0,252.68,22.68
2025-10-29,4840.0,252.68,252.68,274.0,227.41,227.83,-24.85
2025-10-30,572.0,227.83,227.84,240.0,227.83,230.73,2.9
