Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-01-01,829000.0,22.6,22.89,23.9,22.89,23.77,1.17
2024-01-02,463500.0,23.77,23.89,24.1,23.55,23.64,-0.13
2024-01-03,2322500.0,23.64,23.51,25.41,23.45,25.41,1.77
2024-01-04,3327500.0,25.41,26.12,26.74,25.35,25.87,0.46
2024-01-05,1826500.0,25.87,26.0,26.37,24.7,25.49,-0.38
2024-01-08,2651500.0,25.49,25.97,26.74,25.2,25.61,0.12
2024-01-09,1654000.0,25.61,25.98,26.1,24.51,24.83,-0.78
2024-01-10,1623000.0,24.83,25.0,25.35,24.4,24.54,-0.29
2024-01-11,1039000.0,24.54,24.21,25.15,24.21,24.57,0.03
2024-01-12,781000.0,24.57,24.73,25.15,24.56,24.9,0.33
2024-01-15,530500.0,24.9,25.26,25.26,24.66,24.98,0.08
2024-01-16,414000.0,24.98,24.67,24.94,24.52,24.82,-0.16
2024-01-17,1963000.0,24.82,24.75,25.4,24.5,24.76,-0.06
2024-01-18,787000.0,24.76,24.89,24.89,24.11,24.52,-0.24
2024-01-19,371000.0,24.52,24.95,24.95,24.36,24.6,0.08
2024-01-22,121000.0,24.6,24.5,24.69,24.25,24.45,-0.15
2024-01-23,268000.0,24.45,24.69,25.0,24.02,24.88,0.43
2024-01-24,524500.0,24.88,24.65,25.39,24.65,24.78,-0.1
2024-01-25,1658000.0,24.78,24.97,25.6,24.75,24.89,0.11
2024-01-26,329000.0,24.89,24.76,25.0,24.3,24.38,-0.51
2024-01-29,338500.0,24.38,24.21,24.42,23.9,23.93,-0.45
2024-01-30,271500.0,23.93,24.15,24.15,23.0,23.09,-0.84
2024-01-31,98500.0,23.09,23.35,23.47,23.1,23.21,0.12
2024-02-01,110500.0,23.21,23.27,23.55,23.0,23.42,0.21
2024-02-02,1821500.0,23.42,23.49,25.18,23.49,25.07,1.65
2024-02-06,543500.0,25.07,25.4,25.4,24.51,24.88,-0.19
2024-02-07,321500.0,24.88,24.65,25.0,24.65,24.86,-0.02
2024-02-09,80500.0,24.86,24.26,24.76,23.75,24.64,-0.22
2024-02-12,215500.0,24.64,24.6,24.6,23.8,23.9,-0.74
2024-02-13,747500.0,23.9,23.75,24.4,22.11,22.51,-1.39
