Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-01-01,83000.0,5.7,5.7,5.89,5.6,5.86,0.16
2024-01-02,32000.0,5.86,5.61,5.8,5.6,5.7,-0.16
2024-01-03,405500.0,5.7,5.7,5.89,5.4,5.6,-0.1
2024-01-04,107000.0,5.6,5.7,5.7,5.46,5.5,-0.1
2024-01-08,162500.0,5.57,5.5,5.79,5.42,5.55,-0.02
2024-01-12,154000.0,5.67,6.05,6.16,5.75,5.81,0.14
2024-01-18,890500.0,6.01,6.1,6.25,5.95,6.01,0.0
2024-01-19,244000.0,6.01,6.24,6.45,5.88,5.9,-0.11
2024-01-22,143000.0,5.9,5.9,6.2,5.8,5.85,-0.05
2024-01-23,955500.0,5.85,5.95,6.1,5.85,5.95,0.1
2024-01-26,150500.0,5.81,5.73,6.0,5.73,5.82,0.01
2024-01-29,503500.0,5.82,5.81,5.89,5.47,5.5,-0.32
2024-01-30,114500.0,5.5,5.78,5.78,5.41,5.44,-0.06
2024-01-31,278500.0,5.44,5.46,5.6,5.4,5.53,0.09
2024-02-01,41000.0,5.53,5.44,5.53,5.42,5.42,-0.11
2024-02-02,87000.0,5.42,5.45,5.59,5.41,5.48,0.06
2024-02-07,330000.0,5.61,5.75,5.85,5.55,5.6,-0.01
2024-02-13,276500.0,5.21,5.05,5.39,5.05,5.38,0.17
2024-02-14,238500.0,5.38,5.64,5.65,5.4,5.43,0.05
2024-02-15,196500.0,5.43,5.25,5.72,5.25,5.35,-0.08
2024-02-16,58000.0,5.35,5.49,5.5,5.27,5.3,-0.05
2024-02-19,45000.0,5.3,5.3,5.35,5.3,5.31,0.01
2024-02-20,87000.0,5.31,5.35,5.5,5.22,5.23,-0.08
2024-02-21,93500.0,5.23,5.55,5.55,5.2,5.29,0.06
2024-02-22,138500.0,5.29,5.23,5.52,5.16,5.24,-0.05
2024-02-23,178000.0,5.24,5.29,5.5,5.2,5.25,0.01
2024-02-26,424000.0,5.25,5.22,5.5,5.21,5.41,0.16
2024-02-27,615500.0,5.41,5.58,5.58,5.21,5.3,-0.11
2024-02-28,388500.0,5.3,5.45,5.45,5.2,5.37,0.07
2024-02-29,107500.0,5.37,5.59,5.59,5.3,5.33,-0.04
2024-03-01,80000.0,5.33,5.3,5.49,5.25,5.39,0.06
2024-03-04,61000.0,5.39,5.4,5.4,5.33,5.35,-0.04
2024-03-05,49000.0,5.35,5.32,5.32,5.25,5.27,-0.08
2024-03-06,285000.0,5.27,5.23,5.31,5.21,5.31,0.04
2024-03-07,63500.0,5.31,5.4,5.45,5.23,5.3,-0.01
