Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-01-19,500.0,11.05,12.05,12.05,12.05,12.05,1.0
2024-01-22,500.0,12.05,13.05,13.05,13.05,13.05,1.0
2024-01-23,1000.0,13.05,12.05,14.05,12.05,14.05,1.0
2024-03-12,500.0,15.0,16.13,16.13,16.13,16.13,1.13
2024-03-29,500.0,16.13,17.34,17.34,17.34,17.34,1.21
2024-04-01,500.0,17.34,18.64,18.64,18.64,18.64,1.3
2024-05-09,1000.0,16.0,15.0,15.0,15.0,15.0,1.0
2024-06-03,540.0,12.92,11.89,13.9,11.89,11.91,-1.01
2024-06-04,296.0,11.91,12.9,12.9,11.91,11.91,0.0
2024-06-07,1.0,11.91,12.5,12.5,12.5,11.91,0.0
2024-06-11,25093.0,11.91,11.91,12.92,11.91,12.92,1.01
2024-06-12,25162.0,12.92,12.05,14.02,12.05,13.98,1.06
2024-06-13,14600.0,13.98,15.0,15.17,13.0,15.01,1.03
2024-06-14,21000.0,15.01,16.2,16.29,16.2,16.28,1.27
2024-06-20,2174.0,16.28,17.6,17.66,17.0,17.61,1.33
2024-06-21,10847.0,17.61,19.11,19.11,16.11,19.08,1.47
2024-06-24,1000.0,19.08,20.75,20.75,20.46,20.46,1.38
2024-06-25,2650.0,20.46,22.3,22.3,18.66,22.19,1.73
2024-06-26,11564.0,22.19,24.14,24.19,20.2,23.93,1.74
2024-06-27,10723.0,23.93,26.08,26.08,25.05,26.08,2.15
2024-06-28,14250.0,26.08,28.0,28.43,23.75,28.35,2.27
2024-07-01,4888.0,28.35,30.9,30.9,27.51,29.0,0.65
2024-07-02,5013.0,29.0,29.95,31.31,26.45,30.31,1.31
2024-07-03,18504.0,30.31,27.59,31.0,27.58,30.85,0.54
2024-07-04,2409.0,30.85,28.13,32.2,28.13,30.74,-0.11
2024-07-05,2603.0,30.74,29.99,30.0,27.98,28.31,-2.43
2024-07-08,2817.0,28.31,30.7,31.0,30.7,31.0,2.69
2024-07-09,5673.0,31.0,30.0,30.0,28.06,28.45,-2.55
2024-07-10,582.0,28.45,26.62,26.62,25.75,25.8,-2.65
2024-07-11,19559.0,25.8,27.9,28.25,23.35,26.46,0.66
2024-07-12,525.0,26.46,28.45,28.45,28.45,26.46,0.0
2024-07-15,7861.0,26.46,27.5,28.85,24.1,24.22,-2.24
2024-07-18,1525.0,24.22,25.4,26.52,25.4,26.49,2.27
2024-07-19,5415.0,26.49,29.01,29.01,28.0,28.9,2.41
2024-07-22,1472.0,28.9,29.0,29.0,27.0,27.05,-1.85
2024-07-23,6013.0,27.05,24.37,29.76,24.37,29.3,2.25
2024-07-24,2500.0,29.3,30.0,32.23,30.0,30.1,0.8
2024-07-25,117.0,30.1,31.85,31.85,27.1,30.1,0.0
2024-07-26,1.0,30.1,31.99,31.99,31.99,30.1,0.0
2024-07-29,575.0,30.1,31.85,31.9,27.5,31.48,1.38
2024-07-30,56.0,31.48,28.5,28.5,28.33,31.48,0.0
2024-07-31,5000.0,31.48,31.0,34.63,31.0,32.19,0.71
2024-08-01,18251.0,32.19,31.0,35.4,28.97,32.85,0.66
2024-08-02,25772.0,32.85,32.0,34.84,29.57,34.83,1.98
2024-08-05,27420.0,34.83,32.02,32.99,31.35,32.24,-2.59
2024-08-06,8825.0,32.24,32.99,34.5,30.0,34.02,1.78
2024-08-07,14568.0,34.02,32.0,35.84,30.81,34.24,0.22
2024-08-08,2011.0,34.24,31.65,35.39,31.65,34.2,-0.04
2024-08-09,51.0,34.2,36.0,36.0,35.0,34.2,0.0
2024-08-12,7573.0,34.2,31.25,36.45,31.25,35.01,0.81
2024-08-15,500.0,35.01,33.01,33.01,33.01,33.01,2.0
2024-08-19,4527.0,33.01,35.0,36.31,34.5,36.0,2.99
2024-08-20,2651.0,36.0,39.5,39.5,38.95,39.44,3.44
2024-08-21,3102.0,39.44,39.5,42.95,39.0,39.14,-0.3
2024-08-22,2653.0,39.14,38.98,40.0,36.56,39.84,0.7
2024-08-23,1827.0,39.84,40.0,43.82,40.0,42.81,2.97
2024-08-26,7.0,42.81,46.0,46.0,40.0,42.81,0.0
2024-08-27,2.0,42.81,45.9,45.9,45.9,42.81,0.0
2024-08-28,70.0,42.81,46.0,46.0,38.56,42.81,0.0
2024-08-29,1.0,42.81,45.99,45.99,45.99,42.81,0.0
2024-08-30,3169.0,42.81,38.53,45.94,38.53,43.75,0.94
2024-09-02,8920.0,43.75,40.26,43.85,39.38,41.79,-1.96
2024-09-03,6704.0,41.79,37.61,44.9,37.61,43.1,1.31
2024-09-04,3104.0,43.1,41.0,41.0,39.0,39.0,-4.1
2024-09-05,2000.0,39.0,41.95,41.95,41.95,41.95,2.95
2024-09-06,4325.0,41.95,38.01,41.75,37.76,37.92,-4.03
2024-09-12,5200.0,37.92,38.95,41.71,36.55,40.59,2.67
2024-09-13,2505.0,40.59,39.0,41.0,37.01,41.0,0.41
2024-09-16,3000.0,41.0,40.95,41.0,40.95,41.0,0.0
2024-09-19,36.0,41.0,37.57,37.57,37.57,41.0,0.0
2024-09-23,57.0,41.0,37.11,37.11,37.1,41.0,0.0
2024-09-24,6.0,41.0,37.02,37.02,37.02,41.0,0.0
2024-09-25,111.0,41.0,37.11,41.99,37.11,41.0,0.0
2024-09-26,82.0,41.0,37.01,37.01,37.01,41.0,0.0
2024-09-27,116.0,41.0,37.26,37.26,36.9,41.0,0.0
2024-09-30,2034.0,41.0,36.9,42.0,36.9,41.34,0.34
2024-10-02,5150.0,41.34,37.27,45.0,37.26,42.57,1.23
2024-10-03,8217.0,42.57,39.51,43.95,39.0,42.71,0.14
2024-10-04,1010.0,42.71,0.0,0.0,0.0,42.71,0.0
2024-10-07,4603.0,42.71,42.85,44.9,40.11,44.0,1.29
2024-10-08,3.0,44.0,41.2,41.2,41.2,44.0,0.0
2024-10-09,10880.0,44.0,40.26,41.75,39.6,39.77,-4.23
2024-10-10,2100.0,39.77,40.95,40.95,40.95,40.95,1.18
2024-10-11,4500.0,40.95,37.01,43.99,37.01,43.03,2.08
2024-10-16,1540.0,43.03,40.01,41.3,40.0,40.0,-3.03
2024-10-18,11183.0,40.0,36.26,41.12,36.0,38.99,-1.01
2024-10-22,6242.0,38.99,39.95,42.5,39.95,41.63,2.64
2024-10-24,2600.0,41.63,44.0,44.0,44.0,41.63,0.0
2024-10-25,784.0,41.63,38.01,43.98,38.01,43.98,2.35
2024-10-28,500.0,43.98,39.77,39.77,39.76,39.76,-4.22
2024-10-29,2000.0,39.76,41.99,42.0,41.99,42.0,2.24
2024-11-04,100.0,42.0,42.0,42.0,42.0,42.0,0.0
2024-11-06,765.0,42.0,41.0,42.99,41.0,41.99,-0.01
2024-11-07,1622.0,41.99,37.8,42.0,37.8,41.95,-0.04
2024-11-13,6016.0,41.95,42.0,45.0,40.01,43.1,1.15
2024-11-14,2016.0,43.1,43.0,46.75,41.51,46.03,2.93
2024-11-15,518.0,46.03,42.25,48.0,42.25,47.9,1.87
2024-11-18,505.0,47.9,49.45,49.45,49.45,49.45,1.55
2024-11-20,113.0,49.45,49.7,50.25,45.0,49.45,0.0
2024-11-21,5619.0,49.45,45.0,54.25,44.56,49.92,0.47
2024-11-26,1000.0,49.92,50.0,50.0,50.0,50.0,0.08
2024-11-28,1002.0,50.0,45.01,50.0,45.01,48.25,-1.75
2024-12-02,3.0,48.25,48.1,52.0,48.1,48.25,0.0
2024-12-04,4.0,48.25,47.0,47.0,46.26,48.25,0.0
2024-12-11,486.0,48.25,44.5,52.89,44.5,48.25,0.0
2024-12-12,13.0,48.25,50.0,50.0,50.0,48.25,0.0
2024-12-17,3.0,48.25,48.02,48.02,48.02,48.25,0.0
2024-12-18,601.0,48.25,44.26,44.26,44.25,44.25,4.0
2024-12-19,850.0,44.25,44.02,48.55,40.0,46.59,2.34
2024-12-20,1.0,46.59,41.93,41.93,41.93,46.59,0.0
2024-12-23,100.0,46.59,42.01,42.01,42.01,46.59,0.0
2024-12-26,501.0,46.59,51.25,51.25,51.25,51.25,4.66
2024-12-27,18.0,51.25,50.01,56.0,50.01,51.25,0.0
