Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-01-01,651000.0,3.36,3.02,4.0,3.0,3.72,0.36
2024-01-02,446000.0,3.72,3.6,3.99,3.51,3.82,0.1
2024-01-03,568000.0,3.82,3.9,4.19,3.52,3.82,0.0
2024-01-04,72500.0,3.82,3.55,3.9,3.55,3.75,-0.07
2024-01-08,1036500.0,3.58,3.55,4.57,3.55,3.92,0.34
2024-01-12,159500.0,3.9,3.95,4.25,3.7,4.02,0.12
2024-01-18,45000.0,3.85,3.98,3.98,3.56,3.74,-0.11
2024-01-19,215000.0,3.74,3.79,4.35,3.6,3.81,0.07
2024-01-22,34500.0,3.81,3.77,4.0,3.68,3.89,0.08
2024-01-23,5000.0,3.89,3.8,4.1,3.8,3.9,0.01
2024-01-26,37000.0,3.88,3.8,3.84,3.5,3.59,-0.29
2024-01-29,46500.0,3.59,3.43,3.57,3.21,3.43,-0.16
2024-01-30,28500.0,3.43,3.7,3.7,3.46,3.47,0.04
2024-01-31,36500.0,3.47,3.5,3.72,3.31,3.58,0.11
2024-02-01,1500.0,3.58,3.64,3.64,3.41,3.56,-0.02
2024-02-02,4000.0,3.56,3.65,3.65,3.44,3.44,-0.12
2024-02-07,12000.0,3.52,3.55,3.7,3.55,3.7,0.18
2024-02-13,5000.0,3.39,2.81,3.35,2.81,3.34,-0.05
2024-02-14,12000.0,3.34,3.31,3.62,3.31,3.62,0.28
2024-02-15,38000.0,3.62,3.51,3.6,3.25,3.51,-0.11
2024-02-19,27000.0,3.51,3.52,3.65,3.51,3.58,0.07
2024-02-20,13500.0,3.58,3.51,3.51,3.5,3.5,-0.08
2024-02-21,1000.0,3.5,3.25,3.25,3.25,3.25,-0.25
2024-02-22,19000.0,3.25,3.53,3.53,3.51,3.51,0.26
2024-02-23,29000.0,3.51,3.2,4.44,3.19,3.64,0.13
2024-02-26,7500.0,3.64,3.63,3.63,3.35,3.41,-0.23
2024-02-27,11000.0,3.41,3.4,3.6,3.31,3.57,0.16
2024-02-28,15500.0,3.57,3.59,3.61,3.37,3.6,0.03
2024-02-29,39000.0,3.6,3.7,3.74,3.6,3.6,0.0
2024-03-01,41000.0,3.6,3.68,3.9,3.51,3.88,0.28
2024-03-04,48000.0,3.88,3.9,4.21,3.8,3.8,-0.08
2024-03-05,4000.0,3.8,3.8,3.8,3.52,3.6,-0.2
2024-03-06,9500.0,3.6,3.92,3.94,3.58,3.7,0.1
2024-03-07,1500.0,3.7,3.78,3.78,3.78,3.78,0.08
2024-03-08,13000.0,3.78,3.84,4.0,3.84,3.95,0.17
2024-03-11,54500.0,3.95,3.6,3.99,2.98,3.91,-0.04
2024-03-13,2000.0,3.91,3.4,3.87,3.4,3.52,-0.39
2024-03-15,500.0,3.52,3.92,3.92,3.92,3.92,0.4
2024-03-18,1500.0,3.92,3.6,3.6,3.6,3.6,-0.32
2024-03-19,11000.0,3.6,3.6,3.8,3.6,3.8,0.2
2024-03-20,44000.0,3.8,3.6,3.61,3.6,3.6,-0.2
2024-03-21,2500.0,3.6,3.5,3.51,3.5,3.5,-0.1
2024-03-22,5500.0,3.5,3.31,3.41,3.21,3.41,-0.09
2024-03-26,89000.0,3.41,3.42,3.42,3.01,3.16,-0.25
2024-03-27,10500.0,3.16,3.3,3.3,3.3,3.3,0.14
2024-03-28,46500.0,3.3,3.13,3.25,3.12,3.15,-0.15
2024-03-29,8000.0,3.15,3.01,3.01,3.01,3.01,-0.14
2024-04-01,6500.0,3.01,3.2,3.29,3.17,3.29,0.28
