Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-01-01,2518691.0,112.23,112.65,116.1,112.65,115.62,3.39
2024-01-02,1484435.0,115.62,116.1,116.5,114.35,114.84,-0.78
2024-01-03,1808192.0,114.84,114.5,116.5,114.0,115.87,1.03
2024-01-04,2796089.0,115.87,116.75,118.88,116.65,117.42,1.55
2024-01-05,989507.0,117.42,117.9,117.9,115.5,117.35,-0.07
2024-01-08,4946862.0,117.35,118.0,124.39,116.9,121.54,4.19
2024-01-09,1882529.0,121.54,122.5,124.24,121.35,123.46,1.92
2024-01-10,1970341.0,123.46,123.9,123.99,121.1,121.78,-1.68
2024-01-11,579611.0,121.78,122.09,122.1,120.66,121.45,-0.33
2024-01-12,4231999.0,121.45,121.01,124.65,121.01,123.24,1.79
2024-01-15,1507186.0,123.24,124.0,124.4,119.84,120.22,-3.02
2024-01-16,642443.0,120.22,120.9,120.9,118.0,119.38,-0.84
2024-01-17,6132570.0,119.38,119.39,122.89,118.0,122.62,3.24
2024-01-18,2344364.0,122.62,122.75,122.95,120.55,121.45,-1.17
2024-01-19,505878.0,121.45,121.95,122.5,121.0,121.22,-0.23
2024-01-22,558328.0,121.22,121.25,122.25,121.0,122.12,0.9
2024-01-23,5102626.0,122.12,122.4,128.0,122.11,127.24,5.12
2024-01-24,4192497.0,127.24,128.0,130.49,126.53,127.26,0.02
2024-01-25,11294695.0,127.26,127.0,130.0,125.75,129.39,2.13
2024-01-26,5227550.0,129.39,128.8,130.05,127.5,128.38,-1.01
2024-01-29,2212702.0,128.38,128.5,128.5,122.22,123.07,-5.31
2024-01-30,1199993.0,123.07,123.0,124.95,121.4,121.85,-1.22
2024-01-31,536473.0,121.85,122.2,123.15,121.8,122.13,0.28
2024-02-01,735646.0,122.13,122.0,122.7,120.1,120.46,-1.67
2024-02-02,1090638.0,120.46,121.0,124.8,120.6,124.16,3.7
2024-02-06,872956.0,124.16,125.0,127.17,123.65,126.41,2.25
2024-02-07,947362.0,126.41,127.0,128.75,125.5,127.8,1.39
2024-02-09,1424135.0,127.8,127.0,127.0,122.25,124.81,-2.99
2024-02-12,1506655.0,124.81,124.49,124.49,120.2,121.38,-3.43
2024-02-13,1820765.0,121.38,121.4,126.3,120.05,125.56,4.18
2024-02-14,4763095.0,125.56,125.5,129.8,125.5,128.74,3.18
2024-02-15,2672703.0,128.74,129.89,130.0,125.92,127.18,-1.56
2024-02-16,10886102.0,127.18,130.62,134.5,127.25,129.88,2.7
2024-02-19,2123177.0,129.88,129.0,132.0,128.0,131.03,1.15
2024-02-20,1913074.0,131.03,131.5,132.4,129.31,129.93,-1.1
2024-02-21,1974214.0,129.93,130.95,132.45,130.95,132.02,2.09
2024-02-22,3579931.0,132.02,132.05,136.54,131.18,134.95,2.93
2024-02-23,180.0,135.03,135.4,136.49,133.0,135.67,0.64
2024-02-26,1564344.0,135.17,135.2,136.5,134.15,135.39,0.22
2024-02-27,878412.0,135.39,135.0,137.5,134.6,136.54,1.15
2024-02-28,5551847.0,136.54,136.84,142.0,136.0,140.3,3.76
2024-02-29,9034636.0,140.3,140.97,147.9,140.95,146.82,6.52
2024-03-01,4169314.0,146.82,146.7,149.45,144.65,146.65,-0.17
