Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-10-18,3.0,78.42,73.0,73.0,73.0,78.42,0.0
2024-10-21,499.0,78.42,83.0,83.0,72.0,74.44,-3.98
2024-10-22,434.0,74.44,77.77,81.88,77.77,81.87,7.43
2024-10-23,2002.0,81.87,87.0,87.0,81.87,87.0,5.13
2024-10-24,427.0,87.0,78.5,90.0,78.5,89.43,2.43
2024-10-28,17.0,89.43,89.43,89.43,89.43,89.43,0.0
2024-10-29,200.0,89.43,87.0,87.0,87.0,89.43,0.0
2024-10-30,206.0,89.43,90.0,90.0,89.0,89.43,0.0
2024-10-31,150.0,89.43,89.0,89.0,89.0,89.43,0.0
2024-11-01,587.0,89.43,89.0,89.15,89.0,89.07,-0.36
2024-11-04,500.0,89.07,89.0,89.0,89.0,89.0,-0.07
2024-11-05,137.0,89.0,89.0,92.29,89.0,89.0,0.0
2025-10-20,705.0,107.12,110.0,110.0,110.0,110.0,2.88
2025-10-21,3579.0,110.0,107.0,121.0,102.0,114.63,4.63
2025-10-22,2153.0,114.63,110.0,114.0,110.0,110.19,-4.44
2025-10-23,2301.0,110.19,110.56,110.56,110.0,110.0,-0.19
2025-10-24,2008.0,110.0,110.0,110.0,106.0,109.98,-0.02
2025-10-27,1200.0,109.98,112.0,112.9,112.0,112.0,2.02
2025-10-28,3025.0,112.0,110.0,110.01,109.0,109.0,3.0
2025-10-29,1.0,109.0,106.0,106.0,106.0,109.0,0.0
2025-10-30,599.0,109.0,112.53,112.53,110.0,110.0,1.0
2025-10-31,27025.0,110.0,114.0,121.0,114.0,121.0,11.0
2025-11-03,450.0,121.0,127.05,127.05,111.0,114.43,-6.57
2025-11-04,1100.0,114.43,115.0,115.0,110.0,110.0,-4.43
2025-11-05,2974.0,110.0,110.0,114.0,109.0,110.7,0.7
2025-11-06,4.0,110.7,112.0,114.0,112.0,110.7,0.0
