Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-01-01,4000.0,37.01,37.0,39.36,37.0,38.74,1.73
2024-01-02,3000.0,38.74,37.55,37.55,37.5,37.5,-1.24
2024-01-04,16500.0,37.5,38.0,38.0,38.0,38.0,0.5
2024-01-05,6000.0,38.0,39.0,39.0,37.0,37.0,1.0
2024-01-08,11000.0,37.0,37.0,37.0,37.0,37.0,0.0
2024-01-09,3000.0,37.0,39.0,39.0,37.0,37.0,0.0
2024-01-10,500.0,37.0,37.01,37.01,37.01,37.01,0.01
2024-01-11,500.0,37.01,38.33,38.33,38.33,38.33,1.32
2024-01-12,1500.0,38.33,36.45,36.46,36.45,36.46,-1.87
2024-01-19,1500.0,36.46,35.1,35.1,35.1,35.1,-1.36
2024-01-23,4500.0,35.1,33.19,36.86,33.0,36.86,1.76
2024-01-25,2000.0,36.86,35.0,35.0,35.0,35.0,-1.86
2024-02-07,41500.0,35.0,0.0,0.0,0.0,35.0,0.0
2024-02-09,10000.0,35.0,0.0,0.0,0.0,35.0,0.0
2024-02-12,42000.0,35.0,37.0,37.0,37.0,37.0,2.0
2024-02-20,500.0,37.0,38.56,38.56,38.56,38.56,1.56
2024-02-21,1500.0,38.56,37.0,38.5,37.0,38.5,-0.06
2024-02-22,10500.0,38.5,35.61,37.99,35.61,36.94,-1.56
2024-02-23,500.0,36.94,39.0,39.0,39.0,39.0,2.06
2024-03-05,10000.0,39.0,0.0,0.0,0.0,39.0,0.0
2024-03-06,3000.0,39.0,0.0,0.0,0.0,39.0,0.0
2024-03-07,1500.0,39.0,40.0,40.0,36.08,39.26,0.26
2024-03-08,26000.0,39.26,36.32,36.4,36.32,36.32,-2.94
2024-03-11,1500.0,36.32,35.0,35.0,35.0,35.0,-1.32
2024-03-12,2000.0,35.0,33.01,35.5,33.01,35.5,0.5
2024-03-14,1500.0,35.5,0.0,0.0,0.0,35.5,0.0
2024-03-19,500.0,35.5,33.09,33.09,33.09,33.09,-2.41
2024-03-21,500.0,33.09,33.0,33.0,33.0,33.0,-0.09
2024-03-22,1000.0,33.0,33.25,33.25,33.25,33.25,0.25
2024-03-25,500.0,33.25,0.0,0.0,0.0,33.25,0.0
2024-03-27,13500.0,33.25,0.0,0.0,0.0,33.25,0.0
2024-03-28,4500.0,33.25,31.5,31.5,31.15,31.49,-1.76
2024-03-29,25000.0,31.49,0.0,0.0,0.0,31.49,0.0
2024-04-01,26000.0,31.49,33.85,33.85,33.84,33.85,2.36
2024-04-02,134000.0,33.85,36.39,36.39,35.17,36.39,2.54
2024-04-03,49500.0,36.39,38.88,39.0,36.5,37.15,0.76
2024-04-04,33000.0,37.15,37.0,37.01,37.0,37.0,-0.15
2024-04-08,6000.0,37.0,37.0,37.0,36.0,36.2,-0.8
2024-04-09,7500.0,36.2,36.5,36.5,36.25,36.5,0.3
2024-04-15,10000.0,36.5,0.0,0.0,0.0,36.5,0.0
2024-04-22,2000.0,36.5,34.5,35.0,34.5,34.88,-1.62
2024-04-23,2000.0,34.88,36.5,36.5,36.5,36.5,1.62
2024-04-25,500.0,36.5,36.95,36.95,36.95,36.95,0.45
2024-04-29,6000.0,36.95,34.51,34.51,34.18,34.18,-2.77
2024-04-30,10000.0,34.18,32.2,32.99,31.62,32.99,-1.19
2024-05-02,12500.0,32.99,30.61,31.0,30.52,30.55,-2.44
2024-05-03,2500.0,30.55,30.01,31.5,30.01,31.0,0.45
2024-05-06,1000.0,31.0,30.01,30.87,30.01,30.87,-0.13
2024-05-07,500.0,30.87,30.11,30.11,30.11,30.11,-0.76
2024-05-08,1000.0,30.11,29.51,29.51,29.51,29.51,-0.6
