Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-01-01,345186.0,294.91,295.02,301.9,295.02,299.33,4.42
2024-01-02,403982.0,299.33,302.0,303.0,295.0,295.84,-3.49
2024-01-03,280908.0,295.84,296.9,300.8,294.4,296.8,0.96
2024-01-04,1091669.0,296.8,299.0,303.99,298.0,300.28,3.48
2024-01-05,287334.0,300.28,299.02,299.98,294.93,296.11,-4.17
2024-01-08,2091918.0,296.11,299.99,316.45,299.99,314.88,18.77
2024-01-09,1056209.0,314.88,316.0,323.5,316.0,319.09,4.21
2024-01-10,502738.0,319.09,320.47,321.5,312.05,313.55,-5.54
2024-01-11,1009273.0,313.55,312.99,313.99,309.05,309.69,-3.86
2024-01-12,1046365.0,309.69,312.0,314.88,309.05,310.8,1.11
2024-01-15,269017.0,310.8,311.9,313.0,309.0,309.99,-0.81
2024-01-16,291600.0,309.99,311.73,311.73,305.7,306.35,-3.64
2024-01-17,2822558.0,306.35,307.7,317.75,306.01,316.16,9.81
2024-01-18,1113839.0,316.16,317.0,318.8,311.0,318.16,2.0
2024-01-19,927204.0,318.16,316.0,328.0,316.0,323.52,5.36
2024-01-22,16.0,331.14,328.0,328.0,327.0,327.0,-4.14
2024-01-23,732014.0,322.73,322.75,327.4,321.0,325.98,3.25
2024-01-24,660605.0,325.98,326.16,328.0,324.5,325.85,-0.13
2024-01-25,3959018.0,325.85,325.0,334.4,325.0,332.41,6.56
2024-01-26,656175.0,332.41,332.03,333.5,328.01,329.07,-3.34
2024-01-29,506294.0,329.07,327.05,329.7,320.1,322.67,-6.4
2024-01-30,1104177.0,322.67,322.67,323.5,311.0,313.41,-9.26
2024-01-31,226952.0,313.41,315.0,318.9,314.99,317.66,4.25
2024-02-01,367389.0,317.66,316.99,322.72,316.05,321.8,4.14
2024-02-02,414517.0,321.8,319.15,325.0,319.15,323.07,1.27
2024-02-06,258606.0,323.07,323.0,325.5,319.01,323.07,0.0
2024-02-07,263134.0,323.07,325.9,326.89,322.01,323.82,0.75
2024-02-09,413554.0,323.82,320.0,320.0,307.02,316.16,-7.66
2024-02-12,417799.0,316.16,316.2,316.2,308.11,310.14,-6.02
2024-02-13,474039.0,310.14,309.99,311.89,303.1,308.97,-1.17
2024-02-14,549907.0,308.97,310.18,317.99,310.18,316.71,7.74
2024-02-15,343153.0,316.71,317.0,318.99,307.5,309.62,-7.09
2024-02-16,437465.0,309.62,309.0,315.5,305.0,305.88,-3.74
2024-02-19,319277.0,305.88,307.0,312.5,300.52,310.41,4.53
2024-02-20,190394.0,310.41,310.62,315.5,310.0,310.87,0.46
2024-02-21,71.0,313.23,311.0,316.0,310.5,312.7,-0.53
2024-02-22,151684.0,313.31,314.99,314.99,311.0,313.8,0.49
2024-02-23,422905.0,313.8,313.8,316.0,308.0,313.81,0.01
2024-02-26,910136.0,313.81,308.1,320.0,306.0,315.74,1.93
2024-02-27,439495.0,315.74,318.0,324.01,315.01,317.4,1.66
2024-02-28,203722.0,317.4,319.2,320.99,318.0,319.36,1.96
2024-02-29,585865.0,319.36,320.0,327.5,320.0,323.48,4.12
2024-03-01,1314196.0,323.48,324.0,347.74,323.03,347.74,24.26
2024-03-04,1626507.0,347.74,350.0,360.25,348.11,350.58,2.84
2024-03-05,611066.0,350.58,351.0,358.97,346.1,350.06,-0.52
2024-03-06,590006.0,350.06,351.22,354.0,343.5,344.49,-5.57
2024-03-07,668692.0,344.49,343.3,346.4,336.01,341.12,-3.37
2024-03-08,1615015.0,341.12,341.0,352.95,341.0,342.69,1.57
2024-03-11,345799.0,342.69,343.98,344.0,338.0,339.51,-3.18
2024-03-12,168367.0,339.51,339.51,341.8,333.0,334.64,-4.87
2024-03-13,263066.0,334.64,335.98,339.0,331.0,334.17,-0.47
2024-03-14,203345.0,334.17,335.0,335.99,332.0,334.78,0.61
2024-03-15,160536.0,334.78,335.0,335.0,332.5,333.22,-1.56
2024-03-18,200236.0,333.22,335.7,338.0,332.0,334.02,0.8
2024-03-19,260574.0,334.02,336.0,337.94,332.02,337.15,3.13
2024-03-20,1477744.0,337.15,338.0,341.0,336.0,339.85,2.7
2024-03-21,345109.0,339.85,343.0,343.49,337.5,339.46,-0.39
2024-03-22,394483.0,339.46,338.02,342.45,338.02,340.13,0.67
2024-03-25,6.0,346.18,344.0,346.0,344.0,346.0,-0.18
2024-03-26,185309.0,340.33,339.5,344.39,335.5,342.93,2.6
2024-03-27,192726.0,342.93,344.0,348.5,343.01,347.56,4.63
2024-03-28,449220.0,347.56,348.99,362.99,348.0,354.06,6.5
2024-03-29,6.0,355.0,354.0,354.0,353.0,353.0,2.0
2024-04-01,134655.0,359.28,359.25,361.99,354.67,359.55,0.27
2024-04-02,77672.0,359.55,359.0,360.9,356.01,357.43,-2.12
2024-04-03,691686.0,357.43,358.3,381.1,358.3,374.89,17.46
2024-04-04,1028955.0,374.89,378.0,387.99,370.1,378.01,3.12
2024-04-08,350236.0,378.01,376.5,379.75,374.01,376.85,-1.16
2024-04-09,322213.0,376.85,377.5,378.88,369.0,371.93,-4.92
2024-04-15,438274.0,369.93,371.0,372.0,361.0,365.67,-4.26
2024-04-16,537878.0,365.67,366.0,372.0,361.96,364.37,-1.3
2024-04-17,279398.0,364.37,364.37,367.99,356.0,359.23,-5.14
2024-04-18,522011.0,359.23,363.7,365.9,354.5,360.23,1.0
2024-04-19,399148.0,360.23,362.0,366.35,360.0,365.31,5.08
2024-04-22,297759.0,365.31,363.0,366.1,363.0,364.51,-0.8
2024-04-23,41.0,366.5,364.0,369.0,364.0,366.75,0.25
2024-04-24,487717.0,364.38,363.0,368.64,363.0,364.98,0.6
2024-04-25,467124.0,364.98,364.01,369.99,361.01,362.72,-2.26
2024-04-26,1057509.0,362.72,362.72,372.9,361.01,369.1,6.38
2024-04-29,1403090.0,369.1,374.9,377.9,367.0,368.24,-0.86
2024-04-30,362760.0,368.24,370.85,370.85,367.06,369.01,0.77
2024-05-02,625600.0,369.01,370.0,371.25,362.8,363.47,-5.54
2024-05-03,394045.0,363.47,365.0,366.25,363.0,365.27,1.8
2024-05-06,1174284.0,365.27,366.3,375.9,366.3,372.41,7.14
2024-05-07,677883.0,361.41,365.0,367.0,359.5,360.08,-1.33
2024-05-08,451349.0,360.08,361.7,366.0,359.81,361.9,1.82
2024-05-09,569681.0,361.9,363.9,364.4,352.0,355.07,-6.83
2024-05-10,325431.0,355.07,355.31,356.85,332.2,347.15,-7.92
2024-05-13,305468.0,347.15,348.99,355.0,347.15,352.19,5.04
2024-05-14,276702.0,352.19,352.5,358.0,348.06,354.31,2.12
2024-05-15,414895.0,354.31,355.0,359.01,349.85,350.89,-3.42
2024-05-16,232263.0,350.89,353.0,353.25,349.2,349.84,-1.05
2024-05-17,186892.0,349.84,349.98,355.0,349.5,351.17,1.33
2024-05-20,241655.0,351.17,352.9,353.9,340.66,344.4,-6.77
2024-05-21,195994.0,344.4,346.0,347.7,342.1,344.34,-0.06
2024-05-22,213276.0,344.34,343.79,345.98,336.0,339.44,-4.9
2024-05-23,165590.0,339.44,340.0,340.0,336.0,337.77,-1.67
2024-05-24,266168.0,337.77,339.4,343.9,336.1,338.71,0.94
2024-05-27,411150.0,338.71,340.99,340.99,335.8,336.69,-2.02
2024-05-29,668285.0,336.69,336.9,338.7,330.0,331.5,-5.19
2024-05-30,387926.0,331.5,333.99,333.99,326.75,327.66,-3.84
2024-05-31,563402.0,327.66,327.75,340.0,327.66,336.15,8.49
2024-06-03,255656.0,336.15,335.49,337.99,330.9,332.05,-4.1
2024-06-04,315903.0,332.05,332.98,333.99,326.9,327.82,-4.23
2024-06-05,244000.0,327.82,327.82,330.5,323.33,326.43,-1.39
2024-06-06,132107.0,326.43,324.52,330.5,324.52,327.78,1.35
2024-06-07,262081.0,327.78,327.0,332.0,317.2,326.08,-1.7
2024-06-10,124360.0,326.08,328.5,328.5,321.0,324.07,-2.01
2024-06-11,403643.0,324.07,325.99,325.99,316.01,319.7,-4.37
2024-06-12,258913.0,319.7,322.0,325.0,317.5,322.87,3.17
2024-06-13,571874.0,322.87,323.0,334.98,323.0,331.39,8.52
2024-06-14,283340.0,331.39,335.88,340.5,330.0,334.46,3.07
2024-06-20,221355.0,334.46,330.0,341.96,330.0,337.48,3.02
2024-06-21,10.0,345.74,335.01,335.01,335.01,335.01,-10.73
2024-06-24,497287.0,330.79,331.15,335.12,328.51,329.91,-0.88
2024-06-25,359452.0,329.91,331.89,337.99,331.85,336.84,6.93
2024-06-26,265174.0,336.84,336.12,341.9,336.07,337.12,0.28
2024-06-27,151427.0,337.12,338.0,339.99,331.5,332.11,-5.01
2024-06-28,156302.0,332.11,331.1,334.9,331.1,332.71,0.6
2024-07-01,251278.0,332.71,334.0,335.5,328.5,329.15,-3.56
2024-07-02,991298.0,329.15,329.16,333.5,329.16,330.26,1.11
2024-07-03,290312.0,330.26,332.9,333.35,330.0,330.89,0.63
2024-07-04,315784.0,330.89,331.25,333.45,328.99,330.31,-0.58
2024-07-05,332743.0,330.31,330.31,332.5,325.0,327.79,-2.52
2024-07-08,56393.0,327.79,328.0,329.8,326.26,327.09,-0.7
2024-07-09,190989.0,327.09,328.0,329.5,326.0,327.09,0.0
2024-07-10,220517.0,327.09,328.99,329.47,325.0,325.16,-1.93
2024-07-11,96615.0,325.16,327.0,327.0,323.36,325.96,0.8
2024-07-12,149778.0,325.96,325.0,327.0,321.9,326.03,0.07
2024-07-15,739891.0,326.03,331.33,336.0,330.15,334.58,8.55
2024-07-18,828421.0,334.58,335.0,350.0,334.6,348.66,14.08
2024-07-19,473413.0,348.66,348.95,349.4,338.11,340.75,-7.91
2024-07-22,360490.0,340.75,335.0,339.75,328.0,329.38,-11.37
2024-07-23,241655.0,329.38,330.0,336.01,329.5,332.23,2.85
2024-07-24,151563.0,332.23,336.0,337.25,332.2,334.93,2.7
2024-07-25,285598.0,334.93,335.0,337.0,330.0,330.42,-4.51
2024-07-26,185186.0,330.42,330.0,333.0,329.0,329.9,-0.52
2024-07-29,304169.0,329.9,326.01,332.5,326.01,327.89,-2.01
2024-07-30,221434.0,327.89,330.0,330.95,328.99,329.88,1.99
2024-07-31,315092.0,329.88,326.99,333.5,326.1,331.78,1.9
2024-08-01,97376.0,331.78,330.02,332.45,329.0,330.82,-0.96
2024-08-02,51779.0,330.82,329.11,333.0,329.11,332.19,1.37
2024-08-05,154363.0,332.19,332.0,332.0,328.92,329.48,-2.71
2024-08-06,379824.0,329.48,330.0,333.75,327.1,332.91,3.43
2024-08-07,180795.0,332.91,333.33,338.5,333.33,335.19,2.28
2024-08-08,55640.0,335.19,332.0,335.92,332.0,333.7,-1.49
2024-08-09,107417.0,333.7,333.01,338.0,333.01,336.0,2.3
2024-08-12,87136.0,336.0,335.02,338.0,329.99,331.52,-4.48
2024-08-13,59291.0,331.52,331.0,332.96,330.0,332.04,0.52
