Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-01-01,2277482.0,46.59,47.0,48.49,46.99,48.08,1.49
2024-01-02,4370264.0,48.08,48.5,49.79,47.01,47.38,-0.7
2024-01-03,1135857.0,47.38,47.96,47.96,47.01,47.14,-0.24
2024-01-04,2679277.0,47.14,47.23,48.45,47.2,47.87,0.73
2024-01-05,2908047.0,47.87,48.11,48.59,47.0,47.69,-0.18
2024-01-08,2433977.0,47.69,47.28,48.85,47.28,47.65,-0.04
2024-01-09,1712555.0,47.65,48.49,48.75,47.7,47.98,0.33
2024-01-10,1146743.0,47.98,48.21,48.4,47.7,47.93,-0.05
2024-01-11,925955.0,47.93,47.8,48.19,47.5,47.6,-0.33
2024-01-12,1843850.0,47.6,47.9,48.04,46.9,47.13,-0.47
2024-01-15,2039062.0,47.13,47.35,47.45,45.75,46.09,-1.04
2024-01-16,802146.0,46.09,46.15,46.15,45.5,45.83,-0.26
2024-01-17,926420.0,45.83,45.8,46.5,45.5,46.16,0.33
2024-01-18,3400588.0,46.16,46.15,47.49,45.8,47.24,1.08
2024-01-19,2585432.0,47.24,47.48,48.0,46.8,47.02,-0.22
2024-01-22,990089.0,47.02,47.49,47.49,46.9,47.07,0.05
2024-01-23,47.0,47.4,47.4,48.0,47.0,47.06,-0.34
2024-01-24,3789918.0,47.02,47.0,48.58,46.8,48.13,1.11
2024-01-25,8947871.0,48.13,48.14,49.43,48.14,48.87,0.74
2024-01-26,758.0,49.01,48.2,49.48,48.2,48.76,-0.25
2024-01-29,2169231.0,48.97,48.81,49.2,48.46,49.09,0.12
2024-01-30,2161211.0,49.09,48.8,49.25,47.51,48.02,-1.07
2024-01-31,529118.0,48.02,48.24,48.45,46.51,47.44,-0.58
2024-02-01,271066.0,47.44,47.65,47.75,47.0,47.44,0.0
2024-02-02,755942.0,47.44,47.5,49.3,47.01,48.61,1.17
2024-02-06,788756.0,48.61,49.0,49.25,48.4,48.63,0.02
2024-02-07,636096.0,48.63,48.65,48.95,48.25,48.38,-0.25
2024-02-09,843964.0,48.38,47.4,48.5,46.5,47.67,-0.71
2024-02-12,883069.0,47.67,47.01,47.65,44.8,45.72,-1.95
2024-02-13,813250.0,45.72,45.71,46.99,44.95,46.48,0.76
2024-02-14,523570.0,46.48,46.6,47.47,46.6,46.94,0.46
2024-02-15,474270.0,46.94,47.05,47.05,45.64,46.16,-0.78
2024-02-16,604704.0,46.16,45.99,46.48,45.35,45.67,-0.49
2024-02-19,1585406.0,45.67,45.65,45.65,43.93,44.68,-0.99
2024-02-20,3152902.0,44.68,44.68,45.39,42.8,43.39,-1.29
2024-02-21,2383588.0,43.39,43.3,43.8,42.8,43.27,-0.12
2024-02-22,718108.0,43.27,43.17,43.55,43.02,43.38,0.11
2024-02-23,1049418.0,43.38,43.4,44.5,43.4,44.33,0.95
2024-02-26,922533.0,44.33,44.8,44.99,44.4,44.52,0.19
2024-02-27,1022637.0,44.52,44.52,44.99,43.78,43.9,-0.62
2024-02-28,522782.0,43.9,43.9,44.55,43.9,44.18,0.28
2024-02-29,541211.0,44.18,44.18,44.6,44.18,44.47,0.29
2024-03-01,797860.0,44.47,44.4,44.85,44.07,44.3,-0.17
2024-03-04,1212148.0,44.3,44.5,45.3,44.49,44.7,0.4
2024-03-05,481425.0,44.7,44.75,45.19,44.1,44.33,-0.37
2024-03-06,911309.0,44.33,44.3,44.69,43.95,44.03,-0.3
2024-03-07,937013.0,44.03,44.05,44.5,43.53,44.16,0.13
2024-03-08,472761.0,44.16,44.16,44.99,43.99,44.09,-0.07
2024-03-11,793851.0,44.09,44.16,44.45,43.8,44.07,-0.02
2024-03-12,413771.0,44.07,44.07,44.26,43.7,43.75,-0.32
2024-03-13,316140.0,43.75,43.75,44.1,43.51,43.56,-0.19
2024-03-14,520516.0,43.56,43.5,44.0,43.5,43.66,0.1
2024-03-15,543561.0,43.66,43.7,43.8,43.45,43.53,-0.13
2024-03-18,1452343.0,43.53,43.6,44.25,43.6,43.97,0.44
2024-03-19,3235748.0,42.97,42.95,44.6,42.9,44.41,1.44
2024-03-20,931457.0,44.41,44.55,44.9,44.09,44.4,-0.01
2024-03-21,1084258.0,44.4,44.42,44.45,43.91,44.09,-0.31
2024-03-22,792059.0,44.09,44.01,44.47,43.85,44.39,0.3
2024-03-25,503693.0,44.39,44.15,44.49,44.15,44.41,0.02
2024-03-26,317619.0,44.41,44.3,44.65,44.29,44.58,0.17
2024-03-27,751867.0,44.58,44.6,45.2,44.31,44.97,0.39
2024-03-28,1243104.0,44.97,45.15,47.05,45.15,45.54,0.57
2024-03-29,15.0,46.0,45.0,45.0,45.0,45.0,1.0
2024-04-01,122189.0,45.23,45.49,45.55,45.05,45.14,-0.09
2024-04-02,224971.0,45.14,45.2,45.3,44.76,44.93,-0.21
2024-04-03,386225.0,44.93,44.81,45.24,44.56,45.11,0.18
2024-04-04,401077.0,45.11,45.11,45.55,45.1,45.31,0.2
2024-04-08,755100.0,45.31,45.36,45.75,45.3,45.57,0.26
2024-04-09,1578765.0,45.57,45.6,46.89,45.55,46.53,0.96
2024-04-15,1187902.0,46.53,46.45,46.45,45.01,45.8,-0.73
2024-04-16,1387470.0,45.8,46.0,46.65,45.8,45.9,0.1
2024-04-17,2341451.0,45.9,45.9,46.9,45.3,46.58,0.68
2024-04-18,1100649.0,46.58,46.58,46.78,46.01,46.13,-0.45
2024-04-19,1712992.0,46.13,45.95,47.05,45.91,46.56,0.43
2024-04-22,7624232.0,46.56,43.6,44.7,43.5,44.42,-2.14
2024-04-23,47.0,44.42,44.0,44.3,43.6,44.15,-0.27
2024-04-24,4595264.0,44.49,45.0,45.95,44.2,44.69,0.2
2024-04-25,1356078.0,44.69,44.5,44.88,44.4,44.41,-0.28
2024-04-26,2400462.0,44.41,44.41,44.51,43.6,44.08,-0.33
2024-04-29,773072.0,44.08,44.01,44.29,43.31,43.37,-0.71
2024-04-30,973310.0,43.37,43.01,43.59,42.4,42.6,-0.77
2024-05-02,491892.0,42.6,42.6,42.61,42.0,42.05,-0.55
2024-05-03,742537.0,42.05,42.0,43.1,42.0,42.96,0.91
2024-05-06,685794.0,42.96,43.0,43.2,42.44,42.72,-0.24
2024-05-07,353337.0,42.72,42.75,43.1,42.5,42.87,0.15
2024-05-08,388223.0,42.87,43.0,43.1,42.55,42.71,-0.16
2024-05-09,417131.0,42.71,42.87,42.95,42.51,42.74,0.03
2024-05-10,416724.0,42.74,42.7,43.0,42.7,42.78,0.04
2024-05-13,2075517.0,42.78,42.8,44.2,42.51,43.5,0.72
2024-05-14,1196400.0,43.5,43.97,43.99,42.6,42.82,-0.68
2024-05-15,464272.0,42.82,42.92,43.49,42.69,42.76,-0.06
2024-05-16,414119.0,42.76,42.7,42.92,42.21,42.45,-0.31
2024-05-17,235598.0,42.45,42.57,42.99,42.5,42.74,0.29
2024-05-20,218175.0,42.74,42.8,43.0,42.55,42.71,-0.03
2024-05-21,303214.0,42.71,42.79,42.94,42.65,42.71,0.0
2024-05-22,343782.0,42.71,42.85,42.95,42.5,42.76,0.05
2024-05-23,142594.0,42.76,42.75,42.8,42.6,42.64,-0.12
2024-05-24,1718352.0,42.64,42.6,43.84,42.6,43.65,1.01
2024-05-27,494316.0,43.65,43.65,44.0,43.2,43.6,-0.05
2024-05-29,82.0,43.85,43.55,46.15,43.5,44.3,0.45
2024-05-30,594326.0,44.22,44.25,44.8,44.0,44.27,0.05
