Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-01-01,41000.0,11.9,11.8,11.9,11.8,11.9,0.0
2024-01-02,3000.0,11.9,12.1,12.18,12.1,12.15,0.25
2024-01-03,25500.0,12.15,11.81,11.81,11.8,11.81,-0.34
2024-01-05,5000.0,11.81,11.8,11.8,11.8,11.8,-0.01
2024-01-08,741500.0,11.8,11.61,11.9,11.56,11.61,-0.19
2024-01-09,358500.0,11.61,11.6,11.61,11.6,11.6,-0.01
2024-01-10,130000.0,11.6,11.5,11.8,11.5,11.6,0.0
2024-01-11,32000.0,11.6,11.6,11.6,11.6,11.6,0.0
2024-01-12,11000.0,11.6,11.6,11.7,11.6,11.7,0.1
2024-01-15,3000.0,11.7,11.59,11.59,11.59,11.59,-0.11
2024-01-17,17500.0,11.59,11.59,11.59,11.59,11.59,0.0
2024-01-18,500.0,11.59,11.0,11.0,11.0,11.0,-0.59
2024-01-19,40000.0,11.0,11.59,11.6,11.58,11.58,0.58
2024-01-23,65000.0,11.58,11.5,11.5,11.5,11.5,-0.08
2024-01-25,128500.0,11.5,11.5,11.6,11.5,11.6,0.1
2024-01-26,52000.0,11.6,11.5,11.5,11.5,11.5,-0.1
2024-01-31,5000.0,11.5,11.35,11.35,11.35,11.35,-0.15
2024-02-01,42000.0,11.35,11.58,11.6,11.5,11.5,0.15
2024-02-06,2000.0,11.5,11.26,11.26,11.26,11.26,-0.24
2024-02-14,47500.0,11.26,11.78,11.78,11.2,11.2,-0.06
2024-02-15,10000.0,11.2,11.2,11.2,11.2,11.2,0.0
2024-02-16,7000.0,11.2,11.31,11.31,11.3,11.3,0.1
2024-02-21,7500.0,11.3,11.39,11.4,11.39,11.39,0.09
2024-02-26,500.0,11.39,11.4,11.4,11.4,11.4,0.01
2024-02-27,11000.0,11.4,11.4,11.48,11.4,11.48,0.08
2024-02-28,12500.0,11.48,11.5,11.5,11.5,11.5,0.02
2024-02-29,6500.0,11.5,11.6,11.6,11.5,11.5,0.0
2024-03-01,82500.0,11.5,11.48,11.5,11.48,11.5,0.0
2024-03-04,15000.0,11.5,11.5,11.5,11.5,11.5,0.0
2024-03-05,21500.0,11.5,11.55,11.75,11.55,11.75,0.25
2024-03-06,6000.0,11.75,11.5,11.5,11.5,11.5,-0.25
2024-03-07,52000.0,11.5,11.49,11.5,11.47,11.5,0.0
2024-03-08,42500.0,11.5,11.5,11.5,11.5,11.5,0.0
2024-03-11,26500.0,11.5,11.6,11.6,11.45,11.45,-0.05
2024-03-12,4000.0,11.45,11.5,11.5,11.5,11.5,0.05
2024-03-13,27000.0,11.5,11.5,11.5,11.5,11.5,0.0
2024-03-15,11000.0,11.5,11.5,11.5,11.5,11.5,0.0
2024-03-18,50000.0,11.5,11.5,11.5,11.5,11.5,0.0
2024-03-19,1000.0,10.83,11.3,11.3,11.3,11.3,0.47
2024-03-21,10500.0,11.3,11.38,11.39,11.3,11.3,0.0
2024-03-22,500.0,11.3,11.2,11.2,11.2,11.2,-0.1
2024-03-27,500.0,11.2,11.47,11.47,11.47,11.47,0.27
2024-03-28,9000.0,11.47,11.44,11.44,11.31,11.33,-0.14
2024-04-02,1000.0,11.33,11.48,11.49,11.48,11.49,0.16
2024-04-03,2000.0,11.49,11.49,11.49,11.49,11.49,0.0
2024-04-08,500.0,11.49,11.35,11.35,11.35,11.35,-0.14
2024-04-15,1000.0,11.35,11.4,11.4,11.4,11.4,0.05
2024-04-17,91000.0,11.4,11.45,11.5,11.41,11.5,0.1
2024-04-19,1000.0,11.5,11.45,11.45,11.37,11.37,-0.13
2024-04-22,10000.0,11.37,11.3,11.3,11.15,11.2,-0.17
2024-04-23,17500.0,11.2,11.25,11.3,11.23,11.23,0.03
2024-04-24,14000.0,11.23,11.38,11.4,11.38,11.4,0.17
2024-04-25,95000.0,11.4,11.0,11.0,10.5,10.57,-0.83
2024-04-26,13000.0,10.57,11.18,11.3,10.51,11.3,0.73
2024-04-30,1000.0,11.3,0.0,0.0,0.0,11.3,0.0
2024-05-03,3000.0,11.3,0.0,0.0,0.0,11.3,0.0
2024-05-07,10500.0,11.3,11.01,11.01,11.0,11.0,-0.3
2024-05-08,2000.0,11.0,11.0,11.02,11.0,11.02,0.02
2024-05-09,81000.0,11.02,11.0,11.1,11.0,11.1,0.08
2024-05-10,500.0,11.1,11.2,11.2,11.2,11.2,0.1
2024-05-14,1000.0,11.2,10.8,11.01,10.8,11.01,-0.19
2024-05-16,500.0,11.01,11.19,11.19,11.19,11.19,0.18
2024-05-17,2000.0,11.19,11.2,11.2,11.2,11.2,0.01
2024-05-22,1000.0,11.2,10.85,10.85,10.55,10.55,-0.65
2024-05-23,500.0,10.55,11.0,11.0,11.0,11.0,0.45
2024-05-24,199500.0,11.0,11.0,11.01,11.0,11.0,0.0
2024-05-27,315600.0,11.0,10.61,11.0,10.61,11.0,0.0
2024-05-29,19795.0,11.0,11.0,11.0,11.0,11.0,0.0
2024-05-30,9338.0,11.0,11.0,11.0,10.71,11.0,0.0
2024-05-31,2050.0,11.0,11.0,11.0,10.61,10.61,-0.39
2024-06-03,93294.0,10.61,11.0,11.0,10.99,11.0,0.39
2024-06-04,325500.0,11.0,10.5,11.01,10.5,11.0,0.0
2024-06-05,158000.0,11.0,11.0,11.0,11.0,11.0,0.0
2024-06-06,10000.0,11.0,11.0,11.0,11.0,11.0,0.0
2024-06-07,68560.0,11.0,11.05,11.2,11.05,11.05,0.05
2024-06-10,1002.0,11.05,11.19,11.19,11.19,11.05,0.0
2024-06-11,3000.0,11.05,11.05,11.05,11.05,11.05,0.0
2024-06-20,2750.0,11.05,11.0,11.18,11.0,11.07,0.02
2024-06-21,10577.0,11.07,11.18,11.48,11.18,11.39,0.32
2024-06-24,10910.0,11.39,11.39,11.8,11.39,11.79,0.4
2024-06-25,1067.0,11.79,11.2,11.8,11.2,11.49,-0.3
2024-06-26,1101.0,11.49,11.8,11.8,11.7,11.7,0.21
2024-06-27,4000.0,11.7,11.7,11.7,10.7,11.3,-0.4
2024-06-28,1050.0,11.3,11.31,11.31,11.31,11.31,0.01
2024-07-01,1590.0,11.31,11.2,11.9,11.2,11.72,0.41
2024-07-02,26054.0,11.72,11.88,11.88,11.5,11.5,-0.22
2024-07-03,7569.0,11.5,12.1,12.1,11.5,11.5,0.0
2024-07-04,8550.0,11.5,11.77,11.8,11.7,11.7,0.2
