Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-01-01,275500.0,31.92,30.9,32.35,30.9,32.18,0.26
2024-01-02,207000.0,32.18,31.6,32.16,31.55,31.78,-0.4
2024-01-03,181000.0,31.78,31.65,32.25,31.62,31.89,0.11
2024-01-04,575500.0,31.89,31.6,32.81,31.6,32.35,0.46
2024-01-05,404000.0,32.35,31.92,32.65,31.92,32.28,-0.07
2024-01-08,220000.0,32.28,32.7,32.7,32.0,32.28,0.0
2024-01-09,233000.0,32.28,32.01,32.44,32.01,32.35,0.07
2024-01-10,119000.0,32.35,32.49,32.49,32.15,32.3,-0.05
2024-01-11,363000.0,32.3,32.59,32.6,29.92,32.32,0.02
2024-01-12,283000.0,32.32,32.5,32.55,32.03,32.3,-0.02
2024-01-15,154000.0,32.3,32.39,32.39,31.95,32.0,-0.3
2024-01-16,113000.0,32.0,32.1,32.1,31.6,31.68,-0.32
2024-01-17,159000.0,31.68,31.5,31.99,29.52,31.13,-0.55
2024-01-18,226000.0,31.13,30.9,31.02,30.45,30.65,-0.48
2024-01-19,79000.0,30.65,30.75,31.22,30.45,30.64,-0.01
2024-01-22,82000.0,30.64,30.89,31.25,30.51,31.13,0.49
2024-01-23,73000.0,31.13,31.02,31.69,31.0,31.49,0.36
2024-01-24,186500.0,31.49,31.74,31.74,30.3,31.34,-0.15
2024-01-25,193500.0,31.34,31.2,31.63,30.82,30.91,-0.43
2024-01-26,311000.0,30.91,31.44,31.44,30.77,30.81,-0.1
2024-01-29,61500.0,30.81,30.65,31.49,30.51,30.55,-0.26
2024-01-30,204000.0,30.55,31.35,31.35,30.49,30.5,-0.05
2024-01-31,44500.0,30.5,30.6,30.8,30.4,30.52,0.02
2024-02-01,270000.0,30.52,30.7,30.7,30.11,30.58,0.06
2024-02-02,1243000.0,30.58,30.51,32.87,30.51,32.44,1.86
2024-02-06,1162500.0,32.44,32.01,32.34,30.71,31.29,-1.15
2024-02-07,643000.0,31.29,30.88,31.3,30.81,31.15,-0.14
2024-02-09,251500.0,31.15,30.63,31.69,29.31,31.23,0.08
2024-02-12,520000.0,31.23,31.4,32.1,30.51,30.86,-0.37
2024-02-13,696500.0,30.86,30.51,31.51,30.31,30.99,0.13
2024-02-14,844500.0,30.99,31.73,31.73,30.4,30.82,-0.17
2024-02-15,1045000.0,30.82,31.15,31.79,29.0,29.46,-1.36
2024-02-16,715500.0,29.46,29.0,29.0,28.0,28.14,-1.32
2024-02-19,1116500.0,28.14,28.09,28.09,26.91,27.8,-0.34
2024-02-20,1174500.0,27.8,28.25,29.1,27.75,28.49,0.69
2024-02-21,554000.0,28.49,28.52,28.98,28.52,28.66,0.17
2024-02-22,313500.0,28.66,28.9,29.24,28.7,29.19,0.53
2024-02-23,388500.0,29.19,29.0,30.1,29.0,29.71,0.52
2024-02-26,3240000.0,29.71,29.22,31.94,29.21,31.94,2.23
2024-02-27,2777500.0,31.94,34.34,34.34,32.05,32.44,0.5
2024-02-28,689500.0,32.44,32.5,32.5,31.4,31.71,-0.73
2024-02-29,411000.0,31.71,31.61,31.61,31.17,31.28,-0.43
2024-03-01,462500.0,31.28,31.03,31.55,30.25,30.8,-0.48
2024-03-04,284000.0,30.8,31.2,31.38,30.7,30.82,0.02
2024-03-05,196500.0,30.82,31.1,31.1,30.12,30.49,-0.33
2024-03-06,208000.0,30.49,30.79,30.8,30.2,30.34,-0.15
2024-03-07,150000.0,30.34,30.4,30.49,29.0,30.37,0.03
2024-03-08,147500.0,30.37,30.54,30.8,30.1,30.35,-0.02
2024-03-11,284000.0,30.35,30.45,30.89,30.45,30.59,0.24
2024-03-12,126000.0,30.59,30.4,30.84,30.4,30.52,-0.07
2024-03-13,135500.0,30.52,30.8,30.84,30.5,30.6,0.08
2024-03-14,131500.0,30.6,30.59,30.98,30.52,30.69,0.09
2024-03-15,248500.0,30.69,30.69,30.96,30.56,30.74,0.05
2024-03-18,235000.0,29.24,29.28,29.75,29.0,29.47,0.23
2024-03-19,210500.0,29.47,29.3,29.68,29.25,29.35,-0.12
2024-03-20,346000.0,29.35,29.17,29.25,28.84,28.9,-0.45
2024-03-21,161000.0,28.9,29.0,29.2,28.66,28.78,-0.12
2024-03-22,83500.0,28.78,28.99,28.99,28.5,28.55,-0.23
2024-03-25,310500.0,28.55,28.31,28.69,28.0,28.1,-0.45
2024-03-26,204500.0,28.1,28.1,28.31,27.7,27.83,-0.27
2024-03-27,570500.0,27.83,27.94,28.5,27.75,28.37,0.54
2024-03-28,202500.0,28.37,28.51,28.89,28.51,28.86,0.49
2024-03-29,141000.0,28.86,28.73,28.99,28.5,28.55,-0.31
2024-04-01,128500.0,28.55,28.9,28.9,28.35,28.43,-0.12
2024-04-02,265000.0,28.43,28.4,28.83,28.27,28.49,0.06
2024-04-03,251500.0,28.49,28.95,28.95,28.3,28.59,0.1
2024-04-04,1254500.0,28.59,28.7,29.99,28.65,29.31,0.72
