Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-01-03,4500.0,4.0,3.5,4.0,3.5,4.0,0.0
2024-01-26,3500.0,4.0,3.53,3.53,3.5,3.51,-0.49
2024-02-06,4000.0,3.51,0.0,0.0,0.0,3.51,0.0
2024-02-13,500.0,3.51,3.8,3.8,3.8,3.8,0.29
2024-03-06,500.0,3.8,3.9,3.9,3.9,3.9,0.1
2024-03-08,500.0,3.9,3.5,3.5,3.5,3.5,-0.4
2024-03-22,24500.0,3.5,3.0,3.0,2.53,3.0,-0.5
2024-04-15,1500.0,3.0,3.3,3.7,3.3,3.48,0.48
2024-04-26,9000.0,3.48,3.2,3.7,3.0,3.3,-0.18
2024-04-29,10500.0,3.3,3.2,3.3,3.2,3.3,0.0
2024-04-30,41000.0,3.3,3.0,3.15,3.0,3.0,-0.3
2024-05-03,500.0,3.0,3.3,3.3,3.3,3.3,0.3
2024-05-06,126500.0,3.3,3.02,3.11,3.0,3.0,-0.3
2024-05-08,55500.0,3.0,3.3,3.3,3.1,3.1,0.1
2024-05-10,5000.0,3.1,0.0,0.0,0.0,3.1,0.0
2024-05-31,502.0,3.1,3.0,3.1,2.61,3.01,-0.09
2024-06-04,501.0,3.01,3.2,3.2,2.7,3.2,0.19
2024-06-05,501.0,3.2,2.89,3.25,2.89,3.25,0.05
2024-06-11,3079.0,3.25,3.29,4.0,3.29,3.96,0.71
2024-06-13,10500.0,3.96,3.5,3.5,3.5,3.5,-0.46
2024-06-14,450.0,3.5,3.0,3.0,3.0,3.5,0.0
2024-06-21,2.0,3.5,3.5,3.5,3.5,3.5,0.0
2024-06-24,1001.0,3.5,3.7,3.7,3.5,3.5,0.0
2024-06-26,1.0,3.5,3.5,3.5,3.5,3.5,0.0
2024-06-27,1.0,3.5,3.5,3.5,3.5,3.5,0.0
2024-07-01,1.0,3.5,3.48,3.48,3.48,3.5,0.0
2024-07-02,1024.0,3.5,3.49,3.49,3.49,3.49,-0.01
2024-07-03,95501.0,3.49,3.7,3.7,3.49,3.49,0.0
2024-07-04,2115.0,3.49,3.49,3.49,3.13,3.19,-0.3
2024-07-05,130.0,3.19,3.43,3.43,3.43,3.19,0.0
2024-07-08,1002.0,3.19,3.2,3.2,3.2,3.2,0.01
2024-07-09,500.0,3.2,3.22,3.22,3.22,3.22,0.02
2024-07-12,20200.0,3.22,3.25,3.25,3.24,3.25,0.03
2024-07-15,5028.0,3.25,3.39,3.41,3.39,3.4,0.15
2024-07-18,5000.0,3.4,3.4,3.4,3.4,3.4,0.0
2024-07-19,3750.0,3.4,3.5,3.5,3.25,3.25,-0.15
2024-07-25,306.0,3.25,3.05,3.55,3.05,3.25,0.0
2024-07-26,1127.0,3.25,3.6,3.6,3.5,3.58,0.33
2024-07-30,300.0,3.58,3.45,3.45,3.3,3.58,0.0
2024-08-05,200.0,3.58,3.6,3.6,3.6,3.58,0.0
2024-08-06,200.0,3.58,3.3,3.3,3.3,3.58,0.0
2024-08-07,556.0,3.58,3.2,3.5,3.2,3.23,-0.35
2024-08-09,10.0,3.23,3.5,3.5,3.5,3.23,0.0
2024-08-15,31797.0,3.23,3.5,3.5,3.5,3.5,0.27
2024-08-19,500.0,3.5,3.2,3.2,3.2,3.2,-0.3
