Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-01-01,1016949.0,35.49,35.65,38.15,34.82,37.01,1.52
2024-01-02,1644832.0,37.01,36.9,37.8,36.56,36.77,-0.24
2024-01-03,587865.0,36.77,36.7,36.78,36.22,36.36,-0.41
2024-01-04,42751.0,36.36,36.74,36.75,36.2,36.37,0.01
2024-01-05,69822.0,36.37,36.35,36.59,35.03,35.96,-0.41
2024-01-08,5264833.0,35.96,35.56,36.49,35.56,36.17,0.21
2024-01-09,400095.0,36.17,36.0,37.0,35.55,35.79,-0.38
2024-01-10,24060244.0,35.79,36.19,37.5,36.0,36.08,0.29
2024-01-11,330100.0,36.08,36.1,36.86,36.0,36.05,-0.03
2024-01-12,189289.0,36.05,36.99,36.99,35.7,35.86,-0.19
2024-01-15,184111.0,35.86,35.36,36.0,35.36,35.53,-0.33
2024-01-16,133871.0,35.53,35.36,35.5,34.75,35.11,-0.42
2024-01-17,462095.0,35.11,35.49,35.89,33.98,34.2,-0.91
2024-01-18,69646.0,34.2,34.2,34.2,33.97,34.18,-0.02
2024-01-19,32284.0,34.18,34.0,34.3,33.99,34.02,-0.16
2024-01-22,54157.0,34.02,33.9,34.0,33.6,33.73,-0.29
2024-01-23,76950.0,33.73,33.66,34.17,33.5,33.96,0.23
2024-01-24,413762.0,33.96,33.7,35.23,33.7,35.06,1.1
2024-01-25,84177.0,35.06,35.0,35.2,35.0,35.05,-0.01
2024-01-26,271395.0,35.05,34.3,34.99,34.0,34.55,-0.5
2024-01-29,314020.0,34.55,34.54,34.99,34.0,34.02,-0.53
2024-01-30,19461.0,34.02,34.3,34.38,33.53,33.65,-0.37
2024-01-31,87049.0,33.65,33.65,34.5,33.31,33.5,-0.15
2024-02-01,143040.0,33.5,33.52,33.98,33.21,33.43,-0.07
2024-02-02,59568.0,33.43,33.69,33.98,33.5,33.53,0.1
2024-02-06,133212.0,33.53,33.85,34.75,33.7,34.51,0.98
2024-02-07,718070.0,34.51,34.52,35.1,34.52,35.1,0.59
2024-02-09,29651.0,35.1,35.1,35.1,34.0,34.4,-0.7
2024-02-12,65534.0,34.4,34.2,34.7,33.5,33.63,-0.77
2024-02-13,47753.0,33.63,33.74,33.99,33.36,33.95,0.32
2024-02-14,36066.0,33.95,33.95,34.5,33.95,34.44,0.49
2024-02-15,81778.0,34.44,34.9,34.9,33.82,33.84,-0.6
2024-02-16,1718761.0,33.84,33.84,36.38,33.84,36.33,2.49
2024-02-19,64696.0,36.33,36.01,36.02,35.0,35.55,-0.78
2024-02-20,515571.0,35.55,35.74,35.94,35.39,35.4,-0.15
2024-02-21,41946.0,35.4,35.46,35.75,35.4,35.48,0.08
2024-02-22,323664.0,35.48,35.56,35.84,35.3,35.4,-0.08
2024-02-23,39724.0,35.4,35.24,35.5,35.05,35.21,-0.19
2024-02-26,182249.0,35.21,35.26,36.5,35.21,36.03,0.82
2024-02-27,112169.0,36.03,36.4,36.4,35.65,36.0,-0.03
2024-02-28,161006.0,36.0,35.9,36.55,35.9,36.5,0.5
2024-02-29,1925977.0,36.5,36.5,37.0,36.5,36.96,0.46
2024-03-01,69147.0,36.96,37.2,37.3,36.3,37.01,0.05
2024-03-04,1404367.0,37.01,37.5,38.06,37.03,38.05,1.04
2024-03-05,54000.0,38.05,38.0,38.0,37.5,37.77,-0.28
2024-03-06,31414.0,37.77,37.6,38.0,37.5,37.52,-0.25
2024-03-07,40815.0,37.52,37.5,37.54,37.25,37.49,-0.03
2024-03-08,18682.0,37.49,37.4,38.0,37.4,37.59,0.1
2024-03-11,86969.0,37.59,37.9,38.0,37.5,37.82,0.23
2024-03-12,40615.0,37.82,37.99,38.0,36.4,37.23,-0.59
2024-03-13,19386.0,37.23,37.11,37.8,36.5,36.87,-0.36
2024-03-14,16136.0,36.87,36.5,37.5,36.3,37.46,0.59
2024-03-15,15865.0,37.46,37.5,37.59,37.0,37.07,-0.39
2024-03-18,13706.0,37.07,37.3,37.51,37.01,37.49,0.42
2024-03-19,53660.0,37.49,37.5,38.0,37.1,37.82,0.33
2024-03-20,34053.0,37.82,37.97,38.0,37.72,37.96,0.14
2024-03-21,164300.0,37.96,37.99,38.33,37.85,38.14,0.18
2024-03-22,189668.0,38.14,38.14,38.3,37.8,37.95,-0.19
2024-03-25,89352.0,37.95,37.8,37.99,37.63,37.89,-0.06
2024-03-26,592070.0,37.89,38.0,38.6,37.9,38.53,0.64
2024-03-27,1296628.0,38.53,38.65,39.1,38.65,38.88,0.35
2024-03-28,4921295.0,38.88,38.95,40.5,38.95,39.9,1.02
2024-03-29,640868.0,39.9,40.1,40.1,39.63,39.68,-0.22
2024-04-01,385954.0,39.68,39.9,40.25,39.75,40.0,0.32
2024-04-02,202066.0,40.0,40.0,40.45,40.0,40.32,0.32
2024-04-03,427247.0,40.32,40.01,40.8,40.0,40.14,-0.18
2024-04-04,837989.0,40.14,40.14,40.6,39.94,40.22,0.08
2024-04-08,210630.0,40.22,39.9,40.95,39.9,40.86,0.64
