Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-01-01,9793000.0,18.92,18.95,20.15,18.95,19.96,1.04
2024-01-02,30470000.0,19.96,20.27,20.9,19.85,20.3,0.34
2024-01-03,12248500.0,20.3,20.55,20.75,20.01,20.13,-0.17
2024-01-04,5233500.0,20.13,20.33,20.33,19.7,20.17,0.04
2024-01-05,11359000.0,20.17,20.06,20.5,19.4,19.9,-0.27
2024-01-08,2659000.0,19.9,19.95,20.09,19.3,19.35,-0.55
2024-01-09,2430000.0,19.35,19.5,19.89,19.1,19.3,-0.05
2024-01-10,2759000.0,19.3,19.35,19.55,19.2,19.37,0.07
2024-01-11,7111000.0,19.37,19.4,20.0,19.4,19.6,0.23
2024-01-12,7579500.0,19.6,19.99,20.2,19.42,19.65,0.05
2024-01-15,4504000.0,19.65,19.95,19.95,19.1,19.15,-0.5
2024-01-16,6092500.0,19.15,19.01,19.3,18.75,18.96,-0.19
2024-01-17,5784500.0,18.96,18.97,19.29,18.22,18.66,-0.3
2024-01-18,4089000.0,18.66,18.6,19.1,18.14,18.71,0.05
2024-01-19,3892500.0,18.71,18.9,19.15,18.6,18.75,0.04
2024-01-22,745500.0,18.75,18.85,18.85,18.31,18.44,-0.31
2024-01-23,5421000.0,18.44,18.6,19.1,18.41,18.83,0.39
2024-01-24,8621000.0,18.83,18.95,19.39,18.91,18.97,0.14
2024-01-25,6972500.0,18.97,19.29,19.4,18.75,18.82,-0.15
2024-01-26,2356500.0,18.82,19.0,19.0,18.45,18.5,-0.32
2024-01-29,3292500.0,18.5,18.5,18.5,17.95,18.19,-0.31
2024-01-30,8022000.0,18.19,18.1,18.4,17.78,17.87,-0.32
2024-01-31,2152000.0,17.87,18.38,18.38,17.8,17.87,0.0
2024-02-01,1333500.0,17.87,18.12,18.13,17.8,17.88,0.01
2024-02-02,1147500.0,17.88,18.0,18.24,17.91,18.05,0.17
2024-02-06,7078000.0,18.05,18.0,18.44,17.91,18.05,0.0
2024-02-07,7703000.0,18.05,18.19,18.79,18.1,18.59,0.54
2024-02-09,8548500.0,18.59,18.28,18.3,17.2,17.96,-0.63
2024-02-12,3917500.0,17.96,17.82,18.0,17.06,17.28,-0.68
2024-02-13,3567500.0,17.28,17.25,17.99,16.25,17.8,0.52
2024-02-14,3523000.0,17.8,18.2,18.45,17.75,18.27,0.47
2024-02-15,1239500.0,18.27,18.48,18.48,17.51,17.64,-0.63
2024-02-16,3867500.0,17.64,17.8,17.8,16.65,16.99,-0.65
2024-02-19,38.0,17.47,17.4,17.4,17.01,17.01,-0.46
2024-02-20,5.0,17.01,17.2,17.21,17.2,17.21,0.2
2024-02-21,2834500.0,17.0,17.49,17.8,17.22,17.72,0.72
2024-02-22,984000.0,17.72,17.94,17.94,17.49,17.59,-0.13
2024-02-23,1096000.0,17.59,17.5,17.99,17.45,17.82,0.23
2024-02-26,3498000.0,17.82,18.01,18.3,17.3,17.84,0.02
2024-02-27,3639000.0,17.84,17.85,18.08,17.62,17.73,-0.11
2024-02-28,5116000.0,17.73,17.7,18.55,17.66,18.44,0.71
2024-02-29,3472500.0,18.44,18.5,18.8,18.25,18.48,0.04
2024-03-01,3010000.0,18.48,18.5,18.5,17.89,18.11,-0.37
2024-03-04,13069500.0,18.11,18.38,18.5,17.95,18.09,-0.02
