Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-06-03,2.0,9.49,10.49,10.49,10.49,9.49,0.0
2024-06-04,2675.0,9.49,10.49,10.49,9.49,10.49,1.0
2024-06-05,2369.0,10.49,10.5,10.5,9.49,10.49,0.0
2024-06-06,824.0,10.49,9.49,11.0,9.49,9.51,-0.98
2024-06-07,1.0,9.51,0.0,0.0,0.0,9.51,0.0
2024-06-10,150.0,9.51,8.53,10.49,8.53,9.51,0.0
2024-06-11,2506.0,9.51,8.52,10.51,8.52,10.51,1.0
2024-06-21,2.0,10.51,9.52,11.5,9.52,10.51,0.0
2024-06-24,3506.0,10.51,9.51,11.5,9.51,9.53,-0.98
2024-06-25,7.0,9.53,10.5,10.5,10.25,9.53,0.0
2024-06-26,1948.0,9.53,10.5,10.5,8.55,10.28,0.75
2024-06-27,5.0,10.28,10.5,10.5,10.5,10.28,0.0
2024-06-28,30.0,10.28,11.28,11.28,9.3,10.28,0.0
2024-07-01,3239.0,10.28,10.5,10.5,9.28,9.28,1.0
2024-07-02,341.0,9.28,9.96,9.96,9.0,9.28,0.0
2024-07-03,1335.0,9.28,9.93,9.93,9.91,9.91,0.63
2024-07-04,302.0,9.91,9.48,9.48,8.92,9.6,-0.31
2024-07-05,570.0,9.6,8.62,9.5,8.6,8.63,-0.97
2024-07-08,1005.0,8.63,9.6,9.6,9.6,8.63,0.0
2024-07-09,2805.0,8.63,9.43,9.43,7.63,7.76,-0.87
2024-07-10,5.0,7.76,8.73,8.73,8.73,7.76,0.0
2024-07-11,5.0,7.76,8.7,8.7,8.7,7.76,0.0
2024-07-12,1050.0,7.76,8.68,8.68,6.78,6.8,-0.96
2024-07-15,1066.0,6.8,7.74,7.74,6.8,6.8,0.0
2024-07-18,1.0,6.8,7.7,7.7,7.7,6.8,0.0
2024-07-19,11.0,6.8,5.8,5.8,5.8,6.8,0.0
2024-07-22,250.0,6.8,7.73,7.74,7.73,6.8,0.0
2024-07-25,41.0,6.8,5.8,5.8,5.8,6.8,0.0
