Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-01-01,816125.0,81.87,82.51,86.5,82.0,85.15,3.28
2024-01-02,423948.0,85.15,85.5,86.0,82.5,82.9,-2.25
2024-01-03,192109.0,82.9,83.0,85.0,81.5,81.87,-1.03
2024-01-04,196591.0,81.87,82.39,82.7,81.05,82.3,0.43
2024-01-05,274392.0,82.3,82.01,83.79,79.5,81.87,-0.43
2024-01-08,503821.0,81.87,80.75,84.0,80.75,83.15,1.28
2024-01-09,309188.0,83.15,83.0,84.5,81.7,82.04,-1.11
2024-01-10,266014.0,82.04,82.1,83.0,80.8,81.2,-0.84
2024-01-11,299161.0,81.2,81.5,81.55,79.25,79.74,-1.46
2024-01-12,210241.0,79.74,80.06,80.9,78.4,78.96,-0.78
2024-01-15,228254.0,78.96,80.38,80.4,78.0,78.33,-0.63
2024-01-16,112291.0,78.33,78.0,78.25,77.0,77.9,-0.43
2024-01-17,116609.0,77.9,77.75,78.75,76.12,76.92,-0.98
2024-01-18,112717.0,76.92,76.6,76.6,75.0,75.38,-1.54
2024-01-19,118488.0,75.38,76.4,76.4,73.99,74.22,-1.16
2024-01-22,60155.0,74.22,74.8,75.99,73.51,74.48,0.26
2024-01-23,440878.0,74.48,75.0,79.0,74.0,78.06,3.58
2024-01-24,828935.0,78.06,79.0,82.7,78.95,80.7,2.64
2024-01-25,742507.0,80.7,81.45,83.5,80.76,81.5,0.8
2024-01-26,225106.0,81.5,82.0,82.3,79.25,79.91,-1.59
2024-01-29,312134.0,79.91,79.5,79.5,76.0,76.21,-3.7
2024-01-30,219634.0,76.21,77.0,77.2,71.5,72.02,-4.19
2024-01-31,81616.0,72.02,73.0,74.9,72.5,72.99,0.97
2024-02-01,46155.0,72.99,73.0,74.0,72.0,73.45,0.46
2024-02-02,46585.0,73.45,74.1,74.75,72.61,74.36,0.91
2024-02-06,59060.0,74.36,73.8,75.89,73.0,75.26,0.9
2024-02-07,37277.0,75.26,75.9,76.5,74.5,75.25,-0.01
2024-02-09,53692.0,75.25,73.25,75.6,72.25,74.7,-0.55
2024-02-12,77262.0,74.7,73.05,74.99,70.75,71.25,-3.45
2024-02-13,107804.0,71.25,70.25,72.5,69.05,71.36,0.11
2024-02-14,72800.0,71.36,71.25,74.0,71.25,73.93,2.57
2024-02-15,108835.0,73.93,74.8,74.85,71.75,72.25,-1.68
2024-02-16,302581.0,72.25,68.76,69.88,66.83,66.88,-5.37
2024-02-19,74447.0,66.88,66.2,66.5,63.5,66.32,-0.56
2024-02-20,152537.0,66.32,67.45,69.3,66.5,67.43,1.11
2024-02-21,140003.0,67.43,68.8,68.9,67.0,67.94,0.51
2024-02-22,183061.0,67.94,68.89,68.93,66.91,67.93,-0.01
2024-02-23,183369.0,67.93,67.5,68.0,66.94,67.88,-0.05
