Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-01-01,480000.0,1.23,1.33,1.39,1.2,1.3,0.07
2024-01-02,87500.0,1.3,1.36,1.38,1.26,1.27,-0.03
2024-01-03,121000.0,1.27,1.33,1.34,1.26,1.3,0.03
2024-01-04,129500.0,1.3,1.3,1.36,1.26,1.29,-0.01
2024-01-05,42000.0,1.29,1.3,1.35,1.27,1.3,0.01
2024-01-08,283500.0,1.3,1.25,1.33,1.2,1.23,-0.07
2024-01-09,42500.0,1.23,1.26,1.26,1.16,1.21,-0.02
2024-01-10,104500.0,1.21,1.2,1.25,1.18,1.22,0.01
2024-01-11,90500.0,1.22,1.18,1.22,1.18,1.19,-0.03
2024-01-12,29500.0,1.19,1.25,1.28,1.18,1.19,0.0
2024-01-15,105000.0,1.19,1.16,1.2,1.15,1.15,-0.04
2024-01-16,36000.0,1.15,1.16,1.16,1.14,1.14,-0.01
2024-01-17,21000.0,1.14,1.16,1.2,1.15,1.16,0.02
2024-01-18,104000.0,1.16,1.17,1.2,1.15,1.18,0.02
2024-01-19,142500.0,1.18,1.16,1.17,1.1,1.13,-0.05
2024-01-22,133500.0,1.13,1.12,1.2,1.08,1.2,0.07
2024-01-23,3000.0,1.2,1.26,1.26,1.13,1.13,-0.07
2024-01-24,15000.0,1.13,1.12,1.21,1.12,1.14,0.01
2024-01-25,24500.0,1.14,1.11,1.15,1.1,1.11,-0.03
2024-01-26,79000.0,1.11,1.11,1.12,1.1,1.1,-0.01
2024-01-29,43500.0,1.1,1.07,1.12,1.07,1.07,-0.03
2024-01-30,56000.0,1.07,1.11,1.11,1.05,1.07,0.0
2024-01-31,13500.0,1.07,1.22,1.22,1.07,1.07,0.0
2024-02-01,32500.0,1.07,1.1,1.1,1.08,1.08,0.01
2024-02-02,2000.0,1.08,1.2,1.2,1.1,1.1,0.02
2024-02-06,89500.0,1.1,1.13,1.13,1.07,1.09,-0.01
2024-02-07,108000.0,1.09,1.15,1.15,1.09,1.1,0.01
2024-02-09,261500.0,1.1,1.06,1.26,1.06,1.08,-0.02
2024-02-12,218500.0,1.08,1.07,1.07,1.04,1.04,-0.04
2024-02-13,61500.0,1.04,1.04,1.1,1.01,1.08,0.04
2024-02-14,85000.0,1.08,1.07,1.19,1.06,1.15,0.07
2024-02-15,886500.0,1.15,1.2,1.32,1.17,1.23,0.08
