Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-01-01,84500.0,2.31,2.25,2.49,2.25,2.47,0.16
2024-01-02,56500.0,2.47,2.47,2.5,2.3,2.4,-0.07
2024-01-03,31000.0,2.4,2.31,2.4,2.31,2.32,-0.08
2024-01-04,53000.0,2.32,2.32,2.47,2.3,2.4,0.08
2024-01-05,23500.0,2.4,2.32,2.39,2.3,2.32,-0.08
2024-01-08,71500.0,2.32,2.33,2.4,2.28,2.29,-0.03
2024-01-09,28000.0,2.29,2.32,2.32,2.23,2.29,0.0
2024-01-10,1000.0,2.29,2.31,2.31,2.31,2.31,0.02
2024-01-11,256000.0,2.31,2.38,2.38,2.3,2.31,0.0
2024-01-12,283500.0,2.31,2.35,2.36,2.25,2.3,-0.01
2024-01-15,20500.0,2.3,2.3,2.32,2.27,2.27,-0.03
2024-01-16,42000.0,2.27,2.15,2.26,2.15,2.25,-0.02
2024-01-17,24000.0,2.25,2.25,2.37,2.25,2.37,0.12
2024-01-18,37500.0,2.37,2.05,2.25,2.0,2.16,-0.21
2024-01-19,12500.0,2.16,2.03,2.25,2.03,2.25,0.09
2024-01-22,204500.0,2.25,2.14,2.32,2.11,2.15,-0.1
2024-01-23,427500.0,2.15,2.18,2.2,2.17,2.2,0.05
2024-01-24,612000.0,2.2,2.2,2.2,2.2,2.2,0.0
2024-01-26,51500.0,2.2,2.06,2.24,2.05,2.12,-0.08
2024-01-29,183500.0,2.12,2.15,2.2,2.05,2.05,-0.07
2024-01-30,94000.0,2.05,2.1,2.15,2.02,2.02,-0.03
2024-01-31,16000.0,2.02,1.96,2.1,1.95,2.1,0.08
2024-02-01,17000.0,2.1,1.9,2.0,1.9,2.0,-0.1
2024-02-02,16000.0,2.0,2.09,2.1,2.05,2.05,0.05
2024-02-07,27000.0,2.05,2.1,2.11,2.09,2.11,0.06
2024-02-09,157500.0,2.11,2.11,2.48,2.11,2.19,0.08
2024-02-12,5500.0,2.19,2.12,2.12,2.11,2.11,-0.08
2024-02-13,17500.0,2.11,2.0,2.15,2.0,2.1,-0.01
2024-02-14,1500.0,2.1,2.1,2.27,2.1,2.27,0.17
2024-02-15,24500.0,2.27,2.25,2.25,2.15,2.16,-0.11
2024-02-16,12000.0,2.16,1.92,2.3,1.9,2.3,0.14
2024-02-20,52000.0,2.3,2.24,2.25,2.06,2.19,-0.11
2024-02-21,31000.0,2.19,2.15,2.15,2.13,2.13,-0.06
2024-02-22,24000.0,2.13,2.24,2.24,2.1,2.11,-0.02
2024-02-23,24500.0,2.11,2.15,2.5,2.15,2.2,0.09
2024-02-26,12500.0,2.2,2.1,2.29,2.1,2.25,0.05
2024-02-27,170500.0,2.25,2.4,2.4,2.0,2.03,-0.22
2024-02-28,1000.0,2.03,2.09,2.19,2.09,2.19,0.16
2024-02-29,38500.0,2.19,2.04,2.15,2.04,2.15,-0.04
2024-03-04,2500.0,2.15,2.07,2.24,2.07,2.24,0.09
2024-03-05,34000.0,2.24,2.11,2.12,2.1,2.12,-0.12
2024-03-06,978000.0,2.12,2.12,2.52,2.11,2.47,0.35
2024-03-07,3919000.0,2.47,2.41,3.2,2.41,2.85,0.38
2024-03-08,1477500.0,2.85,2.87,3.05,2.7,2.71,-0.14
2024-03-11,679500.0,2.71,2.8,2.99,2.59,2.62,-0.09
2024-03-12,282000.0,2.62,2.6,2.6,2.4,2.43,-0.19
2024-03-13,360000.0,2.43,2.35,2.35,2.18,2.19,-0.24
2024-03-14,147000.0,2.19,2.43,2.59,2.35,2.53,0.34
2024-03-15,53000.0,2.53,2.58,2.69,2.4,2.4,-0.13
2024-03-18,20000.0,2.4,2.3,2.5,2.3,2.37,-0.03
2024-03-19,29500.0,2.37,2.16,2.43,2.16,2.34,-0.03
2024-03-20,817500.0,2.34,2.45,2.74,2.35,2.61,0.27
2024-03-21,5349500.0,2.61,2.9,3.5,2.83,3.07,0.46
2024-03-22,601500.0,3.07,3.09,3.09,2.81,2.92,-0.15
