Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-03-25,240500.0,2.92,2.6,2.98,2.51,2.85,-0.07
2024-03-26,572000.0,2.85,2.85,2.85,2.6,2.67,-0.18
2024-03-27,185000.0,2.67,2.6,2.75,2.52,2.58,-0.09
2024-03-28,566000.0,2.58,2.85,2.85,2.5,2.6,0.02
2024-03-29,87500.0,2.6,2.53,2.53,2.5,2.5,-0.1
2024-04-01,147000.0,2.5,2.41,2.45,2.3,2.32,-0.18
2024-04-02,114000.0,2.32,2.43,2.49,2.28,2.45,0.13
2024-04-03,117000.0,2.45,2.4,2.5,2.28,2.35,-0.1
2024-04-04,791500.0,2.35,2.35,2.38,2.23,2.26,-0.09
2024-04-08,225000.0,2.26,2.3,2.42,2.25,2.33,0.07
2024-04-09,204000.0,2.33,2.31,2.32,2.2,2.26,-0.07
2024-04-15,137500.0,2.26,2.48,2.89,2.3,2.4,0.14
2024-04-16,65500.0,2.4,2.4,2.4,2.31,2.38,-0.02
2024-04-17,371000.0,2.38,2.35,2.74,2.3,2.56,0.18
2024-04-18,337000.0,2.56,2.51,2.65,2.5,2.59,0.03
2024-04-19,376500.0,2.59,2.6,2.75,2.5,2.53,-0.06
2024-04-22,131500.0,2.53,2.63,2.63,2.47,2.52,-0.01
2024-04-23,49000.0,2.52,2.49,2.55,2.39,2.39,-0.13
2024-04-24,260000.0,2.39,2.5,2.5,2.34,2.35,-0.04
2024-04-25,587000.0,2.35,2.29,2.36,2.25,2.28,-0.07
2024-04-26,154000.0,2.28,2.3,2.33,2.21,2.3,0.02
2024-04-29,258500.0,2.3,2.3,2.42,2.23,2.31,0.01
2024-04-30,536500.0,2.31,2.25,2.58,2.21,2.25,-0.06
2024-05-02,33500.0,2.25,2.3,2.3,2.21,2.21,-0.04
2024-05-03,136000.0,2.21,2.23,2.26,2.15,2.2,-0.01
2024-05-06,213000.0,2.2,2.14,2.25,2.14,2.18,-0.02
2024-05-07,110500.0,2.18,2.12,2.25,2.12,2.22,0.04
2024-05-08,1511500.0,2.22,2.2,2.2,2.0,2.03,-0.19
2024-05-09,579500.0,2.03,2.06,2.25,2.06,2.2,0.17
2024-05-10,196000.0,2.2,2.25,2.29,2.11,2.18,-0.02
2024-05-13,29000.0,2.18,2.2,2.25,2.15,2.22,0.04
2024-05-14,28500.0,2.22,2.29,2.29,2.18,2.2,-0.02
2024-05-15,181500.0,2.2,2.24,2.25,2.19,2.2,0.0
2024-05-16,18000.0,2.2,2.2,2.2,2.2,2.2,0.0
2024-05-17,29500.0,2.2,2.05,2.24,2.0,2.22,0.02
2024-05-20,18000.0,2.22,2.06,2.17,2.06,2.17,-0.05
2024-05-21,7500.0,2.17,2.2,2.21,2.19,2.2,0.03
2024-05-22,1532000.0,2.2,2.35,2.54,2.25,2.43,0.23
2024-05-23,938000.0,2.43,2.45,2.7,2.45,2.54,0.11
2024-05-24,723500.0,2.54,2.46,2.68,2.45,2.49,-0.05
2024-05-27,95500.0,2.49,2.5,2.5,2.42,2.42,-0.07
2024-05-29,288252.0,2.42,2.4,2.54,2.36,2.4,-0.02
2024-05-30,63657.0,2.4,2.59,2.59,2.36,2.46,0.06
2024-05-31,1119048.0,2.46,2.55,2.55,2.25,2.48,0.02
2024-06-03,7707.0,2.48,2.35,2.5,2.35,2.46,-0.02
2024-06-04,20515.0,2.46,2.5,2.54,2.39,2.42,-0.04
2024-06-05,27935.0,2.42,2.45,2.45,2.35,2.35,-0.07
2024-06-06,112408.0,2.35,2.4,2.5,2.36,2.44,0.09
2024-06-07,103414.0,2.44,2.49,2.58,2.3,2.51,0.07
2024-06-10,281077.0,2.51,2.59,2.63,2.34,2.36,-0.15
2024-06-11,172196.0,2.36,2.37,2.43,2.26,2.33,-0.03
2024-06-12,63613.0,2.33,2.39,2.39,2.21,2.23,-0.1
2024-06-13,50357.0,2.23,2.36,2.37,2.16,2.25,0.02
2024-06-14,23241.0,2.25,2.18,2.39,2.18,2.32,0.07
2024-06-20,17876.0,2.32,2.32,2.32,2.28,2.3,-0.02
2024-06-21,10111.0,2.3,2.52,2.52,2.27,2.3,0.0
2024-06-24,95817.0,2.3,2.45,2.45,2.2,2.35,0.05
2024-06-25,80251.0,2.35,2.42,2.42,2.16,2.21,-0.14
2024-06-26,36595.0,2.21,2.48,2.48,2.12,2.22,0.01
