Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-01-01,12000.0,5.19,5.19,5.25,5.19,5.25,0.06
2024-01-02,12000.0,5.25,4.6,6.25,4.5,5.81,0.56
2024-01-03,3000.0,5.81,5.16,5.3,5.11,5.3,-0.51
2024-01-05,500.0,5.3,5.69,5.69,5.69,5.69,0.39
2024-01-09,500.0,5.69,4.74,4.74,4.74,4.74,-0.95
2024-01-11,2000.0,4.74,5.73,5.73,4.85,5.0,0.26
2024-01-12,3500.0,5.0,4.32,5.73,4.32,4.7,-0.3
2024-01-15,1500.0,4.7,4.9,4.9,4.55,4.55,-0.15
2024-01-16,5000.0,4.55,4.62,5.44,4.61,5.4,0.85
2024-01-18,86000.0,5.4,0.0,0.0,0.0,5.4,0.0
2024-01-19,3500.0,5.4,5.89,5.89,4.41,4.41,-0.99
2024-01-22,3500.0,4.41,4.42,5.39,4.42,4.5,0.09
2024-01-23,500.0,4.5,4.26,4.26,4.26,4.26,-0.24
2024-01-24,1500.0,4.26,4.35,4.35,4.35,4.35,0.09
2024-01-29,103000.0,4.35,5.24,5.24,4.5,4.5,0.15
2024-01-30,15500.0,4.5,4.0,5.5,3.8,5.5,1.0
2024-02-01,1000.0,5.5,4.55,4.55,4.52,4.52,-0.98
2024-02-15,500.0,4.52,5.45,5.45,5.45,5.45,0.93
2024-02-16,500.0,5.45,4.53,4.53,4.53,4.53,-0.92
2024-02-19,500.0,4.53,5.52,5.52,5.52,5.52,0.99
2024-02-20,1000.0,5.52,5.52,5.52,4.57,4.57,-0.95
2024-02-26,500.0,4.57,4.51,4.51,4.51,4.51,-0.06
2024-03-01,1000.0,4.51,4.52,4.52,4.51,4.51,0.0
2024-03-14,500.0,4.51,4.01,4.01,4.01,4.01,-0.5
2024-03-25,2500.0,4.05,5.04,5.05,5.04,5.05,1.0
2024-03-26,6500.0,5.05,4.81,5.49,4.21,5.47,0.42
2024-03-28,500.0,5.47,4.5,4.5,4.5,4.5,-0.97
2024-03-29,500.0,4.5,4.7,4.7,4.7,4.7,0.2
2024-04-22,500.0,4.7,5.24,5.24,5.24,5.24,0.54
2024-04-25,1000.0,5.24,4.3,4.3,4.3,4.3,-0.94
2024-04-26,500.0,4.3,4.3,4.3,4.3,4.3,0.0
2024-04-30,21500.0,4.3,4.0,4.0,3.86,3.86,-0.44
2024-05-06,500.0,3.86,4.28,4.28,4.28,4.28,0.42
2024-05-07,4500.0,4.28,4.07,4.07,4.07,4.07,-0.21
2024-05-08,4000.0,4.07,4.38,4.38,4.07,4.07,0.0
2024-05-09,4500.0,4.07,4.01,4.01,3.98,4.0,-0.07
2024-05-10,1000.0,4.0,4.0,4.0,4.0,4.0,0.0
2024-05-13,500.0,4.0,4.07,4.07,4.07,4.07,0.07
2024-05-16,23000.0,4.07,3.61,3.97,3.61,3.97,-0.1
2024-05-17,17000.0,3.97,3.63,4.42,3.62,4.35,0.38
2024-05-20,1500.0,4.35,4.0,4.34,4.0,4.34,-0.01
2024-05-21,31000.0,4.34,3.99,4.26,3.99,4.02,-0.32
2024-05-22,2500.0,4.02,3.79,3.98,3.78,3.8,-0.22
2024-05-23,500.0,3.8,3.8,3.8,3.8,3.8,0.0
2024-05-24,271000.0,3.8,3.9,4.25,3.9,4.25,0.45
2024-05-27,200.0,4.25,4.25,4.25,4.25,4.25,0.0
2024-05-30,4502.0,4.25,4.3,4.44,4.11,4.11,-0.14
2024-05-31,31413.0,4.11,4.4,4.74,4.0,4.2,0.09
2024-06-03,6036.0,4.2,4.11,4.11,3.5,4.0,-0.2
2024-06-04,1.0,4.0,4.3,4.3,4.3,4.0,0.0
2024-06-05,1061.0,4.0,4.01,4.24,4.0,4.24,0.24
2024-06-06,2405.0,4.24,4.29,4.29,3.85,4.2,-0.04
2024-06-07,1000.0,4.2,4.6,4.6,4.59,4.59,0.39
2024-06-10,3002.0,4.59,3.92,3.92,3.71,3.9,-0.69
2024-06-11,170.0,3.9,0.0,0.0,0.0,3.9,0.0
2024-06-12,2000.0,3.9,4.0,4.0,3.96,3.96,0.06
2024-06-13,1556.0,3.96,3.72,4.1,3.72,4.1,0.14
2024-06-14,710.0,4.1,4.2,4.2,4.2,4.2,0.1
2024-06-20,2.0,4.2,3.81,3.9,3.81,4.2,0.0
2024-06-21,63428.0,4.2,4.5,5.2,4.5,5.2,1.0
2024-06-24,23798.0,5.2,5.5,6.2,5.5,5.98,0.78
2024-06-25,7198.0,5.98,4.99,5.55,4.98,5.03,-0.95
2024-06-26,7686.0,5.03,5.0,5.01,4.45,4.45,-0.58
2024-06-27,14894.0,4.45,4.6,5.45,4.6,5.45,1.0
2024-06-28,60534.0,5.45,4.61,6.45,4.61,6.45,1.0
2024-07-01,93524.0,6.45,7.45,7.45,7.45,7.45,1.0
2024-07-02,107587.0,7.45,8.45,8.45,7.02,8.45,1.0
2024-07-03,104300.0,8.45,9.45,9.45,9.4,9.45,1.0
2024-07-04,53719.0,9.45,10.0,10.0,8.45,8.45,1.0
2024-07-05,38698.0,8.45,8.5,8.5,7.45,7.45,1.0
2024-07-08,7052.0,7.45,6.51,8.0,6.5,6.7,-0.75
2024-07-09,17439.0,6.7,6.7,6.95,6.25,6.4,-0.3
2024-07-10,2243.0,6.4,6.5,6.5,5.9,6.03,-0.37
2024-07-11,26860.0,6.03,6.41,6.8,6.32,6.39,0.36
2024-07-12,13716.0,6.39,6.3,6.8,5.9,6.23,-0.16
2024-07-15,6054.0,6.23,6.5,6.75,6.3,6.33,0.1
2024-07-18,15635.0,6.33,6.49,6.9,6.3,6.6,0.27
2024-07-19,4701.0,6.6,6.6,6.6,6.11,6.26,-0.34
2024-07-22,10001.0,6.26,6.3,6.3,6.2,6.26,0.0
2024-07-23,2712.0,6.26,6.3,6.39,6.2,6.3,0.04
2024-07-24,7675.0,6.3,6.4,6.47,6.15,6.25,-0.05
2024-07-25,27694.0,6.25,6.25,6.84,6.25,6.57,0.32
2024-07-26,11000.0,6.57,6.45,7.5,6.45,6.5,-0.07
2024-07-29,2563.0,6.5,7.35,7.35,7.0,7.2,0.7
2024-07-30,7687.0,7.2,7.64,7.65,7.05,7.12,-0.08
2024-07-31,37082.0,7.12,7.55,7.55,6.2,7.2,0.08
2024-08-01,12873.0,7.2,6.8,7.77,6.8,7.54,0.34
2024-08-02,116242.0,7.54,7.5,8.54,7.5,8.51,0.97
2024-08-05,165354.0,8.51,9.35,9.51,8.6,9.51,1.0
2024-08-06,33242.0,9.51,10.05,10.51,9.55,10.08,0.57
2024-08-07,3090.0,10.08,9.6,10.65,9.6,10.2,0.12
2024-08-08,2042.0,10.2,9.5,10.2,9.28,9.51,-0.69
2024-08-09,27808.0,9.51,9.99,9.99,8.51,9.77,0.26
2024-08-12,2144.0,9.77,9.5,9.5,8.77,8.77,1.0
2024-08-13,113.0,8.77,9.75,9.75,8.0,8.77,0.0
2024-08-15,16417.0,8.77,7.78,9.5,7.78,8.0,-0.77
2024-08-16,2073.0,8.0,7.98,8.8,7.02,7.17,-0.83
2024-08-19,534.0,7.17,7.85,7.85,6.54,7.72,0.55
2024-08-20,2305.0,7.72,7.73,7.73,7.5,7.5,-0.22
2024-08-21,1006.0,7.5,7.5,8.5,7.5,7.51,0.01
2024-08-22,433.0,7.51,8.5,8.5,6.53,7.51,0.0
2024-08-23,40294.0,7.51,8.5,8.5,6.51,7.0,-0.51
2024-08-26,5830.0,7.0,7.8,8.0,7.55,7.6,0.6
2024-08-28,1218.0,7.6,8.0,8.0,7.8,7.8,0.2
2024-08-29,1121.0,7.8,6.85,7.75,6.85,7.75,-0.05
2024-08-30,2.0,7.75,7.75,8.7,7.75,7.75,0.0
2024-09-02,1704.0,7.75,6.9,7.5,6.9,7.41,-0.34
2024-09-03,101.0,7.41,7.0,7.7,7.0,7.41,0.0
2024-09-04,14860.0,7.41,7.74,8.41,7.74,8.41,1.0
2024-09-05,3161.0,8.41,9.0,9.0,8.0,8.0,-0.41
2024-09-06,2001.0,8.0,7.6,8.0,7.6,7.7,-0.3
2024-09-09,2.0,7.7,6.7,8.47,6.7,7.7,0.0
2024-09-10,8058.0,7.7,8.42,8.42,6.7,6.82,-0.88
2024-09-11,1979.0,6.82,7.6,7.6,7.0,7.55,0.73
2024-09-12,6.0,7.55,6.65,7.49,6.65,7.55,0.0
2024-09-13,295.0,7.55,7.55,7.55,7.5,7.55,0.0
2024-09-16,25.0,7.55,7.55,7.55,7.54,7.55,0.0
2024-09-19,1.0,7.55,7.6,7.6,7.6,7.55,0.0
2024-09-20,9.0,7.55,6.55,7.54,6.55,7.55,0.0
2024-09-23,38703.0,7.55,8.0,8.55,7.9,8.55,1.0
2024-09-24,20627.0,8.55,9.5,9.55,8.55,9.55,1.0
2024-09-25,39195.0,9.55,10.45,10.55,10.4,10.54,0.99
2024-09-26,55779.0,10.54,9.5,10.6,9.49,9.54,1.0
2024-09-27,8280.0,9.54,8.54,8.7,8.54,8.54,1.0
2024-09-30,5149.0,8.54,9.4,9.4,7.54,7.54,1.0
2024-10-01,4103.0,7.54,7.98,7.98,7.2,7.53,-0.01
2024-10-02,2699.0,7.53,7.45,7.99,7.0,7.6,0.07
2024-10-03,6380.0,7.6,8.49,8.49,6.6,7.99,0.39
2024-10-04,1316.0,7.99,7.99,7.99,7.65,7.96,-0.03
2024-10-07,802.0,7.96,7.25,7.97,7.25,7.46,-0.5
2024-10-08,4720.0,7.46,8.0,8.0,6.46,7.04,-0.42
2024-10-10,507.0,7.04,7.0,7.04,7.0,7.0,-0.04
2024-10-11,750.0,7.0,7.0,7.9,6.5,6.83,-0.17
2024-10-14,4721.0,6.83,7.78,7.83,5.83,7.58,0.75
2024-10-15,3417.0,7.58,8.0,8.0,7.2,7.87,0.29
2024-10-16,3037.0,7.87,8.7,8.7,7.0,8.09,0.22
2024-10-17,17816.0,8.09,8.8,8.8,7.3,7.93,-0.16
2024-10-18,2215.0,7.93,7.1,8.1,6.93,7.17,-0.76
2024-10-21,37.0,7.17,7.98,7.98,7.98,7.17,0.0
2024-10-22,27129.0,7.17,6.75,7.4,6.17,6.87,-0.3
2024-10-23,2375.0,6.87,7.65,7.65,6.64,7.35,0.48
2024-10-24,523.0,7.35,7.1,7.96,6.85,7.21,-0.14
