Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-01-01,206500.0,40.06,40.0,43.06,40.0,43.06,3.0
2024-01-02,592500.0,43.06,45.97,46.29,44.0,44.9,1.84
2024-01-03,38500.0,44.9,44.5,45.49,43.55,44.69,-0.21
2024-01-04,36000.0,44.69,44.0,45.49,43.85,45.49,0.8
2024-01-05,275500.0,45.49,45.45,47.0,42.13,46.64,1.15
2024-01-08,11000.0,46.64,44.13,46.44,44.13,45.61,-1.03
2024-01-09,86500.0,45.61,44.61,47.0,44.55,46.26,0.65
2024-01-10,328000.0,46.26,46.01,49.73,46.01,49.2,2.94
2024-01-11,158000.0,49.2,47.5,50.8,47.5,50.24,1.04
2024-01-12,118500.0,50.24,50.5,50.5,49.1,50.0,-0.24
2024-01-15,137000.0,50.0,48.76,51.0,48.51,50.5,0.5
2024-01-16,500.0,50.5,50.4,50.4,50.4,50.4,-0.1
2024-01-17,91000.0,50.4,50.0,54.18,49.5,50.25,-0.15
2024-01-18,112000.0,50.25,47.56,50.25,47.55,50.22,-0.03
2024-01-19,97000.0,50.22,50.9,51.99,50.51,51.37,1.15
2024-01-22,9500.0,51.37,50.51,51.59,50.51,51.05,-0.32
2024-01-23,37500.0,51.05,47.76,51.89,47.7,50.99,-0.06
2024-01-24,7000.0,50.99,50.84,51.0,50.5,50.5,-0.49
2024-01-25,153500.0,50.5,50.35,50.35,48.0,49.84,-0.66
2024-01-26,3000.0,49.84,48.0,48.0,48.0,48.0,-1.84
2024-01-29,1000.0,48.0,47.01,48.48,47.01,48.48,0.48
2024-01-30,14000.0,48.48,47.06,47.5,44.84,45.47,-3.01
2024-01-31,1500.0,45.47,45.98,45.98,45.98,45.98,0.51
2024-02-01,2000.0,45.98,45.0,45.69,45.0,45.65,-0.33
2024-02-02,160000.0,45.65,44.0,44.99,42.5,44.4,-1.25
2024-02-07,7500.0,44.4,44.0,45.99,43.5,44.62,0.22
2024-02-09,3500.0,44.62,42.03,44.64,42.03,43.9,-0.72
2024-02-12,8000.0,43.9,42.99,47.0,42.99,45.5,1.6
2024-02-13,7000.0,45.5,45.0,45.5,42.1,44.83,-0.67
2024-02-14,1500.0,44.83,46.5,46.5,43.51,46.12,1.29
2024-02-15,8000.0,46.12,42.7,45.75,42.7,45.11,-1.01
2024-02-16,5000.0,45.11,47.9,47.9,41.9,43.28,-1.83
2024-02-19,6000.0,43.28,40.52,44.99,40.52,44.49,1.21
2024-02-20,39000.0,44.49,46.0,46.0,43.1,44.75,0.26
2024-02-21,7500.0,44.75,44.75,46.8,44.75,46.8,2.05
2024-02-22,5500.0,46.8,43.5,47.5,43.5,47.25,0.45
2024-02-23,27000.0,47.25,48.5,48.5,43.71,44.54,-2.71
2024-02-26,17500.0,44.54,46.74,47.88,45.5,47.84,3.3
2024-02-27,4000.0,47.84,45.56,45.99,44.81,45.59,-2.25
2024-02-28,12000.0,45.59,46.49,46.5,45.0,45.34,-0.25
2024-02-29,206000.0,45.34,43.0,48.48,42.1,44.67,-0.67
2024-03-01,108000.0,44.67,42.05,45.94,42.05,44.97,0.3
2024-03-04,3500.0,44.97,46.99,46.99,44.0,44.94,-0.03
2024-03-05,41500.0,44.94,43.0,45.98,41.57,41.69,-3.25
2024-03-06,75000.0,41.69,42.87,42.9,41.0,41.95,0.26
2024-03-07,50500.0,41.95,41.0,41.0,38.8,38.8,-3.15
2024-03-08,34500.0,38.8,38.4,39.0,36.5,38.31,-0.49
2024-03-11,206500.0,38.31,37.53,37.98,35.44,35.44,-2.87
2024-03-12,42000.0,35.44,32.78,32.78,32.78,32.78,-2.66
2024-03-13,779500.0,32.78,30.32,31.2,30.32,30.32,-2.46
2024-03-14,184000.0,30.32,31.15,31.5,30.5,31.2,0.88
2024-03-15,41500.0,31.2,31.59,31.65,31.0,31.21,0.01
2024-03-18,22000.0,31.21,31.0,31.45,30.5,30.73,-0.48
2024-03-19,111000.0,30.73,30.5,32.4,30.5,31.5,0.77
2024-03-20,10000.0,31.5,31.5,31.5,31.0,31.07,-0.43
2024-03-21,86000.0,31.07,30.5,31.8,29.31,30.15,-0.92
2024-03-22,24000.0,30.15,29.99,30.3,29.99,30.0,-0.15
2024-03-25,47500.0,30.0,29.61,30.0,29.1,29.21,-0.79
2024-03-26,28000.0,29.21,29.9,30.0,29.89,30.0,0.79
2024-03-27,32500.0,30.0,30.9,30.9,29.26,29.38,-0.62
2024-03-28,3500.0,29.38,29.2,29.69,29.1,29.69,0.31
2024-03-29,3000.0,29.69,29.01,29.75,29.01,29.75,0.06
2024-04-01,1500.0,29.75,28.75,29.5,28.75,29.5,-0.25
2024-04-02,20000.0,29.5,29.0,30.39,28.99,30.39,0.89
2024-04-03,83000.0,30.39,30.0,32.0,30.0,31.89,1.5
2024-04-04,49000.0,31.89,32.9,33.0,30.75,32.0,0.11
2024-04-08,162500.0,32.0,31.99,32.8,31.25,32.42,0.42
2024-04-09,25000.0,32.42,32.65,33.0,31.71,32.0,-0.42
2024-04-15,395000.0,32.0,31.6,34.4,31.6,34.08,2.08
2024-04-16,183000.0,34.08,33.61,35.84,33.61,34.82,0.74
2024-04-17,332000.0,34.82,35.45,36.0,34.0,34.21,-0.61
2024-04-18,46500.0,34.21,34.49,34.5,32.65,32.65,-1.56
2024-04-19,9500.0,32.65,33.0,33.29,32.51,32.97,0.32
2024-04-22,44500.0,32.97,32.5,33.8,32.5,33.39,0.42
2024-04-23,116000.0,33.39,33.0,34.23,32.5,32.85,-0.54
2024-04-24,42000.0,32.85,33.5,33.6,32.7,33.06,0.21
2024-04-25,48500.0,33.06,33.96,33.96,32.5,32.54,-0.52
2024-04-26,17000.0,32.54,32.25,32.69,31.8,32.32,-0.22
2024-04-29,36500.0,32.32,33.44,33.44,31.5,32.9,0.58
2024-04-30,28000.0,32.9,32.01,33.48,31.5,32.0,-0.9
2024-05-02,60000.0,32.0,30.52,31.74,30.52,31.01,-0.99
2024-05-03,34500.0,31.01,31.99,32.5,31.5,32.04,1.03
2024-05-06,132000.0,32.04,32.5,33.5,32.0,32.06,0.02
2024-05-07,144000.0,32.06,31.02,33.29,31.01,32.86,0.8
2024-05-08,60000.0,32.86,33.6,33.6,31.65,32.15,-0.71
2024-05-09,14500.0,32.15,32.0,32.5,32.0,32.49,0.34
2024-05-10,255500.0,32.49,32.9,33.8,32.9,33.25,0.76
2024-05-13,215000.0,33.25,33.51,34.5,32.85,33.79,0.54
2024-05-14,133500.0,33.79,33.51,34.7,33.2,33.69,-0.1
2024-05-15,65000.0,33.69,33.75,34.05,33.0,33.36,-0.33
2024-05-16,79500.0,33.36,33.0,33.75,33.0,33.25,-0.11
2024-05-17,288000.0,33.25,33.7,35.74,33.55,35.74,2.49
2024-05-20,351500.0,35.74,37.1,37.5,36.5,37.35,1.61
2024-05-21,59000.0,37.35,37.99,37.99,36.1,36.18,-1.17
2024-05-22,85000.0,36.18,36.95,36.95,34.2,34.56,-1.62
2024-05-23,23500.0,34.56,34.55,35.33,34.55,34.69,0.13
2024-05-24,22000.0,34.69,35.0,35.0,33.5,33.73,-0.96
2024-05-27,30200.0,33.73,32.1,34.27,32.1,34.0,0.27
2024-05-29,4501.0,34.0,34.0,34.0,32.75,33.5,-0.5
2024-05-30,22492.0,33.5,33.5,34.1,33.0,33.97,0.47
2024-05-31,28501.0,33.97,33.99,34.44,33.99,34.35,0.38
2024-06-03,92540.0,34.35,34.5,35.0,33.85,33.89,-0.46
2024-06-04,23952.0,33.89,34.21,34.21,33.0,33.4,-0.49
2024-06-05,2002.0,33.4,33.33,33.33,32.66,33.24,-0.16
2024-06-06,22704.0,33.24,33.89,34.1,32.56,33.23,-0.01
2024-06-07,73003.0,33.23,32.01,33.49,32.0,33.31,0.08
2024-06-10,8309.0,33.31,33.99,34.0,33.0,33.1,-0.21
2024-06-11,67081.0,33.1,33.5,33.5,32.0,32.0,-1.1
2024-06-12,167499.0,32.0,32.0,32.95,30.85,31.1,-0.9
2024-06-13,102701.0,31.1,32.24,33.54,31.51,33.16,2.06
2024-06-14,153617.0,33.16,34.34,34.6,31.0,31.15,-2.01
2024-06-20,80354.0,31.15,31.99,32.5,31.13,31.97,0.82
2024-06-21,55922.0,31.97,33.95,34.34,32.0,32.21,0.24
2024-06-24,58066.0,32.21,30.6,33.3,30.6,31.46,-0.75
2024-06-25,112306.0,31.46,32.85,32.85,29.66,30.0,-1.46
2024-06-26,55813.0,30.0,30.0,30.0,29.51,29.96,-0.04
2024-06-27,62221.0,29.96,30.93,30.93,29.3,29.36,-0.6
2024-06-28,9404.0,29.36,30.49,30.49,27.16,29.72,0.36
2024-07-01,18433.0,29.72,31.89,31.89,28.21,30.0,0.28
2024-07-02,6760.0,30.0,29.5,30.85,29.21,29.99,-0.01
2024-07-03,56738.0,29.99,30.5,30.5,28.05,29.18,-0.81
2024-07-04,26544.0,29.18,29.5,29.98,29.0,29.02,-0.16
2024-07-05,57082.0,29.02,29.0,29.8,29.0,29.55,0.53
2024-07-08,9030.0,29.55,29.9,29.9,27.6,29.26,-0.29
2024-07-09,38204.0,29.26,29.01,29.93,29.0,29.43,0.17
2024-07-10,19551.0,29.43,29.18,29.35,29.0,29.01,-0.42
2024-07-11,2449.0,29.01,29.5,29.5,28.45,28.92,-0.09
2024-07-12,63348.0,28.92,28.5,29.95,28.0,28.37,-0.55
2024-07-15,21079.0,28.37,28.45,29.4,28.45,28.97,0.6
2024-07-18,112471.0,28.97,29.44,30.0,29.0,29.62,0.65
2024-07-19,66192.0,29.62,30.5,30.5,28.57,28.99,-0.63
2024-07-22,32991.0,28.99,29.0,29.8,29.0,29.74,0.75
2024-07-23,19154.0,29.74,29.8,30.29,29.02,29.82,0.08
2024-07-24,113172.0,29.82,29.94,31.5,29.5,30.9,1.08
2024-07-25,58967.0,30.9,31.44,31.5,30.0,30.18,-0.72
2024-07-26,338152.0,30.18,31.19,33.2,31.0,32.17,1.99
2024-07-29,406517.0,32.17,32.5,34.89,31.06,32.38,0.21
2024-07-30,78834.0,32.38,33.49,33.49,31.26,31.43,-0.95
2024-07-31,115801.0,31.43,31.85,31.85,30.0,30.7,-0.73
2024-08-01,91655.0,30.7,31.48,31.74,30.06,31.47,0.77
2024-08-02,95429.0,31.47,31.54,32.19,30.5,30.89,-0.58
2024-08-05,72162.0,30.89,31.98,31.98,29.35,31.0,0.11
2024-08-06,93798.0,31.0,31.0,32.5,31.0,31.91,0.91
2024-08-07,70692.0,31.91,33.4,33.5,32.0,32.75,0.84
2024-08-08,58810.0,32.75,33.7,33.7,31.55,32.55,-0.2
2024-08-09,59335.0,32.55,33.85,33.85,31.55,31.71,-0.84
2024-08-12,76820.0,31.71,32.49,32.49,31.0,31.31,-0.4
2024-08-13,53702.0,31.31,30.55,31.93,30.55,31.21,-0.1
2024-08-15,67873.0,31.21,30.18,32.48,30.18,32.4,1.19
2024-08-16,104340.0,32.4,32.6,34.89,31.55,33.51,1.11
2024-08-19,91309.0,33.51,33.5,34.49,33.0,33.62,0.11
2024-08-20,55130.0,33.62,32.3,33.5,32.3,33.5,-0.12
2024-08-21,99980.0,33.5,34.7,36.8,34.0,35.58,2.08
2024-08-22,117672.0,35.58,35.57,36.99,34.5,34.97,-0.61
2024-08-23,57362.0,34.97,35.95,35.95,34.01,34.89,-0.08
2024-08-26,55102.0,34.89,36.0,36.0,33.03,33.27,-1.62
2024-08-27,56649.0,33.27,34.25,34.25,32.78,33.02,-0.25
2024-08-28,53846.0,33.02,33.4,33.6,33.39,33.41,0.39
2024-08-29,54988.0,33.41,34.25,34.25,33.2,33.63,0.22
2024-08-30,9115.0,33.63,34.0,34.0,32.0,32.45,-1.18
2024-09-02,9572.0,32.45,32.58,32.58,31.8,31.8,-0.65
2024-09-03,69921.0,31.8,32.0,33.18,31.9,32.85,1.05
2024-09-04,58827.0,32.85,33.79,33.79,32.1,33.0,0.15
2024-09-05,57368.0,33.0,32.55,33.19,32.55,32.65,-0.35
2024-09-06,52050.0,32.65,32.1,32.22,32.1,32.22,-0.43
2024-09-09,50412.0,32.22,29.3,32.99,29.3,32.22,0.0
2024-09-10,50775.0,32.22,33.4,33.4,32.39,32.99,0.77
2024-09-11,57522.0,32.99,33.9,33.9,32.5,32.5,-0.49
2024-09-12,59660.0,32.5,33.45,33.45,32.5,33.0,0.5
2024-09-13,64939.0,33.0,33.1,33.5,32.27,32.4,-0.6
2024-09-16,50200.0,32.4,32.4,32.4,32.0,32.4,0.0
2024-09-18,51071.0,32.4,32.4,32.92,32.4,32.4,0.0
2024-09-19,58605.0,32.4,32.0,32.98,31.85,32.0,-0.4
2024-09-20,53933.0,32.0,30.5,32.7,30.5,32.0,0.0
2024-09-23,50003.0,32.0,32.49,32.49,32.0,32.0,0.0
2024-09-24,2104.0,32.0,31.05,31.05,31.0,31.0,1.0
2024-09-25,24871.0,31.0,32.65,34.0,31.5,31.53,0.53
2024-09-26,28359.0,31.53,33.45,33.45,31.12,31.99,0.46
2024-09-27,22355.0,31.99,32.25,32.25,29.0,30.31,-1.68
2024-09-30,23920.0,30.31,32.35,32.4,30.0,30.46,0.15
2024-10-01,6567.0,30.46,31.46,31.85,30.93,31.49,1.03
2024-10-02,3695.0,31.49,32.0,32.0,30.02,31.0,-0.49
2024-10-03,12180.0,31.0,30.11,32.4,30.11,31.71,0.71
2024-10-04,19.0,31.71,31.51,31.51,31.41,31.71,0.0
2024-10-07,144338.0,31.71,32.8,34.88,32.8,34.88,3.17
