Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-01-02,500.0,3.76,3.77,3.77,3.77,3.77,0.01
2024-01-03,11000.0,3.77,3.51,4.0,3.51,3.96,0.19
2024-01-05,4500.0,3.96,3.61,3.8,3.61,3.78,-0.18
2024-01-08,500.0,3.78,3.81,3.81,3.81,3.81,0.03
2024-01-10,500.0,3.81,3.8,3.8,3.8,3.8,-0.01
2024-01-24,500.0,3.8,3.99,3.99,3.99,3.99,0.19
2024-01-25,17000.0,3.99,3.63,4.07,3.5,4.0,0.01
2024-01-30,1000.0,4.0,3.63,3.63,3.63,3.63,-0.37
2024-01-31,4000.0,3.63,3.55,3.56,3.55,3.56,-0.07
2024-02-02,1000.0,3.56,3.5,3.5,3.5,3.5,-0.06
2024-02-06,12500.0,3.5,3.3,4.0,3.3,4.0,0.5
2024-02-07,3500.0,4.0,3.99,3.99,3.99,3.99,-0.01
2024-02-09,500.0,3.99,3.5,3.5,3.5,3.5,-0.49
2024-02-12,7500.0,3.5,3.5,3.5,3.5,3.5,0.0
2024-02-13,5500.0,3.5,3.5,3.5,3.5,3.5,0.0
2024-02-15,1000.0,3.5,3.43,3.43,3.43,3.43,-0.07
2024-02-16,1000.0,3.43,3.8,4.0,3.8,3.9,0.47
2024-02-28,1000.0,3.9,3.5,3.7,3.5,3.7,-0.2
2024-03-04,2500.0,3.7,3.51,3.85,3.5,3.55,-0.15
2024-03-05,11000.0,3.55,3.3,3.5,3.0,3.5,-0.05
2024-03-07,14500.0,3.5,3.2,3.5,2.72,3.35,-0.15
2024-03-08,500.0,3.35,3.4,3.4,3.4,3.4,0.05
2024-03-12,1000.0,3.4,3.21,3.21,3.2,3.2,-0.2
2024-03-18,1000.0,3.2,3.0,3.0,3.0,3.0,-0.2
2024-03-25,1500.0,3.0,2.8,2.8,2.8,2.8,-0.2
2024-03-26,500.0,2.8,0.0,0.0,0.0,2.8,0.0
2024-03-27,500.0,2.8,0.0,0.0,0.0,2.8,0.0
2024-04-17,500.0,2.8,2.9,2.9,2.9,2.9,0.1
2024-04-25,3000.0,2.9,3.2,3.5,3.2,3.45,0.55
2024-05-09,23500.0,3.45,3.1,3.3,3.0,3.06,-0.39
2024-05-10,19500.0,3.06,3.1,3.1,3.05,3.05,-0.01
2024-05-13,3500.0,3.05,3.4,3.4,3.03,3.03,-0.02
