Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-01-01,7057217.0,31.9,31.98,32.45,31.48,32.07,0.17
2024-01-02,4915160.0,32.07,32.1,32.17,31.41,31.59,-0.48
2024-01-03,12281218.0,31.59,31.65,33.0,31.62,32.43,0.84
2024-01-04,6429249.0,32.43,32.74,32.85,31.81,32.08,-0.35
2024-01-05,3041527.0,32.08,32.1,32.3,31.19,31.67,-0.41
2024-01-08,9923982.0,31.67,31.94,31.94,29.41,29.78,-1.89
2024-01-09,5141931.0,29.78,29.8,30.06,29.3,29.58,-0.2
2024-01-10,9125414.0,29.58,29.79,30.78,29.01,30.0,0.42
2024-01-11,3445560.0,30.0,30.24,30.62,30.02,30.31,0.31
2024-01-12,3495096.0,30.31,30.36,30.62,29.2,29.33,-0.98
2024-01-15,11588539.0,29.33,29.6,31.25,29.6,30.33,1.0
2024-01-16,4661944.0,30.33,30.36,30.8,29.9,30.41,0.08
2024-01-17,22432023.0,30.41,30.28,31.05,28.13,28.39,-2.02
2024-01-18,4031311.0,28.39,28.35,28.6,27.81,28.33,-0.06
2024-01-19,4483058.0,28.33,28.55,29.49,28.45,28.78,0.45
2024-01-22,1408111.0,28.78,29.15,29.19,28.2,28.6,-0.18
2024-01-23,11906894.0,28.6,28.95,30.75,28.4,30.01,1.41
2024-01-24,6251115.0,30.01,30.06,30.8,30.06,30.56,0.55
2024-01-25,24116651.0,30.56,30.51,30.9,28.6,29.48,-1.08
2024-01-26,6226682.0,29.48,29.02,29.19,27.87,28.02,-1.46
2024-01-29,3715728.0,28.02,28.01,28.3,27.0,27.05,-0.97
2024-01-30,9640928.0,27.05,27.01,27.51,25.25,26.14,-0.91
2024-01-31,5190075.0,26.14,26.0,26.95,26.0,26.77,0.63
2024-02-01,2687260.0,26.77,26.76,27.35,26.5,26.93,0.16
2024-02-02,1465237.0,26.93,26.62,27.2,26.5,27.0,0.07
2024-02-06,2059399.0,27.0,27.08,27.35,26.7,27.04,0.04
2024-02-07,2575188.0,27.04,27.22,27.25,26.5,27.04,0.0
2024-02-09,1834132.0,27.04,27.03,27.03,26.0,26.04,1.0
2024-02-12,1793043.0,26.04,26.11,26.11,25.02,25.41,-0.63
2024-02-13,9096783.0,25.41,25.19,27.32,24.5,27.32,1.91
2024-02-14,4580176.0,27.32,27.75,28.25,27.64,27.71,0.39
2024-02-15,1776823.0,27.71,27.75,27.81,27.0,27.19,-0.52
2024-02-16,2279588.0,27.19,26.91,26.91,25.15,25.15,-2.04
2024-02-19,7173793.0,25.15,23.61,24.9,23.38,24.21,-0.94
2024-02-20,2664205.0,24.21,24.1,25.21,24.1,24.35,0.14
2024-02-21,3075578.0,24.35,25.01,25.99,24.85,25.69,1.34
2024-02-22,1344898.0,25.69,26.1,26.25,25.5,25.91,0.22
2024-02-23,2742164.0,25.91,25.6,25.9,24.6,25.4,-0.51
2024-02-26,1483195.0,25.4,25.45,26.09,25.45,25.62,0.22
2024-02-27,718532.0,25.62,25.37,25.91,25.3,25.51,-0.11
2024-02-28,1581347.0,25.51,25.94,26.35,25.1,26.1,0.59
2024-02-29,2981673.0,26.1,26.36,27.25,26.31,26.81,0.71
2024-03-01,664084.0,26.81,27.0,27.0,26.2,26.37,-0.44
2024-03-04,946159.0,26.37,26.57,26.75,26.01,26.24,-0.13
2024-03-05,1927344.0,26.24,26.5,26.94,26.01,26.45,0.21
2024-03-06,1095448.0,26.45,26.59,26.75,26.0,26.04,-0.41
2024-03-07,1298443.0,26.04,26.4,26.6,25.7,25.93,-0.11
2024-03-08,1224183.0,25.93,25.93,26.14,25.65,25.75,-0.18
2024-03-11,1178387.0,25.75,25.9,26.6,25.8,26.24,0.49
2024-03-12,358505.0,26.24,26.24,26.5,25.52,25.82,-0.42
2024-03-13,590255.0,25.82,26.0,26.0,25.25,25.57,-0.25
2024-03-14,912779.0,25.57,25.57,26.0,25.41,25.79,0.22
2024-03-15,1694161.0,24.79,24.91,25.65,24.8,25.24,0.45
2024-03-18,577984.0,25.24,25.01,25.4,24.5,24.56,-0.68
2024-03-19,1051355.0,24.56,24.4,25.1,24.11,24.93,0.37
2024-03-20,1511458.0,24.93,25.0,25.63,24.71,24.97,0.04
2024-03-21,1284047.0,24.97,25.06,25.7,25.0,25.23,0.26
2024-03-22,1223905.0,25.23,25.4,25.4,24.3,24.49,-0.74
2024-03-25,151.0,25.07,24.92,24.92,24.89,24.89,-0.18
2024-03-26,1202011.0,24.54,24.3,24.95,24.14,24.75,0.21
2024-03-27,6278187.0,24.75,25.0,26.61,24.9,26.61,1.86
2024-03-28,4668514.0,26.61,27.2,28.25,27.2,27.85,1.24
2024-03-29,1159493.0,27.85,28.0,28.07,27.35,27.44,-0.41
2024-04-01,990966.0,27.44,27.59,28.0,27.01,27.11,-0.33
2024-04-02,770563.0,27.11,27.07,27.84,27.02,27.52,0.41
2024-04-03,1506554.0,27.52,27.77,28.48,27.26,27.91,0.39
2024-04-04,2369831.0,27.91,27.9,28.5,27.4,28.17,0.26
2024-04-08,4838692.0,28.17,28.45,29.4,28.27,29.19,1.02
2024-04-09,11176815.0,29.19,29.29,31.25,28.8,31.0,1.81
2024-04-15,2928932.0,31.0,30.88,30.89,29.7,30.51,-0.49
2024-04-16,6165835.0,30.51,30.15,31.73,30.15,30.27,-0.24
2024-04-17,2328657.0,30.27,30.35,30.5,29.0,29.23,-1.04
2024-04-18,4618431.0,29.23,29.27,29.6,28.32,29.14,-0.09
2024-04-19,3914.0,29.37,29.5,31.25,29.38,30.8,1.43
2024-04-22,5905196.0,30.61,31.0,31.6,30.5,30.9,0.29
2024-04-23,6599348.0,30.9,30.8,31.74,30.7,30.9,0.0
2024-04-24,10365508.0,30.9,30.97,32.34,30.97,32.23,1.33
2024-04-25,22816612.0,32.23,32.75,33.2,30.11,31.42,-0.81
2024-04-26,18112363.0,31.42,31.6,33.78,31.2,33.78,2.36
2024-04-29,35168028.0,33.78,34.98,36.31,34.6,35.62,1.84
2024-04-30,20141196.0,35.62,35.48,37.5,35.33,36.14,0.52
2024-05-02,8229624.0,36.14,36.5,36.59,34.11,34.86,-1.28
2024-05-03,9011651.0,34.86,35.2,35.65,34.61,35.29,0.43
2024-05-06,11599339.0,35.29,36.39,36.39,34.69,34.84,-0.45
2024-05-07,6252952.0,34.84,35.1,35.24,33.85,34.15,-0.69
2024-05-08,8041396.0,34.15,34.15,34.28,32.45,32.92,-1.23
2024-05-09,5752230.0,32.92,32.65,33.24,31.95,33.02,0.1
2024-05-10,6008219.0,33.02,33.26,34.25,33.12,33.68,0.66
2024-05-13,3578726.0,33.68,34.04,34.04,32.81,32.93,-0.75
2024-05-14,9382492.0,32.93,33.13,33.75,32.91,33.48,0.55
2024-05-15,6844585.0,33.48,33.8,33.8,32.4,32.62,-0.86
2024-05-16,1648550.0,32.62,32.62,33.0,32.21,32.76,0.14
2024-05-17,1470565.0,32.76,32.7,33.2,32.61,33.06,0.3
2024-05-20,9853209.0,33.06,33.1,34.79,33.06,34.59,1.53
2024-05-21,2319.0,34.81,35.15,35.49,34.05,34.14,-0.67
2024-05-22,4099147.0,34.15,34.2,34.75,33.9,34.08,-0.07
2024-05-23,2581289.0,34.08,34.0,34.4,33.7,33.86,-0.22
2024-05-24,1389326.0,33.86,33.8,34.09,33.49,33.54,-0.32
2024-05-27,1870676.0,33.54,33.5,33.5,32.5,32.66,-0.88
2024-05-29,428.0,33.19,32.85,33.27,32.5,32.52,-0.67
2024-05-30,1673.0,32.07,32.1,32.2,31.11,31.64,-0.43
2024-05-31,7092055.0,31.69,32.0,33.55,31.75,33.39,1.7
2024-06-03,2684400.0,33.39,33.57,33.57,32.8,33.06,-0.33
2024-06-04,2138433.0,33.06,32.85,33.1,31.8,32.02,-1.04
2024-06-05,2383668.0,32.02,32.01,32.01,31.35,31.49,-0.53
2024-06-06,10699717.0,31.49,31.45,31.45,29.8,30.29,-1.2
2024-06-07,3485836.0,30.29,30.3,30.55,28.8,30.44,0.15
2024-06-10,581613.0,30.44,30.51,30.75,29.75,30.42,-0.02
2024-06-11,776139.0,30.42,30.56,30.75,29.75,30.01,-0.41
2024-06-12,655658.0,30.01,30.45,30.55,29.8,30.2,0.19
2024-06-13,3628901.0,30.2,30.6,32.77,30.59,32.77,2.57
2024-06-14,5353758.0,32.77,33.0,34.14,31.94,32.01,-0.76
2024-06-20,10.0,34.0,32.99,32.99,32.99,32.99,-1.01
2024-06-21,2219.0,32.82,32.48,34.1,32.48,33.82,1.0
2024-06-24,594.0,33.86,33.83,34.7,33.35,34.23,0.37
2024-06-25,516.0,34.23,34.5,34.6,32.4,33.6,-0.63
2024-06-26,2455822.0,33.54,33.65,34.4,33.45,33.92,0.38
2024-06-27,2290915.0,33.92,33.78,34.6,33.75,34.36,0.44
2024-06-28,7414619.0,34.36,34.4,35.99,34.4,35.47,1.11
2024-07-01,12217735.0,35.47,35.5,38.49,35.5,36.63,1.16
2024-07-02,13679687.0,36.63,36.63,38.55,36.36,38.27,1.64
2024-07-03,13222352.0,38.27,38.5,39.9,37.67,38.04,-0.23
2024-07-04,5658095.0,38.04,38.24,38.4,36.25,36.85,-1.19
2024-07-05,4481118.0,36.85,36.85,37.1,36.34,36.46,-0.39
2024-07-08,1240943.0,36.46,36.46,36.7,35.6,36.12,-0.34
2024-07-09,9338790.0,36.12,36.26,38.7,36.21,38.06,1.94
2024-07-10,4661499.0,38.06,38.1,38.69,37.4,37.59,-0.47
2024-07-11,10412317.0,37.59,37.98,39.08,37.81,38.25,0.66
2024-07-12,45357302.0,38.25,38.5,41.88,38.1,40.85,2.6
2024-07-15,17904619.0,40.85,42.25,43.25,41.15,41.57,0.72
2024-07-18,23541543.0,41.57,42.13,43.89,41.81,42.02,0.45
2024-07-19,30672200.0,42.02,42.01,43.11,40.35,41.03,-0.99
2024-07-22,12645914.0,41.03,40.78,42.25,39.65,40.94,-0.09
2024-07-23,17618054.0,40.94,41.5,42.98,41.42,42.2,1.26
2024-07-24,8639391.0,42.2,42.59,42.87,41.93,42.27,0.07
2024-07-25,28451875.0,42.27,42.5,43.7,41.0,42.71,0.44
2024-07-26,5952163.0,42.71,42.89,42.92,41.6,41.78,-0.93
2024-07-29,6521661.0,41.78,41.78,42.95,41.61,42.38,0.6
2024-07-30,15590659.0,42.38,42.55,43.55,41.6,42.44,0.06
2024-07-31,10463103.0,42.44,42.98,43.5,42.05,42.35,-0.09
2024-08-01,6573493.0,42.35,42.49,43.24,41.89,42.75,0.4
2024-08-02,10971656.0,42.75,43.0,44.24,42.72,43.39,0.64
2024-08-05,6274655.0,43.39,43.48,43.48,42.51,42.94,-0.45
2024-08-06,4008188.0,42.94,43.44,43.51,42.56,42.77,-0.17
2024-08-07,2900271.0,42.77,42.98,43.12,42.47,42.67,-0.1
2024-08-08,33971570.0,42.67,42.5,46.5,41.8,45.69,3.02
2024-08-09,4201.0,46.21,46.5,46.9,44.76,45.12,-1.09
2024-08-12,6693813.0,44.64,44.44,45.49,43.7,44.97,0.33
2024-08-13,2306736.0,44.97,44.6,44.7,44.0,44.06,-0.91
2024-08-15,6387481.0,44.06,44.3,45.66,44.06,44.83,0.77
2024-08-16,2324597.0,44.83,44.51,45.0,44.02,44.09,-0.74
2024-08-19,2194499.0,44.09,44.48,44.48,43.06,43.37,-0.72
2024-08-20,1809273.0,43.37,43.5,43.9,42.85,43.22,-0.15
