Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-01-10,2000.0,3.2,2.75,2.95,2.71,2.95,-0.25
2024-01-12,2000.0,2.95,3.1,3.1,2.8,2.8,-0.15
2024-01-26,1000.0,2.8,2.7,2.7,2.65,2.65,-0.15
2024-02-12,500.0,2.65,2.2,2.2,2.2,2.2,-0.45
2024-02-27,500.0,2.2,2.45,2.45,2.45,2.45,0.25
2024-03-01,10000.0,2.45,2.5,2.5,2.5,2.5,0.05
2024-03-19,500.0,2.5,2.51,2.51,2.51,2.51,0.01
2024-03-21,4000.0,2.51,2.5,2.5,2.5,2.5,-0.01
2024-03-25,2000.0,2.5,2.6,2.6,2.5,2.5,0.0
2024-03-28,1000.0,2.5,2.5,2.5,2.5,2.5,0.0
2024-04-03,500.0,2.5,2.74,2.74,2.74,2.74,0.24
2024-04-19,500.0,2.74,2.26,2.26,2.26,2.26,-0.48
2024-04-29,3000.0,2.26,2.27,2.27,2.27,2.27,0.01
2024-04-30,1000.0,2.27,2.22,2.5,2.22,2.5,0.23
2024-05-03,1500.0,2.5,2.35,2.35,2.3,2.32,-0.18
2024-05-06,500.0,2.32,2.22,2.22,2.22,2.22,-0.1
2024-05-07,500.0,2.22,2.22,2.22,2.22,2.22,0.0
2024-05-09,8000.0,2.22,2.45,2.45,2.26,2.26,0.04
2024-05-14,9000.0,2.26,2.22,2.22,2.0,2.2,-0.06
2024-05-16,4000.0,2.2,2.25,2.35,2.25,2.25,0.05
2024-05-21,500.0,2.25,2.35,2.35,2.35,2.35,0.1
2024-05-22,8000.0,2.35,2.35,2.35,2.35,2.35,0.0
2024-05-30,715.0,2.35,2.21,2.21,2.21,2.21,-0.14
2024-05-31,1.0,2.21,2.22,2.22,2.22,2.21,0.0
2024-06-05,1670.0,2.21,2.39,2.4,2.25,2.37,0.16
2024-06-06,1000.0,2.37,2.36,2.36,2.36,2.36,-0.01
2024-06-07,1.0,2.36,0.0,0.0,0.0,2.36,0.0
2024-06-10,4080.0,2.36,2.25,2.49,2.25,2.49,0.13
2024-06-11,50.0,2.49,2.27,2.27,2.27,2.49,0.0
2024-06-12,1.0,2.49,0.0,0.0,0.0,2.49,0.0
2024-06-14,1539.0,2.49,2.2,2.21,2.2,2.2,-0.29
2024-06-20,307001.0,2.2,2.3,2.35,2.01,2.02,-0.18
2024-06-21,2500.0,2.02,2.18,2.19,2.18,2.19,0.17
2024-06-25,2.0,2.19,2.24,2.24,2.24,2.19,0.0
2024-06-26,11500.0,2.19,2.15,2.2,2.14,2.2,0.01
2024-06-27,500.0,2.2,2.13,2.13,2.13,2.13,-0.07
2024-06-28,10.0,2.13,2.16,2.16,2.16,2.13,0.0
2024-07-02,1000.0,2.13,2.24,2.24,2.24,2.24,0.11
2024-07-03,41943.0,2.24,2.29,2.75,2.29,2.61,0.37
2024-07-04,5522.0,2.61,2.88,2.88,2.5,2.5,-0.11
2024-07-05,10.0,2.5,2.58,2.58,2.58,2.5,0.0
2024-07-08,2500.0,2.5,2.5,2.5,2.5,2.5,0.0
2024-07-09,9503.0,2.5,2.26,2.63,2.25,2.63,0.13
2024-07-10,3000.0,2.63,2.3,2.62,2.3,2.62,-0.01
2024-07-11,500.0,2.62,2.33,2.33,2.33,2.33,-0.29
2024-07-12,1000.0,2.33,2.3,2.3,2.27,2.27,-0.06
2024-07-18,100.0,2.27,2.45,2.45,2.45,2.27,0.0
2024-07-19,500.0,2.27,2.21,2.21,2.21,2.21,-0.06
2024-07-23,2417.0,2.21,2.02,2.02,2.01,2.01,-0.2
2024-07-25,500.0,2.01,2.2,2.2,2.2,2.2,0.19
2024-07-29,100.0,2.2,2.3,2.3,2.3,2.2,0.0
2024-07-30,1000.0,2.2,2.11,2.11,2.1,2.1,-0.1
2024-07-31,349.0,2.1,2.16,2.16,2.15,2.1,0.0
2024-08-01,5930.0,2.1,2.25,2.25,2.25,2.25,0.15
2024-08-13,2011.0,2.25,2.2,2.2,2.2,2.2,-0.05
2024-08-19,1193.0,2.2,2.2,2.2,2.2,2.2,0.0
2024-08-20,10.0,2.2,2.44,2.44,2.44,2.2,0.0
2024-08-22,1.0,2.2,2.2,2.2,2.2,2.2,0.0
2024-08-27,1956.0,2.2,2.45,2.6,2.45,2.48,0.28
2024-08-28,800.0,2.48,2.36,2.36,2.36,2.36,-0.12
2024-08-30,6.0,2.36,2.31,2.31,2.31,2.36,0.0
2024-09-05,16.0,2.36,2.3,2.3,2.3,2.36,0.0
2024-09-06,1254.0,2.36,2.3,2.35,2.3,2.35,-0.01
2024-09-10,2384.0,2.35,2.3,2.64,2.3,2.64,0.29
2024-09-11,24011.0,2.64,2.35,2.59,2.35,2.35,-0.29
2024-09-13,29.0,2.35,2.59,2.59,2.59,2.35,0.0
2024-09-16,2512.0,2.35,2.4,2.63,2.35,2.63,0.28
2024-09-18,2000.0,2.63,2.61,2.61,2.61,2.61,-0.02
2024-09-19,12.0,2.61,2.4,2.64,2.4,2.61,0.0
2024-09-20,5.0,2.61,2.36,2.36,2.36,2.61,0.0
2024-09-23,50.0,2.61,2.58,2.58,2.58,2.61,0.0
2024-09-25,1900.0,2.61,2.65,2.7,2.35,2.35,-0.26
2024-09-26,1372.0,2.35,2.59,2.59,2.4,2.5,0.15
2024-09-27,180.0,2.5,2.59,2.59,2.58,2.5,0.0
2024-09-30,1512.0,2.5,2.35,2.55,2.25,2.26,-0.24
2024-10-02,7.0,2.26,2.6,2.6,2.6,2.26,0.0
2024-10-07,1000.0,2.26,2.21,2.21,2.2,2.2,-0.06
2024-10-08,7.0,2.2,2.3,2.3,2.3,2.2,0.0
2024-10-10,106746.0,2.2,2.42,3.2,2.3,2.5,0.3
2024-10-11,1554.0,2.5,2.74,2.8,2.74,2.79,0.29
2024-10-14,1002.0,2.79,2.4,2.8,2.4,2.8,0.01
2024-10-15,2.0,2.8,2.35,2.8,2.35,2.8,0.0
2024-10-21,1500.0,2.8,2.3,2.77,2.3,2.77,-0.03
2024-10-22,701.0,2.77,2.3,2.7,2.3,2.3,-0.47
2024-10-23,1048.0,2.3,2.33,2.54,2.3,2.31,0.01
2024-10-24,7326.0,2.31,2.3,2.4,2.12,2.4,0.09
2024-10-25,8411.0,2.4,2.4,2.52,2.21,2.52,0.12
2024-10-28,3600.0,2.52,2.22,2.4,2.22,2.4,-0.12
2024-10-29,70.0,2.4,2.4,2.4,2.4,2.4,0.0
2024-10-30,9501.0,2.4,2.23,2.44,2.1,2.1,-0.3
2024-10-31,126100.0,2.1,2.1,3.1,2.05,2.69,0.59
2024-11-01,2413.0,2.69,2.69,2.69,2.35,2.67,-0.02
2024-11-04,3407.0,2.67,2.33,2.5,2.25,2.29,-0.38
2024-11-05,1500.0,2.29,2.4,2.45,2.4,2.45,0.16
2024-11-06,2682.0,2.45,2.35,2.35,2.25,2.35,-0.1
2024-11-07,8129.0,2.35,2.54,2.54,2.03,2.3,-0.05
2024-11-08,6.0,2.3,2.3,2.3,2.3,2.3,0.0
2024-11-11,10.0,2.3,2.3,2.3,2.3,2.3,0.0
2024-11-12,1099.0,2.3,2.13,2.4,2.13,2.39,0.09
2024-11-13,62.0,2.39,2.3,2.3,2.3,2.39,0.0
2024-11-14,3144.0,2.39,2.3,2.44,2.3,2.44,0.05
2024-11-15,7501.0,2.44,2.35,2.4,2.3,2.3,-0.14
2024-11-18,1410.0,2.3,2.44,2.44,2.31,2.31,0.01
2024-11-19,11101.0,2.31,2.3,2.4,2.3,2.31,0.0
2024-11-21,13000.0,2.31,2.4,2.4,2.25,2.25,-0.06
2024-11-22,500.0,2.25,2.3,2.3,2.3,2.25,0.0
2024-11-25,420.0,2.25,2.4,2.4,2.4,2.25,0.0
2024-11-28,4024.0,2.25,2.4,2.4,2.4,2.4,0.15
2024-11-29,870.0,2.4,2.3,2.3,2.25,2.26,-0.14
2024-12-03,73625.0,2.26,2.4,3.0,2.4,2.75,0.49
2024-12-04,176265.0,2.75,2.75,2.94,2.75,2.79,0.04
2024-12-05,3010.0,2.79,2.79,2.85,2.76,2.76,-0.03
2024-12-06,20407.0,2.76,2.74,2.78,2.4,2.78,0.02
2024-12-09,1283845.0,2.78,2.3,3.2,2.3,2.83,0.05
2024-12-10,172700.0,2.83,2.75,3.19,2.36,3.09,0.26
2024-12-11,936447.0,3.09,2.81,2.81,2.35,2.56,-0.53
