Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-01-01,10000.0,2.63,3.58,3.58,3.47,3.47,0.84
2024-01-02,30500.0,3.47,3.21,3.7,3.21,3.6,0.13
2024-01-05,5500.0,3.6,3.7,3.7,3.7,3.7,0.1
2024-01-08,6000.0,3.7,3.7,3.7,3.25,3.25,-0.45
2024-01-09,12000.0,3.25,3.7,3.8,3.7,3.7,0.45
2024-01-10,5000.0,3.7,3.8,3.8,3.8,3.8,0.1
2024-01-17,15000.0,3.8,3.01,3.01,3.0,3.0,-0.8
2024-01-18,15000.0,3.0,3.5,3.8,3.5,3.8,0.8
2024-01-19,12000.0,3.8,3.8,3.8,3.8,3.8,0.0
2024-01-22,1000.0,3.8,3.3,3.3,3.3,3.3,-0.5
2024-01-23,5500.0,3.3,3.36,3.36,3.35,3.36,0.06
2024-01-24,500.0,3.36,0.0,0.0,0.0,3.36,0.0
2024-01-25,121000.0,3.36,3.26,3.26,3.1,3.12,-0.24
2024-01-26,5000.0,3.12,3.02,3.02,3.0,3.01,-0.11
2024-01-29,2000.0,3.01,3.35,3.5,3.35,3.5,0.49
2024-02-02,70000.0,3.5,3.0,3.15,3.0,3.1,-0.4
2024-02-06,2000.0,3.1,3.28,3.3,3.28,3.3,0.2
2024-02-07,500.0,3.3,3.11,3.11,3.11,3.11,-0.19
2024-02-13,500.0,3.11,3.6,3.6,3.6,3.6,0.49
2024-02-20,500.0,3.6,3.1,3.1,3.1,3.1,-0.5
2024-02-21,35000.0,3.1,3.0,3.4,3.0,3.4,0.3
2024-02-23,4500.0,3.4,3.0,3.6,3.0,3.6,0.2
2024-02-29,1000.0,3.6,3.1,3.4,3.1,3.4,-0.2
2024-03-01,500.0,3.4,3.13,3.13,3.13,3.13,-0.27
2024-03-04,5500.0,3.13,3.05,3.3,3.0,3.05,-0.08
2024-03-05,47500.0,3.05,3.0,3.0,3.0,3.0,-0.05
2024-03-06,1000.0,3.0,3.0,3.0,3.0,3.0,0.0
2024-03-07,500.0,3.0,2.95,2.95,2.95,2.95,-0.05
2024-03-11,26000.0,2.95,3.18,3.59,3.18,3.56,0.61
2024-03-28,3000.0,3.56,3.19,3.29,3.0,3.29,-0.27
2024-03-29,500.0,3.29,0.0,0.0,0.0,3.29,0.0
2024-04-01,5000.0,3.29,3.1,3.1,3.0,3.01,-0.28
2024-04-03,4500.0,3.01,2.9,2.9,2.9,2.9,-0.11
