Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-06-05,1915.0,190.72,175.46,205.98,175.46,176.41,-14.31
2024-06-06,176.0,176.41,190.52,190.52,175.0,175.17,-1.24
2024-06-07,104.0,175.17,189.0,189.0,187.0,175.17,0.0
2024-06-10,1184.0,175.17,189.99,189.99,160.28,161.02,-14.15
2024-06-11,1052.0,161.02,174.71,174.71,147.33,148.8,-12.22
2024-06-12,856.0,148.8,161.45,161.45,136.15,136.21,-12.59
2024-06-13,285.0,136.21,137.0,147.0,125.0,125.15,-11.06
2024-06-14,201.0,125.15,134.5,134.5,127.99,125.15,0.0
2024-06-20,855.0,125.15,135.75,135.75,115.0,124.11,-1.04
2024-06-21,305.0,124.11,134.6,134.6,134.4,134.4,10.29
2024-06-25,101.0,134.4,141.0,141.0,141.0,134.4,0.0
2024-06-27,498.0,134.4,122.3,123.02,122.3,122.54,-11.86
2024-06-28,151.0,122.54,122.0,122.0,121.99,122.54,0.0
2024-07-01,2873.0,122.54,112.0,113.0,111.66,112.16,-10.38
2024-07-03,551.0,112.16,121.0,121.0,119.0,119.65,7.49
2024-07-05,1.0,119.65,128.0,128.0,128.0,119.65,0.0
2024-07-08,132.0,119.65,108.28,128.0,108.28,119.65,0.0
2024-07-09,2.0,119.65,109.01,110.0,109.01,119.65,0.0
2024-07-10,2065.0,119.65,111.0,118.5,110.0,118.48,-1.17
2024-07-11,161.0,118.48,108.11,114.44,107.5,118.48,0.0
2024-07-12,25.0,118.48,107.22,128.74,107.22,118.48,0.0
2024-07-15,110.0,118.48,107.45,117.77,107.22,118.48,0.0
2024-07-18,979.0,118.48,107.25,128.0,107.22,127.0,8.52
2024-07-19,42.0,127.0,115.0,137.0,114.94,127.0,0.0
2024-07-22,1051.0,127.0,137.0,137.0,114.3,114.42,-12.58
2024-07-23,1.0,114.42,112.52,112.52,112.52,114.42,0.0
2024-07-25,824.0,114.42,105.02,118.0,105.01,111.28,-3.14
2024-07-29,493.0,111.28,103.15,103.15,103.15,111.28,0.0
2024-07-30,3812.0,111.28,100.15,114.0,100.15,101.44,-9.84
2024-07-31,1771.0,101.44,106.66,106.66,91.3,91.5,-9.94
2024-08-01,38.0,91.5,91.4,91.4,83.2,91.5,0.0
2024-08-02,1284.0,91.5,99.0,99.0,85.0,85.42,-6.08
2024-08-05,5228.0,85.42,92.99,92.99,76.88,76.89,-8.53
2024-08-06,1962.0,76.89,84.54,84.54,76.0,80.42,3.53
2024-08-07,2242.0,80.42,88.45,88.46,88.0,88.15,7.73
2024-08-08,374.0,88.15,96.97,96.97,94.99,96.33,8.18
2024-08-09,118.0,96.33,87.1,95.5,87.1,96.33,0.0
2024-08-12,51.0,96.33,87.0,104.0,87.0,96.33,0.0
2024-08-13,1.0,96.33,100.88,100.88,100.88,96.33,0.0
2024-08-15,1.0,96.33,100.0,100.0,100.0,96.33,0.0
2024-08-16,22.0,96.33,102.0,102.0,87.2,96.33,0.0
2024-08-20,12.0,96.33,88.0,88.0,87.1,96.33,0.0
2024-08-21,101.0,96.33,94.0,94.0,93.2,96.33,0.0
2024-08-22,101.0,96.33,89.0,89.0,89.0,96.33,0.0
2024-08-23,91.0,96.33,87.0,96.0,87.0,96.33,0.0
2024-08-26,146.0,96.33,87.0,94.5,87.0,96.33,0.0
2024-08-27,46.0,96.33,95.0,95.0,87.0,96.33,0.0
2024-08-28,2.0,96.33,87.13,87.13,87.13,96.33,0.0
