Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-04-01,100.0,125.81,135.25,135.25,135.25,125.83,0.02
2024-04-23,756.0,125.83,116.4,134.2,116.4,117.45,-8.38
2024-04-24,500.0,117.45,0.0,0.0,0.0,117.45,0.0
2024-04-26,1.0,117.45,126.26,126.26,126.26,117.45,0.0
2024-04-29,400.0,117.45,126.26,126.26,126.26,126.26,8.81
2024-04-30,210.0,126.26,135.72,135.72,135.35,135.7,9.44
2024-05-03,426.0,135.7,145.4,145.52,145.4,145.48,9.78
2024-05-06,147.0,145.48,155.6,156.39,155.6,153.68,8.2
2024-05-07,20.0,153.68,165.2,165.2,165.2,153.68,0.0
2024-05-08,13.0,153.68,165.2,165.21,165.2,160.2,6.52
2024-05-09,20.0,160.2,172.11,172.21,172.11,160.2,0.0
2024-05-10,73.0,160.2,168.5,172.21,168.5,160.39,0.19
2024-05-13,20.0,160.39,160.39,172.42,160.39,160.39,0.0
2024-05-17,2.0,160.39,0.0,0.0,0.0,160.39,0.0
2024-05-21,16.0,160.39,172.41,172.41,148.4,160.39,0.0
2024-05-22,1.0,160.39,150.0,150.0,150.0,160.39,0.0
2024-05-23,9.0,160.39,172.4,172.42,172.4,160.39,0.0
2024-05-30,489.0,160.39,155.0,155.0,155.0,155.0,-5.39
2024-06-03,50.0,155.0,155.0,155.0,155.0,155.0,0.0
2024-06-05,501.0,155.0,160.0,160.0,157.49,159.99,4.99
2024-06-14,779.0,159.99,163.0,173.0,163.0,173.0,13.01
2024-06-21,10.0,173.0,187.71,187.71,187.71,173.0,0.0
2024-07-10,10.0,173.0,187.0,187.0,187.0,173.0,0.0
2024-07-18,1.0,173.0,188.89,188.89,188.89,173.0,0.0
2024-07-24,14.0,173.0,0.0,0.0,0.0,173.0,0.0
2024-07-25,11.0,173.0,173.0,177.77,173.0,173.0,0.0
2024-07-26,55.0,173.0,170.11,170.11,170.11,173.0,0.0
2024-08-09,50.0,173.0,173.0,173.0,173.0,173.0,0.0
2024-08-15,21.0,173.0,173.0,173.0,173.0,173.0,0.0
2024-08-21,1.0,173.0,172.73,172.73,172.73,173.0,0.0
2024-08-22,6.0,173.0,160.0,173.0,160.0,173.0,0.0
2024-08-28,1.0,173.0,173.0,173.0,173.0,173.0,0.0
2024-08-29,123.0,173.0,173.0,173.0,173.0,173.0,0.0
2024-09-06,320.0,173.0,155.7,180.0,155.7,155.78,-17.22
2024-09-19,23.0,155.78,171.36,171.36,140.2,155.78,0.0
2024-09-27,5.0,155.78,150.0,150.0,150.0,155.78,0.0
2024-10-02,1.0,156.0,171.6,171.6,171.6,156.0,0.0
2024-10-04,1.0,156.0,156.0,156.0,156.0,156.0,0.0
2024-10-17,1.0,141.0,126.9,126.9,126.9,141.0,0.0
2024-11-12,49.0,141.0,155.1,155.1,155.1,141.0,0.0
2024-11-13,202.0,141.0,141.01,155.1,141.01,148.24,7.24
2024-11-14,424.0,148.24,163.06,163.06,163.06,163.06,14.82
2024-11-15,315.0,163.06,179.36,179.37,179.0,179.36,16.3
2024-11-18,59.0,179.36,190.0,190.0,162.03,179.36,0.0
2024-11-19,19.0,179.36,161.44,179.76,161.44,179.36,0.0
2024-11-20,166.0,179.36,197.29,197.29,162.01,179.36,0.0
2024-11-21,25.0,179.36,189.0,189.0,189.0,179.36,0.0
2024-11-22,432.0,179.36,179.0,196.99,162.0,194.72,15.36
2024-11-25,2396.0,194.72,200.0,214.19,200.0,202.4,7.68
2024-11-26,950.0,202.4,185.0,210.0,182.16,197.16,-5.24
2024-11-27,272.0,197.16,183.5,216.5,183.5,215.75,18.59
2024-11-28,92.0,215.75,200.0,229.0,200.0,215.75,0.0
2024-12-03,112.0,215.75,210.0,220.0,194.18,215.75,0.0
2024-12-05,34.0,215.75,211.4,211.4,211.0,215.75,0.0
2024-12-06,11.0,215.75,195.0,195.0,195.0,215.75,0.0
2024-12-09,15.0,215.75,215.0,215.0,215.0,215.75,0.0
2024-12-10,761.0,215.75,196.0,200.0,194.19,200.0,-15.75
2024-12-11,4.0,200.0,200.0,200.0,200.0,200.0,0.0
2024-12-16,10.0,200.0,185.0,185.0,185.0,200.0,0.0
2024-12-17,50.0,200.0,185.0,210.0,185.0,200.0,0.0
2024-12-18,10.0,200.0,180.01,180.01,180.01,200.0,0.0
2024-12-19,510.0,200.0,180.0,180.0,180.0,200.0,0.0
2024-12-23,1354.0,200.0,215.0,220.0,180.01,220.0,20.0
2024-12-27,512.0,220.0,240.0,240.0,200.0,211.2,-8.8
2024-12-30,42.0,211.2,215.0,215.0,191.0,211.2,0.0
2024-12-31,1.0,211.2,223.0,223.0,223.0,211.2,0.0
2025-01-06,26.0,211.2,210.0,210.0,210.0,211.2,0.0
2025-01-07,1.0,211.2,210.0,210.0,210.0,211.2,0.0
2025-01-10,17.0,211.2,200.0,200.0,200.0,211.2,0.0
2025-01-13,2.0,211.2,191.0,200.0,191.0,211.2,0.0
2025-01-14,863.0,211.2,210.0,210.0,210.0,210.0,-1.2
2025-01-17,6.0,210.0,200.0,220.0,200.0,210.0,0.0
2025-01-21,8.0,210.0,205.0,205.0,205.0,210.0,0.0
2025-01-28,100.0,210.0,0.0,0.0,0.0,210.0,0.0
2025-01-31,220.0,210.0,189.0,189.0,189.0,189.0,21.0
2025-02-14,50.0,189.0,0.0,0.0,0.0,189.0,0.0
2025-03-03,100.0,189.0,0.0,0.0,0.0,189.0,0.0
2025-03-06,68.0,189.0,175.0,175.0,175.0,189.0,0.0
2025-03-10,50.0,189.0,172.05,172.05,172.05,189.0,0.0
2025-03-13,18.0,189.0,175.0,175.0,175.0,189.0,0.0
2025-03-24,1.0,189.0,200.0,200.0,200.0,189.0,0.0
2025-03-25,1.0,189.0,200.0,200.0,200.0,189.0,0.0
2025-03-26,5.0,189.0,200.0,200.0,200.0,189.0,0.0
2025-03-27,2.0,189.0,170.1,199.96,170.1,189.0,0.0
2025-04-04,12.0,189.0,170.1,195.0,170.1,189.0,0.0
2025-04-22,6.0,189.0,200.0,200.0,200.0,189.0,0.0
2025-05-06,685.0,189.0,200.0,207.9,172.0,207.9,18.9
2025-05-07,5.0,207.9,200.0,200.0,200.0,207.9,0.0
2025-05-08,139.0,207.9,190.0,190.0,187.11,187.88,-20.02
2025-05-09,5.0,187.88,185.0,206.0,169.09,187.88,0.0
2025-05-12,69.0,187.88,200.0,200.0,200.0,187.88,0.0
2025-05-13,100.0,187.88,0.0,0.0,0.0,187.88,0.0
2025-05-14,336.0,187.88,201.0,206.67,201.0,201.07,13.19
2025-05-15,1.0,201.07,221.0,221.0,221.0,201.07,0.0
2025-05-22,231.0,201.07,181.01,220.0,181.0,181.17,-19.9
2025-05-26,1.0,181.17,0.0,0.0,0.0,181.17,0.0
2025-05-29,3.0,181.17,165.0,199.0,165.0,181.17,0.0
2025-06-04,54.0,181.17,165.02,165.02,165.02,181.17,0.0
2025-06-05,1.0,181.17,165.0,165.0,165.0,181.17,0.0
2025-06-10,913.0,181.17,164.05,195.0,164.0,166.02,-15.15
2025-06-11,94.0,166.02,166.05,180.0,166.05,166.69,0.67
2025-06-12,26.0,166.69,183.36,183.36,183.36,166.69,0.0
2025-06-16,230.0,166.69,183.36,183.36,182.99,183.35,16.66
2025-06-17,36.0,183.35,185.0,185.0,185.0,183.35,0.0
2025-06-20,69.0,183.35,180.0,180.0,180.0,183.35,0.0
2025-06-23,1.0,183.35,172.0,172.0,172.0,183.35,0.0
2025-06-25,54.0,183.35,175.0,175.0,173.0,183.35,0.0
2025-06-27,102.0,183.35,195.0,198.0,195.0,183.35,0.0
2025-06-30,106.0,183.35,173.0,199.89,173.0,183.35,0.0
2025-07-01,22.0,183.35,197.99,197.99,183.35,183.35,0.0
2025-07-03,227.0,183.35,172.0,201.0,172.0,199.66,16.31
2025-07-04,25.0,199.66,199.66,199.66,199.5,199.66,0.0
2025-07-07,3.0,199.66,182.1,198.98,182.1,199.66,0.0
2025-07-08,58.0,199.66,199.0,199.0,183.0,199.66,0.0
2025-07-09,31.0,199.66,184.5,198.98,184.5,199.66,0.0
2025-07-11,25.0,199.66,200.0,200.0,200.0,199.66,0.0
2025-07-15,1.0,199.66,182.25,182.25,182.25,199.66,0.0
2025-07-17,332.0,199.66,200.0,200.0,200.0,200.0,0.34
2025-07-21,26.0,200.0,210.0,210.0,180.1,200.0,0.0
2025-07-24,55.0,200.0,200.0,205.0,190.0,200.0,0.0
2025-07-25,25.0,200.0,210.0,210.0,210.0,200.0,0.0
2025-07-29,50.0,200.0,195.0,195.0,195.0,200.0,0.0
2025-07-30,12.0,200.0,219.98,220.0,181.1,200.0,0.0
2025-08-01,10.0,200.0,210.0,210.0,210.0,200.0,0.0
2025-08-04,100.0,200.0,200.0,200.0,200.0,200.0,0.0
2025-08-05,6.0,200.0,200.0,215.0,200.0,200.0,0.0
2025-08-06,30.0,200.0,215.0,215.0,200.0,200.0,0.0
2025-08-13,323.0,200.0,200.0,210.0,200.0,200.5,0.5
2025-08-15,50.0,200.5,210.0,210.0,210.0,200.5,0.0
2025-08-21,222.0,200.5,208.0,209.0,208.0,208.59,8.09
2025-08-26,50.0,208.59,212.0,212.0,212.0,208.59,0.0
2025-09-01,100.0,208.59,208.59,208.59,208.59,208.59,0.0
2025-09-02,25.0,208.59,200.0,200.0,200.0,208.59,0.0
2025-09-04,2.0,208.59,225.0,225.0,225.0,208.59,0.0
2025-09-05,1.0,208.59,200.0,200.0,200.0,208.59,0.0
2025-09-09,2.0,208.59,200.0,210.0,200.0,208.59,0.0
2025-09-11,243.0,208.59,225.0,229.45,225.0,229.45,20.86
2025-09-12,132.0,229.45,245.0,252.4,220.0,251.9,22.45
2025-09-15,51.0,251.9,251.9,275.0,227.0,251.9,0.0
2025-09-16,366.0,251.9,270.0,271.0,245.0,251.9,0.0
2025-09-17,291.0,251.9,235.0,277.09,226.71,276.72,24.82
2025-09-18,788.0,276.72,260.0,304.39,260.0,301.75,25.03
2025-09-19,546.0,301.75,323.0,331.93,320.0,331.93,30.18
2025-09-22,481.0,331.93,332.12,364.95,298.74,359.72,27.79
2025-09-23,224.0,359.72,359.72,370.0,351.0,361.54,1.82
2025-09-24,210.0,361.54,397.69,397.69,350.0,351.8,-9.74
2025-09-25,238.0,351.8,351.8,385.98,351.8,351.8,0.0
2025-09-26,697.0,351.8,364.99,365.0,331.0,362.55,10.75
2025-09-29,515.0,362.55,333.1,349.0,332.98,362.55,0.0
2025-09-30,338.0,362.55,358.99,358.99,326.3,327.6,-34.95
2025-10-01,128.0,327.6,349.0,349.0,326.65,326.92,-0.68
2025-10-02,78.0,326.92,357.0,357.0,326.51,331.91,4.99
2025-10-03,800.0,331.91,339.99,339.99,299.0,325.71,-6.2
2025-10-06,128.0,325.71,300.0,318.0,295.1,325.71,0.0
2025-10-07,306.0,325.71,325.71,325.71,293.14,311.0,-14.71
2025-10-08,553.0,311.0,311.5,339.0,311.0,311.0,0.0
2025-10-09,1232.0,311.0,329.0,329.0,289.0,289.0,22.0
2025-10-10,35.0,274.0,274.0,278.0,271.02,274.0,0.0
2025-10-13,15.0,274.0,274.0,274.0,274.0,274.0,0.0
2025-10-14,49.0,274.0,288.65,288.65,287.99,274.0,0.0
2025-10-15,46.0,274.0,297.0,297.0,296.98,274.0,0.0
2025-10-16,118.0,274.0,273.75,273.75,270.0,273.16,-0.84
2025-10-17,18.0,273.16,299.99,299.99,294.0,273.16,0.0
2025-10-20,14.0,273.16,289.99,289.99,289.99,273.16,0.0
2025-10-21,386.0,273.16,300.0,300.48,259.0,295.83,22.67
2025-10-22,334.0,295.83,295.0,295.0,266.25,272.48,-23.35
2025-10-23,125.0,272.48,272.48,275.99,266.0,271.04,-1.44
2025-10-24,1.0,271.04,286.98,286.98,286.98,271.04,0.0
2025-10-28,93.0,271.04,260.01,279.99,255.01,271.04,0.0
2025-10-29,143.0,271.04,271.0,271.0,243.94,244.5,-26.54
2025-10-30,10.0,244.5,263.99,263.99,263.99,244.5,0.0
2025-10-31,25.0,244.5,264.99,264.99,264.99,244.5,0.0
2025-11-03,1391.0,244.5,252.01,252.01,220.11,226.65,-17.85
2025-11-04,426.0,226.65,239.99,249.31,239.99,248.35,21.7
2025-11-05,108.0,248.35,254.99,269.92,245.01,249.93,1.58
2025-11-06,20.0,249.93,252.0,252.0,252.0,249.93,0.0
