Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-01-01,1607000.0,7.4,7.56,7.84,7.34,7.79,0.39
2024-01-02,1114000.0,7.79,7.8,8.0,7.6,7.65,-0.14
2024-01-03,479500.0,7.65,7.66,7.9,7.6,7.63,-0.02
2024-01-04,315000.0,7.63,7.6,7.6,7.22,7.4,-0.23
2024-01-05,741000.0,7.4,7.4,7.6,7.15,7.36,-0.04
2024-01-08,764500.0,7.36,7.28,7.44,7.17,7.2,-0.16
2024-01-09,1004000.0,7.2,7.15,7.35,7.06,7.31,0.11
2024-01-10,1343000.0,7.31,7.43,7.43,6.85,6.93,-0.38
2024-01-11,655000.0,6.93,7.18,7.18,6.9,7.05,0.12
2024-01-12,507500.0,7.05,7.23,7.23,7.0,7.01,-0.04
2024-01-15,210000.0,7.01,7.02,7.05,6.87,6.88,-0.13
2024-01-16,98000.0,6.88,6.82,6.95,6.6,6.82,-0.06
2024-01-17,227500.0,6.82,6.91,7.0,6.85,6.92,0.1
2024-01-18,238000.0,6.92,6.96,6.96,6.7,6.82,-0.1
2024-01-19,50500.0,6.82,6.81,6.94,6.67,6.79,-0.03
2024-01-22,198500.0,6.79,6.92,6.92,6.55,6.69,-0.1
2024-01-23,102000.0,6.69,6.75,6.87,6.69,6.71,0.02
2024-01-24,17.0,6.72,6.95,7.05,6.95,7.05,0.33
2024-01-25,620000.0,7.02,7.14,7.23,6.76,6.88,-0.14
2024-01-26,188000.0,6.88,6.89,6.9,6.76,6.8,-0.08
2024-01-29,1256000.0,6.8,6.72,6.72,6.62,6.66,-0.14
2024-01-30,685500.0,6.66,6.7,6.83,6.25,6.6,-0.06
2024-01-31,348000.0,6.6,6.4,6.76,6.4,6.64,0.04
2024-02-01,134500.0,6.64,6.79,7.02,6.72,6.88,0.24
2024-02-02,90500.0,6.88,7.03,7.09,6.85,6.89,0.01
2024-02-06,233500.0,6.89,6.76,6.95,6.76,6.85,-0.04
2024-02-07,119000.0,6.85,6.9,6.99,6.81,6.91,0.06
2024-02-09,114000.0,6.91,6.99,6.99,6.75,6.8,-0.11
2024-02-12,473500.0,6.8,6.71,6.78,6.57,6.65,-0.15
2024-02-13,316500.0,6.65,6.56,6.99,6.55,6.78,0.13
2024-02-14,371500.0,6.78,6.9,7.02,6.8,6.91,0.13
2024-02-15,58500.0,6.91,6.74,6.95,6.74,6.81,-0.1
2024-02-16,317500.0,6.81,6.82,6.82,6.32,6.59,-0.22
2024-02-19,810000.0,6.59,6.69,6.69,6.44,6.54,-0.05
2024-02-20,84500.0,6.54,6.54,6.65,6.54,6.55,0.01
2024-02-21,1358.0,6.61,6.7,6.75,6.61,6.71,0.1
2024-02-22,1225.0,6.71,6.8,6.8,6.32,6.69,-0.02
2024-02-23,1726000.0,6.74,6.66,6.8,6.21,6.67,-0.07
2024-02-26,255500.0,6.67,6.6,6.9,6.53,6.89,0.22
2024-02-27,244500.0,6.89,6.85,7.0,6.79,6.9,0.01
2024-02-28,534500.0,6.9,6.76,7.14,6.67,7.09,0.19
2024-02-29,457000.0,7.09,7.13,7.18,6.88,6.95,-0.14
