Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-01-02,6000.0,90.25,90.0,90.0,90.0,90.0,-0.25
2024-01-03,2500.0,90.0,89.0,89.0,89.0,89.0,1.0
2024-01-04,4500.0,89.0,89.0,89.0,87.4,87.4,-1.6
2024-01-05,3000.0,87.4,89.85,90.0,89.85,90.0,2.6
2024-01-09,500.0,90.0,85.3,85.3,85.3,85.3,-4.7
2024-01-10,500.0,85.3,84.91,84.91,84.91,84.91,-0.39
2024-01-11,2500.0,84.91,84.91,84.91,84.91,84.91,0.0
2024-01-12,1000.0,84.91,90.85,90.85,90.84,90.84,5.93
2024-01-15,1500.0,90.84,84.25,84.25,84.2,84.2,-6.64
2024-01-18,1000.0,84.2,88.79,88.79,88.79,88.79,4.59
2024-01-22,8000.0,88.79,90.0,90.0,89.95,89.98,1.19
2024-01-23,1000.0,89.98,90.0,90.0,90.0,90.0,0.02
2024-01-24,12500.0,90.0,91.0,95.0,91.0,94.68,4.68
2024-01-26,2500.0,94.68,94.5,94.5,94.5,94.5,-0.18
2024-01-30,500.0,94.5,94.5,94.5,94.5,94.5,0.0
2024-01-31,1000.0,94.5,87.41,94.47,87.41,94.47,-0.03
2024-02-01,500.0,94.47,94.0,94.0,94.0,94.0,-0.47
2024-02-02,26000.0,94.0,86.95,94.45,86.95,90.14,-3.86
2024-02-06,500.0,90.14,83.38,83.38,83.38,83.38,-6.76
2024-02-07,500.0,83.38,89.63,89.63,89.63,89.63,6.25
2024-02-09,2000.0,89.63,82.95,86.0,82.91,86.0,-3.63
2024-02-12,2500.0,86.0,86.95,88.0,86.95,88.0,2.0
2024-02-13,5000.0,88.0,85.0,85.0,82.0,82.01,-5.99
2024-02-14,3000.0,82.01,87.95,88.16,87.95,88.16,6.15
2024-02-16,500.0,88.16,88.7,88.7,88.7,88.7,0.54
2024-02-19,1500.0,88.7,89.0,89.0,89.0,89.0,0.3
2024-02-20,2500.0,89.0,90.0,90.0,89.0,89.0,0.0
2024-02-22,6500.0,89.0,92.0,92.0,92.0,92.0,3.0
2024-02-26,23000.0,92.0,92.0,94.75,92.0,94.14,2.14
2024-02-28,1000.0,94.14,92.0,92.0,89.0,89.0,-5.14
2024-02-29,500.0,89.0,89.0,89.0,89.0,89.0,0.0
2024-03-01,500.0,89.0,89.0,89.0,89.0,89.0,0.0
2024-03-04,1500.0,89.0,83.39,87.65,83.38,87.65,-1.35
2024-03-05,500.0,87.65,87.0,87.0,87.0,87.0,-0.65
2024-03-06,1500.0,87.0,81.12,82.16,81.12,82.15,-4.85
2024-03-08,1500.0,82.15,82.0,82.0,82.0,82.0,-0.15
2024-03-12,8500.0,82.0,84.0,84.0,84.0,84.0,2.0
2024-03-14,500.0,84.0,90.3,90.3,90.3,90.3,6.3
2024-03-18,500.0,90.3,84.1,84.1,84.1,84.1,-6.2
2024-04-01,500.0,84.1,78.13,78.13,78.13,78.13,-5.97
2024-04-02,1000.0,78.13,83.99,83.99,83.99,83.99,5.86
2024-04-17,1000.0,83.99,88.7,88.7,88.7,88.7,4.71
2024-04-22,2500.0,88.7,88.0,89.0,88.0,89.0,0.3
2024-04-29,1000.0,89.0,88.0,88.0,88.0,88.0,1.0
2024-05-06,1000.0,88.0,87.0,87.0,87.0,87.0,1.0
2024-05-08,500.0,87.0,81.0,81.0,81.0,81.0,6.0
2024-05-17,40500.0,81.0,81.0,87.03,81.0,87.03,6.03
2024-05-31,501.0,87.03,87.79,87.79,80.07,80.07,-6.96
2024-06-03,107000.0,80.07,80.07,80.07,80.07,80.07,0.0
2024-06-04,1063.0,80.07,77.77,80.0,77.77,78.02,-2.05
2024-06-05,223.0,78.02,78.0,80.0,77.0,78.02,0.0
2024-06-06,669.0,78.02,76.51,76.72,76.5,76.58,-1.44
2024-06-07,401.0,76.58,76.5,78.0,73.01,75.63,-0.95
2024-06-11,10010.0,75.63,0.0,0.0,0.0,75.63,0.0
2024-06-12,10525.0,75.63,77.0,78.0,77.0,78.0,2.37
2024-06-13,57.0,78.0,79.0,80.0,79.0,78.0,0.0
2024-06-14,27.0,78.0,83.06,83.06,79.0,78.0,0.0
2024-06-20,2.0,78.0,83.0,83.0,83.0,78.0,0.0
2024-06-21,22.0,78.0,80.0,83.45,80.0,78.0,0.0
2024-06-26,11.0,78.0,84.99,84.99,81.73,78.0,0.0
2024-06-27,11.0,78.0,84.99,84.99,83.99,78.0,0.0
2024-06-28,408.0,78.0,82.5,82.5,82.15,82.33,4.33
2024-07-01,22.0,82.33,84.2,84.2,80.0,82.33,0.0
2024-07-02,540.0,82.33,79.9,79.9,79.9,79.9,-2.43
2024-07-03,14.0,79.9,79.9,79.9,79.0,79.9,0.0
2024-07-04,2400.0,79.9,80.0,80.0,77.77,79.95,0.05
2024-07-08,200.0,79.95,86.0,86.0,86.0,79.95,0.0
2024-07-09,8996.0,79.95,77.0,79.0,73.0,78.99,-0.96
