Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-01-01,362500.0,5.0,5.09,5.45,5.09,5.31,0.31
2024-01-02,182500.0,5.31,5.2,5.41,5.16,5.19,-0.12
2024-01-03,431500.0,5.19,5.15,5.34,5.06,5.27,0.08
2024-01-04,151000.0,5.27,5.35,5.35,5.15,5.28,0.01
2024-01-05,243000.0,5.28,5.11,5.29,5.01,5.12,-0.16
2024-01-08,437000.0,5.12,5.07,5.18,4.9,4.91,-0.21
2024-01-09,156500.0,4.91,5.32,5.32,4.85,4.86,-0.05
2024-01-10,397500.0,4.86,4.86,5.06,4.8,4.85,-0.01
2024-01-11,168000.0,4.85,4.95,4.95,4.82,4.84,-0.01
2024-01-12,403500.0,4.84,4.95,5.05,4.75,4.82,-0.02
2024-01-15,171500.0,4.82,4.89,4.93,4.71,4.8,-0.02
2024-01-16,245000.0,4.8,4.76,4.8,4.65,4.71,-0.09
2024-01-17,236500.0,4.71,4.7,4.83,4.5,4.58,-0.13
2024-01-18,224500.0,4.58,4.51,4.69,4.4,4.52,-0.06
2024-01-19,30500.0,4.52,4.6,4.67,4.5,4.5,-0.02
2024-01-22,66000.0,4.5,4.64,4.7,4.42,4.54,0.04
2024-01-23,49500.0,4.54,4.55,4.64,4.5,4.61,0.07
2024-01-24,515000.0,4.61,4.66,4.95,4.46,4.84,0.23
2024-01-25,198000.0,4.84,4.95,5.0,4.6,4.78,-0.06
2024-01-26,221000.0,4.78,4.94,4.94,4.51,4.53,-0.25
2024-01-29,141500.0,4.53,4.51,4.51,4.35,4.37,-0.16
2024-01-30,107000.0,4.37,4.5,4.5,4.2,4.24,-0.13
2024-01-31,41000.0,4.24,4.2,4.38,4.2,4.3,0.06
2024-02-01,14500.0,4.3,4.21,4.41,4.2,4.37,0.07
2024-02-02,78500.0,4.37,4.22,4.45,4.22,4.44,0.07
2024-02-06,147500.0,4.44,4.49,4.72,4.3,4.67,0.23
2024-02-07,68500.0,4.67,4.67,4.72,4.51,4.6,-0.07
2024-02-09,60500.0,4.6,4.36,4.58,4.32,4.5,-0.1
2024-02-12,158000.0,4.5,4.4,4.4,4.1,4.12,-0.38
2024-02-13,454500.0,4.12,4.3,4.95,3.97,4.43,0.31
2024-02-14,185000.0,4.43,4.4,4.5,4.32,4.41,-0.02
2024-02-15,113500.0,4.41,4.32,4.5,4.3,4.3,-0.11
2024-02-16,87500.0,4.3,4.25,4.25,4.2,4.24,-0.06
2024-02-19,20000.0,4.24,4.21,4.39,4.2,4.29,0.05
2024-02-20,38000.0,4.29,4.18,4.37,4.11,4.25,-0.04
2024-02-21,7000.0,4.25,4.38,4.38,4.3,4.3,0.05
2024-02-22,154500.0,4.3,4.18,4.56,4.18,4.48,0.18
2024-02-23,61000.0,4.48,4.41,4.6,4.4,4.49,0.01
2024-02-26,111500.0,4.49,4.4,4.64,4.4,4.54,0.05
2024-02-27,76000.0,4.54,4.64,4.64,4.3,4.45,-0.09
2024-02-28,189000.0,4.45,4.52,4.64,4.5,4.52,0.07
2024-02-29,362500.0,4.52,4.44,4.59,4.3,4.33,-0.19
2024-03-01,261000.0,4.33,4.55,4.55,4.24,4.32,-0.01
2024-03-04,510000.0,4.32,4.27,4.28,4.19,4.21,-0.11
2024-03-05,535500.0,4.21,4.38,4.44,4.16,4.2,-0.01
2024-03-06,323500.0,4.2,4.24,4.24,4.08,4.12,-0.08
2024-03-07,913000.0,4.12,4.12,4.25,3.98,4.05,-0.07
2024-03-08,1899000.0,4.05,4.15,4.38,3.99,4.02,-0.03
2024-03-11,3015000.0,4.02,4.06,4.33,4.0,4.12,0.1
2024-03-12,729000.0,4.12,4.11,4.14,3.99,4.0,-0.12
2024-03-13,386000.0,4.0,4.01,4.04,3.85,3.88,-0.12
2024-03-14,387000.0,3.88,4.09,4.09,3.89,3.94,0.06
2024-03-15,978000.0,3.94,4.2,4.2,3.9,4.01,0.07
2024-03-18,414000.0,4.01,3.85,4.13,3.85,3.95,-0.06
2024-03-19,336500.0,3.95,3.92,4.05,3.9,3.91,-0.04
2024-03-20,419500.0,3.91,4.03,4.03,3.89,3.91,0.0
2024-03-21,419500.0,3.91,3.98,4.0,3.86,3.91,0.0
2024-03-22,60000.0,3.91,3.87,3.95,3.86,3.9,-0.01
2024-03-25,295500.0,3.9,3.9,4.0,3.85,3.86,-0.04
2024-03-26,600000.0,3.86,3.9,3.95,3.73,3.75,-0.11
2024-03-27,155000.0,3.75,3.8,3.82,3.7,3.71,-0.04
2024-03-28,542500.0,3.71,3.8,3.84,3.74,3.8,0.09
2024-03-29,293500.0,3.8,3.78,3.8,3.65,3.71,-0.09
2024-04-01,59500.0,3.71,3.82,3.85,3.71,3.72,0.01
2024-04-02,106000.0,3.72,3.74,3.86,3.74,3.82,0.1
2024-04-03,146500.0,3.82,3.99,3.99,3.77,3.8,-0.02
2024-04-04,28000.0,3.8,3.85,3.9,3.81,3.85,0.05
2024-04-08,340500.0,3.85,3.97,3.97,3.73,3.81,-0.04
2024-04-09,2297000.0,3.81,4.0,4.4,3.93,3.99,0.18
2024-04-15,661500.0,3.99,3.91,4.1,3.8,3.88,-0.11
2024-04-16,299500.0,3.88,3.97,3.98,3.89,3.92,0.04
2024-04-17,345000.0,3.92,3.95,4.0,3.87,3.91,-0.01
2024-04-18,568000.0,3.91,3.95,4.09,3.93,3.93,0.02
2024-04-19,102000.0,3.93,3.9,3.95,3.89,3.91,-0.02
2024-04-22,1775000.0,3.91,3.94,4.15,3.9,4.01,0.1
2024-04-23,295500.0,4.01,3.88,4.09,3.88,4.0,-0.01
2024-04-24,103000.0,4.0,3.96,4.08,3.9,4.01,0.01
2024-04-25,3223000.0,4.01,4.0,4.3,4.0,4.04,0.03
2024-04-26,559500.0,4.04,4.14,4.14,3.96,3.99,-0.05
2024-04-29,1126000.0,3.99,3.98,4.07,3.75,3.87,-0.12
2024-04-30,827500.0,3.87,3.98,3.99,3.77,3.8,-0.07
2024-05-02,268000.0,3.8,3.77,3.85,3.75,3.78,-0.02
2024-05-03,342500.0,3.78,3.75,3.84,3.7,3.81,0.03
2024-05-06,715000.0,3.81,3.75,3.91,3.75,3.86,0.05
2024-05-07,1675500.0,3.86,3.9,4.15,3.85,3.96,0.1
2024-05-08,1575000.0,3.96,4.03,4.15,3.9,4.0,0.04
2024-05-09,2529000.0,4.0,4.12,4.27,4.0,4.17,0.17
2024-05-10,2039500.0,4.17,4.3,4.36,4.15,4.17,0.0
2024-05-13,948500.0,4.17,4.17,4.28,4.05,4.14,-0.03
2024-05-14,1466500.0,4.14,4.21,4.35,4.06,4.19,0.05
2024-05-15,796500.0,4.19,4.24,4.39,4.1,4.18,-0.01
2024-05-16,506000.0,4.18,4.2,4.2,4.08,4.1,-0.08
2024-05-17,728500.0,4.1,4.18,4.23,4.03,4.14,0.04
2024-05-20,280339.0,4.14,4.24,4.24,4.06,4.13,-0.01
2024-05-21,807894.0,4.13,4.1,4.14,4.0,4.02,-0.11
2024-05-22,547764.0,4.02,4.05,4.18,4.03,4.04,0.02
2024-05-23,706785.0,4.04,4.01,4.23,4.0,4.12,0.08
2024-05-24,1169100.0,4.12,4.19,4.35,4.14,4.17,0.05
2024-05-27,282018.0,4.17,4.24,4.24,4.04,4.05,-0.12
2024-05-29,1053826.0,4.05,4.01,4.04,3.83,3.86,-0.19
2024-05-30,444781.0,3.86,3.86,3.94,3.82,3.86,0.0
2024-05-31,145934.0,3.86,3.92,4.04,3.9,3.92,0.06
2024-06-03,475804.0,3.92,3.99,4.07,3.9,4.0,0.08
2024-06-04,259563.0,4.0,4.0,4.0,3.86,3.89,-0.11
2024-06-05,158436.0,3.89,3.92,3.94,3.8,3.81,-0.08
2024-06-06,233532.0,3.81,3.88,3.98,3.75,3.79,-0.02
2024-06-07,475136.0,3.79,3.85,3.94,3.69,3.87,0.08
2024-06-10,211482.0,3.87,3.99,4.02,3.81,3.83,-0.04
2024-06-11,161031.0,3.83,3.93,3.93,3.79,3.81,-0.02
2024-06-12,101666.0,3.81,3.88,3.93,3.8,3.85,0.04
2024-06-13,383039.0,3.85,3.93,3.95,3.8,3.82,-0.03
