Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-01-01,29000.0,9.3,9.0,9.48,8.8,9.0,-0.3
2024-01-02,21000.0,9.0,9.0,9.0,8.8,8.8,-0.2
2024-01-04,20000.0,8.8,8.8,9.0,8.8,9.0,0.2
2024-01-05,49500.0,9.0,9.0,9.5,9.0,9.3,0.3
2024-01-08,25000.0,9.3,9.0,9.24,9.0,9.2,-0.1
2024-01-09,37500.0,9.2,9.0,9.5,9.0,9.0,-0.2
2024-01-10,35000.0,9.0,8.8,8.99,8.5,8.99,-0.01
2024-01-11,36000.0,8.99,8.75,8.87,8.5,8.76,-0.23
2024-01-12,60000.0,8.76,8.75,9.5,8.4,9.07,0.31
2024-01-15,79500.0,9.07,9.0,9.75,8.75,9.01,-0.06
2024-01-16,63000.0,9.01,9.2,10.01,9.2,10.01,1.0
2024-01-17,76500.0,10.01,10.98,11.01,10.5,10.55,0.54
2024-01-18,1000.0,10.55,10.95,10.95,10.95,10.95,0.4
2024-01-19,6500.0,10.95,10.3,10.7,10.3,10.7,-0.25
2024-01-22,38500.0,10.7,10.01,10.01,9.95,9.95,-0.75
2024-01-23,6500.0,9.95,9.26,10.88,9.25,10.88,0.93
2024-01-24,19000.0,10.88,9.9,10.5,9.88,10.03,-0.85
2024-01-25,14000.0,10.03,9.82,10.0,9.8,10.0,-0.03
2024-01-30,28500.0,10.0,9.02,9.9,9.0,9.9,-0.1
2024-01-31,46500.0,9.9,9.26,9.84,9.1,9.2,-0.7
2024-02-01,500.0,9.2,8.8,8.8,8.8,8.8,-0.4
2024-02-02,1000.0,8.8,9.3,9.3,8.8,8.8,0.0
2024-02-06,2500.0,8.8,8.9,8.9,8.9,8.9,0.1
2024-02-07,500.0,8.9,9.0,9.0,9.0,9.0,0.1
2024-02-12,6500.0,9.0,8.34,8.34,8.0,8.0,1.0
2024-02-13,210000.0,8.0,7.0,7.49,7.0,7.1,-0.9
2024-02-14,11000.0,7.1,7.4,7.98,7.4,7.75,0.65
2024-02-15,75500.0,7.75,7.12,8.48,6.85,6.97,-0.78
2024-02-16,1500.0,6.97,7.29,7.3,7.29,7.3,0.33
2024-02-19,27000.0,7.3,6.61,7.89,6.61,6.9,-0.4
2024-02-20,12000.0,6.9,6.85,7.0,6.71,6.85,-0.05
2024-02-21,12500.0,6.85,6.98,6.98,6.7,6.94,0.09
2024-02-22,14500.0,6.94,6.9,7.0,6.75,6.75,-0.19
2024-02-23,500.0,6.75,6.89,6.89,6.89,6.89,0.14
2024-02-26,169000.0,6.89,6.6,6.9,6.01,6.49,-0.4
2024-02-27,23500.0,6.49,6.89,6.89,6.5,6.89,0.4
2024-02-28,24000.0,6.89,6.99,7.89,6.66,6.83,-0.06
2024-02-29,90000.0,6.83,6.41,7.2,6.41,6.5,-0.33
2024-03-01,96500.0,6.5,6.3,6.8,6.0,6.5,0.0
2024-03-04,1500.0,6.5,6.22,6.45,6.22,6.45,-0.05
2024-03-06,500.0,6.45,6.69,6.69,6.69,6.69,0.24
2024-03-07,25000.0,6.69,6.4,6.75,6.1,6.75,0.06
2024-03-08,19000.0,6.75,6.7,7.25,6.7,7.25,0.5
2024-03-11,112500.0,7.25,7.0,7.0,6.32,6.85,-0.4
2024-03-13,2500.0,6.85,6.5,6.8,6.5,6.8,-0.05
2024-03-14,15000.0,6.8,6.8,6.99,6.5,6.8,0.0
2024-03-18,8000.0,6.8,6.5,6.64,6.3,6.64,-0.16
2024-03-20,14000.0,6.64,6.25,6.7,6.25,6.67,0.03
2024-03-21,500.0,6.67,6.84,6.84,6.84,6.84,0.17
2024-03-22,10500.0,6.84,6.41,6.7,6.4,6.41,-0.43
2024-03-25,1500.0,6.41,6.5,6.5,6.2,6.2,-0.21
2024-03-27,500.0,6.2,6.5,6.5,6.5,6.5,0.3
2024-03-29,3000.0,6.5,6.32,6.4,6.31,6.31,-0.19
2024-04-02,3000.0,6.31,6.21,6.21,5.9,5.9,-0.41
2024-04-03,7000.0,5.9,6.4,6.55,6.2,6.5,0.6
2024-04-04,1000.0,6.5,0.0,0.0,0.0,6.5,0.0
2024-04-08,500.0,6.5,6.15,6.15,6.15,6.15,-0.35
2024-04-09,16000.0,6.15,6.5,6.83,6.31,6.61,0.46
2024-04-15,4500.0,6.61,6.77,6.77,6.77,6.77,0.16
2024-04-16,3000.0,6.77,6.8,6.99,6.8,6.99,0.22
2024-04-17,3000.0,6.99,6.99,6.99,6.5,6.88,-0.11
2024-04-18,3000.0,6.88,6.9,6.99,6.7,6.79,-0.09
2024-04-19,1500.0,6.79,6.9,6.99,6.9,6.99,0.2
2024-04-24,5500.0,6.99,6.8,6.8,6.8,6.8,-0.19
2024-04-25,2000.0,6.8,6.7,6.98,6.7,6.75,-0.05
2024-04-26,50000.0,6.75,7.0,7.75,7.0,7.75,1.0
2024-04-29,14000.0,7.75,8.45,8.59,8.0,8.2,0.45
2024-04-30,17000.0,8.2,8.1,8.2,8.1,8.1,-0.1
2024-05-02,2000.0,8.1,8.39,8.89,8.39,8.89,0.79
2024-05-03,1000.0,8.89,8.95,8.99,8.95,8.97,0.08
2024-05-06,7000.0,8.97,8.5,9.0,8.5,8.53,-0.44
2024-05-07,5500.0,8.53,8.7,8.95,8.61,8.8,0.27
2024-05-08,5000.0,8.8,8.6,9.0,8.6,9.0,0.2
2024-05-10,2500.0,9.0,9.0,9.25,9.0,9.0,0.0
2024-05-13,6000.0,9.0,9.0,9.49,8.99,8.99,-0.01
2024-05-14,3500.0,8.99,8.85,9.3,8.85,9.3,0.31
2024-05-15,8500.0,9.3,8.82,9.3,8.7,9.06,-0.24
2024-05-16,28000.0,9.06,8.33,8.95,8.32,8.65,-0.41
2024-05-17,5000.0,8.65,8.5,8.5,8.5,8.5,-0.15
2024-05-20,7000.0,8.5,8.2,8.99,8.2,8.99,0.49
2024-05-21,28000.0,8.99,8.5,8.75,8.5,8.5,-0.49
2024-05-22,57000.0,8.5,8.68,9.0,8.4,8.4,-0.1
2024-05-23,1500.0,8.4,8.26,8.5,8.26,8.5,0.1
2024-05-24,500.0,8.5,8.2,8.2,8.2,8.2,-0.3
2024-05-27,3003.0,8.2,8.44,8.7,8.3,8.3,0.1
2024-05-29,29002.0,8.3,8.0,8.5,7.9,7.9,-0.4
2024-05-30,8002.0,7.9,8.0,8.0,7.5,7.98,0.08
2024-05-31,2001.0,7.98,7.57,8.4,7.57,8.4,0.42
2024-06-04,24003.0,8.4,8.0,8.4,7.81,8.0,-0.4
2024-06-05,500.0,8.0,8.0,8.0,8.0,8.0,0.0
2024-06-06,250.0,8.0,8.4,8.5,8.4,8.0,0.0
2024-06-07,13533.0,8.0,8.0,8.7,7.9,8.52,0.52
2024-06-10,5502.0,8.52,8.0,8.0,7.79,8.0,-0.52
2024-06-11,1871.0,8.0,7.9,7.9,7.9,7.9,-0.1
2024-06-12,8499.0,7.9,7.9,8.9,7.7,8.67,0.77
2024-06-13,1.0,8.67,8.9,8.9,8.9,8.67,0.0
2024-06-20,56796.0,8.67,7.9,9.0,7.75,7.8,-0.87
2024-06-21,2000.0,7.8,8.18,8.23,8.18,8.23,0.43
2024-06-24,4000.0,8.23,8.24,8.3,8.24,8.3,0.07
2024-07-09,5000.0,8.3,8.45,8.5,8.45,8.5,0.2
2024-07-10,13.0,8.5,7.75,7.75,7.75,8.5,0.0
2024-07-12,10000.0,8.5,8.0,8.0,8.0,8.0,-0.5
2024-07-15,1400.0,8.0,8.48,8.49,8.48,8.49,0.49
2024-07-18,23500.0,8.49,8.49,8.75,8.0,8.0,-0.49
2024-07-19,2500.0,8.0,8.2,8.4,8.0,8.0,0.0
2024-07-23,9000.0,8.0,7.56,7.99,7.55,7.9,-0.1
2024-07-24,24920.0,7.9,7.65,7.99,7.5,7.78,-0.12
2024-07-25,8800.0,7.78,7.5,8.2,7.5,7.99,0.21
2024-07-26,1000.0,7.99,7.9,7.9,7.9,7.9,-0.09
2024-08-05,148.0,7.9,8.05,8.05,8.05,7.9,0.0
2024-08-06,35.0,7.9,7.8,7.8,7.8,7.9,0.0
2024-08-08,868.0,7.9,7.34,7.99,7.34,7.67,-0.23
2024-08-16,3499.0,7.67,7.67,7.99,7.67,7.97,0.3
2024-08-20,1014.0,7.97,7.34,8.45,7.34,8.45,0.48
2024-08-21,761.0,8.45,8.0,8.0,7.57,7.59,-0.86
2024-08-22,1501.0,7.59,7.31,8.43,7.31,8.29,0.7
2024-08-23,45507.0,8.29,8.45,8.45,7.5,8.44,0.15
2024-08-26,10021.0,8.44,7.56,8.5,7.56,8.5,0.06
2024-08-27,3776.0,8.5,7.6,8.46,7.6,7.82,-0.68
2024-08-28,11.0,7.82,8.47,8.47,8.4,7.82,0.0
2024-08-29,2010.0,7.82,8.39,8.4,8.39,8.4,0.58
2024-08-30,150.0,8.4,8.39,8.39,8.39,8.4,0.0
2024-09-02,1000.0,8.4,7.67,7.67,7.66,7.66,-0.74
2024-09-05,2002.0,7.66,7.99,8.45,7.26,8.45,0.79
2024-09-09,4171.0,8.45,7.73,9.45,7.73,8.53,0.08
2024-09-10,22001.0,8.53,9.0,9.0,8.2,8.53,0.0
2024-09-18,2154.0,8.53,8.53,9.5,8.53,9.26,0.73
2024-09-19,11562.0,9.26,9.5,9.5,8.26,8.88,-0.38
2024-09-20,5.0,8.88,9.0,9.0,8.88,8.88,0.0
2024-09-23,7000.0,8.88,8.23,8.95,8.0,8.33,-0.55
2024-09-24,1.0,8.33,8.94,8.94,8.94,8.33,0.0
2024-09-25,1500.0,8.33,9.0,9.0,9.0,9.0,0.67
2024-09-27,1564.0,9.0,9.5,9.5,9.4,9.41,0.41
2024-09-30,2100.0,9.41,9.5,9.5,9.0,9.45,0.04
2024-10-01,20.0,9.45,0.0,0.0,0.0,9.42,-0.03
2024-10-02,2352.0,9.42,8.75,9.0,8.75,8.75,-0.67
2024-10-03,550.0,8.75,9.2,9.2,9.2,9.2,0.45
2024-10-10,4323.0,9.05,8.08,8.9,8.05,8.52,-0.53
2024-10-11,35433.0,8.52,7.68,8.9,7.68,8.71,0.19
2024-10-14,5555.0,8.71,8.22,8.7,7.72,8.59,-0.12
2024-10-15,1500.0,8.59,8.69,8.69,8.08,8.28,-0.31
2024-10-16,7002.0,8.28,8.0,8.45,7.61,8.05,-0.23
2024-10-17,17060.0,8.05,8.0,8.1,7.51,7.54,-0.51
2024-10-18,12700.0,7.54,7.44,8.54,7.44,8.18,0.64
2024-10-24,9030.0,8.18,8.0,8.4,7.33,7.9,-0.28
2024-10-25,9515.0,7.9,7.8,8.5,7.8,8.0,0.1
2024-10-29,501.0,8.0,8.1,8.1,7.61,7.61,-0.39
2024-10-30,5053.0,7.61,7.99,7.99,7.21,7.5,-0.11
2024-10-31,41458.0,7.5,7.5,7.75,6.5,7.38,-0.12
2024-11-01,11303.0,7.38,7.0,8.0,6.6,7.87,0.49
2024-11-04,5503.0,7.87,8.1,8.1,7.34,7.47,-0.4
2024-11-05,11.0,7.47,8.1,8.1,7.33,7.47,0.0
2024-11-08,500.0,7.47,8.3,8.3,8.3,8.3,0.83
2024-11-11,500.0,8.3,7.65,7.65,7.44,7.63,-0.67
2024-11-15,14508.0,7.63,7.3,8.63,7.05,7.76,0.13
2024-11-18,502.0,7.76,7.6,7.7,7.3,7.6,-0.16
2024-11-19,130.0,7.6,7.7,7.7,7.33,7.6,0.0
2024-11-20,126572.0,7.6,7.7,8.6,7.7,8.59,0.99
2024-11-21,137526.0,8.59,8.7,9.2,7.59,8.24,-0.35
