Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-01-02,1000.0,17.79,17.8,17.8,17.8,17.8,0.01
2024-01-04,1500.0,17.8,17.3,17.3,17.01,17.01,-0.79
2024-01-11,1500.0,17.01,15.91,17.97,15.91,17.97,0.96
2024-01-19,8000.0,17.97,17.0,17.0,17.0,17.0,-0.97
2024-01-22,11000.0,17.0,17.75,18.15,17.5,18.15,1.15
2024-02-01,1000.0,18.15,17.0,17.0,17.0,17.0,-1.15
2024-02-02,1000.0,17.0,17.2,17.2,17.2,17.2,0.2
2024-02-07,1000.0,17.2,16.99,16.99,16.99,16.99,-0.21
2024-02-12,1500.0,16.99,15.72,18.26,15.72,17.52,0.53
2024-02-21,500.0,17.52,17.0,17.0,17.0,17.0,-0.52
2024-02-22,500.0,17.0,17.49,17.49,17.49,17.49,0.49
2024-03-06,1000.0,17.49,16.18,17.5,16.18,17.5,0.01
2024-03-29,500.0,17.5,16.19,16.19,16.19,16.19,-1.31
2024-04-03,1000.0,16.19,17.4,17.4,17.35,17.35,1.16
2024-04-15,1000.0,17.35,16.06,17.12,16.06,17.12,-0.23
2024-04-16,12500.0,17.12,17.5,18.4,17.5,18.4,1.28
2024-04-17,500.0,18.4,19.5,19.5,19.5,19.5,1.1
2024-04-18,1000.0,19.5,19.5,20.96,19.5,20.96,1.46
2024-04-19,1000.0,20.96,0.0,0.0,0.0,20.96,0.0
2024-04-25,1500.0,20.96,19.39,19.39,19.39,19.39,-1.57
2024-04-26,1000.0,19.39,20.8,20.8,20.8,20.8,1.41
2024-05-15,1500.0,20.8,19.24,19.26,19.24,19.26,-1.54
2024-05-16,25500.0,19.26,18.5,18.5,18.01,18.01,-1.25
2024-05-20,500.0,18.01,18.0,18.0,18.0,18.0,-0.01
2024-05-27,203.0,18.0,19.44,19.44,19.44,18.0,0.0
2024-05-29,5.0,18.0,17.2,17.98,17.2,18.0,0.0
2024-05-31,1003.0,18.0,16.56,19.4,16.56,18.95,0.95
2024-06-04,1.0,18.95,0.0,0.0,0.0,18.95,0.0
2024-06-05,500.0,18.95,18.0,18.0,18.0,18.0,-0.95
2024-06-06,311.0,18.0,17.91,17.91,17.91,18.0,0.0
2024-06-07,1.0,18.0,16.67,16.67,16.67,18.0,0.0
2024-06-10,9.0,18.0,0.0,0.0,0.0,18.0,0.0
2024-06-11,105.0,18.0,16.52,19.4,16.52,18.0,0.0
2024-06-12,5.0,18.0,0.0,0.0,0.0,18.0,0.0
2024-06-13,7.0,18.0,0.0,0.0,0.0,18.0,0.0
2024-06-24,2.0,18.0,17.5,17.5,17.5,18.0,0.0
2024-06-25,4.0,18.0,0.0,0.0,0.0,18.0,0.0
2024-06-26,3.0,18.0,16.38,16.38,16.38,18.0,0.0
2024-06-27,1.0,18.0,17.96,17.96,17.96,18.0,0.0
2024-07-01,6.0,18.0,18.45,18.45,18.45,18.0,0.0
2024-07-03,6947.0,18.0,17.74,19.47,17.5,18.02,0.02
2024-07-04,105.0,18.02,17.0,18.0,17.0,18.02,0.0
2024-07-05,4510.0,18.02,19.0,19.47,18.6,19.0,0.98
2024-07-08,9.0,19.0,17.6,18.5,17.6,19.0,0.0
2024-07-09,1520.0,19.0,17.2,19.8,17.2,19.0,0.0
2024-07-10,2011.0,19.0,18.01,19.8,18.01,18.03,-0.97
2024-07-11,10754.0,18.03,17.9,18.5,17.26,18.5,0.47
2024-07-12,9.0,18.5,18.0,18.0,16.74,18.5,0.0
2024-07-15,1.0,18.5,18.0,18.0,18.0,18.5,0.0
2024-07-18,3000.0,18.5,18.0,18.0,18.0,18.0,-0.5
2024-07-22,10027.0,18.0,17.5,17.5,16.2,18.0,0.0
2024-07-23,5003.0,18.0,17.02,19.8,17.0,19.8,1.8
2024-07-24,13563.0,19.8,18.99,19.0,17.82,18.0,-1.8
2024-07-25,305.0,18.0,17.0,17.61,16.2,18.0,0.0
2024-07-29,160.0,18.0,17.5,17.5,17.5,18.0,0.0
2024-07-30,200.0,18.0,18.0,18.49,18.0,18.0,0.0
2024-08-02,1.0,18.0,19.19,19.19,19.19,18.0,0.0
2024-08-07,3000.0,18.0,17.1,17.25,16.25,16.25,-1.75
2024-08-08,28558.0,16.25,17.88,17.88,15.5,17.7,1.45
2024-08-09,1001.0,17.7,17.7,17.89,17.12,17.89,0.19
2024-08-12,1645.0,17.89,16.88,17.9,16.88,17.03,-0.86
2024-08-13,41.0,17.03,16.97,17.49,16.97,17.03,0.0
2024-08-15,8609.0,17.03,18.5,18.5,15.5,17.0,-0.03
2024-08-16,312.0,17.0,16.37,18.68,15.41,17.0,0.0
2024-08-19,1398.0,17.0,16.39,17.0,15.35,16.0,1.0
2024-08-20,11614.0,16.0,15.51,16.8,14.8,14.87,-1.13
2024-08-21,5487.0,14.87,13.61,16.36,13.61,16.28,1.41
2024-08-22,301.0,16.28,15.76,15.76,15.75,16.28,0.0
2024-09-04,501.0,16.28,17.9,17.9,15.03,15.69,-0.59
2024-09-05,3506.0,15.69,16.96,16.96,14.15,15.97,0.28
2024-09-06,2115.0,15.97,17.0,17.57,15.25,16.68,0.71
2024-09-09,289.0,16.68,15.01,16.74,15.01,16.68,0.0
2024-09-10,1190.0,16.68,16.96,17.0,15.2,15.96,-0.72
2024-09-11,23.0,15.96,14.36,17.0,14.36,15.96,0.0
2024-09-12,1931.0,15.96,14.55,15.7,14.55,15.96,0.0
2024-09-13,10.0,15.96,14.44,16.99,14.44,15.96,0.0
2024-09-16,188.0,15.96,17.1,17.1,15.0,15.96,0.0
2024-09-18,100.0,15.96,15.96,15.96,15.96,15.96,0.0
2024-09-19,2.0,15.96,16.99,16.99,15.96,15.96,0.0
2024-09-20,3.0,15.96,0.0,0.0,0.0,15.96,0.0
2024-09-23,30304.0,15.96,17.1,17.56,15.21,17.56,1.6
2024-09-24,35920.0,17.56,17.55,19.32,16.01,19.32,1.76
2024-09-25,42602.0,19.32,20.99,21.25,18.0,21.25,1.93
2024-09-26,100468.0,21.25,22.9,22.95,19.13,19.13,-2.12
