Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-12-05,71240.0,10.62,10.0,10.5,9.56,9.56,-1.06
2024-12-06,52299.0,9.56,8.61,8.99,8.56,8.56,1.0
2024-12-09,29464.0,8.56,8.56,8.58,7.8,7.85,-0.71
2024-12-10,35866.0,7.85,8.25,8.25,7.72,8.0,0.15
2024-12-11,80150.0,8.0,7.99,8.0,7.77,8.0,0.0
2024-12-12,22297.0,8.0,8.23,8.25,8.0,8.0,0.0
2024-12-13,17147.0,8.0,8.4,8.4,7.51,7.92,-0.08
2024-12-16,28896.0,7.92,7.55,8.89,7.5,8.46,0.54
2024-12-17,18791.0,8.46,7.57,8.5,7.57,8.43,-0.03
2024-12-18,45475.0,8.43,8.0,9.43,8.0,9.43,1.0
2024-12-19,53538.0,9.43,8.43,10.43,8.43,10.43,1.0
2024-12-20,13197.0,10.43,10.9,11.35,9.4,10.0,-0.43
2024-12-23,100226.0,10.0,10.0,10.02,9.0,9.0,1.0
2024-12-24,7225.0,9.0,8.55,9.25,8.52,8.52,-0.48
2024-12-26,27850.0,8.52,8.0,8.84,8.0,8.05,-0.47
2024-12-27,36265.0,8.05,7.3,8.6,7.06,8.58,0.53
