Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-01-01,38000.0,5.81,5.9,6.2,5.87,5.87,0.06
2024-01-02,70000.0,5.87,5.75,6.03,5.51,5.7,-0.17
2024-01-03,16500.0,5.7,5.61,5.86,5.54,5.75,0.05
2024-01-04,22000.0,5.75,5.88,5.88,5.67,5.75,0.0
2024-01-05,64500.0,5.75,5.6,5.75,5.5,5.64,-0.11
2024-01-08,148500.0,5.64,5.66,5.66,5.01,5.4,-0.24
2024-01-09,228000.0,5.4,5.2,5.35,5.0,5.13,-0.27
2024-01-10,234500.0,5.13,5.06,5.25,5.0,5.04,-0.09
2024-01-11,219000.0,5.04,5.01,5.7,5.01,5.58,0.54
2024-01-12,83000.0,5.58,5.77,5.77,5.2,5.21,-0.37
2024-01-15,23500.0,5.21,5.4,5.44,5.15,5.15,-0.06
2024-01-16,25000.0,5.15,5.11,5.15,5.1,5.11,-0.04
2024-01-17,1082500.0,5.11,5.4,6.11,5.4,6.11,1.0
2024-01-18,523500.0,6.11,6.7,7.11,6.7,7.11,1.0
2024-01-19,1566500.0,7.11,8.11,8.11,6.52,6.61,-0.5
2024-01-22,101000.0,6.61,6.8,6.8,6.25,6.35,-0.26
2024-01-23,112500.0,6.35,6.5,6.6,6.21,6.32,-0.03
2024-01-24,69000.0,6.32,6.35,6.35,6.1,6.12,-0.2
2024-01-25,579000.0,6.12,6.06,6.3,5.9,5.99,-0.13
2024-01-26,846000.0,5.99,6.0,6.99,6.0,6.99,1.0
2024-01-29,1735500.0,6.99,7.28,7.99,6.99,7.99,1.0
2024-01-30,1228500.0,7.99,7.99,8.09,6.99,6.99,1.0
2024-01-31,151500.0,6.99,7.15,7.15,6.5,6.63,-0.36
2024-02-01,127500.0,6.63,6.8,7.2,6.6,6.7,0.07
2024-02-02,149500.0,6.7,6.95,7.15,6.68,6.75,0.05
2024-02-06,29500.0,6.75,6.61,7.1,6.6,6.8,0.05
2024-02-07,408500.0,6.8,7.05,7.59,6.99,7.25,0.45
2024-02-09,175500.0,7.25,7.37,7.37,6.7,6.87,-0.38
2024-02-12,316000.0,6.87,6.61,7.3,6.5,6.57,-0.3
2024-02-13,201000.0,6.57,6.51,6.87,6.2,6.67,0.1
2024-02-14,80000.0,6.67,6.89,6.9,6.47,6.5,-0.17
2024-02-15,163500.0,6.5,6.45,6.6,6.1,6.13,-0.37
2024-02-16,52000.0,6.13,6.2,6.5,6.0,6.04,-0.09
2024-02-19,36500.0,6.04,6.2,6.45,6.11,6.14,0.1
2024-02-20,56000.0,6.14,6.44,6.44,6.04,6.11,-0.03
2024-02-21,78000.0,6.11,6.11,6.44,6.11,6.18,0.07
2024-02-22,76000.0,6.18,6.23,6.3,6.1,6.11,-0.07
2024-02-23,70000.0,6.11,6.2,6.35,6.0,6.09,-0.02
2024-02-26,69500.0,6.09,6.12,6.43,6.06,6.11,0.02
2024-02-27,68500.0,6.11,6.11,6.25,5.89,5.92,-0.19
2024-02-28,93500.0,5.92,6.0,6.05,5.88,5.92,0.0
2024-02-29,517500.0,5.92,5.9,6.66,5.9,6.25,0.33
2024-03-01,440500.0,6.25,6.1,6.74,6.1,6.42,0.17
2024-03-04,529500.0,6.42,6.53,6.85,6.5,6.61,0.19
2024-03-05,310500.0,6.61,6.57,6.57,6.1,6.2,-0.41
2024-03-06,172000.0,6.2,6.25,6.28,5.95,5.98,-0.22
2024-03-07,29500.0,5.98,5.98,6.1,5.91,6.0,0.02
2024-03-08,76000.0,6.0,6.01,6.05,5.9,5.94,-0.06
2024-03-11,84500.0,5.94,5.95,6.04,5.86,5.92,-0.02
2024-03-12,62000.0,5.92,5.85,5.85,5.6,5.61,-0.31
2024-03-13,13000.0,5.61,5.79,5.8,5.65,5.67,0.06
2024-03-14,10000.0,5.67,5.95,5.95,5.64,5.69,0.02
2024-03-15,89000.0,5.69,5.89,5.89,5.6,5.64,-0.05
2024-03-18,13500.0,5.64,5.6,5.6,5.5,5.55,-0.09
2024-03-19,66500.0,5.55,5.69,5.76,5.52,5.55,0.0
2024-03-20,79500.0,5.55,5.96,6.0,5.57,5.58,0.03
2024-03-21,140500.0,5.58,5.52,5.74,5.4,5.43,-0.15
2024-03-22,35500.0,5.43,5.4,5.5,5.3,5.31,-0.12
2024-03-25,127000.0,5.31,5.35,5.35,5.0,5.11,-0.2
2024-03-26,29500.0,5.11,5.02,5.1,5.02,5.1,-0.01
2024-03-27,9000.0,5.1,5.2,5.25,5.0,5.25,0.15
2024-03-28,20000.0,5.25,5.4,5.4,5.2,5.27,0.02
2024-03-29,1000.0,5.27,5.17,5.17,5.17,5.17,-0.1
2024-04-01,54000.0,5.17,5.11,5.3,4.96,4.99,-0.18
2024-04-02,77000.0,4.99,5.1,5.15,4.8,4.86,-0.13
2024-04-03,22500.0,4.86,4.99,5.02,4.85,5.0,0.14
2024-04-04,41000.0,5.0,4.66,5.19,4.66,4.87,-0.13
2024-04-08,11500.0,4.87,4.85,4.85,4.8,4.83,-0.04
2024-04-09,71500.0,4.83,4.8,5.1,4.7,5.1,0.27
2024-04-15,8000.0,5.1,5.0,5.13,4.81,5.11,0.01
2024-04-16,34500.0,5.11,5.16,5.2,4.93,5.02,-0.09
2024-04-17,71000.0,5.02,5.08,5.38,5.08,5.2,0.18
2024-04-18,8500.0,5.2,5.35,5.35,5.14,5.14,-0.06
2024-04-19,51000.0,5.14,5.29,5.38,5.1,5.26,0.12
2024-04-22,98500.0,5.26,5.1,5.2,5.1,5.14,-0.12
2024-04-23,16000.0,5.14,5.05,5.24,5.05,5.2,0.06
2024-04-25,2000.0,5.2,5.29,5.29,4.87,5.19,-0.01
2024-04-26,31500.0,5.19,4.81,5.2,4.8,5.02,-0.17
2024-04-29,2000.0,5.02,4.93,5.08,4.92,5.08,0.06
2024-04-30,23500.0,5.08,4.71,5.04,4.71,4.89,-0.19
2024-05-02,28000.0,4.89,4.75,4.85,4.7,4.75,-0.14
2024-05-03,22000.0,4.75,4.63,4.8,4.6,4.76,0.01
2024-05-06,8500.0,4.76,4.8,5.0,4.8,4.86,0.1
2024-05-07,53000.0,4.86,4.65,5.08,4.65,5.0,0.14
2024-05-08,5000.0,5.0,4.86,4.86,4.85,4.85,-0.15
2024-05-09,61000.0,4.85,5.0,5.19,4.85,5.05,0.2
2024-05-10,33500.0,5.05,5.0,5.1,4.99,4.99,-0.06
2024-05-13,26500.0,4.99,5.0,5.15,4.94,4.94,-0.05
2024-05-14,15000.0,4.94,4.9,5.14,4.9,4.91,-0.03
2024-05-15,2500.0,4.91,4.91,4.91,4.91,4.91,0.0
2024-05-17,4500.0,4.91,4.9,5.09,4.9,5.0,0.09
2024-05-20,10000.0,5.0,5.0,5.0,5.0,5.0,0.0
2024-05-21,50000.0,5.0,4.86,5.1,4.8,4.9,-0.1
2024-05-22,30000.0,4.9,4.8,5.14,4.8,4.86,-0.04
2024-05-23,14000.0,4.86,5.0,5.0,4.99,5.0,0.14
2024-05-24,27500.0,5.0,5.0,5.12,4.9,4.9,-0.1
2024-05-27,19550.0,4.9,5.39,5.39,4.76,4.97,0.07
2024-05-29,11100.0,4.97,4.81,4.95,4.75,4.82,-0.15
2024-05-30,3063.0,4.82,4.76,4.97,4.76,4.8,-0.02
