Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-01-01,1500.0,6.48,6.79,6.79,6.66,6.69,0.21
2024-01-02,7000.0,6.69,7.0,7.2,6.61,6.62,-0.07
2024-01-03,7000.0,6.62,6.66,6.66,6.59,6.59,-0.03
2024-01-04,10500.0,6.59,6.55,6.55,6.5,6.5,-0.09
2024-01-05,500.0,6.5,6.79,6.79,6.79,6.79,0.29
2024-01-09,2500.0,6.79,6.79,6.79,6.79,6.79,0.0
2024-01-10,8000.0,6.79,6.51,6.51,6.43,6.43,-0.36
2024-01-11,47500.0,6.43,6.51,6.51,6.21,6.21,-0.22
2024-01-12,116000.0,6.21,6.21,6.21,6.1,6.2,-0.01
2024-01-15,1500.0,6.2,6.06,6.06,6.06,6.06,-0.14
2024-01-16,9500.0,6.06,7.0,7.0,6.6,6.79,0.73
2024-01-18,14000.0,6.79,6.01,6.13,6.0,6.12,-0.67
2024-01-19,2000.0,6.12,6.0,6.2,6.0,6.19,0.07
2024-01-22,2500.0,6.19,6.05,6.15,6.05,6.07,-0.12
2024-01-23,1500.0,6.07,6.03,6.34,6.03,6.34,0.27
2024-01-24,1000.0,6.34,6.25,6.35,6.25,6.35,0.01
2024-01-25,23000.0,6.35,6.11,6.11,5.92,5.99,-0.36
2024-01-26,2500.0,5.99,6.0,6.19,6.0,6.19,0.2
2024-01-30,14000.0,6.19,5.81,6.0,5.81,6.0,-0.19
2024-01-31,500.0,6.0,0.0,0.0,0.0,6.0,0.0
2024-02-01,12000.0,6.0,5.95,6.29,5.85,6.24,0.24
2024-02-07,5000.0,6.24,6.0,6.09,5.9,6.02,-0.22
2024-02-12,9500.0,6.02,5.76,5.76,5.52,5.52,-0.5
2024-02-13,12000.0,5.52,5.52,5.52,5.5,5.51,-0.01
2024-02-14,4000.0,5.51,5.6,5.6,5.6,5.6,0.09
2024-02-15,2500.0,5.6,5.65,5.65,5.5,5.5,-0.1
2024-02-16,1500.0,5.5,5.81,5.81,5.55,5.55,0.05
2024-02-20,6500.0,5.55,5.87,6.29,5.57,5.57,0.02
2024-02-21,1500.0,5.57,5.95,5.95,5.7,5.7,0.13
2024-02-22,7000.0,5.7,5.8,5.8,5.5,5.56,-0.14
2024-02-23,2500.0,5.56,5.56,5.56,5.5,5.5,-0.06
2024-02-26,1500.0,5.5,5.36,5.41,5.36,5.41,-0.09
2024-02-27,370000.0,5.41,5.74,5.75,5.4,5.57,0.16
2024-02-28,242000.0,5.57,5.5,5.5,5.31,5.5,-0.07
2024-02-29,11000.0,5.5,5.59,5.6,5.55,5.6,0.1
2024-03-01,43000.0,5.6,5.6,6.5,5.41,5.48,-0.12
2024-03-04,38000.0,5.48,5.5,5.5,5.4,5.45,-0.03
2024-03-05,35500.0,5.45,5.42,5.5,5.4,5.5,0.05
2024-03-06,500.0,5.5,5.69,5.69,5.69,5.69,0.19
2024-03-07,3000.0,5.69,5.45,5.7,5.45,5.68,-0.01
2024-03-08,1500.0,5.68,5.45,5.52,5.45,5.52,-0.16
2024-03-11,15500.0,5.52,5.52,5.8,5.52,5.65,0.13
2024-03-12,5000.0,5.65,5.8,5.9,5.8,5.88,0.23
2024-03-13,11500.0,5.88,6.0,6.3,5.7,5.72,-0.16
2024-03-14,1500.0,5.72,5.7,5.9,5.7,5.9,0.18
2024-03-15,2000.0,5.9,5.61,5.7,5.61,5.7,-0.2
2024-03-18,1000.0,5.7,5.62,5.62,5.62,5.62,-0.08
2024-03-19,3500.0,5.62,5.6,5.77,5.6,5.77,0.15
2024-03-20,5500.0,5.77,5.95,5.95,5.8,5.8,0.03
2024-03-21,4000.0,5.8,5.65,5.88,5.56,5.81,0.01
2024-03-22,12000.0,5.81,5.66,5.66,5.6,5.61,-0.2
2024-03-26,1000.0,5.61,5.6,5.6,5.6,5.6,-0.01
2024-03-27,2000.0,5.6,5.55,5.55,5.55,5.55,-0.05
2024-03-28,30500.0,5.55,5.5,5.5,5.5,5.5,-0.05
2024-03-29,3000.0,5.5,5.49,5.49,5.43,5.49,-0.01
2024-04-01,1000.0,5.49,5.6,5.6,5.6,5.6,0.11
2024-04-02,20000.0,5.6,5.42,5.42,5.3,5.38,-0.22
2024-04-03,2000.0,5.38,5.4,5.45,5.4,5.45,0.07
2024-04-04,6500.0,5.45,5.51,5.73,5.5,5.53,0.08
2024-04-09,31000.0,5.53,5.5,5.5,5.3,5.39,-0.14
2024-04-15,86500.0,5.39,5.4,5.53,5.0,5.5,0.11
2024-04-16,84000.0,5.5,5.31,5.6,5.3,5.6,0.1
2024-04-17,6000.0,5.6,5.64,5.65,5.36,5.65,0.05
2024-04-18,1500.0,5.65,5.35,5.6,5.35,5.6,-0.05
2024-04-19,8500.0,5.6,5.6,5.89,5.45,5.8,0.2
2024-04-22,1500.0,5.8,5.51,5.51,5.51,5.51,-0.29
2024-04-23,14500.0,5.51,5.51,5.55,5.42,5.42,-0.09
2024-04-25,147000.0,5.42,5.65,6.09,5.65,5.94,0.52
2024-04-26,33000.0,5.94,5.9,6.05,5.9,5.96,0.02
2024-04-29,88500.0,5.96,6.12,6.24,5.9,6.2,0.24
2024-04-30,50500.0,6.2,6.25,6.28,6.0,6.19,-0.01
2024-05-02,15500.0,6.19,5.9,6.17,5.9,6.0,-0.19
2024-05-03,20000.0,6.0,6.19,6.19,6.0,6.11,0.11
2024-05-06,148000.0,6.11,6.15,6.4,6.12,6.35,0.24
2024-05-07,54500.0,6.35,6.35,6.35,6.22,6.22,-0.13
2024-05-08,60000.0,6.22,6.26,6.3,6.12,6.3,0.08
2024-05-09,94500.0,6.3,6.3,6.65,6.3,6.43,0.13
2024-05-10,12000.0,6.43,6.32,6.5,6.32,6.5,0.07
2024-05-13,2500.0,6.5,6.5,6.64,6.5,6.64,0.14
2024-05-14,15000.0,6.64,6.5,6.84,6.4,6.7,0.06
2024-05-15,278500.0,6.7,6.51,6.6,6.5,6.6,-0.1
2024-05-16,23500.0,6.6,6.51,6.6,6.5,6.6,0.0
2024-05-17,11500.0,6.6,6.35,6.69,6.35,6.69,0.09
2024-05-20,27000.0,6.69,6.51,6.7,6.51,6.7,0.01
2024-05-21,404000.0,6.7,6.7,7.55,6.7,7.17,0.47
2024-05-22,31000.0,7.17,7.01,7.01,6.92,6.92,-0.25
2024-05-23,31500.0,6.92,6.95,7.11,6.95,7.0,0.08
2024-05-24,50500.0,7.0,7.0,7.1,7.0,7.1,0.1
2024-05-27,51203.0,7.1,7.1,7.1,7.1,7.1,0.0
2024-05-29,714168.0,7.1,7.1,8.1,7.0,7.7,0.6
2024-05-30,203706.0,7.7,8.43,8.43,7.71,7.87,0.17
2024-05-31,95097.0,7.87,7.25,8.08,7.25,8.05,0.18
2024-06-03,115434.0,8.05,8.1,8.1,7.5,7.98,-0.07
2024-06-04,53018.0,7.98,7.98,8.0,7.72,7.99,0.01
2024-06-05,12120.0,7.99,7.99,7.99,7.99,7.99,0.0
2024-06-06,28046.0,7.99,7.39,8.27,7.39,7.9,-0.09
2024-06-07,38600.0,7.9,7.45,8.0,7.44,8.0,0.1
