Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-01-02,2000.0,12.95,12.04,12.5,12.04,12.26,-0.69
2024-01-03,500.0,12.26,12.9,12.9,12.9,12.9,0.64
2024-01-05,3000.0,12.9,12.0,13.65,12.0,13.58,0.68
2024-01-08,5000.0,13.58,13.95,13.95,12.56,12.99,-0.59
2024-01-09,18500.0,12.99,12.0,13.0,12.0,12.45,-0.54
2024-01-10,2000.0,12.45,11.6,12.4,11.6,12.4,-0.05
2024-01-11,3500.0,12.4,12.95,12.95,11.75,11.75,-0.65
2024-01-12,8500.0,11.75,12.48,12.48,11.22,11.8,0.05
2024-01-18,637000.0,11.8,11.31,12.8,11.31,12.04,0.24
2024-01-19,11500.0,12.04,13.04,13.04,12.3,13.0,0.96
2024-01-22,17500.0,13.0,13.0,14.0,13.0,14.0,1.0
2024-01-23,37500.0,14.0,14.99,15.05,14.26,14.36,0.36
2024-01-24,1000.0,14.36,14.8,14.8,14.75,14.75,0.39
2024-01-26,3000.0,14.75,13.64,13.99,13.64,13.99,-0.76
2024-01-29,4000.0,13.99,12.94,13.0,12.94,13.0,-0.99
2024-01-30,13500.0,13.0,12.01,12.02,12.0,12.0,1.0
2024-01-31,24500.0,12.0,11.99,12.87,11.0,11.0,1.0
2024-02-01,1000.0,11.0,10.32,10.95,10.32,10.95,-0.05
2024-02-02,3500.0,10.95,10.09,10.09,10.06,10.06,-0.89
2024-02-06,1500.0,10.06,10.06,10.1,10.06,10.08,0.02
2024-02-07,22500.0,10.08,9.53,10.89,9.5,10.88,0.8
2024-02-12,28000.0,10.88,11.79,11.79,10.75,11.15,0.27
2024-02-13,1000.0,11.15,10.18,11.24,10.18,11.24,0.09
2024-02-15,1000.0,11.24,11.25,11.25,10.51,10.51,-0.73
2024-02-16,500.0,10.51,11.4,11.4,11.4,11.4,0.89
2024-02-19,1000.0,11.4,11.39,11.39,11.39,11.39,-0.01
2024-02-22,500.0,11.39,11.85,11.85,11.85,11.85,0.46
2024-02-23,500.0,11.85,12.6,12.6,12.6,12.6,0.75
2024-02-26,6000.0,12.6,12.85,12.85,11.6,11.6,1.0
2024-02-28,68500.0,11.6,11.99,12.6,11.99,12.6,1.0
2024-02-29,11000.0,12.6,13.55,13.59,12.7,13.0,0.4
2024-03-01,18000.0,13.0,12.1,13.65,12.1,13.5,0.5
2024-03-04,37000.0,13.5,12.5,13.4,12.5,12.9,-0.6
2024-03-05,2500.0,12.9,13.7,13.7,12.01,12.59,-0.31
2024-03-06,2500.0,12.59,12.9,13.0,12.05,12.53,-0.06
2024-03-07,500.0,12.53,12.9,12.9,12.9,12.9,0.37
2024-03-08,20000.0,12.9,13.0,13.4,13.0,13.39,0.49
2024-03-12,1000.0,13.39,12.4,12.4,12.4,12.4,-0.99
2024-03-13,1000.0,12.4,11.55,12.9,11.55,12.23,-0.17
2024-03-14,1500.0,12.23,12.8,12.85,11.8,12.85,0.62
2024-03-15,45500.0,12.85,13.0,13.0,12.0,12.0,-0.85
2024-03-22,15500.0,12.0,11.01,11.3,11.0,11.01,-0.99
2024-03-26,15000.0,11.01,10.16,10.3,10.01,10.07,-0.94
2024-03-27,500.0,10.07,10.2,10.2,10.2,10.2,0.13
2024-03-28,500.0,10.2,0.0,0.0,0.0,10.2,0.0
2024-04-16,1500.0,10.2,10.6,10.6,10.4,10.4,0.2
2024-04-18,2000.0,10.4,10.34,10.39,10.3,10.3,-0.1
2024-04-19,2000.0,10.3,9.61,10.4,9.61,10.4,0.1
2024-04-23,1500.0,10.4,10.14,10.14,9.9,9.9,-0.5
2024-04-24,1500.0,9.9,9.16,9.16,9.15,9.15,-0.75
2024-04-25,2000.0,9.15,10.15,10.15,9.6,10.05,0.9
2024-04-30,3500.0,10.05,9.31,9.6,9.2,9.6,-0.45
2024-05-07,1000.0,9.6,9.18,9.18,9.17,9.17,-0.43
2024-05-08,2000.0,9.17,9.98,9.98,9.9,9.9,0.73
2024-05-09,12000.0,9.9,10.09,10.5,10.09,10.5,0.6
2024-05-10,9000.0,10.5,10.5,10.75,10.0,10.69,0.19
2024-05-13,22000.0,10.69,11.0,11.69,11.0,11.69,1.0
2024-05-14,2500.0,11.69,11.0,11.0,11.0,11.0,-0.69
2024-05-15,500.0,11.0,0.0,0.0,0.0,11.0,0.0
2024-05-20,8500.0,11.0,10.98,10.98,10.0,10.0,1.0
2024-05-21,5500.0,10.0,10.01,10.2,9.93,9.99,-0.01
2024-05-23,1000.0,9.99,10.0,10.0,10.0,10.0,0.01
2024-05-24,500.0,10.0,9.56,9.56,9.56,9.56,-0.44
