Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-01-01,500.0,251.0,252.0,253.0,252.0,253.0,2.0
2024-01-02,500.0,253.0,250.0,250.0,250.0,250.0,3.0
2024-01-03,900.0,250.0,268.0,268.0,243.1,254.66,4.66
2024-01-05,700.0,254.66,241.23,258.5,241.0,258.5,3.84
2024-01-08,5200.0,258.5,239.11,257.0,239.11,247.0,-11.5
2024-01-09,100.0,247.0,242.8,242.8,242.8,247.0,0.0
2024-01-10,1800.0,247.0,237.01,247.65,237.01,240.02,-6.98
2024-01-11,1000.0,240.02,244.95,245.0,244.95,245.0,4.98
2024-01-12,2000.0,245.0,245.0,262.5,245.0,250.0,5.0
2024-01-16,100.0,250.0,240.01,240.01,240.01,250.0,0.0
2024-01-17,300.0,250.0,244.0,244.0,240.04,242.02,-7.98
2024-01-18,100.0,242.02,242.0,242.0,242.0,242.02,0.0
2024-01-19,1000.0,242.02,244.0,244.0,235.0,235.0,-7.02
2024-01-22,100.0,235.0,231.01,231.01,231.01,235.0,0.0
2024-01-23,500.0,235.0,230.2,231.0,230.0,230.5,-4.5
2024-01-25,100.0,230.5,243.77,243.77,243.77,230.5,0.0
2024-01-30,2000.0,230.5,228.01,228.01,220.01,220.42,-10.08
2024-01-31,700.0,220.42,216.09,218.0,212.12,215.13,-5.29
2024-02-01,2700.0,215.13,215.02,225.8,214.01,225.8,10.67
2024-02-02,200.0,225.8,225.8,233.9,225.8,229.85,4.05
2024-02-06,1000.0,213.71,220.75,220.88,218.99,218.99,5.28
2024-02-13,100.0,218.99,212.63,212.63,212.63,218.99,0.0
2024-02-14,1000.0,218.99,212.51,212.51,211.0,211.23,-7.76
2024-02-15,400.0,211.23,210.03,210.03,210.01,210.02,-1.21
2024-02-16,700.0,210.02,207.55,207.55,202.9,203.6,-6.42
2024-02-21,200.0,203.6,208.0,208.0,205.0,206.5,2.9
2024-02-22,300.0,206.5,200.05,205.0,200.05,203.5,3.0
2024-02-26,500.0,203.5,201.56,201.56,200.0,200.0,-3.5
2024-02-27,100.0,200.0,200.0,200.0,200.0,200.0,0.0
2024-02-29,500.0,200.0,209.99,210.0,203.0,203.0,3.0
2024-03-01,700.0,203.0,202.0,202.0,198.9,199.01,-3.99
2024-03-04,1200.0,199.01,196.05,196.05,194.99,195.0,-4.01
2024-03-05,800.0,195.0,198.99,198.99,194.11,197.12,2.12
2024-03-06,800.0,197.12,197.0,197.0,195.0,195.75,-1.37
2024-03-07,1000.0,195.75,195.0,198.99,195.0,197.0,1.25
2024-03-08,800.0,197.0,198.0,204.0,198.0,203.75,6.75
2024-03-11,500.0,203.75,203.0,203.0,202.0,202.0,-1.75
2024-03-12,1500.0,202.0,195.15,203.0,195.0,201.0,1.0
2024-03-14,800.0,201.0,199.0,200.9,198.0,199.95,-1.05
2024-03-15,500.0,199.95,204.9,204.9,204.9,204.9,4.95
2024-03-18,200.0,204.9,198.0,198.0,198.0,198.0,-6.9
2024-03-21,800.0,198.0,195.0,195.0,194.0,194.42,-3.58
2024-03-22,600.0,194.42,192.0,192.0,192.0,192.0,-2.42
2024-03-25,300.0,192.0,190.1,190.1,189.01,189.71,-2.29
2024-03-26,300.0,189.71,192.0,192.0,190.1,190.1,0.39
2024-03-27,200.0,190.1,190.01,190.01,190.0,190.01,-0.09
2024-04-01,100.0,190.01,0.0,0.0,0.0,190.01,0.0
2024-04-02,100.0,190.01,188.02,188.02,188.02,190.01,0.0
2024-04-03,100.0,190.01,188.02,188.02,188.02,190.01,0.0
2024-04-04,300.0,190.01,190.91,191.91,190.9,191.41,1.4
2024-04-08,200.0,191.41,191.0,191.5,191.0,191.25,-0.16
2024-04-09,300.0,191.25,194.0,194.0,191.0,192.45,1.2
2024-04-16,400.0,192.45,188.6,189.6,188.01,189.05,-3.4
2024-04-17,4800.0,189.05,187.01,193.0,187.0,189.0,-0.05
2024-04-18,100.0,189.0,190.0,190.0,190.0,189.0,0.0
2024-04-19,300.0,189.0,187.01,187.01,187.01,189.0,0.0
2024-04-22,2228.0,189.0,186.01,188.94,185.0,185.2,-3.8
2024-04-23,2359.0,185.2,185.0,189.98,185.0,187.52,2.32
2024-04-24,751.0,187.52,186.0,189.99,185.23,188.87,1.35
2024-04-25,476.0,188.87,190.0,190.0,186.11,186.47,-2.4
2024-04-26,2151.0,186.47,187.0,187.0,186.5,187.0,0.53
2024-04-29,2170.0,187.0,187.1,188.0,187.0,187.02,0.02
2024-04-30,755.0,187.02,187.02,188.0,187.02,187.02,0.0
2024-05-02,354.0,187.02,185.11,185.11,185.0,185.0,-2.02
2024-05-06,310.0,185.0,188.0,188.0,184.0,184.34,-0.66
2024-05-07,153.0,184.34,185.0,188.88,185.0,185.18,0.84
2024-05-08,15.0,185.18,188.88,188.88,188.88,185.18,0.0
2024-05-09,2808.0,185.18,186.0,186.0,180.0,184.48,-0.7
2024-05-10,3.0,184.48,184.89,184.89,184.79,184.48,0.0
2024-05-13,6211.0,184.48,184.95,194.9,184.95,188.25,3.77
2024-05-14,10002.0,188.25,192.85,202.37,192.5,202.37,14.12
2024-05-15,5749.0,202.37,217.55,217.55,217.55,217.55,15.18
2024-05-16,19552.0,217.55,233.87,233.87,233.0,233.87,16.32
2024-05-17,36593.0,233.87,251.41,251.41,245.01,251.41,17.54
2024-05-20,21482.0,251.41,256.99,270.0,256.99,269.69,18.28
2024-05-21,18678.0,269.69,271.0,289.0,271.0,286.12,16.43
2024-05-22,18062.0,286.12,287.0,296.0,264.66,265.95,-20.17
2024-05-23,8083.0,265.95,254.0,259.9,246.0,248.39,-17.56
2024-05-24,21355.0,248.39,247.5,267.02,246.0,253.6,5.21
2024-05-27,4569.0,253.6,253.63,259.0,236.0,249.43,-4.17
2024-05-29,1496.0,249.43,254.49,254.49,237.01,239.57,-9.86
2024-05-30,11011.0,239.57,225.02,234.0,221.27,226.35,-13.22
2024-05-31,6130.0,226.35,220.33,230.0,217.0,220.79,-5.56
2024-06-03,14423.0,220.79,220.01,229.33,203.13,214.06,-6.73
2024-06-04,8101.0,214.06,222.0,227.99,201.16,208.2,-5.86
2024-06-05,576.0,208.2,201.12,210.0,201.12,209.79,1.59
2024-06-06,1748.0,209.79,208.0,208.0,202.41,206.14,-3.65
2024-06-07,12392.0,206.14,198.5,206.66,195.01,199.24,-6.9
2024-06-10,1577.0,199.24,211.9,211.9,195.21,203.06,3.82
2024-06-11,2968.0,203.06,214.8,214.8,200.15,208.98,5.92
2024-06-12,1886.0,208.98,203.0,208.95,201.01,207.78,-1.2
2024-06-13,2599.0,207.78,207.78,213.99,202.0,210.13,2.35
2024-06-14,15632.0,210.13,214.0,227.99,205.55,216.48,6.35
2024-06-20,5558.0,216.48,219.99,231.64,219.99,224.85,8.37
2024-06-21,1843.0,224.85,216.11,227.95,216.11,218.77,-6.08
2024-06-24,9.0,218.77,218.69,218.69,211.0,218.77,0.0
2024-06-25,57.0,218.77,215.0,215.0,211.0,218.77,0.0
2024-06-26,1287.0,218.77,214.89,214.89,210.0,210.16,-8.61
2024-06-27,599.0,210.16,220.0,220.0,214.0,214.02,3.86
2024-06-28,735.0,214.02,220.0,220.0,210.0,210.0,-4.02
2024-07-01,3602.0,210.0,218.0,227.37,210.0,216.98,6.98
2024-07-02,687.0,216.98,234.47,234.47,212.02,215.41,-1.57
2024-07-03,330.0,215.41,224.0,224.0,215.41,218.81,3.4
2024-07-04,417.0,218.81,225.5,225.5,214.0,219.98,1.17
2024-07-05,728.0,219.98,210.16,217.0,210.12,210.51,-9.47
2024-07-08,1336.0,210.51,229.29,229.29,212.0,221.83,11.32
2024-07-09,3372.0,221.83,215.0,220.0,213.31,214.7,-7.13
2024-07-10,2715.0,214.7,221.77,221.77,194.3,208.72,-5.98
2024-07-11,27.0,208.72,213.0,213.0,212.88,208.72,0.0
2024-07-12,608.0,208.72,219.49,219.49,197.0,211.03,2.31
2024-07-15,2153.0,211.03,209.0,214.99,203.0,206.24,-4.79
2024-07-18,3232.0,206.24,207.02,211.86,207.0,207.18,0.94
2024-07-19,533.0,207.18,202.0,219.9,200.01,202.08,-5.1
2024-07-22,953.0,202.08,206.98,207.96,191.25,200.02,-2.06
2024-07-23,888.0,200.02,202.0,206.7,195.01,197.02,3.0
2024-07-24,1181.0,197.02,199.98,199.98,194.0,199.0,1.98
2024-07-25,604.0,199.0,203.9,203.9,195.01,196.91,-2.09
2024-07-26,2404.0,196.91,196.0,198.0,181.25,186.28,-10.63
2024-07-29,1148.0,186.28,197.0,197.0,187.0,191.88,5.6
2024-07-30,595.0,191.88,187.11,197.99,187.11,190.02,-1.86
2024-07-31,668.0,190.02,194.9,195.85,187.0,187.16,-2.86
2024-08-01,993.0,187.16,197.33,197.33,188.0,189.71,2.55
2024-08-02,943.0,189.71,186.0,189.99,185.0,185.48,-4.23
2024-08-05,287.0,185.48,189.95,189.95,186.0,186.91,1.43
2024-08-06,752.0,186.91,190.0,190.0,186.98,187.5,0.59
2024-08-07,981.0,187.5,190.0,190.0,187.03,188.94,1.44
2024-08-08,492.0,188.94,192.0,192.99,189.0,189.29,0.35
2024-08-09,118.0,189.29,190.0,195.0,189.02,189.29,0.0
2024-08-12,2446.0,189.29,190.0,194.99,187.0,187.29,2.0
2024-08-13,1106.0,187.29,194.98,199.0,191.0,195.09,7.8
2024-08-15,833.0,195.09,190.5,197.01,190.5,197.0,1.91
2024-08-16,400.0,197.0,199.0,215.99,193.0,209.28,12.28
2024-08-19,3797.0,209.28,205.0,205.0,190.8,194.83,-14.45
2024-08-20,1012.0,194.83,188.02,194.48,188.02,193.48,-1.35
2024-08-21,147.0,193.48,193.41,193.41,188.1,188.42,-5.06
2024-08-22,1329.0,188.42,198.0,204.33,192.0,192.85,4.43
2024-08-23,120.0,192.85,194.1,194.1,190.0,192.85,0.0
2024-08-26,416.0,192.85,194.0,194.0,194.0,194.0,1.15
2024-08-27,637.0,194.0,193.0,194.95,190.03,192.31,-1.69
2024-08-28,300.0,192.31,190.0,194.99,190.0,191.04,-1.27
2024-08-29,280.0,191.04,187.11,194.94,187.11,191.06,0.02
2024-08-30,17523.0,191.06,190.0,210.17,190.0,201.43,10.37
2024-09-02,756.0,201.43,202.0,205.0,200.01,200.67,-0.76
2024-09-03,1077.0,200.67,206.69,206.69,193.42,206.28,5.61
2024-09-04,449.0,206.28,199.85,199.85,194.0,198.29,-7.99
2024-09-05,2504.0,198.29,194.0,195.0,193.0,195.0,-3.29
2024-09-06,22.0,195.0,200.0,200.0,191.13,195.0,0.0
2024-09-09,450.0,195.0,191.0,194.0,191.0,191.03,-3.97
2024-09-10,155.0,191.03,194.0,195.0,190.0,191.03,0.0
2024-09-11,3378.0,191.03,191.05,192.0,190.0,190.02,-1.01
2024-09-12,1445.0,190.02,189.0,194.3,187.06,189.14,-0.88
2024-09-13,5451.0,189.14,188.1,200.0,188.0,190.0,0.86
2024-09-16,1339.0,190.0,193.0,193.0,189.85,189.97,-0.03
2024-09-18,368.0,189.97,193.75,193.75,188.0,189.98,0.01
2024-09-19,4851.0,189.98,190.0,190.0,188.0,188.16,-1.82
2024-09-20,1406.0,188.16,190.0,190.0,188.0,188.03,-0.13
2024-09-23,524.0,188.03,191.5,191.5,189.51,189.98,1.95
2024-09-24,121.0,189.98,189.9,189.9,189.9,189.98,0.0
2024-09-25,7.0,189.98,190.0,190.0,190.0,189.98,0.0
2024-09-26,554.0,189.98,190.0,193.0,189.98,190.01,0.03
2024-09-27,421.0,190.01,186.0,190.0,186.0,187.15,-2.86
2024-09-30,141.0,187.15,190.0,190.0,186.0,186.59,-0.56
2024-10-01,49.0,186.59,188.0,188.0,188.0,186.59,0.0
2024-10-02,1181.0,186.59,188.9,188.9,188.0,188.49,1.9
2024-10-03,2990.0,188.49,185.0,188.0,171.0,188.0,-0.49
2024-10-04,2060.0,188.0,187.99,189.0,180.0,181.55,-6.45
2024-10-07,2273.0,181.55,189.99,189.99,175.1,179.96,-1.59
2024-10-08,351.0,179.96,179.15,184.0,179.15,181.09,1.13
2024-10-09,1694.0,181.09,179.5,184.0,179.0,182.59,1.5
2024-10-10,143.0,182.59,180.0,183.0,179.13,182.59,0.0
2024-10-11,155.0,182.59,184.9,184.9,166.0,177.38,-5.21
2024-10-14,100.0,177.38,179.0,179.0,179.0,177.38,0.0
2024-10-15,536.0,177.38,179.0,180.0,177.42,178.0,0.62
2024-10-16,494.0,178.0,178.0,178.0,177.0,177.27,-0.73
2024-10-17,651.0,177.27,179.76,180.0,177.0,179.75,2.48
2024-10-18,101.0,179.75,170.33,183.77,170.21,179.75,0.0
2024-10-21,855.0,179.75,184.8,190.0,181.01,182.06,2.31
2024-10-22,1020.0,182.06,184.85,184.85,181.6,183.99,1.93
2024-10-23,269.0,183.99,181.6,183.0,174.1,180.67,-3.32
2024-10-24,2282.0,180.67,180.0,182.0,180.0,180.01,-0.66
2024-10-25,3521.0,180.01,180.0,180.1,179.0,180.0,-0.01
2024-10-28,2312.0,180.0,180.0,180.0,178.0,179.84,-0.16
2024-10-29,2266.0,179.84,176.1,179.88,172.01,173.74,-6.1
2024-10-30,1749.0,173.74,172.06,172.06,171.61,171.99,-1.75
2024-10-31,150.0,171.99,172.01,180.0,172.01,172.42,0.43
2024-11-01,48.0,172.42,172.42,179.77,172.42,172.42,0.0
2024-11-04,156.0,172.42,185.0,185.0,176.0,180.83,8.41
2024-11-05,703.0,180.83,180.0,180.0,175.0,179.2,-1.63
2024-11-06,107.0,179.2,174.19,179.2,174.19,179.2,0.0
2024-11-07,81.0,179.2,179.95,179.95,178.6,179.2,0.0
2024-11-08,200.0,179.2,177.5,178.0,177.5,179.2,0.0
2024-11-11,287.0,179.2,179.2,179.2,176.0,176.98,-2.22
2024-11-12,95.0,176.98,176.52,181.95,176.52,176.98,0.0
2024-11-13,2085.0,176.98,176.0,183.95,176.0,178.36,1.38
2024-11-14,301.0,178.36,177.13,179.0,177.13,179.0,0.64
2024-11-15,196.0,179.0,177.0,179.0,177.0,177.08,-1.92
2024-11-18,1716.0,177.08,177.09,180.0,177.09,178.0,0.92
2024-11-19,4804.0,178.0,176.0,178.0,175.0,176.01,-1.99
2024-11-20,3481.0,176.01,178.0,178.0,174.8,174.97,-1.04
2024-11-21,16544.0,174.97,175.0,178.0,174.0,175.0,0.03
2024-11-22,2250.0,175.0,175.0,177.0,174.0,174.04,-0.96
2024-11-25,1182.0,174.04,173.0,176.6,173.0,174.0,-0.04
2024-11-26,1856.0,174.0,173.0,175.0,173.0,174.11,0.11
