Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-02-16,1900.0,35.02,32.4,32.45,32.39,32.41,-2.61
2024-02-19,1300.0,32.41,30.0,30.0,30.0,30.0,-2.41
2024-02-20,4300.0,30.0,27.75,27.75,27.75,27.75,-2.25
2024-02-21,1700.0,27.75,25.67,27.95,25.67,27.92,0.17
2024-02-22,700.0,27.92,26.01,26.01,25.83,25.91,-2.01
2024-02-23,1300.0,25.91,24.25,27.75,24.11,24.96,-0.95
2024-02-26,200.0,24.96,24.25,24.25,24.25,24.96,0.0
2024-02-27,1800.0,24.96,23.4,23.4,23.09,23.09,-1.87
2024-02-28,2700.0,23.09,21.4,21.4,21.36,21.36,-1.73
2024-02-29,3900.0,21.36,19.78,21.95,19.78,19.85,-1.51
2024-03-01,1700.0,19.85,18.4,19.0,18.37,18.52,-1.33
2024-03-04,5900.0,18.52,17.26,17.26,17.13,17.14,-1.38
2024-03-05,2000.0,17.14,18.1,18.43,15.87,16.09,-1.05
2024-03-06,4200.0,16.09,15.02,16.28,14.88,14.93,-1.16
2024-03-07,3000.0,14.93,14.2,15.98,13.87,13.99,-0.94
2024-03-08,3200.0,13.99,15.0,15.04,14.0,15.04,1.05
