Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-01-01,1900610.0,21.6,21.8,22.48,21.67,22.31,0.71
2024-01-02,1183945.0,22.31,22.7,22.79,22.14,22.19,-0.12
2024-01-03,1505778.0,22.19,22.2,22.97,22.1,22.5,0.31
2024-01-04,1101225.0,22.5,22.78,22.78,22.26,22.35,-0.15
2024-01-05,1732297.0,22.35,22.35,23.0,21.93,22.46,0.11
2024-01-08,1647002.0,22.46,22.7,23.0,22.15,22.26,-0.2
2024-01-09,637404.0,22.26,22.3,22.5,21.9,22.03,-0.23
2024-01-10,521994.0,22.03,22.4,22.45,22.0,22.16,0.13
2024-01-11,578918.0,22.16,22.3,22.46,22.05,22.31,0.15
2024-01-12,1219559.0,22.31,22.48,22.8,22.11,22.28,-0.03
2024-01-15,1029031.0,22.28,22.5,22.65,21.6,21.8,-0.48
2024-01-16,511634.0,21.8,22.0,22.0,21.06,21.4,-0.4
2024-01-17,524878.0,21.4,21.28,21.75,20.8,21.09,-0.31
2024-01-18,725802.0,21.09,21.1,21.1,20.3,20.81,-0.28
2024-01-19,575414.0,20.81,21.35,21.35,20.42,20.81,0.0
2024-01-22,365117.0,20.81,20.75,21.1,20.61,20.93,0.12
2024-01-23,211.0,20.97,21.01,21.49,20.91,21.43,0.46
2024-01-24,1403719.0,21.37,21.48,22.5,21.48,21.96,0.59
2024-01-25,940123.0,21.96,21.98,22.45,21.6,21.8,-0.16
2024-01-26,527.0,21.97,21.65,21.75,21.0,21.16,-0.81
2024-01-29,348085.0,21.18,21.49,21.49,20.9,21.03,-0.15
2024-01-30,544575.0,21.03,20.82,21.15,20.51,20.68,-0.35
2024-01-31,138276.0,20.68,20.61,20.95,20.51,20.62,-0.06
2024-02-01,167509.0,20.62,20.75,20.9,20.41,20.64,0.02
2024-02-02,633221.0,20.64,20.7,20.79,20.45,20.61,-0.03
2024-02-06,569152.0,20.61,20.8,21.4,20.7,21.22,0.61
2024-02-07,600496.0,21.22,21.44,21.5,21.15,21.38,0.16
2024-02-09,523131.0,21.38,20.99,20.99,19.78,20.65,-0.73
