Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-01-01,1874500.0,11.66,11.8,12.66,11.8,12.66,1.0
2024-01-02,975500.0,12.66,12.8,12.95,12.37,12.4,-0.26
2024-01-03,947000.0,12.4,12.35,12.84,12.3,12.53,0.13
2024-01-04,381000.0,12.53,12.55,12.65,12.2,12.3,-0.23
2024-01-05,1915500.0,12.3,12.46,13.09,12.35,12.4,0.1
2024-01-08,732000.0,12.4,12.2,12.7,12.1,12.13,-0.27
2024-01-09,1424000.0,12.13,12.44,12.99,12.0,12.66,0.53
2024-01-10,323000.0,12.66,12.6,12.9,12.3,12.34,-0.32
2024-01-11,449500.0,12.34,12.36,12.48,12.02,12.22,-0.12
2024-01-12,796500.0,12.22,12.22,12.55,12.0,12.02,-0.2
2024-01-15,166500.0,12.02,12.22,12.22,11.93,12.0,-0.02
2024-01-16,153000.0,12.0,11.9,11.9,11.7,11.84,-0.16
2024-01-17,693500.0,11.84,11.6,11.95,11.56,11.61,-0.23
2024-01-18,433000.0,11.61,11.44,11.5,11.1,11.32,-0.29
2024-01-19,290500.0,11.32,11.5,11.65,11.2,11.24,-0.08
2024-01-22,38500.0,11.24,11.1,11.27,11.1,11.15,-0.09
2024-01-23,256000.0,11.15,11.06,11.45,11.0,11.37,0.22
2024-01-24,292500.0,11.37,11.1,11.55,11.1,11.22,-0.15
2024-01-25,310500.0,11.22,11.29,11.35,10.84,10.93,-0.29
2024-01-26,478000.0,10.93,11.09,11.16,10.8,10.95,0.02
2024-01-29,187000.0,10.95,11.1,11.1,10.5,10.56,-0.39
2024-01-30,522500.0,10.56,10.5,10.74,9.95,9.99,-0.57
2024-01-31,489500.0,9.99,10.15,10.18,9.82,9.85,-0.14
2024-02-01,143500.0,9.85,9.83,10.05,9.73,10.01,0.16
2024-02-02,150500.0,10.01,9.9,10.2,9.9,10.11,0.1
2024-02-06,766500.0,10.11,10.13,10.64,10.11,10.39,0.28
2024-02-07,241000.0,10.39,10.5,10.5,10.27,10.37,-0.02
2024-02-09,156000.0,10.37,10.11,10.25,9.83,10.05,-0.32
2024-02-12,173500.0,10.05,10.24,10.3,9.68,9.78,-0.27
2024-02-13,571500.0,9.78,9.52,9.85,9.21,9.62,-0.16
2024-02-14,280500.0,9.62,9.95,10.0,9.6,9.68,0.06
2024-02-15,555000.0,9.68,10.0,10.0,9.4,9.49,-0.19
2024-02-16,114500.0,9.49,9.51,9.51,9.1,9.3,-0.19
2024-02-19,810500.0,9.3,9.1,9.2,8.82,9.01,-0.29
2024-02-20,189500.0,9.01,9.25,9.48,9.1,9.18,0.17
2024-02-21,193500.0,9.18,9.4,9.5,9.25,9.45,0.27
2024-02-22,502500.0,9.45,9.48,9.8,9.48,9.54,0.09
2024-02-23,110000.0,9.54,9.46,9.6,9.41,9.5,-0.04
2024-02-26,320000.0,9.5,9.55,9.7,9.5,9.51,0.01
2024-02-27,337500.0,9.51,9.6,9.78,9.4,9.59,0.08
2024-02-28,1213500.0,9.59,9.59,10.49,9.5,9.98,0.39
2024-02-29,483000.0,9.98,10.1,10.25,9.7,9.76,-0.22
2024-03-01,1314500.0,9.76,9.95,10.6,9.95,10.43,0.67
2024-03-04,595500.0,10.43,10.6,10.78,10.4,10.43,0.0
2024-03-05,170000.0,10.43,10.4,10.45,10.12,10.21,-0.22
2024-03-06,1632500.0,10.21,10.3,10.52,10.16,10.19,-0.02
2024-03-07,565000.0,10.19,10.2,10.44,10.1,10.23,0.04
2024-03-08,778500.0,10.23,10.2,10.55,10.2,10.39,0.16
2024-03-11,4043000.0,10.39,10.56,11.39,10.55,10.77,0.38
2024-03-12,604000.0,10.77,10.81,10.97,10.3,10.38,-0.39
2024-03-13,715500.0,10.38,10.3,10.63,10.0,10.07,-0.31
