Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2025-04-24,1802197.0,10.0,9.0,9.0,9.0,9.0,1.0
2025-04-25,279743.0,9.0,8.0,8.0,8.0,8.0,1.0
2025-04-28,12616978.0,8.0,7.36,7.79,7.0,7.0,1.0
2025-04-29,5650065.0,7.0,6.94,7.5,6.7,7.17,0.17
2025-04-30,2012072.0,7.17,7.1,7.11,6.8,7.0,-0.17
2025-05-02,2239446.0,7.0,7.3,7.45,7.11,7.15,0.15
2025-05-05,649152.0,7.15,7.02,7.14,6.92,7.05,-0.1
2025-05-06,680085.0,7.05,7.06,7.15,6.94,6.95,-0.1
2025-05-07,972978.0,6.95,6.5,6.79,6.41,6.5,-0.45
2025-05-08,1882448.0,6.5,6.51,6.94,5.5,5.59,-0.91
2025-05-09,1475114.0,5.59,5.8,5.9,5.35,5.85,0.26
2025-05-12,1461744.0,5.85,6.85,6.85,6.27,6.85,1.0
2025-05-13,1765670.0,6.85,7.0,7.25,6.61,7.14,0.29
2025-05-14,6264853.0,7.14,7.28,8.14,6.88,8.14,1.0
2025-05-15,2452067.0,8.14,8.57,9.14,8.4,9.14,1.0
2025-05-16,10835084.0,9.14,9.96,10.14,9.16,9.62,0.48
2025-05-19,7904089.0,9.62,9.62,10.62,9.06,10.62,1.0
2025-05-20,4149302.0,10.62,10.76,10.95,10.4,10.58,-0.04
2025-05-21,3082775.0,10.58,10.8,10.8,10.13,10.59,0.01
2025-05-22,7302567.0,10.59,10.58,11.1,10.3,10.4,-0.19
2025-05-23,2370294.0,10.4,10.31,10.39,9.55,9.83,-0.57
2025-05-26,8788266.0,9.83,9.11,10.83,9.11,10.55,0.72
2025-05-27,3223684.0,10.55,10.5,10.8,9.8,10.09,-0.46
2025-05-29,958163.0,10.09,10.25,10.4,10.03,10.16,0.07
2025-05-30,516120.0,10.16,10.3,10.3,9.91,9.96,-0.2
2025-06-02,2078685.0,9.96,10.0,10.64,9.99,10.17,0.21
2025-06-03,1337598.0,10.17,10.2,10.44,9.75,9.93,-0.24
2025-06-04,1208105.0,9.93,9.99,10.05,9.7,9.88,-0.05
2025-06-05,1352692.0,9.88,9.9,10.05,9.7,9.76,-0.12
2025-06-10,2586038.0,9.76,9.8,9.9,9.49,9.56,-0.2
2025-06-11,2098628.0,9.56,9.66,9.99,9.5,9.71,0.15
2025-06-12,2354986.0,9.71,9.75,10.11,9.69,9.71,0.0
2025-06-13,1341678.0,9.71,9.69,9.69,9.3,9.4,-0.31
2025-06-16,1521144.0,9.4,9.34,9.59,9.31,9.36,-0.04
2025-06-17,2962414.0,9.36,9.36,9.5,9.0,9.13,-0.23
2025-06-18,1085977.0,9.13,9.1,9.23,8.75,8.84,-0.29
2025-06-19,1335626.0,8.84,8.9,9.15,8.52,8.57,-0.27
2025-06-20,1274470.0,8.57,8.6,9.1,8.48,8.98,0.41
2025-06-23,1533252.0,8.98,8.71,8.75,7.98,7.98,1.0
2025-06-24,1068951.0,7.98,8.89,8.9,8.51,8.75,0.77
2025-06-25,4283270.0,8.75,8.81,9.48,8.75,9.31,0.56
2025-06-26,4464295.0,9.31,9.56,9.95,9.5,9.64,0.33
2025-06-27,3270533.0,9.64,9.7,9.99,9.7,9.74,0.1
2025-06-30,2278847.0,9.74,9.95,10.0,9.57,9.72,-0.02
2025-07-01,1870118.0,9.72,9.73,9.95,9.56,9.72,0.0
2025-07-02,2004699.0,9.72,9.7,9.89,9.7,9.78,0.06
2025-07-03,16446438.0,9.78,9.7,10.78,9.7,10.78,1.0
2025-07-04,20951565.0,10.78,11.1,11.86,11.1,11.86,1.08
2025-07-07,6376103.0,11.86,12.48,13.05,12.25,13.05,1.19
2025-07-08,23686367.0,13.05,14.36,14.36,12.9,13.43,0.38
2025-07-09,12490702.0,13.43,13.49,13.79,12.7,12.91,-0.52
2025-07-10,21479803.0,12.91,13.24,13.24,11.9,12.13,-0.78
