Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-10-11,1200.0,10.0,10.0,10.0,10.0,10.0,0.0
2024-10-14,1001.0,10.0,10.5,10.5,10.5,10.5,0.5
2024-10-15,110.0,10.5,10.0,10.0,9.46,10.5,0.0
2024-10-17,2300.0,10.5,10.5,10.5,10.4,10.4,-0.1
2024-10-21,2200.0,10.4,10.22,10.22,9.36,9.66,-0.74
2024-10-22,1232.0,9.66,9.01,9.86,8.66,8.9,-0.76
2024-10-23,2286.0,8.9,7.99,8.0,7.9,8.0,-0.9
2024-10-24,226.0,8.0,9.0,9.0,7.51,8.0,0.0
2024-10-28,2.0,8.0,8.89,8.89,7.02,8.0,0.0
2024-10-30,1026.0,8.0,8.0,8.0,8.0,8.0,0.0
2024-11-04,24037.0,8.0,7.5,7.5,7.5,7.5,-0.5
2024-11-05,47.0,7.5,7.5,7.5,7.01,7.5,0.0
2024-11-06,9756.0,7.5,7.05,7.05,7.05,7.05,-0.45
2024-11-07,20092.0,7.05,7.11,7.96,6.05,7.06,0.01
2024-11-11,1373.0,7.06,8.06,8.06,6.6,8.06,1.0
2024-11-12,1000.0,8.06,7.6,7.6,7.1,7.22,-0.84
2024-11-13,56.0,7.22,8.19,8.22,8.19,7.22,0.0
2024-11-14,2700.0,7.22,7.92,7.92,7.5,7.5,0.28
2024-11-15,1.0,7.5,7.4,7.4,7.4,7.5,0.0
2024-11-18,10868.0,7.5,8.5,8.5,8.25,8.25,0.75
2024-11-20,1410.0,8.25,9.25,9.25,9.25,8.77,0.52
2024-11-21,1708.0,8.77,9.1,9.1,9.1,9.1,0.33
2024-11-22,16366.0,9.1,10.1,10.1,10.0,10.0,0.9
2024-11-25,2500.0,10.0,10.0,10.0,10.0,10.0,0.0
2024-11-27,6757.0,10.0,9.02,10.0,9.02,10.0,0.0
2024-11-28,1927.0,10.0,10.0,10.0,10.0,10.0,0.0
2024-11-29,999.0,10.0,9.8,9.8,9.8,9.8,-0.2
2024-12-02,4251.0,9.8,9.02,10.09,9.02,9.5,-0.3
2024-12-03,2439.0,9.5,9.5,9.5,9.5,9.5,0.0
2024-12-04,2039.0,9.5,9.07,9.07,9.02,9.02,-0.48
2024-12-05,500.0,9.02,9.01,9.01,9.01,9.01,-0.01
2024-12-09,460.0,9.01,9.03,9.03,9.03,9.01,0.0
2024-12-10,15.0,9.01,9.03,9.03,9.03,9.01,0.0
2024-12-11,16320.0,9.01,9.5,9.5,8.6,8.6,-0.41
2024-12-12,10500.0,8.6,9.5,9.5,9.1,9.1,0.5
2024-12-23,10.0,9.1,8.45,8.45,8.45,9.1,0.0
2024-12-27,4000.0,9.1,8.1,8.15,8.1,8.14,-0.96
2024-12-31,1000.0,8.14,8.0,8.0,8.0,8.0,-0.14
2025-01-07,19663.0,8.0,7.85,8.0,7.0,7.57,-0.43
2025-01-09,850.0,7.57,7.1,7.1,7.1,7.1,-0.47
2025-01-14,500.0,7.1,6.6,6.6,6.6,6.6,-0.5
2025-01-17,1000.0,6.6,7.6,7.6,7.6,7.6,1.0
2025-01-20,4000.0,7.6,8.6,8.6,8.6,8.6,1.0
2025-01-21,8000.0,8.6,9.6,9.6,9.5,9.6,1.0
2025-01-22,5000.0,9.6,10.0,10.0,10.0,10.0,0.4
2025-01-23,1000.0,10.0,9.5,9.5,9.5,9.5,-0.5
2025-01-27,1000.0,9.5,9.51,9.51,9.5,9.5,0.0
2025-01-28,1000.0,9.5,9.79,9.79,9.79,9.79,0.29
2025-01-30,2500.0,9.68,9.5,9.5,9.5,9.5,-0.18
2025-01-31,1500.0,9.5,9.0,9.0,9.0,9.0,-0.5
2025-02-03,6500.0,9.0,9.92,10.0,9.92,10.0,1.0
2025-02-06,100.0,10.0,9.0,9.0,9.0,10.0,0.0
2025-02-13,3690.0,10.0,10.0,10.49,9.0,9.92,-0.08
2025-02-18,1690.0,9.92,9.6,9.75,9.6,9.75,-0.17
2025-02-19,310.0,9.75,9.75,9.75,9.75,9.75,0.0
2025-02-20,10050.0,9.75,10.0,10.0,10.0,9.75,0.0
2025-02-21,4100.0,9.75,8.8,10.0,8.75,9.86,0.11
2025-02-24,7000.0,9.86,8.88,9.93,8.88,9.93,0.07
2025-02-25,2500.0,9.93,10.5,10.5,9.5,9.5,-0.43
2025-02-27,500.0,9.5,8.5,8.5,8.5,8.5,1.0
2025-02-28,700.0,8.5,9.0,9.0,9.0,8.5,0.0
2025-03-04,400.0,8.5,0.0,0.0,0.0,8.5,0.0
2025-03-05,500.0,8.5,9.5,9.5,9.5,9.5,1.0
2025-03-07,250.0,9.5,0.0,0.0,0.0,9.5,0.0
