Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-01-25,367000.0,20.0,18.5,18.5,18.5,18.5,-1.5
2024-01-29,1500.0,18.5,17.25,17.26,17.25,17.26,-1.24
2024-02-09,1000.0,17.26,17.0,17.0,17.0,17.0,-0.26
2024-02-14,2000.0,17.03,17.01,17.01,17.0,17.0,-0.03
2024-02-19,1500.0,17.07,15.79,18.35,15.79,18.35,1.28
2024-02-20,500.0,18.35,19.73,19.73,19.73,19.73,1.38
2024-02-27,500.0,19.73,18.26,18.26,18.26,18.26,-1.47
2024-03-06,1000.0,18.26,18.0,18.0,18.0,18.0,-0.26
2024-03-14,500.0,18.0,17.1,17.1,17.1,17.1,-0.9
2024-03-22,500.0,17.1,18.35,18.35,18.35,18.35,1.25
2024-04-17,500.0,18.35,17.0,17.0,17.0,17.0,-1.35
2024-04-18,500.0,17.0,17.1,17.1,17.1,17.1,0.1
2024-04-19,500.0,17.1,17.25,17.25,17.25,17.25,0.15
2024-04-22,19500.0,17.25,18.25,18.25,17.0,17.25,0.0
2024-04-29,2000.0,17.25,17.0,18.54,17.0,18.54,1.29
2024-04-30,7000.0,18.54,19.9,19.93,17.15,19.93,1.39
2024-05-02,2500.0,19.93,21.4,21.42,21.4,21.42,1.49
2024-05-03,9500.0,21.42,23.0,23.03,23.0,23.03,1.61
2024-05-06,4500.0,23.03,24.75,24.76,24.75,24.76,1.73
2024-05-07,10500.0,24.76,26.62,26.62,26.62,26.62,1.86
2024-05-08,10500.0,26.62,28.6,28.62,28.6,28.62,2.0
2024-05-09,6500.0,28.62,30.77,30.77,30.77,30.77,2.15
2024-05-10,5500.0,30.77,33.08,33.08,33.08,33.08,2.31
2024-05-13,4000.0,33.08,33.08,35.56,30.6,34.89,1.81
2024-05-30,2.0,26.5,28.62,28.62,24.38,24.38,-2.12
2024-05-31,500.0,24.38,22.43,22.45,22.43,22.45,-1.93
2024-06-06,4133.0,22.45,21.0,23.99,21.0,22.47,0.02
2024-06-10,1.0,22.47,24.11,24.11,24.11,22.47,0.0
2024-06-12,21524.0,22.47,21.41,21.41,21.4,21.4,-1.07
2024-06-24,1000.0,21.4,19.5,19.5,19.5,19.5,-1.9
2024-06-26,596.0,19.5,18.0,18.1,18.0,18.02,-1.48
2024-06-28,500.0,18.02,16.5,16.5,16.5,16.5,-1.52
2024-07-04,24.0,16.5,17.5,17.99,17.5,16.5,0.0
2024-07-05,4000.0,16.5,17.99,17.99,17.99,17.99,1.49
2024-07-08,1.0,17.99,19.7,19.7,19.7,19.7,1.71
2024-07-09,183.0,19.7,21.57,21.57,21.57,21.57,1.87
2024-07-10,1.0,21.57,23.62,23.62,23.62,23.62,2.05
