Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-06-13,14896.0,16.74,22.9,23.4,20.0,21.26,4.52
2024-06-14,8221.0,21.26,21.1,23.07,19.45,20.0,-1.26
2024-06-20,8653.0,20.0,21.7,21.7,19.12,21.7,1.7
2024-06-24,1910.0,21.7,19.75,23.65,19.75,19.75,-1.95
2024-06-25,15500.0,19.75,20.0,20.0,20.0,20.0,0.25
2024-06-26,10805.0,20.0,20.0,21.5,20.0,20.94,0.94
2024-06-27,197.0,20.94,21.8,21.8,20.11,20.94,0.0
2024-06-28,6250.0,20.94,22.82,22.82,22.09,22.09,1.15
2024-07-02,400.0,22.09,23.1,23.1,23.1,22.09,0.0
2024-07-03,3310.0,22.09,23.1,23.1,22.95,22.95,0.86
2024-07-05,101.0,22.95,20.88,23.5,20.88,22.95,0.0
2024-07-09,905.0,22.95,22.0,23.5,22.0,22.02,-0.93
2024-07-10,1800.0,22.02,23.5,23.5,22.89,22.98,0.96
2024-07-11,3501.0,22.98,20.8,23.0,20.8,22.73,-0.25
2024-07-12,2.0,22.73,24.61,24.61,24.61,22.73,0.0
2024-07-19,1.0,22.73,20.57,20.57,20.57,22.73,0.0
2024-07-23,1500.0,22.1,20.5,20.5,20.5,20.5,-1.6
2024-07-24,1080.0,20.5,18.46,22.55,18.46,19.72,-0.78
2024-07-30,500.0,19.72,21.65,21.65,21.65,21.65,1.93
2024-08-02,14.0,21.65,21.5,21.5,21.5,21.65,0.0
2024-08-09,11200.0,21.65,19.5,19.5,19.5,19.5,-2.15
2024-08-16,223.0,19.5,17.55,21.35,17.55,19.5,0.0
2024-08-19,500.0,19.5,19.5,19.5,19.5,19.5,0.0
2024-08-20,5.0,19.5,20.95,20.95,20.95,19.5,0.0
2024-08-21,5086.0,19.5,20.0,20.0,19.0,19.07,-0.43
2024-08-22,109.0,19.07,19.0,19.0,19.0,19.07,0.0
2024-08-23,4030.0,19.07,19.0,19.01,19.0,19.0,-0.07
2024-08-27,4000.0,19.0,19.0,19.0,19.0,19.0,0.0
2024-08-28,10.0,19.0,19.0,19.0,19.0,19.0,0.0
2024-08-29,17242.0,19.0,19.0,19.0,18.0,18.11,-0.89
2024-09-02,16.0,18.11,19.5,19.5,19.5,18.11,0.0
2024-09-03,229.0,18.11,19.5,19.5,17.5,18.11,0.0
2024-09-06,11583.0,18.11,16.6,19.5,16.6,19.5,1.39
2024-09-10,50.0,19.5,20.0,20.0,20.0,19.5,0.0
2024-09-12,195.0,19.5,19.9,19.9,18.1,19.5,0.0
2024-09-13,10450.0,19.5,19.5,19.7,19.5,19.7,0.2
2024-09-16,1.0,19.7,19.9,19.9,19.9,19.7,0.0
2024-09-18,1.0,19.7,19.95,19.95,19.95,19.7,0.0
2024-09-19,121.0,19.7,21.66,21.66,20.01,19.7,0.0
2024-09-20,493.0,19.7,20.5,20.5,19.65,19.7,0.0
2024-09-24,1.0,19.7,18.0,18.0,18.0,19.7,0.0
2024-09-25,502.0,19.7,19.1,21.66,19.1,19.7,0.0
2024-09-26,2.0,19.7,21.67,21.67,21.67,19.7,0.0
2024-09-27,1.0,19.7,21.67,21.67,21.67,19.7,0.0
2024-09-30,11.0,19.7,21.67,21.67,21.0,19.7,0.0
2024-10-03,12.0,19.7,20.5,20.5,20.5,19.7,0.0
2024-10-07,31.0,19.7,20.01,20.01,20.0,19.7,0.0
2024-10-08,1.0,19.7,0.0,0.0,0.0,19.7,0.0
2024-10-09,2014.0,19.7,19.51,20.1,19.5,20.1,0.4
2024-10-10,999.0,20.1,0.0,0.0,0.0,20.1,0.0
2024-10-11,101.0,20.1,19.5,19.5,19.5,20.1,0.0
2024-10-17,10.0,20.1,19.5,19.5,19.5,20.1,0.0
2024-10-30,1501.0,20.1,22.11,22.11,19.01,21.8,1.7
2024-10-31,5.0,21.8,19.71,19.71,19.71,21.8,0.0
2024-11-08,1.0,21.8,22.0,22.0,22.0,21.8,0.0
2024-11-11,10.0,21.8,19.62,19.62,19.62,21.8,0.0
2024-11-15,2.0,21.8,19.62,19.62,19.62,21.8,0.0
2024-12-04,1000.0,21.5,21.5,22.0,21.5,22.0,0.5
2024-12-06,10.0,22.0,22.0,22.0,22.0,22.0,0.0
2024-12-10,3432.0,22.0,24.2,24.2,22.1,22.65,0.65
2024-12-11,20.0,22.65,20.39,20.39,20.39,22.65,0.0
2024-12-12,102.0,22.65,24.91,24.91,22.91,22.65,0.0
2024-12-13,1706.0,22.65,21.0,21.15,21.0,21.03,-1.62
2024-12-16,6.0,21.03,21.12,21.12,21.01,21.03,0.0
2024-12-18,242.0,21.03,22.0,22.0,19.0,21.03,0.0
2024-12-19,5.0,21.03,23.0,23.0,23.0,21.03,0.0
2024-12-20,1237.0,21.03,18.93,20.5,18.93,20.5,-0.53
2024-12-26,1.0,20.5,18.45,18.45,18.45,20.5,0.0
2025-01-02,1053.0,20.5,20.0,20.55,20.0,20.55,0.05
2025-01-15,84143.0,20.55,19.5,19.5,19.5,19.5,-1.05
2025-01-23,196.0,19.5,21.45,21.45,21.45,19.5,0.0
2025-01-27,1500.0,19.5,21.0,21.0,21.0,21.0,1.5
2025-01-29,2817.0,21.0,19.0,19.51,19.0,19.51,-1.49
2025-02-04,1000.0,19.51,0.0,0.0,0.0,19.51,0.0
2025-02-06,1000.0,19.51,21.0,21.0,21.0,21.0,1.49
2025-02-17,500.0,21.0,19.51,19.51,19.51,19.51,-1.49
2025-03-05,10.0,19.51,21.45,21.45,21.45,19.51,0.0
2025-03-10,10.0,19.51,21.0,21.0,21.0,20.0,0.49
2025-03-19,685.0,20.0,20.0,20.0,20.0,20.0,0.0
2025-03-20,1.0,20.0,22.0,22.0,22.0,20.0,0.0
2025-03-24,527.0,20.0,22.0,22.0,21.8,20.0,0.0
2025-04-03,28410.0,20.0,19.0,20.2,19.0,20.02,0.02
2025-04-04,531.0,20.02,21.0,22.0,21.0,20.02,0.0
2025-04-08,1001.0,20.02,22.02,22.02,22.02,22.02,2.0
2025-04-14,5.0,22.02,20.0,20.0,20.0,22.02,0.0
2025-04-17,6.0,22.02,20.0,23.99,20.0,22.02,0.0
2025-04-18,250.0,22.02,20.0,20.0,20.0,22.02,0.0
2025-04-22,249.0,22.02,19.9,19.9,19.9,22.02,0.0
2025-04-25,1.0,22.02,22.2,22.2,22.2,22.02,0.0
