Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2025-05-26,204.0,10.0,11.0,11.0,11.0,11.0,1.0
2025-05-27,22696.0,11.0,12.1,12.1,12.1,12.1,1.1
2025-05-29,502.0,12.1,13.31,13.31,13.31,13.29,1.19
2025-05-30,24101.0,13.29,14.62,14.62,14.62,14.62,1.33
2025-06-02,1510.0,14.62,16.08,16.08,16.08,16.08,1.46
2025-06-03,5505.0,16.08,17.69,17.69,17.69,17.69,1.61
2025-06-04,681.0,17.69,19.46,19.46,19.46,19.46,1.77
2025-06-05,105858.0,19.46,21.41,21.41,21.41,21.41,1.95
2025-06-10,826.0,21.41,23.55,23.55,23.55,23.55,2.14
2025-06-11,5748.0,23.55,25.91,25.91,25.91,25.91,2.36
2025-06-12,2165.0,25.91,28.5,28.5,28.5,28.5,2.59
2025-06-13,1215.0,28.5,31.35,31.35,31.35,31.35,2.85
2025-06-16,6594.0,31.35,34.49,34.49,34.49,34.49,3.14
2025-06-17,195.0,34.49,37.94,37.94,37.94,37.94,3.45
2025-06-18,3750.0,37.94,41.73,41.73,41.73,41.73,3.79
2025-06-19,375.0,41.73,45.9,45.9,45.9,45.56,3.83
2025-06-20,172517.0,45.56,50.12,50.12,41.0,41.0,-4.56
2025-06-23,5675.0,41.0,36.9,36.9,36.9,36.9,-4.1
2025-06-24,2705.0,36.9,33.21,33.21,33.21,33.21,-3.69
2025-06-25,49044.0,33.21,29.9,30.0,29.89,29.89,-3.32
2025-06-26,60196.0,29.89,27.5,32.0,26.9,29.55,-0.34
2025-06-27,36315.0,29.55,27.0,32.51,26.62,30.34,0.79
2025-06-30,35051.0,30.34,31.0,33.35,31.0,33.35,3.01
2025-07-01,49811.0,33.35,31.0,32.9,30.04,32.0,-1.35
2025-07-02,15525.0,32.0,30.9,32.0,30.9,32.0,0.0
2025-07-03,26511.0,32.0,32.0,32.0,29.2,32.0,0.0
2025-07-04,3000.0,32.0,30.99,31.0,30.99,31.0,1.0
2025-07-07,5698.0,31.0,31.5,31.99,28.2,30.0,1.0
2025-07-08,7385.0,30.0,27.02,30.98,27.02,30.0,0.0
2025-07-09,21.0,30.0,30.4,31.0,30.4,30.0,0.0
2025-07-10,13033.0,30.0,27.5,30.7,27.5,30.7,0.7
2025-07-11,4515.0,30.7,27.65,32.0,27.65,31.14,0.44
2025-07-14,16642.0,31.14,31.0,34.25,31.0,34.25,3.11
2025-07-15,1070.0,34.25,37.68,37.68,37.68,37.68,3.43
2025-07-16,2260.0,37.68,35.01,41.45,35.01,41.45,3.77
2025-07-17,1362.0,41.45,38.1,38.5,38.1,38.5,-2.95
2025-07-18,807.0,38.5,42.35,42.35,42.35,42.35,3.85
2025-07-21,1494.0,42.35,45.59,46.0,45.59,46.0,3.65
2025-07-22,2110.0,46.0,46.0,46.0,45.99,46.0,0.0
2025-07-23,7641.0,46.0,46.0,49.06,45.99,45.99,-0.01
2025-07-24,1100.0,45.99,41.39,45.0,41.39,45.99,0.0
2025-07-25,16.0,45.99,49.0,49.0,47.0,45.99,0.0
2025-07-29,807.0,45.99,41.41,45.5,41.41,41.41,-4.58
2025-07-30,4092.0,41.41,42.35,42.5,42.0,42.0,0.59
2025-07-31,930.0,42.0,44.9,44.9,43.0,43.0,1.0
2025-08-04,122.0,43.0,43.0,43.0,43.0,43.0,0.0
2025-08-05,1033.0,43.0,43.0,46.0,39.0,40.59,-2.41
2025-08-06,2570.0,40.59,42.9,43.0,42.9,43.0,2.41
2025-08-07,200.0,43.0,42.0,42.02,42.0,43.0,0.0
2025-08-08,1099.0,43.0,43.0,44.0,43.0,44.0,1.0
2025-08-11,1100.0,44.0,44.0,44.0,42.0,43.67,-0.33
2025-08-12,201.0,43.67,43.0,44.15,42.0,43.67,0.0
2025-08-13,201.0,43.67,43.97,43.99,43.97,43.67,0.0
2025-08-15,500.0,43.67,43.0,43.0,43.0,43.0,-0.67
2025-08-18,2899.0,43.0,43.4,43.99,43.4,43.99,0.99
2025-08-19,20.0,43.99,42.0,42.0,42.0,43.99,0.0
2025-08-20,3520.0,43.99,43.96,43.98,43.96,43.97,-0.02
2025-08-21,122.0,43.97,45.79,46.0,45.5,43.97,0.0
2025-08-25,2524.0,43.97,45.35,46.0,45.35,45.83,1.86
2025-09-02,50.0,45.83,45.2,49.0,45.2,45.83,0.0
2025-09-09,1526.0,45.83,42.55,50.0,42.5,42.71,-3.12
2025-09-10,45.0,42.71,45.0,45.0,45.0,42.71,0.0
2025-09-11,600.0,42.71,44.0,46.98,44.0,45.16,2.45
2025-09-12,1011.0,45.16,42.55,49.68,42.55,42.61,-2.55
2025-09-15,1.0,42.61,43.0,43.0,43.0,42.61,0.0
2025-09-17,1300.0,42.61,42.5,46.87,42.5,43.79,1.18
2025-09-18,100.0,43.79,45.5,45.5,45.5,43.79,0.0
2025-09-19,1751.0,43.79,46.0,48.17,46.0,48.17,4.38
2025-09-22,1004.0,48.17,50.2,50.2,44.0,44.78,-3.39
2025-09-23,204.0,44.78,49.26,49.26,45.1,44.78,0.0
2025-09-24,1.0,44.78,49.26,49.26,49.26,44.78,0.0
2025-09-25,1.0,44.78,48.0,48.0,48.0,44.78,0.0
2025-09-26,1.0,44.78,49.25,49.25,49.25,44.78,0.0
2025-09-29,400.0,44.78,49.26,49.26,49.26,44.78,0.0
2025-09-30,1.0,44.78,48.5,48.5,48.5,44.78,0.0
2025-10-01,1.0,44.78,49.0,49.0,49.0,44.78,0.0
2025-10-02,2896.0,44.78,47.9,48.0,47.9,48.0,3.22
2025-10-03,2.0,48.0,52.0,52.8,52.0,48.0,0.0
2025-10-06,10.0,48.0,50.0,50.0,50.0,48.0,0.0
2025-10-08,4.0,48.0,52.0,52.0,50.0,48.0,0.0
2025-10-09,2901.0,48.0,43.2,50.0,43.2,43.2,-4.8
2025-10-13,700.0,43.2,44.0,44.0,38.9,39.82,-3.38
2025-10-14,2000.0,39.82,41.0,41.0,40.0,40.0,0.18
2025-10-15,2599.0,40.0,36.0,44.0,36.0,36.38,-3.62
2025-10-17,1500.0,36.38,33.25,35.55,33.25,35.55,-0.83
2025-10-20,1650.0,35.55,32.2,36.0,32.01,36.0,0.45
2025-10-21,100.0,36.0,38.88,38.88,38.88,36.0,0.0
2025-10-24,3800.0,36.0,39.0,39.6,39.0,39.6,3.6
2025-10-27,499.0,39.6,42.0,42.0,42.0,39.6,0.0
2025-10-30,239.0,39.6,35.65,38.0,35.65,39.6,0.0
2025-10-31,4000.0,39.6,38.0,40.0,36.0,40.0,0.4
2025-11-04,1301.0,40.0,39.0,39.0,37.0,37.0,3.0
