Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2025-06-30,2.0,15.05,16.56,16.56,16.56,16.56,1.51
2025-07-01,2.0,16.56,18.22,18.22,18.22,18.21,1.65
2025-07-02,2299930.0,18.21,16.39,20.0,16.39,18.8,0.59
2025-07-03,292306.0,18.8,19.93,20.67,19.25,20.67,1.87
2025-07-04,153329.0,20.67,21.0,22.5,20.65,21.06,0.39
2025-07-07,115667.0,21.06,21.1,22.0,21.0,21.01,-0.05
2025-07-08,97154.0,21.01,21.49,22.0,20.65,21.97,0.96
2025-07-09,66799.0,21.97,20.5,22.35,20.5,20.77,-1.2
2025-07-10,83940.0,20.77,21.48,22.0,21.01,22.0,1.23
2025-07-11,155340.0,22.0,22.9,23.9,22.9,23.26,1.26
2025-07-14,127037.0,23.26,23.79,24.5,23.25,24.22,0.96
2025-07-15,219500.0,24.22,24.9,26.59,24.9,25.0,0.78
2025-07-16,5600.0,25.0,26.0,26.0,25.0,25.02,0.02
2025-07-17,505.0,25.02,24.17,25.75,24.17,25.75,0.73
2025-07-18,32134.0,25.75,25.01,25.5,25.0,25.01,-0.74
2025-07-21,2100.0,25.01,25.85,25.85,25.49,25.49,0.48
2025-07-22,104687.0,25.49,27.9,27.9,25.0,25.5,0.01
2025-07-23,181682.0,25.5,28.0,28.0,25.0,25.49,-0.01
2025-07-24,10074.0,25.49,25.02,25.5,25.02,25.5,0.01
2025-07-25,11000.0,25.5,26.9,26.9,26.9,26.9,1.4
2025-07-29,15598.0,28.9,29.0,29.0,26.02,26.1,-2.8
2025-07-30,100.0,26.1,27.0,27.0,27.0,26.1,0.0
2025-07-31,500.0,26.1,26.5,26.5,26.5,26.5,0.4
2025-08-01,100.0,26.5,27.0,27.0,27.0,26.5,0.0
2025-08-04,23336.0,26.5,24.7,27.5,24.7,27.5,1.0
2025-08-05,57712.0,27.5,27.5,30.25,27.5,28.0,0.5
2025-08-06,10517.0,28.0,30.0,30.0,28.04,28.75,0.75
2025-08-07,292671.0,28.75,30.74,30.74,25.88,26.12,-2.63
2025-08-08,79701.0,26.12,26.05,26.95,26.0,26.66,0.54
2025-08-11,1101.0,26.66,26.5,27.85,26.5,26.65,-0.01
2025-08-12,5100.0,26.65,25.02,27.0,25.02,26.5,-0.15
2025-08-13,17105.0,26.5,26.0,27.49,26.0,26.0,-0.5
2025-08-15,1.0,26.0,25.53,25.53,25.53,26.0,0.0
2025-08-18,10.0,26.0,26.0,26.0,25.11,26.0,0.0
2025-08-20,3.0,26.06,28.5,28.5,26.0,26.06,0.0
2025-08-21,22888.0,26.06,26.1,28.49,26.1,28.09,2.03
2025-08-22,11984.0,28.09,29.0,29.0,26.01,27.51,-0.58
2025-08-25,3000.0,27.51,28.0,28.0,28.0,28.0,0.49
2025-08-26,26526.0,28.0,28.0,29.9,27.99,28.0,0.0
2025-09-05,17500.0,28.0,27.0,27.0,26.0,26.0,2.0
2025-09-08,8596.0,26.0,27.0,27.0,27.0,27.0,1.0
2025-09-10,645.0,27.0,28.0,28.0,28.0,28.0,1.0
2025-09-16,5850.0,28.0,26.01,28.0,26.01,28.0,0.0
