Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-01-02,30000.0,7.0,7.24,7.24,7.24,7.24,0.24
2024-01-11,100000.0,7.2,0.0,0.0,0.0,7.2,0.0
2024-01-12,10500.0,7.2,7.1,7.1,7.0,7.0,-0.2
2024-01-16,30000.0,7.0,7.0,7.0,7.0,7.0,0.0
2024-01-17,64000.0,7.0,6.8,6.8,6.8,6.8,-0.2
2024-01-31,1000.0,6.8,7.0,7.0,7.0,7.0,0.2
2024-02-12,105000.0,7.0,7.0,7.0,7.0,7.0,0.0
2024-02-14,125000.0,7.0,7.0,7.0,7.0,7.0,0.0
2024-02-15,15000.0,7.0,7.0,7.0,7.0,7.0,0.0
2024-02-16,100000.0,7.0,6.0,8.0,6.0,8.0,1.0
2024-02-28,500.0,8.0,8.0,8.0,8.0,8.0,0.0
2024-03-07,13000.0,8.0,7.5,7.5,7.0,7.0,1.0
2024-03-11,15000.0,7.0,7.0,7.0,7.0,7.0,0.0
2024-04-02,1500.0,7.0,6.0,8.0,6.0,8.0,1.0
2024-04-03,500.0,8.0,9.0,9.0,9.0,9.0,1.0
2024-04-04,500.0,9.0,10.0,10.0,10.0,10.0,1.0
2024-04-08,500.0,10.0,9.0,9.0,9.0,9.0,1.0
2024-04-18,5000.0,9.0,8.0,8.0,8.0,8.0,1.0
2024-04-23,10000.0,8.0,7.75,7.75,7.5,7.75,-0.25
2024-05-08,500.0,7.75,7.25,7.25,7.25,7.25,-0.5
2024-05-10,7500.0,7.25,7.25,7.49,6.25,7.49,0.24
2024-05-13,25000.0,7.49,7.4,7.4,7.4,7.4,-0.09
2024-05-17,27500.0,7.4,7.25,7.25,7.25,7.25,-0.15
2024-06-07,180000.0,7.25,7.01,7.01,7.01,7.01,-0.24
2024-06-10,177500.0,7.01,0.0,0.0,0.0,7.01,0.0
2024-06-13,500.0,7.01,7.9,7.9,7.9,7.9,0.89
2024-06-24,6336.0,7.9,7.0,7.0,6.91,7.0,-0.9
2024-06-25,1082.0,7.0,7.99,7.99,7.99,7.99,0.99
2024-06-26,253100.0,7.99,7.99,8.25,7.99,8.24,0.25
2024-07-02,34492.0,8.24,7.26,8.25,7.24,7.24,1.0
2024-07-03,50274.0,7.24,7.01,7.75,6.5,7.52,0.28
2024-07-05,500.0,7.52,7.75,7.75,7.75,7.75,0.23
2024-07-15,1000.0,7.75,7.75,7.75,7.75,7.75,0.0
2024-07-18,7000.0,7.75,7.25,7.25,7.25,7.25,-0.5
2024-07-31,11001.0,7.25,7.1,7.75,7.1,7.1,-0.15
2024-08-02,2.0,7.1,7.75,7.75,7.7,7.1,0.0
2024-08-06,3500.0,7.1,7.25,7.99,7.25,7.99,0.89
2024-08-07,232499.0,7.99,8.0,8.99,8.0,8.99,1.0
2024-08-08,108004.0,8.99,8.1,8.25,8.01,8.25,-0.74
2024-08-09,180998.0,8.25,8.98,9.25,8.25,9.16,0.91
2024-08-12,25007.0,9.16,9.25,9.75,9.0,9.0,-0.16
2024-08-13,123995.0,9.0,9.0,10.0,9.0,9.7,0.7
2024-08-16,12009.0,9.7,8.7,9.0,8.7,9.0,-0.7
2024-08-19,8000.0,9.0,8.75,8.75,8.75,8.75,-0.25
2024-08-20,30000.0,8.75,9.0,9.0,9.0,9.0,0.25
2024-08-21,5000.0,9.0,8.75,8.75,8.75,8.75,-0.25
2024-08-22,16881.0,8.75,9.0,9.25,8.75,8.75,0.0
2024-08-28,8119.0,8.75,9.0,9.0,8.88,8.88,0.13
2024-08-29,5000.0,8.88,8.5,8.5,8.5,8.5,-0.38
2024-08-30,500.0,8.5,8.75,8.75,8.75,8.75,0.25
2024-09-02,55495.0,8.75,8.25,8.25,8.25,8.25,-0.5
2024-09-03,2500.0,8.25,8.25,8.25,8.25,8.25,0.0
2024-09-05,5000.0,8.25,8.0,8.0,8.0,8.0,-0.25
2024-09-06,1000.0,8.0,8.25,8.25,8.25,8.25,0.25
2024-09-09,3495.0,8.25,7.25,7.77,7.25,7.77,-0.48
2024-09-10,5.0,7.77,0.0,0.0,0.0,7.77,0.0
2024-09-11,4995.0,7.77,0.0,0.0,0.0,7.77,0.0
2024-09-12,5.0,7.77,0.0,0.0,0.0,7.77,0.0
2024-09-13,299495.0,7.77,8.77,8.77,6.77,6.79,-0.98
2024-09-16,30000.0,6.79,7.0,7.0,7.0,7.0,0.21
2024-09-20,3500.0,7.0,8.0,8.0,8.0,8.0,1.0
2024-10-09,5000.0,8.0,7.25,7.25,7.25,7.25,-0.75
2024-10-14,500.0,7.25,7.8,7.8,7.8,7.8,0.55
2024-10-18,5000.0,7.8,7.5,7.5,7.5,7.5,-0.3
2024-10-24,41500.0,7.5,7.5,7.5,7.15,7.15,-0.35
2024-10-25,32000.0,7.15,7.0,7.0,6.5,6.75,-0.4
2024-10-28,25000.0,6.75,7.0,7.01,7.0,7.01,0.26
2024-10-30,2010.0,7.01,7.75,7.75,6.75,7.75,0.74
2024-11-06,37000.0,7.75,7.0,7.25,7.0,7.25,-0.5
2024-11-08,9520.0,7.25,7.5,7.5,7.5,7.5,0.25
2024-11-11,125000.0,7.5,7.75,8.5,7.75,8.5,1.0
2024-11-12,5000.0,8.5,8.1,8.1,8.1,8.1,-0.4
2024-11-15,2.0,8.1,7.1,8.5,7.1,8.1,0.0
2024-11-18,5002.0,8.1,8.75,8.75,7.5,8.7,0.6
2024-11-19,6260.0,8.7,8.4,8.5,8.4,8.4,-0.3
2024-11-21,5300.0,8.4,8.45,8.45,8.0,8.4,0.0
2024-11-25,6080.0,8.4,8.3,8.4,8.3,8.3,-0.1
2024-11-26,4500.0,8.3,7.61,7.61,7.61,7.61,-0.69
2024-11-28,14372.0,7.61,8.25,8.4,8.0,8.0,0.39
2024-12-02,500.0,8.0,8.25,8.25,8.25,8.25,0.25
2024-12-03,5000.0,8.25,8.25,9.0,8.25,9.0,0.75
2024-12-04,2000.0,9.0,8.25,8.25,8.25,8.25,-0.75
2024-12-05,14922.0,8.25,8.25,9.0,8.25,8.86,0.61
2024-12-06,5200.0,8.86,8.5,8.75,8.5,8.5,-0.36
2024-12-09,2000.0,8.5,8.75,8.75,8.75,8.75,0.25
2024-12-12,10500.0,8.75,9.0,9.0,9.0,9.0,0.25
2024-12-13,4400.0,9.0,10.0,10.0,8.75,8.75,-0.25
2024-12-17,207365.0,8.75,8.01,9.0,8.0,8.19,-0.56
2024-12-18,10000.0,8.19,8.5,8.5,8.25,8.25,0.06
2024-12-19,2000.0,8.25,8.0,8.0,8.0,8.0,-0.25
2024-12-24,500.0,8.0,9.0,9.0,9.0,9.0,1.0
2024-12-30,6000.0,9.0,10.0,10.0,8.49,8.5,-0.5
2024-12-31,6100.0,8.5,7.62,7.62,7.6,7.61,-0.89
2025-01-03,500.0,7.61,8.0,8.0,8.0,8.0,0.39
2025-01-08,28000.0,8.0,7.53,7.53,7.51,7.51,-0.49
2025-01-09,50600.0,7.51,8.0,8.0,8.0,8.0,0.49
2025-01-10,400.0,8.0,8.0,8.0,8.0,8.0,0.0
