Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-01-01,4088127.0,11.21,11.48,11.85,11.36,11.79,0.58
2024-01-02,2259935.0,11.79,11.89,12.0,11.4,11.5,-0.29
2024-01-03,1451342.0,11.5,11.5,11.7,11.3,11.36,-0.14
2024-01-04,965649.0,11.36,11.33,11.45,11.2,11.34,-0.02
2024-01-05,2738807.0,11.34,11.21,11.8,11.02,11.28,-0.06
2024-01-08,1075659.0,11.28,11.29,11.5,11.0,11.03,-0.25
2024-01-09,1973623.0,11.03,11.3,11.3,10.95,11.16,0.13
2024-01-10,1329316.0,11.16,11.28,11.4,11.0,11.05,-0.11
2024-01-11,1815215.0,11.05,11.05,11.19,10.85,11.01,-0.04
2024-01-12,6122559.0,11.01,11.1,11.64,10.81,11.28,0.27
2024-01-15,1186301.0,11.28,11.42,11.42,10.85,10.88,-0.4
2024-01-16,1275210.0,10.88,10.9,11.0,10.75,10.93,0.05
2024-01-17,1600779.0,10.93,10.9,10.95,10.5,10.57,-0.36
2024-01-18,2558853.0,10.57,10.6,10.67,10.01,10.25,-0.32
2024-01-19,730139.0,10.25,10.37,10.48,10.19,10.41,0.16
2024-01-22,1371882.0,10.41,10.48,10.48,10.1,10.18,-0.23
2024-01-23,13296.0,10.28,10.31,10.49,10.12,10.33,0.05
2024-01-24,2362255.0,10.32,10.3,10.69,10.3,10.35,0.03
2024-01-25,883908.0,10.35,10.41,10.47,10.17,10.21,-0.14
2024-01-26,1240694.0,10.21,10.35,10.4,10.1,10.14,-0.07
2024-01-29,2302091.0,10.14,10.1,10.25,9.9,9.94,-0.2
2024-01-30,1738866.0,9.94,10.0,10.11,9.6,9.69,-0.25
2024-01-31,1545856.0,9.69,9.94,10.0,9.65,9.67,-0.02
2024-02-01,2226127.0,9.67,9.6,9.79,9.45,9.6,-0.07
2024-02-02,797976.0,9.6,9.6,9.83,9.46,9.7,0.1
2024-02-06,4622176.0,9.7,9.71,10.69,9.53,10.46,0.76
2024-02-07,1446214.0,10.46,10.46,10.6,10.33,10.38,-0.08
2024-02-09,1008493.0,10.38,10.25,10.25,9.7,9.95,-0.43
2024-02-12,1464306.0,9.95,10.0,10.0,9.4,9.78,-0.17
2024-02-13,2168951.0,9.78,9.51,10.2,9.4,10.07,0.29
2024-02-14,894408.0,10.07,10.25,10.45,9.83,10.12,0.05
2024-02-15,541200.0,10.12,10.25,10.25,9.75,9.89,-0.23
2024-02-16,25.0,10.19,9.84,9.84,9.84,9.84,-0.35
2024-02-19,1680531.0,9.6,9.7,9.8,9.42,9.65,0.05
2024-02-20,922162.0,9.65,9.75,9.85,9.44,9.52,-0.13
2024-02-21,6605.0,9.7,9.95,10.0,9.85,9.96,0.26
2024-02-22,2689081.0,9.74,9.82,10.16,9.68,9.82,0.08
2024-02-23,1213801.0,9.82,9.88,9.98,9.62,9.79,-0.03
2024-02-26,1247280.0,9.79,9.85,10.1,9.85,10.02,0.23
2024-02-27,1485428.0,10.02,10.14,10.14,9.8,9.84,-0.18
2024-02-28,4051190.0,9.84,9.81,10.75,9.8,10.33,0.49
2024-02-29,2019336.0,10.33,10.44,10.55,10.15,10.25,-0.08
2024-03-01,1596977.0,10.25,10.09,10.38,10.09,10.21,-0.04
2024-03-04,803663.0,10.21,10.35,10.35,10.12,10.24,0.03
2024-03-05,826933.0,10.24,10.4,10.4,10.04,10.09,-0.15
2024-03-06,1242402.0,10.09,10.16,10.24,10.0,10.02,-0.07
2024-03-07,724791.0,10.02,10.17,10.17,9.85,9.93,-0.09
2024-03-08,1780490.0,9.93,10.0,10.43,9.99,10.2,0.27
2024-03-11,5251291.0,10.2,10.2,10.85,10.15,10.42,0.22
2024-03-12,1098543.0,10.42,10.5,10.57,10.01,10.06,-0.36
2024-03-13,963574.0,10.06,10.19,10.19,9.8,9.82,-0.24
2024-03-14,737568.0,9.82,9.95,10.18,9.95,10.12,0.3
2024-03-15,619230.0,10.12,10.1,10.18,10.0,10.04,-0.08
2024-03-18,469735.0,10.04,10.06,10.13,9.82,9.9,-0.14
2024-03-19,1236349.0,9.9,10.0,10.34,9.8,10.23,0.33
2024-03-20,1791145.0,10.23,10.4,10.49,10.01,10.21,-0.02
2024-03-21,1313027.0,10.21,10.39,10.39,9.92,9.98,-0.23
2024-03-22,428493.0,9.98,10.05,10.05,9.9,9.94,-0.04
2024-03-25,141158.0,9.94,10.05,10.05,9.92,9.97,0.03
2024-03-26,1013236.0,9.97,9.9,9.98,9.87,9.96,-0.01
2024-03-27,749696.0,9.96,9.92,10.14,9.92,10.0,0.04
2024-03-28,1754684.0,10.0,10.0,10.3,10.0,10.08,0.08
2024-03-29,1961523.0,10.08,10.2,10.33,9.94,9.95,-0.13
2024-04-01,822319.0,9.95,10.13,10.13,9.8,9.85,-0.1
2024-04-02,508389.0,9.85,9.85,9.94,9.77,9.83,-0.02
2024-04-03,660374.0,9.83,9.93,10.04,9.81,9.9,0.07
2024-04-04,1327661.0,9.9,10.0,10.25,9.99,10.06,0.16
2024-04-08,744519.0,10.06,10.0,10.31,10.0,10.14,0.08
2024-04-09,585184.0,10.14,10.04,10.2,10.02,10.12,-0.02
2024-04-15,1132155.0,10.12,10.08,10.14,9.92,10.0,-0.12
2024-04-16,1960035.0,10.0,10.02,10.25,9.97,10.04,0.04
2024-04-17,1678741.0,10.04,10.15,10.29,10.02,10.07,0.03
2024-04-18,926911.0,10.07,10.05,10.17,10.01,10.02,-0.05
2024-04-19,2760758.0,10.02,10.07,10.19,9.97,10.13,0.11
2024-04-22,3523375.0,10.13,10.22,10.39,10.02,10.21,0.08
2024-04-23,12060185.0,10.21,10.29,10.85,10.15,10.4,0.19
2024-04-24,3800514.0,10.4,10.45,10.6,10.2,10.26,-0.14
2024-04-25,3141011.0,10.26,10.29,10.55,10.2,10.27,0.01
2024-04-26,7761.0,10.49,10.3,11.37,10.3,10.35,-0.14
2024-04-29,2542991.0,10.14,10.27,10.48,10.07,10.15,0.01
2024-04-30,2103979.0,10.15,10.1,10.26,9.85,9.91,-0.24
2024-05-02,726451.0,9.91,10.08,10.08,9.75,9.83,-0.08
2024-05-03,2688940.0,9.83,9.95,9.99,9.71,9.8,-0.03
2024-05-06,3519699.0,9.8,9.86,10.18,9.85,9.98,0.18
2024-05-07,4651674.0,9.98,9.98,10.43,9.98,10.15,0.17
2024-05-08,10461081.0,10.15,10.28,10.78,10.22,10.47,0.32
2024-05-09,2710817.0,10.47,10.5,10.63,10.25,10.38,-0.09
2024-05-10,2662311.0,10.38,10.54,10.57,10.22,10.34,-0.04
2024-05-13,17550765.0,10.34,10.38,11.34,10.3,11.15,0.81
2024-05-14,11917121.0,11.15,11.49,11.69,11.01,11.07,-0.08
2024-05-15,6986693.0,11.07,11.09,11.49,10.83,10.9,-0.17
2024-05-16,2120458.0,10.9,10.8,11.05,10.75,10.82,-0.08
2024-05-17,2035233.0,10.82,10.97,11.12,10.71,10.79,-0.03
2024-05-20,10.0,11.1,10.4,10.4,10.4,10.4,-0.7
2024-05-21,1850981.0,10.49,10.55,10.66,10.35,10.57,0.08
2024-05-22,4971404.0,10.57,10.64,10.9,10.4,10.5,-0.07
2024-05-23,1305871.0,10.5,10.55,10.55,10.36,10.43,-0.07
2024-05-24,1137666.0,10.43,10.73,10.73,10.4,10.43,0.0
2024-05-27,1563590.0,10.43,10.45,10.6,10.18,10.21,-0.22
2024-05-29,1857574.0,10.21,10.2,10.2,10.0,10.02,-0.19
2024-05-30,9227.0,10.31,10.35,10.35,10.05,10.21,-0.1
2024-05-31,2569224.0,10.07,10.09,10.16,10.0,10.06,-0.01
2024-06-03,1550244.0,10.06,10.1,10.3,10.0,10.23,0.17
