Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-01-01,531500.0,29.31,29.49,30.36,29.49,30.14,0.83
2024-01-02,526000.0,30.14,30.02,30.3,29.7,29.84,-0.3
2024-01-03,573500.0,29.84,29.76,30.2,28.05,29.12,-0.72
2024-01-04,204000.0,29.12,29.13,29.13,28.7,28.79,-0.33
2024-01-05,348000.0,28.79,28.94,29.56,28.51,29.05,0.26
2024-01-08,408500.0,29.05,29.37,29.9,28.65,29.5,0.45
2024-01-09,126000.0,29.5,29.8,29.85,28.95,29.09,-0.41
2024-01-10,213000.0,29.09,29.2,29.2,28.5,28.82,-0.27
2024-01-11,116000.0,28.82,28.6,29.0,28.12,28.87,0.05
2024-01-12,371500.0,28.87,29.0,29.2,28.11,28.3,-0.57
2024-01-15,223500.0,28.3,28.39,28.5,27.8,27.87,-0.43
2024-01-16,215000.0,27.87,27.72,27.99,27.3,27.83,-0.04
2024-01-17,257500.0,27.83,27.75,27.85,27.25,27.29,-0.54
2024-01-18,469000.0,27.29,27.3,27.5,26.8,27.15,-0.14
2024-01-19,249000.0,27.15,27.25,27.5,26.8,27.0,-0.15
2024-01-22,275500.0,27.0,26.76,27.23,26.75,26.8,-0.2
2024-01-23,340000.0,26.8,26.85,27.59,26.8,27.4,0.6
2024-01-24,158500.0,27.4,27.5,27.8,27.35,27.41,0.01
2024-01-25,291500.0,27.41,27.25,27.67,26.7,27.12,-0.29
2024-01-26,253500.0,27.12,27.05,27.48,26.75,27.15,0.03
2024-01-29,180000.0,27.15,27.58,27.58,26.92,27.03,-0.12
2024-01-30,515500.0,27.03,27.0,27.05,25.61,25.81,-1.22
2024-01-31,96000.0,25.81,25.8,26.25,25.8,25.89,0.08
2024-02-01,205500.0,25.89,26.01,26.49,25.41,25.95,0.06
2024-02-02,98000.0,25.95,25.99,26.44,25.99,26.37,0.42
2024-02-06,480500.0,26.37,26.1,27.9,25.91,27.0,0.63
2024-02-07,258000.0,27.0,26.69,27.1,26.69,26.89,-0.11
2024-02-09,531000.0,26.89,26.31,26.46,25.71,25.91,-0.98
2024-02-12,1092000.0,25.91,25.91,25.95,23.97,24.19,-1.72
2024-02-13,302500.0,24.19,24.25,25.0,24.0,24.64,0.45
2024-02-14,250500.0,24.64,25.19,25.7,25.0,25.67,1.03
2024-02-15,121500.0,25.67,25.3,25.5,25.02,25.18,-0.49
2024-02-16,98000.0,25.18,25.04,25.4,24.85,24.99,-0.19
2024-02-19,439500.0,24.99,25.01,25.1,24.61,25.0,0.01
2024-02-20,59500.0,25.0,25.05,25.39,25.0,25.05,0.05
2024-02-21,244500.0,25.05,25.4,25.85,24.9,25.49,0.44
2024-02-22,178500.0,25.49,25.25,25.59,25.21,25.27,-0.22
