Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-01-01,902408.0,168.76,172.2,177.6,172.0,176.97,8.21
2024-01-02,623760.0,176.97,176.84,177.8,170.05,171.29,-5.68
2024-01-03,410458.0,171.29,171.5,174.0,167.05,168.23,-3.06
2024-01-04,1958312.0,168.23,168.99,179.9,165.11,178.47,10.24
2024-01-05,3149164.0,178.47,176.3,188.9,172.0,184.22,5.75
2024-01-08,1023618.0,184.22,185.0,187.5,174.2,177.67,-6.55
2024-01-09,2092259.0,177.67,179.44,186.5,170.12,184.9,7.23
2024-01-10,2080731.0,184.9,185.75,187.0,180.5,181.9,3.0
2024-01-11,788916.0,181.9,182.99,183.0,177.02,178.07,-3.83
2024-01-12,432606.0,178.07,179.0,179.5,171.51,172.48,-5.59
2024-01-15,544196.0,172.48,174.48,176.0,170.3,170.93,-1.55
2024-01-16,230755.0,170.93,169.0,170.0,161.51,165.42,-5.51
2024-01-17,313782.0,165.42,165.5,168.0,158.9,160.33,-5.09
2024-01-18,704108.0,160.33,159.48,162.0,152.3,156.49,-3.84
2024-01-19,1343915.0,156.49,157.0,168.23,157.0,168.23,11.74
2024-01-22,1680877.0,168.23,169.0,177.74,163.05,165.62,-2.61
2024-01-23,559324.0,165.62,164.97,168.0,161.01,165.3,-0.32
2024-01-24,741045.0,165.3,165.98,171.5,164.0,166.68,1.38
2024-01-25,283004.0,166.68,165.89,169.54,161.27,162.17,-4.51
2024-01-26,149259.0,162.17,163.9,163.9,157.0,157.89,-4.28
2024-01-29,248292.0,157.89,157.79,161.1,152.0,153.6,-4.29
2024-01-30,207915.0,153.6,154.0,156.68,147.0,148.16,-5.44
2024-01-31,301846.0,148.16,148.0,153.5,148.0,151.56,3.4
2024-02-01,326603.0,151.56,150.95,154.0,144.0,145.92,-5.64
2024-02-02,185497.0,145.92,146.9,149.45,144.7,146.98,1.06
2024-02-06,292969.0,146.98,147.0,153.49,147.0,152.09,5.11
2024-02-07,937455.0,152.09,152.8,161.9,152.3,160.03,7.94
2024-02-09,246798.0,160.03,155.0,158.79,149.0,153.01,-7.02
2024-02-12,428982.0,153.01,152.0,153.98,141.53,141.72,-11.29
2024-02-13,1593725.0,141.72,139.0,148.2,131.09,142.61,0.89
2024-02-14,591650.0,142.61,145.0,149.01,144.0,147.46,4.85
2024-02-15,891056.0,147.46,146.9,146.9,136.4,137.12,-10.34
2024-02-16,504354.0,137.12,136.99,136.99,126.84,127.12,10.0
2024-02-19,1228169.0,127.12,123.0,130.55,120.3,128.49,1.37
2024-02-20,1028136.0,128.49,129.0,132.0,125.5,126.46,-2.03
2024-02-21,1471868.0,126.46,130.05,135.94,127.04,135.2,8.74
2024-02-22,2312812.0,135.2,135.0,145.0,135.0,141.99,6.79
2024-02-23,681988.0,141.99,140.5,143.5,137.5,139.26,-2.73
2024-02-26,1574964.0,139.26,140.0,146.44,139.0,141.71,2.45
2024-02-27,588426.0,141.71,142.25,143.9,137.45,138.03,-3.68
2024-02-28,415165.0,138.03,136.0,141.85,136.0,137.78,-0.25
2024-02-29,510780.0,137.78,139.85,140.9,132.0,134.12,-3.66
2024-03-01,1487855.0,134.12,134.25,144.18,134.25,144.18,10.06
2024-03-04,1139328.0,144.18,145.25,147.49,141.0,141.46,-2.72
2024-03-05,1377631.0,141.46,142.0,148.8,141.0,144.74,3.28
2024-03-06,1759510.0,144.74,146.01,154.0,145.1,150.27,5.53
2024-03-07,1144018.0,150.27,151.99,151.99,145.11,149.0,-1.27
2024-03-08,2182015.0,149.0,149.99,160.18,149.0,160.18,11.18
2024-03-11,2192392.0,160.18,162.89,172.19,161.5,172.19,12.01
2024-03-12,1430121.0,172.19,173.0,173.49,159.28,159.28,-12.91
2024-03-13,1306941.0,159.28,156.0,162.3,147.33,147.58,-11.7
2024-03-14,1663376.0,147.58,149.5,158.65,149.5,158.57,10.99
2024-03-15,2468033.0,158.57,160.01,170.46,160.01,164.6,6.03
2024-03-18,1203271.0,164.6,164.89,167.97,159.0,164.11,-0.49
2024-03-19,1875404.0,164.11,163.94,172.44,163.0,165.37,1.26
2024-03-20,746601.0,165.37,166.67,167.39,161.0,162.11,-3.26
2024-03-21,597949.0,162.11,162.0,164.0,153.51,154.94,-7.17
2024-03-22,319002.0,154.94,156.0,158.0,152.5,153.73,-1.21
2024-03-25,232313.0,153.73,156.0,156.81,152.9,153.77,0.04
2024-03-26,1151104.0,153.77,158.5,165.3,156.5,161.4,7.63
2024-03-27,434633.0,161.4,161.49,164.5,156.8,157.63,-3.77
2024-03-28,368448.0,157.63,158.5,161.98,157.82,159.03,1.4
2024-03-29,214211.0,159.03,159.1,160.47,157.55,159.05,0.02
2024-04-01,520161.0,159.05,159.5,163.0,159.5,161.29,2.24
2024-04-02,2155850.0,161.29,161.8,172.9,161.0,167.73,6.44
2024-04-03,1521661.0,167.73,168.0,174.7,166.65,168.37,0.64
2024-04-04,2306294.0,168.37,169.0,178.9,164.0,176.18,7.81
2024-04-08,2199084.0,176.18,177.0,178.8,171.6,174.64,-1.54
2024-04-09,1039739.0,174.64,173.9,174.29,165.11,168.28,-6.36
2024-04-15,2603827.0,168.28,165.0,175.0,164.0,171.83,3.55
2024-04-16,1262746.0,171.83,172.01,173.8,165.8,166.66,-5.17
2024-04-17,744636.0,166.66,164.0,168.97,164.0,165.29,-1.37
2024-04-18,1271271.0,165.29,165.6,170.75,163.82,166.0,0.71
2024-04-19,5250985.0,166.0,167.0,178.45,167.0,177.72,11.72
2024-04-22,2721366.0,177.72,179.98,187.7,172.52,184.19,6.47
2024-04-23,1561960.0,184.19,183.5,184.01,178.5,180.11,-4.08
2024-04-24,1125573.0,180.11,181.49,185.0,178.5,182.69,2.58
2024-04-25,5888604.0,182.69,184.49,196.39,181.91,196.39,13.7
2024-04-26,2546040.0,196.39,199.5,211.12,199.0,211.12,14.73
2024-04-29,1726540.0,211.12,222.88,226.95,217.5,226.95,15.83
2024-04-30,6323457.0,226.95,226.8,243.97,224.0,231.98,5.03
2024-05-02,3984709.0,231.98,232.02,249.38,232.02,247.84,15.86
2024-05-03,1532812.0,247.84,256.0,266.43,255.0,266.43,18.59
2024-05-06,105138.0,266.43,286.41,286.41,286.41,286.41,19.98
2024-05-07,4605241.0,286.41,305.0,305.0,285.5,292.83,6.42
2024-05-08,3975804.0,292.83,293.0,293.0,270.87,277.92,-14.91
2024-05-09,6464003.0,277.92,279.0,298.76,275.11,294.83,16.91
2024-05-10,3737973.0,294.83,295.7,302.0,281.0,288.7,-6.13
2024-05-13,4281244.0,288.7,290.88,310.35,289.0,310.35,21.65
2024-05-14,3972599.0,310.35,310.95,322.44,307.0,310.79,0.44
2024-05-15,2733538.0,310.79,311.97,315.0,293.1,299.0,-11.79
2024-05-16,2556408.0,299.0,297.5,298.95,281.05,285.56,-13.44
2024-05-17,1807649.0,285.56,285.0,296.61,280.0,283.98,-1.58
2024-05-20,1579947.0,283.98,286.8,286.8,271.96,284.14,0.16
2024-05-21,1279708.0,284.14,286.0,291.3,275.99,285.95,1.81
2024-05-22,1005978.0,285.95,289.87,292.0,270.6,274.39,-11.56
2024-05-23,1265262.0,274.39,271.0,274.69,263.0,265.4,-8.99
2024-05-24,1397832.0,265.4,264.0,285.31,264.0,285.31,19.91
2024-05-27,1831855.0,285.31,290.0,295.45,283.98,285.57,0.26
2024-05-29,794557.0,285.57,286.5,287.5,275.0,277.5,-8.07
2024-05-30,454732.0,277.5,275.0,282.4,274.0,276.42,-1.08
2024-05-31,1247089.0,276.42,279.87,293.5,277.05,289.45,13.03
2024-06-03,648689.0,289.45,289.0,290.45,280.52,282.64,-6.81
2024-06-04,2287933.0,282.64,282.11,294.98,280.15,283.7,1.06
2024-06-05,906623.0,283.7,282.25,289.21,276.55,278.21,-5.49
2024-06-06,488725.0,278.21,278.89,279.94,261.0,263.59,-14.62
2024-06-07,1712160.0,263.59,265.0,268.4,248.0,265.94,2.35
2024-06-10,408879.0,265.94,267.99,268.95,261.11,263.9,-2.04
2024-06-11,977921.0,263.9,264.1,273.0,252.05,255.95,-7.95
2024-06-12,874529.0,255.95,256.1,267.45,248.51,264.05,8.1
2024-06-13,1554452.0,264.05,265.0,286.49,265.0,286.49,22.44
2024-06-14,1323890.0,286.49,293.99,294.99,275.0,277.54,-8.95
2024-06-20,389763.0,277.54,278.5,286.6,278.0,279.16,1.62
2024-06-21,410749.0,279.16,282.49,282.7,272.0,275.92,-3.24
2024-06-24,470227.0,275.92,276.03,279.11,272.01,275.22,-0.7
2024-06-25,195658.0,275.22,277.9,277.99,272.1,272.65,-2.57
2024-06-26,894604.0,272.65,274.8,285.0,272.0,272.9,0.25
2024-06-27,147233.0,272.9,273.03,275.43,272.5,273.81,0.91
2024-06-28,213420.0,273.81,274.0,277.3,272.0,273.39,-0.42
2024-07-01,83689.0,273.39,274.4,276.39,272.0,272.91,-0.48
2024-07-02,244901.0,272.91,274.0,277.0,271.95,272.55,-0.36
2024-07-03,416938.0,272.55,274.8,277.0,269.0,275.62,3.07
2024-07-04,604987.0,275.62,277.5,282.9,274.5,275.8,0.18
2024-07-05,832027.0,275.8,276.01,285.0,271.0,280.36,4.56
2024-07-08,1083439.0,280.36,284.0,299.89,283.98,296.81,16.45
2024-07-09,2790510.0,296.81,298.11,318.8,292.01,306.15,9.34
2024-07-10,2855155.0,306.15,308.1,321.5,304.0,313.05,6.9
2024-07-11,3436577.0,313.05,312.98,342.79,310.0,342.79,29.74
2024-07-12,4212827.0,342.79,345.99,361.9,320.0,354.23,11.44
2024-07-15,2913438.0,354.23,358.49,381.7,358.49,368.45,14.22
2024-07-18,2358444.0,368.45,369.99,380.99,361.01,364.35,-4.1
