Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-10-17,1515.0,56.0,59.9,59.9,59.89,59.9,3.9
2024-10-18,39.0,59.9,57.0,59.0,57.0,59.9,0.0
2024-10-21,4129.0,59.9,55.05,64.0,55.05,57.43,-2.47
2024-10-22,1695.0,57.43,62.0,62.0,55.51,57.39,-0.04
2024-10-23,1633.0,57.39,58.0,62.0,56.5,60.86,3.47
2024-10-24,1740.0,60.86,58.11,63.99,58.11,58.56,-2.3
2024-10-25,791.0,58.56,60.0,60.49,57.0,58.02,-0.54
2024-10-28,2430.0,58.02,60.0,60.0,56.06,58.0,-0.02
2024-10-29,4192.0,58.0,58.0,59.9,57.0,59.51,1.51
2024-10-30,1665.0,59.51,56.12,57.0,56.0,56.23,-3.28
2024-10-31,1220.0,56.23,56.0,56.98,56.0,56.01,-0.22
2024-11-01,3121.0,56.01,55.0,57.0,52.05,54.93,-1.08
2024-11-04,290.0,54.93,56.49,56.5,55.0,54.93,0.0
2024-11-05,1317.0,54.93,57.0,57.0,56.98,56.98,2.05
2025-10-13,946.0,115.23,117.0,124.8,116.23,119.57,4.34
2025-10-14,2639.0,119.57,125.5,125.5,119.57,119.57,0.0
2025-10-15,846.0,119.57,119.57,124.29,116.0,117.8,-1.77
2025-10-16,81.0,117.8,122.8,122.8,113.5,117.8,0.0
2025-10-17,52.0,117.8,117.8,122.99,115.5,117.8,0.0
2025-10-20,252.0,117.8,115.71,120.0,115.71,119.79,1.99
2025-10-21,20.0,119.79,0.0,0.0,0.0,119.79,0.0
2025-10-22,1015.0,119.79,121.98,121.99,120.0,121.06,1.27
2025-10-23,50.0,121.06,121.0,121.0,117.85,121.06,0.0
2025-10-24,83.0,121.06,0.0,0.0,0.0,121.06,0.0
2025-10-27,731.0,121.06,111.25,120.99,111.25,114.14,-6.92
2025-10-28,26.0,114.14,111.27,119.0,111.27,114.14,0.0
2025-10-29,1301.0,114.14,118.9,123.0,118.9,121.95,7.81
