Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-01-04,2000.0,3.26,3.21,3.25,3.2,3.23,-0.03
2024-01-10,1000.0,3.23,3.53,3.54,3.53,3.54,0.31
2024-01-18,1000.0,3.54,3.15,3.16,3.15,3.16,-0.38
2024-01-22,500.0,3.16,3.2,3.2,3.2,3.2,0.04
2024-01-26,500.0,3.2,3.15,3.15,3.15,3.15,-0.05
2024-01-29,500.0,3.15,3.15,3.15,3.15,3.15,0.0
2024-01-31,2000.0,3.15,3.12,3.12,3.1,3.11,-0.04
2024-02-13,5500.0,3.11,3.1,3.1,3.1,3.1,-0.01
2024-02-21,4000.0,3.1,3.11,3.11,3.11,3.11,0.01
2024-03-01,500.0,3.11,3.1,3.1,3.1,3.1,-0.01
2024-03-04,5000.0,3.1,3.11,3.11,3.1,3.1,0.0
2024-03-08,8000.0,3.1,3.5,3.84,3.5,3.73,0.63
2024-03-11,3000.0,3.73,3.16,3.6,3.15,3.6,-0.13
2024-03-14,1500.0,3.6,3.2,3.2,3.17,3.17,-0.43
2024-03-21,1000.0,3.17,3.3,3.3,3.3,3.3,0.13
2024-04-03,500.0,3.3,3.1,3.1,3.1,3.1,-0.2
2024-04-18,1500.0,3.1,3.21,3.21,3.21,3.21,0.11
2024-04-29,500.0,3.21,3.14,3.14,3.14,3.14,-0.07
2024-05-08,11500.0,3.14,3.11,3.4,3.1,3.4,0.26
2024-05-14,5500.0,3.4,3.16,3.16,3.0,3.01,-0.39
2024-05-17,17000.0,3.01,3.1,3.35,3.1,3.32,0.31
2024-05-20,1000.0,3.32,3.35,3.35,3.35,3.35,0.03
2024-05-21,11000.0,3.35,3.25,3.25,3.25,3.25,-0.1
2024-05-22,5000.0,3.25,3.25,3.25,3.25,3.25,0.0
2024-05-24,3500.0,3.25,3.34,3.35,3.34,3.35,0.1
2024-05-27,129140.0,3.35,3.4,4.35,3.4,4.35,1.0
2024-05-29,110710.0,4.35,4.54,5.35,4.54,5.35,1.0
2024-05-30,318320.0,5.35,6.33,6.33,4.35,4.45,-0.9
2024-05-31,55136.0,4.45,4.3,4.74,4.0,4.39,-0.06
2024-06-03,40001.0,4.39,4.11,4.2,3.9,4.15,-0.24
2024-06-04,23276.0,4.15,4.0,4.0,3.8,4.0,-0.15
2024-06-05,2442.0,4.0,3.85,4.05,3.6,3.94,-0.06
2024-06-06,1.0,3.94,4.15,4.15,4.15,3.94,0.0
2024-06-07,5901.0,3.94,4.0,4.0,3.32,3.84,-0.1
2024-06-10,10906.0,3.84,3.85,3.85,3.8,3.8,-0.04
2024-06-11,401.0,3.8,3.66,3.99,3.66,3.8,0.0
2024-06-12,50.0,3.8,3.8,3.99,3.8,3.8,0.0
2024-06-13,3051.0,3.8,3.99,4.09,3.8,4.09,0.29
2024-06-14,251.0,4.09,3.9,3.9,3.75,4.09,0.0
2024-06-20,9.0,4.09,3.9,3.9,3.9,4.09,0.0
2024-06-24,608.0,4.09,3.75,3.8,3.6,3.67,-0.42
2024-06-25,3766.0,3.67,3.7,3.7,3.6,3.6,-0.07
2024-06-26,6953.0,3.6,3.95,3.95,3.35,3.36,-0.24
2024-06-27,1410.0,3.36,3.9,3.94,3.72,3.92,0.56
2024-07-01,102.0,3.92,3.65,3.86,3.65,3.92,0.0
2024-07-03,426.0,3.92,3.9,3.9,3.73,3.92,0.0
2024-07-04,59284.0,3.92,3.76,4.92,3.75,4.83,0.91
2024-07-05,89426.0,4.83,4.83,5.28,4.2,5.0,0.17
2024-07-08,216911.0,5.0,4.98,6.0,4.91,6.0,1.0
2024-07-09,73570.0,6.0,6.0,6.7,6.0,6.02,0.02
2024-07-10,190.0,6.02,5.7,5.7,5.51,6.02,0.0
2024-07-11,6911.0,6.02,6.25,6.4,5.99,6.39,0.37
2024-07-12,70.0,6.39,6.1,6.1,5.77,6.39,0.0
