Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-05-30,998.0,1.08,2.08,2.08,2.08,2.08,1.0
2024-06-03,219558.0,3.08,3.99,4.08,3.06,3.45,0.37
2024-06-04,91303.0,3.45,3.2,3.6,2.96,3.08,-0.37
2024-06-05,40630.0,3.08,3.14,3.14,2.8,2.85,-0.23
2024-06-06,40072.0,2.85,3.2,3.45,3.0,3.0,0.15
2024-06-07,89341.0,3.0,3.2,3.64,2.21,3.36,0.36
2024-06-10,35033.0,3.36,3.5,3.5,2.69,2.7,-0.66
2024-06-11,23613.0,2.7,3.0,3.18,2.7,2.73,0.03
2024-06-12,2056.0,2.73,2.95,2.95,2.61,2.61,-0.12
2024-06-13,23111.0,2.61,2.89,2.89,2.33,2.5,-0.11
2024-06-14,11646.0,2.5,2.26,2.75,2.26,2.38,-0.12
2024-06-20,74507.0,2.38,2.73,2.9,2.5,2.67,0.29
2024-06-21,171548.0,2.67,2.67,2.68,2.27,2.3,-0.37
2024-06-24,33257.0,2.3,2.5,3.0,2.25,2.88,0.58
2024-06-25,27420.0,2.88,2.51,2.84,2.51,2.7,-0.18
2024-06-26,30699.0,2.7,2.61,3.15,2.61,2.7,0.0
2024-06-27,11808.0,2.7,3.09,3.09,2.65,2.74,0.04
2024-06-28,14200.0,2.74,2.7,3.07,2.7,2.77,0.03
2024-07-01,3.0,2.77,2.8,2.9,2.8,2.77,0.0
2024-07-02,18765.0,2.77,2.77,2.89,2.55,2.84,0.07
2024-07-03,203086.0,2.84,3.08,3.75,2.86,3.68,0.84
2024-07-04,70194.0,3.68,3.4,3.94,3.4,3.65,-0.03
2024-07-05,52926.0,3.65,3.99,3.99,3.22,3.45,-0.2
2024-07-08,3769.0,3.45,3.8,3.9,3.0,3.51,0.06
2024-07-09,18331.0,3.51,3.75,3.75,3.2,3.32,-0.19
2024-07-10,3015.0,3.32,3.35,3.7,3.35,3.36,0.04
2024-07-11,3968.0,3.36,3.3,3.68,3.01,3.5,0.14
2024-07-12,45572.0,3.5,3.1,3.74,3.0,3.05,-0.45
2024-07-15,15538.0,3.05,3.06,3.4,2.75,3.06,0.01
2024-07-18,9622.0,3.06,2.99,3.6,2.75,3.2,0.14
2024-07-19,83797.0,3.2,3.44,3.44,3.01,3.3,0.1
2024-07-22,30754.0,3.3,3.1,3.7,3.1,3.66,0.36
2024-07-23,74007.0,3.66,3.78,3.93,3.35,3.63,-0.03
2024-07-24,687963.0,3.63,3.8,4.63,3.75,4.63,1.0
2024-07-25,1012157.0,4.63,5.15,5.2,3.71,4.04,-0.59
2024-07-26,227675.0,4.04,4.5,4.88,4.32,4.7,0.66
2024-07-29,292394.0,4.7,4.3,5.6,4.3,5.26,0.56
2024-07-30,430937.0,5.26,5.65,6.26,5.65,6.26,1.0
2024-07-31,269018.0,6.26,7.0,7.26,6.0,6.23,-0.03
2024-08-01,108944.0,6.23,6.57,6.57,5.67,5.8,-0.43
2024-08-02,93632.0,5.8,6.13,6.5,5.22,5.78,-0.02
2024-08-05,53434.0,5.78,5.78,6.19,5.76,6.01,0.23
2024-08-06,80517.0,6.01,5.51,6.0,5.17,5.59,-0.42
2024-08-07,180842.0,5.59,6.2,6.59,5.67,6.59,1.0
2024-08-08,266170.0,6.59,7.45,7.59,6.0,6.58,-0.01
2024-08-09,209785.0,6.58,6.9,6.9,5.71,5.87,-0.71
2024-08-12,109713.0,5.87,5.98,5.98,5.1,5.21,-0.66
2024-08-13,278628.0,5.21,5.38,5.38,4.45,4.85,-0.36
2024-08-15,77959.0,4.85,4.99,5.45,4.85,5.11,0.26
2024-08-16,62997.0,5.11,4.6,5.3,4.6,5.19,0.08
2024-08-19,39470.0,5.19,5.0,5.5,4.44,4.8,-0.39
2024-08-20,13751.0,4.8,5.0,5.13,4.56,4.92,0.12
2024-08-21,17735.0,4.92,5.17,5.17,4.84,4.86,-0.06
2024-08-22,133770.0,4.86,5.14,5.59,4.7,5.39,0.53
2024-08-23,64477.0,5.39,5.57,5.59,5.03,5.04,-0.35
2024-08-26,9793.0,5.04,4.98,4.98,4.65,4.9,-0.14
2024-08-27,33815.0,4.9,5.23,5.23,4.5,4.63,-0.27
2024-08-28,24249.0,4.63,4.98,4.98,4.56,4.62,-0.01
2024-08-29,51105.0,4.62,4.56,5.02,4.56,4.97,0.35
2024-08-30,50817.0,4.97,5.02,5.19,4.91,5.08,0.11
2024-09-02,20561.0,5.08,5.0,5.04,4.7,4.7,-0.38
2024-09-03,311023.0,4.7,4.97,5.69,4.6,5.59,0.89
2024-09-04,357409.0,5.59,4.71,6.14,4.68,5.0,-0.59
2024-09-05,19482.0,5.0,5.44,5.44,4.8,4.9,-0.1
2024-09-06,61814.0,4.9,5.2,5.9,4.84,5.61,0.71
2024-09-09,40501.0,5.61,5.87,5.87,5.0,5.07,-0.54
2024-09-10,31088.0,5.07,4.99,4.99,4.7,4.75,-0.32
2024-09-11,6884.0,4.75,5.0,5.0,4.7,4.74,-0.01
2024-09-12,15380.0,4.74,5.15,5.15,4.63,4.65,-0.09
2024-09-13,45106.0,4.65,4.98,5.03,4.35,4.72,0.07
2024-09-16,35230.0,4.72,4.87,4.88,4.6,4.67,-0.05
2024-09-18,261171.0,4.67,4.95,5.67,4.95,5.67,1.0
2024-09-19,256909.0,5.67,6.63,6.67,6.0,6.67,1.0
2024-09-20,287293.0,6.67,6.67,7.29,5.67,5.74,-0.93
2024-09-23,297903.0,5.74,5.3,5.63,4.74,4.81,-0.93
2024-09-24,30633.0,4.81,5.15,5.15,4.28,4.66,-0.15
2024-09-25,61226.0,4.66,4.93,5.15,4.55,4.9,0.24
2024-09-26,12254.0,4.9,5.39,5.39,4.71,4.71,-0.19
2024-09-27,10302.0,4.71,4.6,4.75,4.2,4.22,-0.49
2024-09-30,30065.0,4.22,4.8,4.8,4.32,4.49,0.27
2024-10-01,20184.0,4.49,5.0,5.0,3.9,3.9,-0.59
2024-10-02,68439.0,3.9,4.75,4.9,4.43,4.9,1.0
2024-10-03,144955.0,4.9,5.0,5.79,4.8,4.88,-0.02
2024-10-04,34821.0,4.88,5.0,5.4,4.65,5.09,0.21
2024-10-07,73129.0,5.09,5.45,5.45,4.32,5.0,-0.09
2024-10-08,976.0,5.0,5.43,5.43,4.55,4.71,-0.29
2024-10-09,37284.0,4.71,5.25,5.46,4.51,5.16,0.45
2024-10-10,22868.0,5.16,5.4,5.4,4.57,4.74,-0.42
2024-10-11,2196.0,4.74,4.51,5.07,4.51,4.7,-0.04
2024-10-14,15661.0,4.7,5.14,5.14,4.41,4.7,0.0
2024-10-15,18302.0,4.7,5.0,5.0,4.44,4.57,-0.13
2024-10-16,21624.0,4.57,5.35,5.35,4.5,4.52,-0.05
2024-10-17,7665.0,4.52,4.77,4.77,4.3,4.52,0.0
2024-10-18,10406.0,4.52,4.98,4.98,4.27,4.35,-0.17
2024-10-21,1064.0,4.35,5.25,5.25,4.41,4.45,0.1
2024-10-22,7959.0,4.45,5.05,5.05,4.32,4.51,0.06
2024-10-23,229.0,4.51,4.94,4.94,4.33,4.51,0.0
2024-10-24,14207.0,4.51,4.79,4.79,4.51,4.56,0.05
2024-10-25,38334.0,4.56,4.8,4.8,4.3,4.57,0.01
2024-10-28,17195.0,4.57,4.55,4.7,4.4,4.45,-0.12
2024-10-29,20276.0,4.45,4.5,4.5,4.0,4.02,-0.43
2024-10-30,4928.0,4.02,3.77,4.38,3.75,4.12,0.1
2024-10-31,37549.0,4.12,4.79,4.79,3.85,4.0,-0.12
2024-11-01,8640.0,4.0,4.84,4.84,4.07,4.12,0.12
2024-11-04,17843.0,4.12,4.12,4.5,3.82,4.4,0.28
2024-11-05,334.0,4.4,4.0,4.4,4.0,4.4,0.0
2024-11-06,18768.0,4.4,4.93,4.93,4.09,4.51,0.11
2024-11-07,23672.0,4.51,4.67,4.67,4.0,4.5,-0.01
2024-11-08,79.0,4.5,4.55,5.3,4.48,4.5,0.0
2024-11-11,5064.0,4.5,4.9,4.9,4.41,4.42,-0.08
