Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-05-30,17260.0,1.4,2.4,2.4,2.4,2.4,1.0
2024-06-03,86956.0,3.4,4.25,4.4,3.5,3.9,0.5
2024-06-04,39723.0,3.9,3.61,3.61,3.0,3.01,-0.89
2024-06-05,12173.0,3.01,2.85,3.15,2.8,3.13,0.12
2024-06-06,47397.0,3.13,3.23,3.8,3.01,3.5,0.37
2024-06-07,5953.0,3.5,3.25,3.58,3.15,3.28,-0.22
2024-06-10,13767.0,3.28,3.59,3.59,2.56,2.7,-0.58
2024-06-11,430520.0,2.7,2.99,2.99,2.1,2.11,-0.59
2024-06-12,12883.0,2.11,2.39,2.39,1.72,2.24,0.13
2024-06-13,10743.0,2.24,2.4,2.4,2.03,2.11,-0.13
2024-06-14,14951.0,2.11,2.05,2.3,2.05,2.2,0.09
2024-06-20,142288.0,2.2,2.35,2.95,2.21,2.75,0.55
2024-06-21,23432.0,2.75,2.75,2.75,2.3,2.51,-0.24
2024-06-24,35714.0,2.51,2.31,3.0,2.3,2.98,0.47
2024-06-25,23251.0,2.98,2.6,2.9,2.6,2.7,-0.28
2024-06-26,11819.0,2.7,2.32,3.0,2.32,2.61,-0.09
2024-06-27,40502.0,2.61,2.9,3.0,2.5,2.99,0.38
2024-06-28,6351.0,2.99,3.11,3.11,2.75,2.75,-0.24
2024-07-01,27501.0,2.75,2.95,2.95,2.63,2.66,-0.09
2024-07-02,2226.0,2.66,2.66,2.66,2.66,2.66,0.0
2024-07-03,103758.0,2.66,2.8,3.66,2.75,3.66,1.0
2024-07-04,66833.0,3.66,3.3,4.6,3.3,4.12,0.46
2024-07-05,67726.0,4.12,4.38,4.4,3.26,3.7,-0.42
2024-07-08,24208.0,3.7,3.98,4.35,3.73,4.18,0.48
2024-07-09,90586.0,4.18,3.85,4.95,3.85,4.62,0.44
2024-07-10,3273.0,4.62,4.01,4.48,4.01,4.45,-0.17
2024-07-11,2871.0,4.45,4.78,4.78,4.01,4.25,-0.2
2024-07-12,3199.0,4.25,4.97,4.97,3.9,4.35,0.1
2024-07-15,53883.0,4.35,3.9,5.3,3.9,5.2,0.85
2024-07-18,9598.0,5.2,5.0,5.0,4.3,4.42,-0.78
2024-07-19,1901.0,4.42,5.38,5.38,4.0,4.3,-0.12
2024-07-22,94062.0,4.3,4.94,5.3,4.2,5.3,1.0
2024-07-23,81360.0,5.3,5.36,6.3,4.8,6.3,1.0
2024-07-24,57362.0,6.3,6.0,7.3,5.9,7.3,1.0
2024-07-25,183109.0,7.3,8.3,8.3,8.25,8.3,1.0
2024-07-26,73052.0,8.3,9.3,9.3,9.3,9.3,1.0
2024-07-29,42146.0,9.3,10.3,10.3,10.3,10.3,1.0
2024-07-30,37754.0,10.3,11.33,11.33,11.33,11.33,1.03
2024-07-31,11321.0,11.33,12.46,12.46,12.46,12.46,1.13
2024-08-01,33800.0,12.46,13.71,13.71,13.71,13.71,1.25
2024-08-02,41400.0,13.71,15.08,15.08,15.08,15.08,1.37
2024-08-05,18008.0,15.08,16.59,16.59,16.59,16.59,1.51
2024-08-06,21301.0,16.59,18.25,18.25,18.25,18.25,1.66
2024-08-07,15526.0,18.25,20.08,20.08,20.08,20.08,1.83
2024-08-08,448852.0,20.08,22.09,22.09,18.07,20.29,0.21
2024-08-09,57375.0,20.29,22.2,22.2,19.02,20.41,0.12
2024-08-12,43212.0,20.41,21.49,21.49,18.37,18.37,-2.04
2024-08-13,99128.0,18.37,16.53,17.0,16.53,16.63,-1.74
2024-08-15,185192.0,16.63,17.9,18.29,15.4,17.89,1.26
2024-08-16,72438.0,17.89,17.51,19.68,17.5,19.16,1.27
2024-08-19,183215.0,19.16,20.45,20.5,17.24,18.79,-0.37
2024-08-20,25599.0,18.79,18.54,19.49,17.81,17.81,-0.98
2024-08-21,4026.0,17.81,17.9,17.9,16.26,16.67,-1.14
2024-08-22,65523.0,16.67,17.7,18.34,15.65,18.34,1.67
2024-08-23,38800.0,18.34,19.5,20.17,18.1,19.37,1.03
2024-08-26,7728.0,19.37,19.79,19.79,17.83,17.93,-1.44
2024-08-27,31170.0,17.93,18.98,18.98,16.25,16.99,-0.94
2024-08-28,99739.0,16.99,16.99,18.25,15.29,17.64,0.65
2024-08-29,96033.0,17.64,16.55,19.4,16.55,19.32,1.68
2024-08-30,114215.0,19.32,20.0,21.0,18.1,20.27,0.95
2024-09-02,56038.0,20.27,18.5,19.83,18.24,18.24,-2.03
2024-09-03,62885.0,18.24,16.45,18.93,16.42,17.36,-0.88
2024-09-04,65987.0,17.36,16.0,18.49,15.62,16.35,-1.01
2024-09-05,3008.0,16.35,16.35,17.39,15.81,15.83,-0.52
2024-09-06,67534.0,15.83,16.0,16.84,14.35,15.34,-0.49
2024-09-09,73715.0,15.34,14.05,15.5,13.81,13.81,-1.53
2024-09-10,10630.0,13.81,13.06,13.49,12.52,12.63,-1.18
2024-09-11,52129.0,12.63,13.0,13.35,12.2,12.9,0.27
2024-09-12,16650.0,12.9,12.02,13.5,12.02,12.8,-0.1
2024-09-13,24915.0,12.8,13.3,14.08,12.76,13.98,1.18
2024-09-16,8747.0,13.98,12.78,13.2,12.65,12.65,-1.33
2024-09-18,12558.0,12.65,13.89,13.89,12.3,13.05,0.4
2024-09-19,49395.0,13.05,14.19,14.36,12.51,14.36,1.31
2024-09-20,94399.0,14.36,14.62,15.8,14.62,15.31,0.95
2024-09-23,7.0,15.31,16.49,16.49,14.16,15.31,0.0
2024-09-24,12264.0,15.31,14.5,15.99,13.78,13.78,-1.53
2024-09-25,5830.0,13.78,15.1,15.1,12.7,13.34,-0.44
2024-09-26,3829.0,13.34,13.0,14.06,12.91,13.0,-0.34
2024-09-27,561.0,13.0,13.0,14.0,11.88,13.08,0.08
2024-09-30,10561.0,13.08,14.22,14.22,12.51,13.08,0.0
2024-10-01,917.0,13.08,13.99,13.99,12.25,12.25,-0.83
2024-10-02,43536.0,12.25,12.5,12.59,11.5,11.7,-0.55
2024-10-03,1055.0,11.7,12.82,12.82,11.65,12.45,0.75
2024-10-04,4149.0,12.45,13.33,13.63,11.5,13.37,0.92
2024-10-07,36318.0,13.37,13.69,13.69,12.03,12.03,-1.34
2024-10-08,1352.0,12.03,12.98,12.98,11.15,11.48,-0.55
2024-10-09,99883.0,11.48,12.24,12.59,11.01,12.35,0.87
2024-10-10,83277.0,12.35,13.45,13.45,11.75,12.82,0.47
2024-10-11,502.0,12.82,12.05,12.94,12.05,12.05,-0.77
2024-10-14,11401.0,12.05,11.35,12.4,10.9,12.15,0.1
2024-10-15,3141.0,12.15,11.97,11.97,11.15,11.6,-0.55
2024-10-16,12476.0,11.6,11.99,11.99,10.46,10.59,-1.01
2024-10-17,10250.0,10.59,10.16,10.9,10.0,10.01,-0.58
2024-10-18,11.0,10.01,10.88,10.88,9.35,10.01,0.0
2024-10-21,4341.0,10.01,10.1,10.85,10.09,10.59,0.58
2024-10-22,10212.0,10.59,11.39,11.58,10.25,11.54,0.95
2024-10-23,5955.0,11.54,10.45,12.39,10.45,12.18,0.64
2024-10-24,30167.0,12.18,12.18,12.4,10.96,11.0,-1.18
2024-10-25,202.0,11.0,11.89,11.89,10.13,11.0,0.0
2024-10-28,22685.0,11.0,11.85,11.85,9.9,9.9,-1.1
2024-10-29,50000.0,9.9,9.11,9.47,8.9,8.9,1.0
2024-10-30,12101.0,8.9,8.1,9.1,8.1,9.09,0.19
2024-10-31,7322.0,9.09,9.09,9.84,8.56,9.03,-0.06
2024-11-01,2002.0,9.03,8.12,9.1,8.12,8.12,-0.91
2024-11-04,2944.0,8.12,8.13,8.5,8.01,8.03,-0.09
2024-11-05,1502.0,8.03,8.03,8.85,8.03,8.74,0.71
2024-11-06,6730.0,8.74,8.75,8.75,8.01,8.01,-0.73
2024-11-07,15942.0,8.01,8.75,8.88,8.6,8.77,0.76
