Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-01-01,200.0,168.0,180.6,180.6,180.6,180.6,12.6
2024-01-02,100.0,180.6,194.15,194.15,194.15,181.08,0.48
2024-01-03,200.0,181.08,167.5,167.5,167.5,167.5,-13.58
2024-03-22,100.0,167.5,167.5,167.5,167.5,167.5,0.0
2024-04-30,1.0,167.5,180.0,180.0,180.0,167.5,0.0
2024-05-16,2.0,167.5,179.0,179.0,179.0,167.5,0.0
2024-05-23,2.0,167.5,179.0,179.0,179.0,167.5,0.0
2024-06-04,94.0,167.5,0.0,0.0,0.0,167.5,0.0
2024-06-05,692.0,167.5,179.0,180.9,179.0,179.92,12.42
2024-06-06,212.0,179.92,179.0,194.0,179.0,187.21,7.29
2024-06-07,1.0,187.21,200.0,200.0,200.0,187.21,0.0
2024-06-14,300.0,187.21,187.0,203.12,187.0,195.06,7.85
2024-06-20,1300.0,195.06,211.64,211.64,211.64,211.64,16.58
2024-06-21,5.0,211.64,200.0,200.0,200.0,211.64,0.0
2024-06-28,2.0,211.64,230.69,230.69,210.0,211.64,0.0
2024-08-06,100.0,211.64,190.48,190.48,190.48,211.64,0.0
2024-08-22,1.0,211.64,191.8,191.8,191.8,211.64,0.0
2024-08-28,30.0,211.64,195.0,197.99,195.0,211.64,0.0
2024-08-30,20.0,211.64,195.0,196.0,195.0,211.64,0.0
2024-09-02,20.0,211.64,198.0,199.0,198.0,211.64,0.0
2024-09-06,2.0,211.64,210.99,210.99,210.99,211.64,0.0
2024-09-09,10.0,211.64,210.0,210.0,210.0,211.64,0.0
2024-09-12,10.0,211.64,220.0,220.0,220.0,211.64,0.0
2024-09-18,44.0,211.64,225.0,232.8,225.0,211.64,0.0
2024-09-20,310.0,211.64,232.8,232.8,232.8,232.8,21.16
2024-09-23,874.0,232.8,256.08,256.08,214.0,231.35,-1.45
2024-09-24,10.0,231.35,237.86,237.86,237.86,231.35,0.0
2024-09-25,5.0,231.35,237.86,237.86,237.86,231.35,0.0
2024-09-26,24.0,231.35,220.0,220.0,220.0,231.35,0.0
2024-09-27,188.0,231.35,210.11,249.0,208.22,212.06,-19.29
2024-10-01,103.0,212.06,227.86,227.86,227.8,224.53,12.47
2024-10-02,36.0,224.53,238.0,238.0,235.0,224.53,0.0
2024-10-04,28.0,224.53,240.0,240.0,212.0,224.53,0.0
2024-10-07,1.0,224.53,229.99,229.99,229.99,224.53,0.0
2024-10-08,157.0,224.53,224.0,224.0,220.0,223.76,-0.77
2024-10-09,5.0,223.76,210.51,223.0,210.51,223.76,0.0
2024-10-10,19.0,223.76,223.0,223.0,220.0,223.76,0.0
2024-10-14,3.0,223.76,201.38,201.38,201.38,223.76,0.0
2024-10-15,10.0,221.26,200.0,200.0,200.0,221.26,0.0
2024-10-16,11.0,221.26,199.13,199.2,199.13,221.26,0.0
2024-10-17,1.0,221.26,233.0,233.0,233.0,221.26,0.0
2024-10-18,1.0,221.26,200.0,200.0,200.0,221.26,0.0
2024-10-21,155.0,221.26,242.99,242.99,200.0,235.52,14.26
2024-10-23,14.0,235.52,211.97,215.0,211.97,235.52,0.0
2024-10-24,10.0,235.52,245.0,245.0,245.0,235.52,0.0
2024-10-29,560.0,235.52,250.0,250.0,249.0,249.0,13.48
2024-10-30,7.0,249.0,224.1,249.0,224.1,249.0,0.0
2024-10-31,36.0,249.0,230.0,249.0,230.0,249.0,0.0
2024-11-04,125.0,249.0,230.0,249.0,225.0,235.13,-13.87
2024-11-05,1.0,235.13,230.0,230.0,230.0,235.13,0.0
2024-11-06,72.0,235.13,248.0,248.0,211.62,235.13,0.0
2024-11-12,3.0,235.13,211.63,248.0,211.63,235.13,0.0
2024-11-13,8.0,235.13,211.62,211.62,211.62,235.13,0.0
2024-11-14,17.0,235.13,211.62,220.0,211.62,235.13,0.0
2024-11-15,4.0,235.13,215.0,215.0,215.0,235.13,0.0
2024-11-19,2.0,235.13,239.7,239.7,239.7,235.13,0.0
2024-11-20,41.0,235.13,215.0,230.0,211.62,235.13,0.0
2024-11-21,617.0,235.13,211.62,225.0,211.62,214.4,-20.73
2024-11-22,302.0,214.4,233.98,233.99,233.97,214.4,0.0
2024-11-26,25.0,214.4,234.99,234.99,234.99,214.4,0.0
2024-11-28,1632.0,214.4,220.0,235.84,220.0,235.83,21.43
2024-11-29,1327.0,235.83,239.0,259.41,239.0,258.01,22.18
2024-12-02,1224.0,258.01,275.0,283.81,270.0,283.81,25.8
2024-12-03,12191.0,283.81,312.19,312.19,255.43,262.5,-21.31
2024-12-04,85.0,262.5,262.5,267.86,256.0,262.5,0.0
2024-12-05,979.0,262.5,262.5,270.0,236.25,238.23,-24.27
2024-12-06,253.0,238.23,250.0,250.0,238.0,238.0,-0.23
2024-12-09,107.0,238.0,238.39,245.0,225.0,238.0,0.0
2024-12-11,60.0,238.0,240.0,240.0,240.0,238.0,0.0
