Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-01-01,26200.0,169.01,171.21,180.0,171.2,179.73,10.72
2024-01-02,3600.0,179.73,180.0,180.0,179.0,179.0,-0.73
2024-01-03,203800.0,179.0,179.98,192.43,179.98,192.4,13.4
2024-01-04,91000.0,192.4,195.0,197.99,189.06,194.08,1.68
2024-01-05,70000.0,194.08,192.9,196.5,185.0,191.26,-2.82
2024-01-08,6600.0,191.26,191.0,191.0,183.16,190.44,-0.82
2024-01-09,69300.0,190.44,192.0,197.9,187.0,191.34,0.9
2024-01-10,32500.0,191.34,190.0,195.85,190.0,195.43,4.09
2024-01-11,25900.0,195.43,194.95,197.95,192.01,195.59,0.16
2024-01-12,345800.0,195.59,197.0,205.95,196.0,205.5,9.91
2024-01-15,125700.0,205.5,206.5,210.0,202.0,208.2,2.7
2024-01-16,38800.0,208.2,204.99,206.95,200.0,205.54,-2.66
2024-01-17,36200.0,205.54,205.5,205.5,199.99,200.79,-4.75
2024-01-18,101800.0,200.79,200.0,207.9,198.0,206.53,5.74
2024-01-19,344600.0,206.53,203.0,222.02,203.0,212.51,5.98
2024-01-22,5000.0,212.51,207.0,210.9,205.0,210.75,-1.76
2024-01-23,3000.0,210.75,210.0,213.0,202.01,211.77,1.02
2024-01-24,900.0,211.77,206.0,209.98,206.0,209.49,-2.28
2024-01-25,2500.0,209.49,217.98,217.98,209.0,210.0,0.51
2024-01-26,3400.0,210.0,211.0,211.0,205.0,206.75,-3.25
2024-01-29,5100.0,206.75,206.0,206.0,197.1,199.0,-7.75
2024-01-30,32300.0,199.0,198.0,200.0,198.0,199.0,0.0
2024-01-31,1000.0,199.0,195.2,195.2,195.0,195.0,4.0
2024-02-01,8200.0,195.0,195.0,197.0,191.0,194.67,-0.33
2024-02-02,30900.0,194.67,195.2,205.0,195.2,196.48,1.81
2024-02-06,39200.0,196.48,200.0,200.0,194.0,197.66,1.18
2024-02-07,148300.0,197.66,205.0,212.48,204.99,207.51,9.85
2024-02-09,13600.0,207.51,195.0,205.0,194.11,198.8,-8.71
2024-02-12,1400.0,198.8,194.0,194.0,193.1,194.0,-4.8
2024-02-13,13600.0,194.0,195.0,202.5,189.0,199.69,5.69
2024-02-14,5000.0,199.69,200.0,200.0,199.5,199.99,0.3
2024-02-15,7600.0,199.99,200.0,203.99,198.0,200.0,0.01
2024-02-16,29900.0,200.0,199.98,199.98,185.0,188.46,-11.54
2024-02-19,1300.0,188.46,188.75,191.0,188.75,190.0,1.54
2024-02-20,29500.0,190.0,204.25,204.25,204.25,204.25,14.25
2024-02-21,261900.0,204.25,219.57,219.57,212.0,219.57,15.32
2024-02-22,201700.0,219.57,222.0,222.0,208.56,209.46,-10.11
2024-02-23,13100.0,209.46,208.0,213.5,208.0,212.14,2.68
2024-02-26,29100.0,212.14,210.0,216.0,205.0,214.0,1.86
2024-02-27,600.0,214.0,205.1,213.9,205.1,213.9,-0.1
2024-02-28,3000.0,213.9,225.0,225.0,210.0,213.83,-0.07
2024-02-29,700.0,213.83,210.0,213.99,207.0,213.25,-0.58
2024-03-01,2000.0,213.25,205.01,210.0,204.0,208.5,-4.75
2024-03-04,4900.0,208.5,205.0,205.0,201.5,202.94,-5.56
2024-03-05,35100.0,202.94,212.9,212.9,200.0,200.07,-2.87
2024-03-06,9900.0,200.07,200.0,201.0,198.5,198.75,-1.32
2024-03-07,6300.0,198.75,195.01,200.0,193.0,194.22,-4.53
2024-03-08,4100.0,194.22,194.0,195.0,193.01,194.34,0.12
2024-03-11,27500.0,194.34,191.5,200.0,191.5,195.93,1.59
2024-03-13,14400.0,195.93,195.0,198.0,192.0,196.89,0.96
2024-03-14,10900.0,196.89,197.89,197.89,190.0,193.33,-3.56
2024-03-15,1700.0,193.33,191.0,191.61,191.0,191.53,-1.8
2024-03-18,3500.0,191.53,189.0,190.5,189.0,189.01,-2.52
2024-03-19,12500.0,189.01,194.99,194.99,186.0,187.84,-1.17
2024-03-20,17900.0,187.84,192.0,192.0,187.0,188.0,0.16
2024-03-21,2600.0,188.0,190.0,190.0,185.0,185.9,-2.1
2024-03-22,1500.0,185.9,185.0,185.03,184.5,184.51,-1.39
2024-03-25,1200.0,184.51,182.0,183.0,182.0,182.02,-2.49
2024-03-26,3500.0,182.02,182.5,185.5,181.4,181.4,-0.62
2024-03-27,4600.0,181.4,180.0,184.0,180.0,184.0,2.6
2024-03-28,44500.0,184.0,190.0,191.0,182.5,189.8,5.8
2024-03-29,26600.0,189.8,190.0,199.0,190.0,195.01,5.21
2024-04-01,3700.0,195.01,198.0,198.0,190.56,190.82,-4.19
2024-04-02,6000.0,190.82,190.01,194.0,190.0,191.26,0.44
2024-04-03,20700.0,191.26,186.1,188.0,183.22,185.65,-5.61
2024-04-04,72700.0,185.65,199.57,199.57,199.0,199.57,13.92
2024-04-08,431500.0,199.57,208.0,214.54,204.0,213.28,13.71
2024-04-09,114300.0,213.28,210.0,216.0,208.9,215.46,2.18
2024-04-15,29400.0,215.46,206.01,218.0,206.01,215.0,-0.46
2024-04-16,91700.0,215.0,216.0,224.84,214.99,223.67,8.67
2024-04-17,168700.0,223.67,221.0,234.99,221.0,230.41,6.74
2024-04-18,29700.0,230.41,230.0,233.97,213.14,229.77,-0.64
2024-04-19,136200.0,229.77,229.0,239.8,229.0,238.66,8.89
2024-04-22,189344.0,238.66,245.0,247.0,242.0,245.0,6.34
2024-04-23,24981.0,245.0,244.0,245.0,238.0,238.78,-6.22
2024-04-24,15930.0,238.78,238.78,238.99,231.3,237.0,-1.78
2024-04-25,212801.0,237.0,239.99,251.99,239.0,248.87,11.87
2024-04-26,122691.0,248.87,241.15,259.0,241.15,252.03,3.16
2024-04-29,106635.0,252.03,255.01,264.99,251.0,254.5,2.47
2024-04-30,40432.0,254.5,255.0,267.99,239.99,241.84,-12.66
2024-05-02,37301.0,241.84,245.0,250.0,235.0,240.62,-1.22
2024-05-03,14914.0,240.62,248.0,249.0,235.6,237.97,-2.65
2024-05-06,166333.0,237.97,236.0,253.9,236.0,252.05,14.08
2024-05-07,135660.0,252.05,250.0,268.48,250.0,260.12,8.07
2024-05-08,81899.0,260.12,268.0,269.99,261.0,266.65,6.53
2024-05-09,256873.0,266.65,268.0,285.0,263.5,283.5,16.85
2024-05-10,46840.0,283.5,284.0,285.0,272.09,278.55,-4.95
2024-05-13,19371.0,278.55,278.57,280.0,272.0,275.36,-3.19
2024-05-14,29859.0,275.36,276.0,276.0,265.0,272.0,-3.36
2024-05-15,37478.0,272.0,274.0,276.0,263.25,264.97,-7.03
2024-05-16,9291.0,264.97,264.0,265.0,258.0,259.51,-5.46
2024-05-17,9375.0,259.51,252.0,266.0,252.0,264.86,5.35
2024-05-20,7008.0,264.86,267.0,269.0,259.0,260.0,-4.86
2024-05-21,42833.0,260.0,260.0,269.0,260.0,267.15,7.15
2024-05-22,20203.0,267.15,268.0,271.0,265.0,265.0,-2.15
2024-05-23,28391.0,265.0,265.0,269.89,260.03,264.98,-0.02
2024-05-24,18843.0,264.98,269.89,269.89,260.0,260.38,-4.6
2024-05-27,7020.0,260.38,256.1,261.9,256.1,256.31,-4.07
2024-05-29,25826.0,256.31,250.15,259.89,250.15,252.08,-4.23
2024-05-30,19340.0,252.08,250.5,252.0,246.0,247.85,-4.23
2024-05-31,13051.0,247.85,243.5,259.0,242.0,253.06,5.21
2024-06-03,8331.0,253.06,255.0,255.01,250.02,251.0,-2.06
2024-06-04,27379.0,251.0,252.0,255.0,252.0,254.56,3.56
2024-06-05,39510.0,254.56,257.0,260.0,253.0,255.95,1.39
2024-06-06,23017.0,255.95,264.99,264.99,251.05,256.05,0.1
2024-06-07,191374.0,256.05,256.0,276.44,249.99,274.67,18.62
2024-06-10,47037.0,274.67,270.01,289.9,270.0,278.83,4.16
2024-06-11,23270.0,278.83,284.0,284.0,268.0,272.18,-6.65
2024-06-12,5171.0,272.18,265.25,274.39,255.0,271.49,-0.69
2024-06-13,128255.0,271.49,275.0,293.48,275.0,292.98,21.49
2024-06-14,9384.0,292.98,285.0,293.0,285.0,285.76,-7.22
2024-06-20,25352.0,285.76,285.0,300.0,274.0,298.67,12.91
2024-06-21,15044.0,298.67,296.0,296.0,289.0,289.92,-8.75
2024-06-24,6887.0,289.92,293.5,293.5,280.0,282.19,-7.73
2024-06-25,23637.0,282.19,280.0,282.19,270.0,281.23,-0.96
2024-06-26,14255.0,281.23,275.01,284.0,275.01,282.49,1.26
2024-06-27,49777.0,282.49,281.0,290.0,281.0,288.91,6.42
2024-06-28,48835.0,288.91,286.0,300.0,280.11,297.37,8.46
