Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-01-01,16248500.0,7.42,7.54,8.19,7.5,7.97,0.55
2024-01-02,16212000.0,7.97,8.1,8.3,7.66,7.78,-0.19
2024-01-03,8781000.0,7.78,7.8,8.0,7.55,7.6,-0.18
2024-01-04,5692000.0,7.6,7.61,7.63,7.4,7.54,-0.06
2024-01-08,9254500.0,7.36,7.38,7.82,7.31,7.55,0.19
2024-01-12,19613500.0,8.53,8.61,8.84,8.2,8.31,-0.22
2024-01-18,33339000.0,7.36,7.36,8.3,6.95,8.15,0.79
2024-01-19,10502000.0,8.15,8.24,8.3,7.74,7.85,-0.3
2024-01-22,6024000.0,7.85,7.85,7.95,7.54,7.6,-0.25
2024-01-23,3388500.0,7.6,7.55,7.68,7.48,7.51,-0.09
2024-01-26,18825000.0,8.67,8.72,8.85,8.05,8.14,-0.53
2024-01-29,6531500.0,8.14,8.2,8.29,7.71,7.76,-0.38
2024-01-30,24692000.0,7.76,7.78,8.46,7.78,7.91,0.15
2024-01-31,14174000.0,7.91,8.0,8.35,7.8,7.91,0.0
2024-02-01,8602000.0,7.91,7.98,8.09,7.72,7.94,0.03
2024-02-02,17532500.0,7.94,8.0,8.39,8.0,8.14,0.2
2024-02-07,6234500.0,8.15,8.2,8.27,8.0,8.06,-0.09
2024-02-13,8867000.0,6.94,6.9,7.16,6.55,7.0,0.06
2024-02-14,6211000.0,7.0,7.3,7.39,7.1,7.21,0.21
2024-02-15,15871000.0,7.21,7.21,7.63,7.04,7.09,-0.12
2024-02-16,5267500.0,7.09,7.07,7.19,6.86,6.92,-0.17
2024-02-19,3181500.0,6.92,6.79,7.04,6.7,6.99,0.07
2024-02-20,6877000.0,6.99,7.01,7.34,7.01,7.05,0.06
2024-02-21,8049500.0,7.05,7.3,7.46,7.15,7.22,0.17
2024-02-22,10038000.0,7.22,7.2,7.57,7.18,7.34,0.12
2024-02-23,14220000.0,7.34,7.4,7.76,7.3,7.52,0.18
2024-02-26,5432000.0,7.52,7.67,7.7,7.36,7.43,-0.09
2024-02-27,5553000.0,7.43,7.5,7.55,7.22,7.29,-0.14
2024-02-28,30485000.0,7.29,7.35,8.29,7.31,7.98,0.69
2024-02-29,31867000.0,7.98,8.52,8.64,7.9,8.01,0.03
2024-03-01,8393000.0,8.01,8.1,8.13,7.76,7.95,-0.06
2024-03-04,12184000.0,7.95,8.1,8.28,7.92,8.01,0.06
2024-03-05,7370500.0,8.01,8.04,8.15,7.81,7.86,-0.15
2024-03-06,10537000.0,7.86,7.81,8.25,7.81,7.94,0.08
2024-03-07,4184500.0,7.94,7.95,8.0,7.75,7.81,-0.13
2024-03-08,3967000.0,7.81,7.84,7.97,7.77,7.84,0.03
2024-03-11,52271500.0,7.84,7.91,8.78,7.91,8.5,0.66
2024-03-12,29322000.0,8.5,8.6,8.85,8.1,8.14,-0.36
2024-03-13,11042000.0,8.14,8.2,8.31,7.66,7.77,-0.37
2024-03-14,18760000.0,7.77,7.87,8.45,7.85,8.38,0.61
2024-03-15,56955500.0,8.38,8.49,9.09,8.49,8.56,0.18
2024-03-18,16267000.0,8.56,8.67,8.74,8.2,8.28,-0.28
2024-03-19,16621000.0,8.28,8.36,8.58,8.06,8.12,-0.16
2024-03-20,13962000.0,8.12,8.19,8.28,7.83,7.88,-0.24
2024-03-21,12369000.0,7.88,7.95,8.06,7.65,7.71,-0.17
2024-03-22,8710000.0,7.71,7.72,7.84,7.45,7.54,-0.17
2024-03-25,21377000.0,7.54,7.65,8.27,7.53,8.08,0.54
2024-03-26,10040500.0,8.08,8.18,8.32,7.85,7.9,-0.18
2024-03-27,16036000.0,7.9,7.92,8.13,7.81,7.88,-0.02
2024-03-28,10099000.0,7.88,7.95,8.06,7.89,7.94,0.06
2024-03-29,7856500.0,7.94,8.08,8.08,7.6,7.73,-0.21
2024-04-01,4490500.0,7.73,7.9,7.9,7.6,7.67,-0.06
2024-04-02,5005500.0,7.67,7.6,7.71,7.51,7.62,-0.05
2024-04-03,7965000.0,7.62,7.75,8.0,7.65,7.79,0.17
2024-04-04,3368500.0,7.79,7.86,7.9,7.72,7.75,-0.04
2024-04-08,3945500.0,7.75,7.87,7.87,7.66,7.73,-0.02
2024-04-09,4945000.0,7.73,7.76,7.94,7.67,7.71,-0.02
2024-04-15,4977500.0,7.71,7.7,7.85,7.61,7.75,0.04
2024-04-16,12117000.0,7.75,7.85,8.05,7.72,7.81,0.06
2024-04-17,4843500.0,7.81,7.9,7.95,7.67,7.71,-0.1
2024-04-18,3173500.0,7.71,7.77,7.77,7.56,7.63,-0.08
2024-04-19,3668000.0,7.63,7.65,7.68,7.51,7.54,-0.09
