Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-01-01,2877447.0,110.84,110.83,116.5,110.83,115.75,4.91
2024-01-02,4163065.0,115.75,116.89,118.8,115.0,116.53,0.78
2024-01-03,3264531.0,116.53,117.01,119.21,116.49,117.69,1.16
2024-01-04,1132175.0,117.69,117.1,117.75,116.1,116.5,-1.19
2024-01-05,1060265.0,116.5,117.45,117.99,115.2,117.41,0.91
2024-01-08,573038.0,117.41,117.25,118.0,116.01,116.36,-1.05
2024-01-09,390894.0,116.36,116.99,117.44,115.27,115.58,-0.78
2024-01-10,447283.0,115.58,117.0,117.0,114.9,115.04,-0.54
2024-01-11,1236084.0,115.04,115.25,117.78,114.01,117.42,2.38
2024-01-12,1597241.0,117.42,118.0,119.0,117.5,118.47,1.05
2024-01-15,1911765.0,118.47,119.3,120.81,117.27,117.75,-0.72
2024-01-16,1139653.0,117.75,117.26,118.0,116.25,116.62,-1.13
2024-01-17,5075262.0,116.62,116.01,117.2,114.93,115.42,-1.2
2024-01-18,872339.0,115.42,115.0,115.85,112.66,114.65,-0.77
2024-01-19,358815.0,114.65,115.25,116.5,114.07,114.63,-0.02
2024-01-22,563759.0,114.63,114.64,115.48,113.1,115.0,0.37
2024-01-23,9668921.0,115.0,115.1,116.6,115.1,116.01,1.01
2024-01-24,744945.0,116.01,116.95,116.95,115.5,115.73,-0.28
2024-01-25,3340148.0,115.73,116.0,117.01,115.01,115.84,0.11
2024-01-26,2069564.0,115.84,116.0,116.89,113.51,114.0,-1.84
2024-01-29,3150745.0,114.0,113.9,113.97,111.51,112.03,-1.97
2024-01-30,1339104.0,112.03,112.99,113.98,110.4,111.05,-0.98
2024-01-31,956494.0,111.05,111.7,112.4,110.51,111.18,0.13
2024-02-01,636327.0,111.18,111.48,112.35,111.2,111.72,0.54
2024-02-02,2207990.0,111.72,112.0,112.83,111.5,111.87,0.15
2024-02-06,1221222.0,111.87,113.7,113.7,111.8,112.3,0.43
2024-02-07,2244630.0,112.3,112.89,114.0,112.34,112.94,0.64
2024-02-09,1497628.0,112.94,110.5,111.9,106.27,110.72,-2.22
2024-02-12,3683386.0,110.72,110.0,112.4,105.35,108.42,-2.3
2024-02-13,1386292.0,108.42,107.01,110.5,103.0,110.0,1.58
2024-02-14,961375.0,110.0,111.0,112.55,111.0,111.9,1.9
2024-02-15,939367.0,111.9,111.11,112.49,108.35,109.64,-2.26
2024-02-16,524336.0,109.64,110.5,111.39,108.01,110.06,0.42
2024-02-19,3.0,113.14,105.5,105.5,105.5,105.5,-7.64
2024-02-20,61.0,105.5,112.75,112.75,111.25,111.48,5.98
2024-02-21,528231.0,110.0,110.55,113.0,110.55,111.74,1.74
2024-02-22,725835.0,111.74,112.0,113.4,110.05,112.95,1.21
2024-02-23,910.0,113.95,113.99,115.1,113.9,114.03,0.08
2024-02-26,3552299.0,113.77,113.77,116.0,113.77,114.75,0.98
2024-02-27,3449850.0,114.75,115.5,116.0,114.2,115.18,0.43
2024-02-28,5010576.0,115.18,115.0,116.98,114.06,114.8,-0.38
2024-02-29,1616054.0,114.8,115.0,116.55,115.0,115.97,1.17
2024-03-01,2452549.0,115.97,116.05,117.8,115.85,117.06,1.09
2024-03-04,4070863.0,117.06,117.0,117.0,114.85,115.42,-1.64
2024-03-05,1626318.0,115.42,116.0,116.41,115.05,115.7,0.28
2024-03-06,1631771.0,115.7,116.0,117.95,115.8,115.95,0.25
2024-03-07,677456.0,115.95,116.19,116.5,114.61,114.93,-1.02
2024-03-08,491915.0,114.93,115.49,116.0,114.31,114.46,-0.47
2024-03-11,396401.0,114.46,114.0,116.0,114.0,114.67,0.21
2024-03-12,317710.0,114.67,114.67,114.91,113.26,113.68,-0.99
2024-03-13,471491.0,113.68,113.68,114.0,112.06,112.79,-0.89
2024-03-14,1131221.0,112.79,112.99,114.0,112.55,113.65,0.86
2024-03-15,651359.0,113.65,113.2,114.49,113.2,113.59,-0.06
2024-03-18,555706.0,109.59,109.5,109.5,108.0,108.6,-0.99
2024-03-19,1222965.0,108.6,108.5,110.45,108.11,108.24,-0.36
2024-03-20,734100.0,108.24,109.0,109.5,107.49,108.21,-0.03
2024-03-21,2215557.0,108.21,108.74,108.8,106.19,107.0,-1.21
2024-03-22,1356805.0,107.0,107.0,107.0,104.51,104.99,-2.01
2024-03-25,925714.0,104.99,105.0,105.75,103.0,104.13,-0.86
2024-03-26,203.0,105.5,104.69,106.8,104.69,106.68,1.18
2024-03-27,1253860.0,104.21,104.0,106.4,103.5,104.46,0.25
2024-03-28,432652.0,104.46,104.5,105.75,104.11,105.65,1.19
2024-03-29,671014.0,105.65,105.95,106.45,104.25,104.42,-1.23
2024-04-01,358080.0,104.42,104.95,105.9,104.65,104.99,0.57
2024-04-02,278078.0,104.99,105.49,105.49,104.1,104.6,-0.39
2024-04-03,1048329.0,104.6,105.0,106.7,104.6,106.47,1.87
2024-04-04,1760545.0,106.47,106.69,109.9,106.0,108.85,2.38
2024-04-08,1508661.0,108.85,108.99,110.7,107.95,110.3,1.45
2024-04-09,4306345.0,110.3,111.79,112.84,108.75,109.65,-0.65
2024-04-15,1519132.0,109.65,111.48,111.5,108.99,110.96,1.31
2024-04-16,15884192.0,110.96,111.3,118.48,111.0,115.81,4.85
2024-04-17,3631693.0,115.81,116.0,117.5,114.5,115.42,-0.39
2024-04-18,3250009.0,115.42,115.8,116.73,113.6,114.35,-1.07
2024-04-19,2278618.0,114.35,113.4,115.85,113.15,115.08,0.73
2024-04-22,48145538.0,115.08,115.1,116.5,112.51,114.53,-0.55
2024-04-23,2208.0,115.96,116.5,117.5,115.6,116.55,0.59
2024-04-24,12553982.0,115.94,115.99,119.1,114.98,118.2,2.26
2024-04-25,4556109.0,118.2,119.4,119.8,117.26,117.73,-0.47
2024-04-26,3845181.0,117.73,118.0,118.6,116.3,117.89,0.16
2024-04-29,5594822.0,117.89,118.05,118.8,115.4,116.68,-1.21
2024-04-30,311.0,115.0,116.5,116.5,114.75,114.75,-0.25
2024-05-02,3468446.0,112.47,113.5,115.75,112.0,112.61,0.14
2024-05-03,6791235.0,112.61,111.73,113.88,111.73,112.1,-0.51
2024-05-06,2726018.0,112.1,113.02,113.35,111.4,112.0,-0.1
2024-05-07,3366186.0,112.0,111.98,113.49,111.5,112.88,0.88
2024-05-08,2989702.0,112.88,113.39,114.3,112.06,113.76,0.88
2024-05-09,1997634.0,113.76,113.51,114.6,112.9,113.56,-0.2
2024-05-10,790046.0,113.56,113.2,113.8,112.5,112.96,-0.6
2024-05-13,1666197.0,112.96,113.41,114.1,113.0,113.43,0.47
2024-05-14,4424900.0,113.43,113.1,115.26,113.1,114.9,1.47
2024-05-15,2513749.0,114.9,115.01,115.85,114.5,115.1,0.2
2024-05-16,4248282.0,115.1,115.5,116.4,114.8,115.98,0.88
2024-05-17,1108541.0,115.98,116.0,116.74,115.25,115.46,-0.52
2024-05-20,1263164.0,115.46,116.1,116.1,113.27,113.79,-1.67
2024-05-21,1899860.0,113.79,113.5,114.7,113.3,113.71,-0.08
2024-05-22,777246.0,113.71,113.9,114.25,112.51,112.93,-0.78
2024-05-23,905976.0,112.93,112.75,113.97,112.26,113.29,0.36
2024-05-24,2939584.0,113.29,113.25,114.95,113.05,114.29,1.0
2024-05-27,112.0,115.0,113.5,116.0,113.5,115.61,0.61
2024-05-29,264.0,115.61,115.0,115.0,114.0,114.5,-1.11
2024-05-30,1100479.0,113.82,114.4,114.5,113.36,113.73,-0.09
2024-05-31,2288708.0,113.73,114.0,114.38,113.4,113.97,0.24
2024-06-03,1294625.0,113.97,114.0,114.49,112.9,113.08,-0.89
2024-06-04,2328511.0,113.08,113.08,113.5,111.22,111.98,-1.1
2024-06-05,2994912.0,111.98,112.0,112.0,108.4,108.85,-3.13
2024-06-06,1251708.0,108.85,108.85,110.49,108.1,108.82,-0.03
2024-06-07,2526399.0,108.82,108.82,109.5,104.12,106.85,-1.97
2024-06-10,1047371.0,106.85,106.48,107.46,105.1,105.48,-1.37
2024-06-11,619877.0,105.48,105.48,107.25,104.5,105.0,-0.48
2024-06-12,391283.0,105.0,104.07,106.44,104.06,104.76,-0.24
2024-06-13,5604030.0,104.76,105.0,110.4,104.8,109.51,4.75
2024-06-14,5185713.0,109.51,110.0,113.25,108.9,112.37,2.86
2024-06-20,20943162.0,112.37,113.35,121.92,112.06,121.92,9.55
2024-06-21,12901998.0,121.92,123.5,127.97,122.4,125.65,3.73
2024-06-24,819.0,126.08,128.11,129.86,126.47,127.32,1.24
2024-06-25,1105.0,129.11,130.0,130.0,127.8,129.0,-0.11
2024-06-26,2146667.0,126.31,126.95,126.95,123.25,123.71,-2.6
2024-06-27,1148778.0,123.71,125.0,126.0,123.25,123.96,0.25
2024-06-28,3455006.0,123.96,124.6,124.6,121.6,124.03,0.07
2024-07-01,1963928.0,124.03,123.99,125.7,122.52,125.07,1.04
2024-07-02,2221151.0,125.07,125.99,126.8,125.43,126.03,0.96
2024-07-03,7324743.0,126.03,126.75,133.75,126.5,132.52,6.49
2024-07-04,6996226.0,132.52,132.49,134.9,127.0,132.71,0.19
2024-07-05,10034650.0,132.71,132.5,140.75,130.3,139.0,6.29
2024-07-08,5278504.0,139.0,140.0,145.1,137.51,142.98,3.98
2024-07-09,3225650.0,142.98,143.11,145.9,139.0,140.55,-2.43
2024-07-10,1934735.0,140.55,141.49,141.49,137.0,137.96,-2.59
2024-07-11,4112879.0,137.96,137.9,141.97,134.4,139.95,1.99
