Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-01-01,70000.0,111.3,111.1,111.4,111.1,111.4,0.1
2024-01-02,70000.0,111.4,111.3,111.4,111.26,111.26,-0.14
2024-01-03,124300.0,111.26,111.4,111.4,111.3,111.3,0.04
2024-01-04,24000.0,111.3,111.4,111.58,111.35,111.5,0.2
2024-01-05,100.0,111.5,111.6,111.6,111.6,111.5,0.0
2024-01-09,10000.0,111.5,111.7,111.7,111.7,111.7,0.2
2024-01-10,21400.0,111.7,111.8,111.85,111.8,111.8,0.1
2024-01-11,11100.0,111.8,111.9,112.1,111.9,111.9,0.1
2024-01-12,5000.0,111.9,112.4,112.4,112.4,112.4,0.5
2024-01-15,132200.0,112.4,112.6,112.6,112.5,112.5,0.1
2024-01-16,166300.0,112.5,112.51,112.74,112.5,112.6,0.1
2024-01-18,10300.0,112.6,112.7,112.9,112.7,112.9,0.3
2024-01-22,101000.0,112.9,113.0,113.0,112.9,112.9,0.0
2024-01-23,30000.0,112.9,113.3,113.3,113.0,113.0,0.1
2024-01-24,49900.0,113.0,112.9,112.9,112.8,112.9,-0.1
2024-01-25,238100.0,112.9,113.0,113.1,113.0,113.1,0.2
2024-01-26,50000.0,113.1,113.0,113.2,113.0,113.2,0.1
2024-01-29,171000.0,113.2,113.25,113.25,113.11,113.2,0.0
2024-01-30,60400.0,113.2,113.2,113.2,113.1,113.1,-0.1
2024-01-31,72500.0,113.1,113.2,113.2,113.1,113.1,0.0
2024-02-01,61000.0,113.1,113.2,113.2,113.2,113.2,0.1
2024-02-02,56000.0,113.2,113.2,113.3,113.2,113.26,0.06
2024-02-06,10300.0,113.26,113.4,113.4,113.4,113.4,0.14
2024-02-07,79100.0,113.4,113.5,113.79,113.5,113.79,0.39
2024-02-09,74000.0,113.79,113.8,113.8,113.8,113.8,0.01
2024-02-12,70800.0,113.8,113.79,113.8,113.7,113.7,-0.1
2024-02-14,19000.0,113.7,113.8,113.8,113.8,113.8,0.1
2024-02-15,110300.0,113.8,114.0,114.1,113.9,113.9,0.1
2024-02-16,13700.0,113.9,113.85,113.9,113.85,113.9,0.0
2024-02-19,140000.0,113.9,114.0,114.1,113.9,113.95,0.05
2024-02-20,300.0,113.95,114.0,114.0,113.9,113.93,-0.02
2024-02-21,4300.0,113.93,114.1,114.1,114.0,114.01,0.08
2024-02-22,130000.0,114.01,114.1,114.1,114.0,114.1,0.09
2024-02-23,24900.0,114.1,114.1,114.3,114.1,114.3,0.2
2024-02-26,164000.0,114.3,114.4,114.4,114.2,114.26,-0.04
2024-02-27,50100.0,114.26,114.3,114.4,114.3,114.3,0.04
2024-02-28,130100.0,114.3,114.39,114.4,114.3,114.3,0.0
2024-02-29,56400.0,114.3,114.3,114.5,114.3,114.5,0.2
2024-03-01,101900.0,114.5,114.7,114.7,114.6,114.6,0.1
2024-03-04,65500.0,114.6,114.75,114.75,114.65,114.65,0.05
2024-03-05,50000.0,114.65,114.7,114.7,114.7,114.7,0.05
2024-03-06,61000.0,114.7,114.8,114.8,114.8,114.8,0.1
2024-03-07,60000.0,114.8,114.9,114.91,114.9,114.91,0.11
2024-03-08,100000.0,114.91,115.1,115.1,115.1,115.1,0.19
2024-03-11,50100.0,115.1,115.2,115.2,115.2,115.2,0.1
2024-03-12,58500.0,115.2,115.25,115.3,115.25,115.29,0.09
2024-03-13,100100.0,115.29,115.2,115.2,115.2,115.2,-0.09
2024-03-14,44000.0,115.2,115.4,115.5,115.4,115.45,0.25
2024-03-18,10000.0,115.45,115.55,115.55,115.55,115.55,0.1
2024-03-20,300.0,115.55,115.55,115.55,115.55,115.55,0.0
2024-03-25,1300.0,115.55,115.75,115.85,115.75,115.85,0.3
2024-03-27,4800.0,115.85,115.9,116.0,115.9,116.0,0.15
2024-03-28,18500.0,116.0,116.0,116.0,115.9,115.9,-0.1
2024-03-29,15000.0,115.9,116.0,116.0,116.0,116.0,0.1
2024-04-01,111500.0,116.0,116.0,116.15,116.0,116.1,0.1
2024-04-02,1500.0,116.1,116.1,116.1,116.1,116.1,0.0
2024-04-03,7200.0,116.1,116.15,116.15,116.11,116.11,0.01
2024-04-04,14700.0,116.11,116.21,116.21,116.2,116.2,0.09
2024-04-08,35500.0,116.2,116.3,117.1,116.3,116.65,0.45
2024-04-09,5900.0,116.65,116.75,116.85,116.75,116.85,0.2
2024-04-15,11700.0,116.85,116.95,117.05,116.95,117.05,0.2
2024-04-16,61000.0,117.05,117.05,117.25,117.05,117.16,0.11
2024-04-17,53500.0,117.16,117.16,117.16,117.16,117.16,0.0
2024-04-18,42400.0,117.16,117.16,117.16,117.16,117.16,0.0
2024-04-19,35700.0,117.16,117.16,117.26,117.16,117.26,0.1
2024-04-22,52000.0,117.26,117.6,117.6,117.3,117.35,0.09
2024-04-23,26000.0,117.35,117.35,117.45,117.35,117.45,0.1
2024-04-24,4000.0,117.45,117.6,117.6,117.51,117.51,0.06
2024-04-25,170400.0,117.51,118.01,118.01,117.5,117.5,-0.01
2024-04-26,216000.0,117.5,117.6,118.15,117.6,117.86,0.36
2024-04-29,13100.0,117.86,117.86,117.96,117.86,117.96,0.1
2024-04-30,100.0,117.96,118.0,118.0,118.0,117.97,0.01
2024-05-02,2500.0,117.97,117.97,117.97,117.97,117.97,0.0
2024-05-06,100600.0,117.97,109.12,118.2,109.12,118.2,0.23
2024-05-07,1600.0,118.2,118.3,118.3,118.3,118.3,0.1
2024-05-08,200.0,118.3,118.21,118.21,118.21,118.3,0.0
2024-05-09,195900.0,118.3,118.4,118.4,118.3,118.3,0.0
2024-05-10,3600.0,118.3,0.0,0.0,0.0,118.3,0.0
2024-05-13,10000.0,118.3,118.4,118.4,118.4,118.4,0.1
2024-05-14,1000.0,118.4,118.5,118.5,118.5,118.5,0.1
2024-05-15,2100.0,118.5,118.6,118.6,118.5,118.5,0.0
2024-05-16,10000.0,118.5,118.6,118.6,118.6,118.6,0.1
2024-05-17,13600.0,118.6,118.7,118.8,118.7,118.8,0.2
2024-05-20,130200.0,118.8,118.9,119.25,118.9,119.1,0.3
2024-05-21,1000.0,119.1,119.2,119.2,119.2,119.2,0.1
2024-05-22,177000.0,119.2,119.21,119.35,119.15,119.35,0.15
2024-05-23,50500.0,119.35,119.4,119.44,119.4,119.44,0.09
2024-05-24,6400.0,119.44,119.44,119.54,119.44,119.54,0.1
2024-05-27,3000.0,119.54,119.64,119.64,119.64,119.64,0.1
2024-05-29,200800.0,119.64,119.7,119.79,119.7,119.73,0.09
2024-05-30,60600.0,119.73,119.83,119.85,119.75,119.77,0.04
2024-06-03,13600.0,119.77,120.0,120.0,119.9,120.0,0.23
2024-06-04,2700.0,120.0,120.0,120.0,120.0,120.0,0.0
2024-06-05,30000.0,120.0,120.22,120.22,120.13,120.22,0.22
2024-06-06,65100.0,120.22,120.32,120.42,120.22,120.33,0.11
2024-06-07,152100.0,120.33,120.4,120.5,120.3,120.3,-0.03
2024-06-10,30100.0,120.3,120.4,120.4,120.31,120.4,0.1
2024-06-11,100000.0,120.4,120.5,120.65,120.5,120.6,0.2
2024-06-12,66000.0,120.6,120.7,120.85,120.62,120.85,0.25
2024-06-13,160900.0,120.85,120.7,121.2,120.7,121.1,0.25
2024-06-14,178400.0,121.1,111.1,121.2,111.1,121.2,0.1
2024-06-20,17000.0,121.2,131.5,131.5,121.25,121.35,0.15
2024-06-21,36300.0,121.35,121.3,121.4,121.3,121.35,0.0
2024-06-24,1000.0,121.35,121.35,121.35,121.35,121.35,0.0
2024-06-25,10800.0,101.35,101.46,101.55,101.45,101.45,0.1
2024-06-26,536200.0,101.45,101.55,101.55,101.55,101.45,0.0
2024-06-27,900.0,101.45,101.55,101.55,101.55,101.55,0.1
2024-06-28,50500.0,101.55,101.65,102.0,101.65,101.9,0.35
2024-07-01,36800.0,101.9,111.07,111.07,102.0,102.3,0.4
2024-07-02,215600.0,102.3,102.35,102.35,102.0,102.25,-0.05
2024-07-03,251200.0,102.25,102.2,102.3,102.0,102.2,-0.05
2024-07-04,1400.0,102.2,102.2,102.2,102.2,102.2,0.0
2024-07-05,7200.0,102.2,102.2,102.2,102.2,102.2,0.0
2024-07-08,2200.0,102.2,100.0,102.2,100.0,102.2,0.0
2024-07-09,1000.0,102.2,102.2,102.2,102.2,102.2,0.0
2024-07-10,21800.0,102.2,102.0,102.3,102.0,102.3,0.1
2024-07-11,61900.0,102.3,102.4,102.5,102.3,102.5,0.2
2024-07-12,700.0,102.5,102.6,102.6,102.6,102.5,0.0
2024-07-15,1200.0,102.5,102.5,102.5,102.5,102.5,0.0
2024-07-18,1800.0,102.5,102.8,102.8,102.8,102.8,0.3
2024-07-19,100.0,102.8,102.9,102.9,102.9,102.8,0.0
2024-07-22,10200.0,102.8,102.8,102.9,102.8,102.9,0.1
2024-07-23,30300.0,102.9,102.9,103.0,102.9,103.0,0.1
2024-07-24,51000.0,103.0,103.05,103.12,103.0,103.12,0.12
2024-07-25,20300.0,103.12,103.22,103.22,103.12,103.12,0.0
2024-07-26,40600.0,103.12,103.22,103.22,103.12,103.22,0.1
2024-07-29,659800.0,103.22,103.32,103.42,103.32,103.39,0.17
2024-07-30,70200.0,103.39,103.39,103.39,103.25,103.25,-0.14
2024-07-31,48000.0,103.25,103.25,103.35,103.25,103.25,0.0
2024-08-01,50000.0,103.25,103.35,103.35,103.35,103.35,0.1
2024-08-02,17500.0,103.35,103.4,103.4,103.36,103.4,0.05
2024-08-05,27300.0,103.4,103.5,103.6,103.5,103.6,0.2
2024-08-06,26100.0,103.6,103.7,103.7,103.61,103.7,0.1
2024-08-07,31000.0,103.7,103.7,103.7,103.7,103.7,0.0
2024-08-08,75400.0,103.7,103.8,103.8,103.73,103.73,0.03
2024-08-09,50500.0,103.73,103.83,104.0,103.8,103.98,0.25
2024-08-13,66000.0,103.98,104.08,104.35,104.08,104.35,0.37
2024-08-15,7500.0,104.35,104.35,104.35,104.35,104.35,0.0
2024-08-19,60000.0,104.35,104.45,104.5,104.45,104.5,0.15
2024-08-20,10000.0,104.5,104.6,104.6,104.6,104.6,0.1
2024-08-21,11000.0,104.6,104.7,104.85,104.7,104.85,0.25
2024-08-22,1000.0,104.85,104.95,104.95,104.95,104.95,0.1
2024-08-23,70000.0,104.95,105.19,105.2,105.1,105.1,0.15
2024-08-26,10000.0,105.1,105.2,105.2,105.2,105.2,0.1
2024-08-27,400.0,105.2,105.2,105.3,105.2,105.23,0.03
2024-08-28,1000.0,105.23,105.4,105.4,105.4,105.4,0.17
2024-09-02,1800.0,105.4,105.5,105.5,105.5,105.5,0.1
2024-09-03,19500.0,105.5,105.5,105.5,105.5,105.5,0.0
2024-09-04,41000.0,105.5,105.5,105.51,105.5,105.5,0.0
2024-09-05,22800.0,105.5,105.6,105.7,105.5,105.7,0.2
2024-09-06,10100.0,105.7,105.7,105.7,105.7,105.7,0.0
2024-09-09,71900.0,105.7,105.7,105.95,105.7,105.91,0.21
2024-09-10,200.0,105.91,106.0,106.0,106.0,105.91,0.0
2024-09-11,1000.0,105.91,106.1,106.1,106.1,106.1,0.19
2024-09-12,101300.0,106.1,106.2,108.0,106.1,106.2,0.1
2024-09-13,7500.0,106.2,106.8,106.8,106.8,106.8,0.6
2024-09-16,53000.0,106.8,96.15,106.4,96.15,106.4,-0.4
2024-09-18,40000.0,106.4,106.8,106.8,106.8,106.8,0.4
2024-09-19,11600.0,106.8,107.0,107.0,106.7,106.71,-0.09
2024-09-20,7500.0,106.71,107.1,107.1,107.1,107.1,0.39
2024-09-23,4600.0,107.1,107.4,107.4,107.4,107.4,0.3
2024-09-24,15000.0,107.4,107.6,107.6,107.6,107.6,0.2
2024-09-25,9200.0,107.6,107.7,107.7,107.6,107.6,0.0
2024-09-26,10000.0,107.6,107.7,107.7,107.7,107.7,0.1
2024-09-27,145100.0,107.7,107.7,107.75,107.65,107.7,0.0
2024-09-30,18500.0,107.7,107.8,108.5,107.75,108.4,0.7
2024-10-01,13800.0,108.4,108.64,108.64,108.54,108.54,0.14
2024-10-02,2900.0,108.54,108.66,108.66,108.66,108.66,0.12
2024-10-03,5100.0,108.66,108.67,108.77,108.67,108.77,0.11
2024-10-04,6500.0,108.77,108.86,108.86,108.76,108.86,0.09
2024-10-07,3000.0,108.86,108.75,108.75,108.75,108.75,-0.11
2024-10-08,138300.0,108.75,108.74,108.74,108.0,108.09,-0.66
2024-10-09,300.0,108.09,108.75,108.85,108.75,108.82,0.73
2024-10-10,1100.0,108.82,108.77,108.77,108.77,108.77,-0.05
2024-10-11,110500.0,108.77,108.8,108.8,108.7,108.7,-0.07
2024-10-14,15200.0,108.7,108.84,108.84,108.74,108.74,0.04
2024-10-15,14300.0,108.74,108.95,108.95,108.88,108.88,0.14
2024-10-16,12500.0,108.88,109.01,109.05,109.01,109.01,0.13
2024-10-17,7000.0,109.01,109.11,109.11,109.1,109.1,0.09
2024-10-18,10500.0,109.1,109.34,109.34,109.34,109.34,0.24
2024-10-21,24200.0,109.34,109.5,109.5,109.4,109.4,0.06
2024-10-22,4500.0,109.4,109.44,109.44,109.44,109.44,0.04
2024-10-23,10000.0,109.44,109.55,109.65,109.55,109.65,0.21
2024-10-24,100.0,109.65,109.75,109.75,109.75,109.65,0.0
2024-10-25,215000.0,109.65,109.65,109.85,109.65,109.78,0.13
2024-10-28,24400.0,109.78,109.88,110.5,109.88,110.0,0.22
2024-10-30,28500.0,110.0,110.2,110.2,110.1,110.1,0.1
2024-10-31,15200.0,110.1,110.15,110.15,110.15,110.15,0.05
2024-11-01,50100.0,110.15,110.2,110.3,110.2,110.25,0.1
2024-11-04,1600.0,110.25,110.5,110.65,110.5,110.65,0.4
2024-11-05,3600.0,110.65,110.73,110.73,110.73,110.73,0.08
2024-11-06,1000.0,110.73,110.56,110.66,110.56,110.66,-0.07
2024-11-07,19000.0,110.66,110.62,110.62,110.52,110.52,-0.14
2024-11-08,500.0,110.52,110.55,110.55,110.55,110.55,0.03
2024-11-11,38500.0,110.55,110.62,110.62,110.5,110.52,-0.03
2024-11-12,300.0,110.52,110.76,110.76,110.7,110.72,0.2
2024-11-13,26300.0,110.72,110.1,110.6,110.0,110.0,-0.72
2024-11-14,5600.0,110.0,110.6,110.7,110.6,110.7,0.7
2024-11-15,1800.0,110.7,110.64,110.64,110.64,110.64,-0.06
2024-11-18,10300.0,110.64,110.61,110.61,110.61,110.61,-0.03
2024-11-19,100600.0,110.61,110.61,110.61,99.6,110.01,-0.6
2024-11-20,22200.0,110.01,110.64,110.64,110.44,110.44,0.43
2024-11-21,98300.0,110.44,110.64,110.74,110.54,110.74,0.3
2024-11-22,1000.0,110.74,110.81,110.81,110.81,110.81,0.07
2024-11-25,2400.0,110.81,110.81,110.81,110.71,110.81,0.0
2024-11-26,700.0,110.81,110.97,110.97,110.97,110.81,0.0
2024-11-27,13600.0,110.81,111.22,111.32,111.22,111.32,0.51
2024-11-28,3000.0,111.32,111.4,111.4,111.4,111.4,0.08
2024-11-29,100.0,111.4,112.0,112.0,112.0,111.4,0.0
2024-12-02,300.0,111.4,112.18,112.28,112.18,112.25,0.85
2024-12-03,20000.0,112.25,112.28,112.28,112.28,112.28,0.03
2024-12-04,200.0,112.28,112.26,112.26,112.26,112.26,-0.02
2024-12-05,9800.0,112.26,112.18,112.18,112.08,112.08,-0.18
2024-12-06,3400.0,112.08,100.9,112.16,100.9,112.16,0.08
2024-12-09,400.0,112.16,112.27,112.27,112.18,112.23,0.07
2024-12-10,5800.0,112.23,112.38,112.38,112.29,112.38,0.15
2024-12-11,68400.0,112.38,112.39,112.49,112.0,112.49,0.11
2024-12-12,1700.0,112.49,112.5,112.5,112.5,112.5,0.01
2024-12-13,500.0,112.5,112.3,112.3,112.3,112.3,-0.2
2024-12-16,300.0,112.3,112.31,112.4,112.31,112.34,0.04
2024-12-17,57700.0,112.34,112.4,112.4,112.2,112.2,-0.14
2024-12-18,21100.0,112.2,112.15,112.25,112.15,112.15,-0.05
2024-12-19,9700.0,112.15,112.34,112.4,112.34,112.36,0.21
2024-12-23,35700.0,112.36,112.4,112.4,112.3,112.3,-0.06
2024-12-24,2000.0,112.3,112.35,112.35,112.35,112.35,0.05
2024-12-26,6800.0,112.35,112.52,112.62,112.52,112.52,0.17
2024-12-27,9800.0,112.52,112.52,112.62,112.52,112.62,0.1
2024-12-30,100.0,112.62,0.0,0.0,0.0,112.62,0.0
2024-12-31,1100.0,112.62,112.76,112.77,112.76,112.76,0.14
2025-01-01,400.0,112.76,112.71,112.71,112.7,112.71,-0.05
2025-01-02,11100.0,112.71,112.87,112.97,112.87,112.87,0.16
2025-01-03,21200.0,112.87,113.0,113.1,113.0,113.1,0.23
2025-01-06,1800.0,113.1,113.11,113.21,113.11,113.21,0.11
2025-01-07,300.0,113.21,113.27,113.27,113.27,113.21,0.0
2025-01-08,30000.0,113.21,113.3,113.3,113.2,113.2,-0.01
2025-01-09,3700.0,113.2,113.31,113.41,113.31,113.39,0.19
2025-01-13,7100.0,113.4,113.56,113.66,113.56,113.66,0.26
2025-01-14,200.0,113.66,113.65,113.65,113.65,113.65,-0.01
2025-01-15,100.0,113.65,113.69,113.69,113.69,113.65,0.0
2025-01-16,5600.0,113.65,113.74,113.74,113.65,113.74,0.09
2025-01-17,5600.0,113.74,113.61,113.7,113.6,113.7,-0.04
2025-01-20,1100.0,113.7,113.74,113.74,113.74,113.74,0.04
2025-01-21,200.0,113.74,113.5,113.87,113.5,113.74,0.0
2025-01-22,500.0,113.74,113.82,113.92,113.82,113.87,0.13
2025-01-23,20000.0,113.87,114.03,114.03,114.03,114.03,0.16
2025-01-24,100.0,114.03,114.08,114.08,114.08,114.03,0.0
2025-01-27,800.0,114.03,114.15,114.15,114.15,114.15,0.12
2025-01-28,12200.0,114.15,114.17,114.17,114.17,114.17,0.02
2025-01-29,3800.0,114.17,114.17,114.17,114.13,114.13,-0.04
2025-01-30,42700.0,114.13,114.26,114.46,114.26,114.38,0.25
2025-01-31,60100.0,114.38,114.26,114.5,114.26,114.26,-0.12
2025-02-03,1600.0,114.26,114.35,114.35,114.35,114.35,0.09
2025-02-04,1100.0,114.35,114.4,114.4,114.4,114.4,0.05
2025-02-06,100.0,114.4,114.5,114.5,114.5,114.4,0.0
2025-02-10,200.0,114.45,114.45,114.55,114.45,114.45,0.0
2025-02-11,2500.0,114.45,114.6,114.6,114.5,114.59,0.14
